Accepted;resolved_name
Brocchinia_micrantha;Brocchinia micrantha
Guzmania_wittmackii;Guzmania wittmackii
Ananas_comosus;Ananas comosus
Sparganium_eurycarpum;Sparganium eurycarpum
Typha_angustifolia;Typha angustifolia
Baloskion_tetraphyllum;Baloskion tetraphyllum
Lepyrodia_heleocharoides;Lepyrodia heleocharoides
Gaimardia_sp;Gaimardia sp
Anarthria_polyphylla;Anarthria polyphylla
Hopkinsia_anoectocolea;Hopkinsia anoectocolea
Anomochloa_marantoidea;Anomochloa marantoidea
Streptochaeta_sp;Streptochaeta sp
Pharus_latifolius;Pharus latifolius
Aristida_purpurea;Aristida purpurea
Thysanolaena_latifolia;Thysanolaena latifolia
Setaria_italica;Setaria italica
Setaria_viridis;Setaria viridis
Phragmites_australis;Phragmites australis
Arundo_donax;Arundo donax
Tribolium_purpureum;Tribolium purpureum
Merxmuellera_macowanii;Merxmuellera macowanii
Centropodia_glauca;Centropodia glauca
Eleusine_indica;Eleusine indica
Tragus_racemosus;Tragus racemosus
Distichlis_spicata;Distichlis spicata
Cynodon_dactylon;Cynodon dactylon
Isachne_sp;Isachne sp
Chimonobambusa_marmorea;Chimonobambusa marmorea
Olyra_latifolia;Olyra latifolia
Zizania_latifolia;Zizania latifolia
Lygeum_spartum;Lygeum spartum
Aira_caryophyllea;Aira caryophyllea
Puelia_sp;Puelia sp
Guaduella_marantifolia;Guaduella marantifolia
Joinvillea_plicata;Joinvillea plicata
Georgeantha_hexandra;Georgeantha hexandra
Ecdeiocolea_monostachya;Ecdeiocolea monostachya
Flagellaria_indica;Flagellaria indica
Xyris_sp;Xyris sp
Syngonanthus_sp;Syngonanthus sp
Eriocaulon_sp;Eriocaulon sp
Mayaca_fluviatilis;Mayaca fluviatilis
Prionium_serratum;Prionium serratum
Diplasia_karatifolia;Diplasia karatifolia
Mapania_meditensis;Mapania meditensis
Mapania_cuspidata;Mapania cuspidata
Scirpodendron_ghaeri;Scirpodendron ghaeri
Scirpodendron_bogneri;Scirpodendron bogneri
Paramapania_parvibractea;Paramapania parvibractea
Mapania_pycnocephala_C27;Mapania pycnocephala
Hypolytrum_nemorum;Hypolytrum nemorum
Mapania_assimilis;Mapania assimilis
Exocarya_sclerioides;Exocarya sclerioides
Chorizandra_cymbaria_C07;Chorizandra cymbaria
Chrysitrix_dodii;Chrysitrix dodii
Chrysitrix_capensis;Chrysitrix capensis
Lepironia_articulata;Lepironia articulata
Capitularina_involucrata;Capitularina involucrata
Microdracoides_squamosus;Microdracoides squamosus
Coleochloa_setifera;Coleochloa setifera
Coleochloa_abyssinica;Coleochloa abyssinica
Trilepis_lhotzkiana;Trilepis lhotzkiana
Lagenocarpus_stellatus;Lagenocarpus stellatus
Lagenocarpus_guianensis_C29;Lagenocarpus guianensis
Schoenus_curvifolius;Schoenus curvifolius
Tetraria_ustulata;Tetraria ustulata
Tetraria_flexuosa;Tetraria flexuosa
Tetraria_microstachys;Tetraria microstachys
Tetraria_crinifolia;Tetraria crinifolia
Epischoenus_cernuus;Epischoenus cernuus
Costularia_pubescens;Costularia pubescens
Costularia_arundinacea;Costularia arundinacea
Morelotia_gahniiformis;Morelotia gahniiformis
Tricostularia_pauciflora_C36;Tricostularia pauciflora
Oreobolus_pectinatus;Oreobolus pectinatus
Oreobolus_kuekenthalii;Oreobolus kuekenthalii
Costularia_pantopoda;Costularia pantopoda
Tetraria_natalensis;Tetraria natalensis
Costularia_leucocarpa;Costularia leucocarpa
Oreobolus_goeppingeri_C24;Oreobolus goeppingeri
Oreobolus_obtusangulus;Oreobolus obtusangulus
Cyathocoma_bachmannii;Cyathocoma bachmannii
Capeobolus_brevicaulis;Capeobolus brevicaulis
Cyathocoma_hexandra;Cyathocoma hexandra
Caustis_dioica;Caustis dioica
Evandra_aristata;Evandra aristata
Caustis_pentandra_C18;Caustis pentandra
Schoenus_efoliatus;Schoenus efoliatus
Ptilothrix_deusta;Ptilothrix deusta
Schoenus_brevifolius;Schoenus brevifolius
Schoenus_nigricans;Schoenus nigricans
Epischoenus_villosus;Epischoenus villosus
Epischoenus_quadrangularis;Epischoenus quadrangularis
