NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.113553	0.111776	0.108315	0.103236	0.0966088	0.0885463	0.0792518	0.0690416	0.0583428	0.0476591	0.037509	0.0283516	0.0205191	0.0141782	0.00937578	0.00592472	0.00357456	0.00204777	0.00111283	0.000573339	0.000280045	0.00012907	5.61073e-05	2.30019e-05	8.8984e-06	3.23508e-06	1.10528e-06	3.54975e-07	1.0728e-07	3.04008e-08	8.08016e-09	2.01546e-09	4.72434e-10	1.03743e-10	2.1352e-11	4.12204e-12	7.47602e-13	1.40504e-16	5.60746e-17	2.16773e-17	8.12415e-18	2.94803e-18	1.03615e-18	3.52906e-19	1.16582e-19	3.73108e-20	1.15727e-20	3.48053e-21	1.01595e-21	2.87504e-22	7.89094e-23	2.1016e-23	5.43646e-24	1.36452e-24	3.3244e-25	7.86577e-26	1.80913e-26	4.04086e-27	8.76857e-28	1.84949e-28	3.79531e-29	7.57026e-30	1.46828e-30	2.77051e-31	5.09048e-32	9.09954e-33	1.58308e-33	2.68174e-34	4.42747e-35	7.11776e-36	1.11464e-36	1.70111e-37	2.53234e-38	3.67399e-39	5.19674e-40	7.16958e-41	9.65615e-42	1.26856e-42	1.62612e-43	2.03478e-44	2.48758e-45	2.9689e-46	3.4603e-47	3.94035e-48	4.38798e-49	4.77656e-50	5.08756e-51	5.3127e-52	5.46381e-53	5.57952e-54	5.76776e-55	6.28033e-56	8.61876e-57	
N2	0.112845	0.111273	0.10814	0.103435	0.0971641	0.0892789	0.0799884	0.0696507	0.0587589	0.0478057	0.0374016	0.0280698	0.02017	0.0138218	0.00905468	0.00567201	0.00340304	0.00194308	0.00105716	0.000549936	0.00027551	0.000132023	6.0932e-05	2.74172e-05	1.22653e-05	5.36821e-06	2.32228e-06	1.00665e-06	4.4425e-07	1.90008e-07	7.92064e-08	3.25112e-08	1.33131e-08	5.14324e-09	1.90107e-09	6.83118e-10	2.4271e-10	8.08321e-11	2.56683e-11	7.90951e-12	2.40753e-12	6.86806e-13	1.86854e-13	4.93488e-14	1.28798e-14	3.15308e-15	7.36744e-16	1.67242e-16	3.75452e-17	7.91441e-18	1.59393e-18	3.12166e-19	6.05149e-20	1.10283e-20	1.92232e-21	3.26184e-22	5.48382e-23	8.67796e-24	1.315e-24	1.94194e-25	2.84425e-26	3.92616e-27	5.19588e-28	6.70863e-29	8.59953e-30	1.04025e-30	1.20782e-31	1.36972e-32	1.54369e-33	1.6438e-34	1.68201e-35	1.68268e-36	1.67419e-37	1.57496e-38	1.42359e-39	1.2562e-40	1.09861e-41	9.01514e-43	7.00759e-44	5.19639e-45	3.69596e-46	2.52319e-47	1.65723e-48	1.04941e-49	6.42123e-51	3.79462e-52	2.17573e-53	1.22337e-54	6.89169e-56	4.0263e-57	2.57974e-58	1.92747e-59	1.88488e-60	
N3	0.112369	0.110922	0.108007	0.10356	0.0975237	0.0897977	0.0805592	0.0701636	0.0591283	0.0479867	0.0373948	0.0279125	0.0199195	0.0135381	0.00878534	0.00544556	0.00322969	0.00182128	0.000977803	0.000501524	0.000247511	0.00011672	5.293e-05	2.33396e-05	1.01909e-05	4.33132e-06	1.80736e-06	7.49903e-07	3.14989e-07	1.27395e-07	4.99205e-08	1.91922e-08	7.38772e-09	2.66382e-09	9.14397e-10	3.05163e-10	1.01955e-10	3.15304e-11	9.23916e-12	2.63613e-12	7.59914e-13	2.01276e-13	5.04426e-14	1.23633e-14	3.09713e-15	7.07337e-16	1.52677e-16	3.23776e-17	7.09358e-18	1.40549e-18	2.62855e-19	4.84747e-20	9.30955e-21	1.60569e-21	2.61107e-22	4.19692e-23	7.05988e-24	1.06148e-24	1.50367e-25	2.10865e-26	3.10321e-27	4.07185e-28	5.03352e-29	6.16658e-30	7.94101e-31	9.11074e-32	9.85206e-33	1.05687e-33	1.1931e-34	1.20031e-35	1.13903e-36	1.07331e-37	1.06538e-38	9.43128e-40	7.8822e-41	6.54646e-42	5.7275e-43	4.4552e-44	3.22648e-45	2.22516e-46	1.47599e-47	9.41315e-49	5.7778e-50	3.41725e-51	1.95016e-52	1.06957e-53	5.64066e-55	2.86857e-56	1.41804e-57	6.96001e-59	3.72349e-60	2.63953e-61	3.43401e-62	
N4	0.100379	0.0998773	0.098742	0.096708	0.0934535	0.088574	0.0819469	0.073683	0.0641464	0.0537833	0.0433002	0.0334	0.0246573	0.0173455	0.0116665	0.00751666	0.00466097	0.00276035	0.00156797	0.000862008	0.000466242	0.000244667	0.000125882	6.45896e-05	3.38251e-05	1.72362e-05	8.60459e-06	4.26545e-06	2.13691e-06	1.00851e-06	4.5531e-07	2.00547e-07	8.80694e-08	3.59322e-08	1.39124e-08	5.22959e-09	1.95346e-09	6.76131e-10	2.21756e-10	7.05438e-11	2.22852e-11	6.52177e-12	1.80845e-12	4.86387e-13	1.29906e-13	3.21556e-14	7.54505e-15	1.71777e-15	3.88483e-16	8.14857e-17	1.62131e-17	3.13189e-18	6.0127e-19	1.07159e-19	1.81313e-20	2.98066e-21	4.87292e-22	7.40299e-23	1.06874e-23	1.50035e-24	2.09613e-25	2.72431e-26	3.36807e-27	4.05284e-28	4.85715e-29	5.42135e-30	5.76198e-31	5.96631e-32	6.15796e-33	5.92608e-34	5.43606e-35	4.86249e-36	4.33808e-37	3.61068e-38	2.86367e-39	2.21034e-40	1.69398e-41	1.19915e-42	7.93634e-44	4.95332e-45	2.93491e-46	1.6536e-47	8.88494e-49	4.56453e-50	2.24834e-51	1.06108e-52	4.81644e-54	2.12216e-55	9.24754e-57	4.10308e-58	1.94843e-59	1.0549e-60	9.13421e-62	
N5	0.0997541	0.0991276	0.0977805	0.0955155	0.0920869	0.0871703	0.0806862	0.0727431	0.0636563	0.0538122	0.0438223	0.0343077	0.0257955	0.0185553	0.0128125	0.00851075	0.00547241	0.00338161	0.00201926	0.0011803	0.000697103	0.000407083	0.000239088	0.000146126	9.99148e-05	6.67382e-05	4.4486e-05	3.0878e-05	2.4209e-05	1.70361e-05	1.14979e-05	7.92587e-06	6.10879e-06	4.10158e-06	2.61096e-06	1.6879e-06	1.21543e-06	7.57432e-07	4.46249e-07	2.66548e-07	1.77117e-07	1.01722e-07	5.51905e-08	3.03414e-08	1.85474e-08	9.79675e-09	4.88722e-09	2.46981e-09	1.38753e-09	6.73532e-10	3.08762e-10	1.43377e-10	7.40075e-11	3.30107e-11	1.39061e-11	5.93425e-12	2.81497e-12	1.15413e-12	4.46957e-13	1.75368e-13	7.64935e-14	2.88464e-14	1.02775e-14	3.7106e-15	1.48957e-15	5.17149e-16	1.69675e-16	5.64284e-17	2.08701e-17	6.67816e-18	2.0201e-18	6.19577e-19	2.11384e-19	6.24207e-20	1.74306e-20	4.93635e-21	1.55464e-21	4.22629e-22	1.07071e-22	2.60391e-23	6.13911e-24	1.39856e-24	3.07665e-25	6.5352e-26	1.34138e-26	2.64242e-27	4.99572e-28	9.0975e-29	1.61215e-29	2.82524e-30	5.48033e-31	1.64326e-31	1.11877e-31	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0828291	0.0823133	0.0812872	0.0797316	0.0776051	0.0747586	0.0711587	0.0668085	0.061765	0.0560475	0.0498439	0.0433932	0.0369604	0.0307173	0.0249996	0.0199469	0.0156391	0.0119873	0.00900527	0.00665664	0.00486954	0.00350476	0.00249294	0.00176219	0.00124577	0.000869815	0.0006011	0.000412221	0.000281369	0.000187513	0.000122207	7.81e-05	4.91215e-05	2.98297e-05	1.75574e-05	1.00618e-05	5.64311e-06	3.04224e-06	1.58441e-06	8.0141e-07	3.95941e-07	1.87793e-07	8.59599e-08	3.81837e-08	1.65568e-08	6.89048e-09	2.76701e-09	1.07811e-09	4.09992e-10	1.49675e-10	5.27343e-11	1.80297e-11	6.01718e-12	1.92867e-12	5.96843e-13	1.7929e-13	5.25876e-14	1.48227e-14	4.03588e-15	1.06717e-15	2.75624e-16	6.8456e-17	1.64333e-17	3.83291e-18	8.73556e-19	1.91578e-19	4.06295e-20	8.37504e-21	1.68719e-21	3.27159e-22	6.1347e-23	1.11765e-23	1.98836e-24	3.40093e-25	5.61437e-26	8.98013e-27	1.39761e-27	2.08059e-28	2.96928e-29	4.07091e-30	5.3757e-31	6.83422e-32	8.38124e-33	9.94022e-34	1.14448e-34	1.28149e-35	1.40303e-36	1.51311e-37	1.62319e-38	1.74735e-39	1.91927e-40	2.27557e-41	4.15745e-42	
N7	0.0757027	0.0752884	0.0744682	0.0732311	0.0715481	0.0692879	0.0664221	0.0629492	0.0589076	0.0542774	0.0491888	0.0438167	0.038366	0.0329339	0.027826	0.0231791	0.019102	0.0154808	0.0123769	0.00981826	0.00780662	0.00615992	0.00485894	0.0038801	0.00320073	0.00264656	0.00221144	0.00189622	0.00170572	0.00150859	0.001328	0.0011866	0.00110225	0.000982105	0.000857524	0.00075228	0.000680787	0.0005845	0.000488531	0.000408424	0.000351022	0.000285208	0.000225075	0.000177373	0.000143506	0.000109655	8.13199e-05	6.01851e-05	4.5705e-05	3.27726e-05	2.28011e-05	1.58274e-05	1.127e-05	7.57725e-06	4.94272e-06	3.21644e-06	2.14673e-06	1.35302e-06	8.27383e-07	5.04713e-07	3.15746e-07	1.86568e-07	1.06965e-07	6.11773e-08	3.58819e-08	1.98822e-08	1.06908e-08	5.73484e-09	3.15476e-09	1.63993e-09	8.27375e-10	4.16458e-10	2.14957e-10	1.0485e-10	4.96126e-11	2.33823e-11	1.12576e-11	5.07676e-12	2.17971e-12	9.01069e-13	3.61471e-13	1.40788e-13	5.33646e-14	1.97257e-14	7.12561e-15	2.50877e-15	8.63562e-16	2.9334e-16	1.00562e-16	3.63531e-17	1.52155e-17	8.46177e-18	7.28791e-18	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
