NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.21105	0.195491	0.168312	0.135225	0.101759	0.071951	0.0479196	0.0301147	0.0178794	0.0100366	0.00532977	0.00267841	0.00127408	0.00057371	0.00024556	9.96594e-05	3.83711e-05	1.40236e-05	4.86796e-06	1.60613e-06	5.04252e-07	1.50261e-07	4.25067e-08	1.14161e-08	2.9111e-09	7.04911e-10	1.62187e-10	3.53553e-11	7.3004e-12	1.42756e-12	2.64324e-13	6.7124e-17	2.73579e-17	1.08392e-17	4.17439e-18	1.56265e-18	5.68607e-19	2.0114e-19	6.92e-20	2.31284e-20	7.50999e-21	2.36934e-21	7.26394e-22	2.16457e-22	6.27275e-23	1.76609e-23	4.83166e-24	1.28465e-24	3.32024e-25	8.34421e-26	2.0403e-26	4.84985e-27	1.12091e-27	2.5195e-28	5.50903e-29	1.17219e-29	2.42865e-30	4.89605e-31	9.60577e-32	1.83454e-32	3.41157e-33	6.17967e-34	1.09106e-34	1.87629e-35	3.14351e-36	5.13214e-37	8.16719e-38	1.26734e-38	1.91886e-39	2.83301e-40	4.07939e-41	5.73046e-42	7.85505e-43	1.05106e-43	1.37374e-44	1.75277e-45	2.1836e-46	2.65678e-47	3.15782e-48	3.66796e-49	4.1664e-50	4.62562e-51	5.02085e-52	5.33018e-53	5.53721e-54	5.63364e-55	5.62272e-56	5.51416e-57	5.33866e-58	5.15293e-59	5.05798e-60	5.2482e-61	6.83886e-62	
N2	0.204973	0.192658	0.167016	0.136216	0.103054	0.0739449	0.0494501	0.0315841	0.0188071	0.0107893	0.00576896	0.00301032	0.00146319	0.000704495	0.00031374	0.000142219	5.90929e-05	2.6082e-05	1.06071e-05	4.6837e-06	1.82916e-06	7.90985e-07	3.00894e-07	1.30509e-07	5.10824e-08	2.13928e-08	7.68445e-09	2.95199e-09	1.00361e-09	3.7526e-10	1.32744e-10	4.67317e-11	1.44593e-11	4.53171e-12	1.31862e-12	4.06053e-13	1.23245e-13	3.53956e-14	9.16792e-15	2.33031e-15	5.6097e-16	1.39846e-16	3.51703e-17	8.18028e-18	1.73058e-18	3.544e-19	6.97606e-20	1.40963e-20	2.89449e-21	5.45247e-22	9.40544e-23	1.5639e-23	2.50561e-24	4.10929e-25	6.88793e-26	1.05651e-26	1.48854e-27	2.01821e-28	2.65335e-29	3.56767e-30	4.91866e-31	6.2021e-32	7.20553e-33	8.05886e-34	8.7468e-35	9.71354e-36	1.10876e-36	1.15825e-37	1.11774e-38	1.03881e-39	9.40899e-41	8.72528e-42	8.33727e-43	7.29779e-44	5.91068e-45	4.61601e-46	3.51235e-47	2.73618e-48	2.19373e-49	1.60426e-50	1.07436e-51	6.77689e-53	3.99444e-54	2.25893e-55	1.20637e-56	6.27897e-58	3.11615e-59	1.56805e-60	8.05062e-62	4.88397e-63	3.63912e-64	3.52063e-65	4.38462e-66	
N3	0.20601	0.193497	0.167498	0.136305	0.102819	0.0735228	0.0489794	0.0311619	0.0184794	0.0105604	0.00562205	0.00292226	0.00141322	0.000677572	0.000299705	0.000135139	5.55195e-05	2.42747e-05	9.68135e-06	4.21026e-06	1.59149e-06	6.73098e-07	2.4385e-07	1.02795e-07	3.81835e-08	1.55284e-08	5.2087e-09	1.9317e-09	6.04259e-10	2.18097e-10	7.34459e-11	2.505e-11	7.11698e-12	2.11824e-12	5.58906e-13	1.6604e-13	4.96944e-14	1.38237e-14	3.28577e-15	7.84592e-16	1.70682e-16	4.12729e-17	1.07948e-17	2.45582e-18	4.79162e-19	9.14821e-20	1.64144e-20	3.26275e-21	7.27253e-22	1.35041e-22	2.16686e-23	3.36288e-24	4.93618e-25	8.0183e-26	1.49844e-26	2.27596e-27	2.99273e-28	3.76993e-29	4.56153e-30	6.0816e-31	9.43213e-32	1.17455e-32	1.27288e-33	1.31758e-34	1.31233e-35	1.43824e-36	1.84779e-37	1.89591e-38	1.69941e-39	1.44906e-40	1.19955e-41	1.08935e-42	1.16632e-43	9.94523e-45	7.42921e-46	5.28102e-47	3.64588e-48	2.76267e-49	2.47506e-50	1.76386e-51	1.10222e-52	6.47014e-54	3.55092e-55	1.88345e-56	9.40659e-58	4.5774e-59	2.07707e-60	9.31346e-62	3.88789e-63	1.70633e-64	8.25288e-66	6.45783e-67	1.03017e-67	
N4	0.190056	0.180673	0.160043	0.134576	0.105746	0.0793282	0.055746	0.0376215	0.023752	0.014531	0.00830371	0.00466809	0.00244854	0.00128731	0.000625456	0.000314438	0.000144307	7.17971e-05	3.27727e-05	1.64065e-05	7.15815e-06	3.46119e-06	1.45743e-06	7.00153e-07	3.04243e-07	1.39619e-07	5.47472e-08	2.27218e-08	8.37559e-09	3.38734e-09	1.31381e-09	4.97595e-10	1.65267e-10	5.4959e-11	1.70375e-11	5.57822e-12	1.81901e-12	5.51693e-13	1.50135e-13	3.97581e-14	9.98012e-15	2.59602e-15	6.86376e-16	1.65464e-16	3.60407e-17	7.54878e-18	1.51901e-18	3.14313e-19	6.65248e-20	1.2742e-20	2.21724e-21	3.69504e-22	5.92488e-23	9.74047e-24	1.64549e-24	2.50834e-25	3.48169e-26	4.61803e-27	5.92559e-28	7.78473e-29	1.0536e-29	1.28537e-30	1.43065e-31	1.52155e-32	1.56534e-33	1.64892e-34	1.79205e-35	1.75609e-36	1.57317e-37	1.34659e-38	1.11912e-39	9.52607e-41	8.38338e-42	6.65696e-43	4.83723e-44	3.36205e-45	2.2671e-46	1.56565e-47	1.11611e-48	7.14765e-50	4.14292e-51	2.23894e-52	1.12011e-53	5.32806e-55	2.37079e-56	1.01847e-57	4.11956e-59	1.6708e-60	6.79462e-62	3.23354e-63	1.8494e-64	1.33163e-65	1.47353e-66	
N5	0.182411	0.174269	0.155834	0.132897	0.106273	0.0815346	0.0587273	0.040891	0.0266234	0.0169847	0.0100654	0.0060051	0.00329996	0.00190734	0.000976745	0.000571869	0.000277962	0.000178268	9.52889e-05	6.98108e-05	3.53774e-05	2.58778e-05	1.29333e-05	1.04657e-05	7.4282e-06	5.79265e-06	3.26673e-06	2.18056e-06	1.17133e-06	8.51672e-07	7.25842e-07	5.03864e-07	2.83676e-07	1.60843e-07	8.55003e-08	5.50887e-08	4.61306e-08	2.83041e-08	1.48043e-08	7.45931e-09	3.61284e-09	2.05828e-09	1.58243e-09	8.66305e-10	4.0686e-10	1.81298e-10	7.91541e-11	4.02061e-11	2.76962e-11	1.34817e-11	5.65475e-12	2.24558e-12	8.7106e-13	3.92464e-13	2.40553e-13	1.03874e-13	3.86833e-14	1.3586e-14	4.68695e-15	1.87165e-15	1.01879e-15	3.90069e-16	1.28755e-16	4.0132e-17	1.22486e-17	4.33347e-18	2.08704e-18	7.07102e-19	2.06859e-19	5.70226e-20	1.54506e-20	4.8433e-21	2.07187e-21	6.23286e-22	1.61737e-22	3.96346e-23	9.5224e-24	2.65273e-24	1.00659e-24	2.68821e-25	6.19553e-26	1.3338e-26	2.68681e-27	5.20061e-28	9.47948e-29	1.67767e-29	2.74996e-30	4.48545e-31	6.71711e-32	1.09531e-32	2.01438e-33	8.11932e-34	8.17638e-34	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.114005	0.113234	0.109294	0.104069	0.0960139	0.0872274	0.0765436	0.0660494	0.0548388	0.0448527	0.0352458	0.0274224	0.0204942	0.0152496	0.0108954	0.00782957	0.00538426	0.00377294	0.00253418	0.00174638	0.00114274	0.000772342	0.000494016	0.000329396	0.000208432	0.000136223	8.34514e-05	5.27935e-05	3.13809e-05	1.93533e-05	1.13515e-05	6.76768e-06	3.77637e-06	2.13975e-06	1.14506e-06	6.25145e-07	3.26169e-07	1.69153e-07	8.23524e-08	3.9941e-08	1.83427e-08	8.45596e-09	3.74642e-09	1.62321e-09	6.61501e-10	2.65304e-10	1.01294e-10	3.84646e-11	1.40862e-11	5.00224e-12	1.67734e-12	5.50261e-13	1.7228e-13	5.34127e-14	1.60366e-14	4.65154e-15	1.27728e-15	3.42296e-16	8.79225e-17	2.23265e-17	5.50566e-18	1.30995e-18	2.96016e-19	6.52403e-20	1.38104e-20	2.88922e-21	5.88731e-22	1.15745e-22	2.16646e-23	3.95569e-24	6.9593e-25	1.2102e-25	2.05351e-26	3.36166e-27	5.24562e-28	7.97722e-29	1.16772e-29	1.68569e-30	2.36982e-31	3.1991e-32	4.08972e-33	5.05473e-34	5.95562e-35	6.86499e-36	7.65008e-37	8.53542e-38	9.48455e-39	1.09416e-39	1.30059e-40	1.63738e-41	2.1438e-42	3.07193e-43	6.69361e-44	
N7	0.0978488	0.0978266	0.0956404	0.0928125	0.0877495	0.0821724	0.074666	0.0670958	0.0581905	0.0500158	0.0413589	0.0341359	0.0270608	0.0216118	0.0164956	0.0129006	0.00954882	0.00743903	0.00547423	0.00433009	0.00313584	0.00250995	0.0018141	0.00151575	0.00115731	0.00100108	0.000751096	0.000646012	0.000487677	0.000437312	0.000366668	0.000331879	0.000260198	0.000222424	0.000173595	0.000154106	0.000134169	0.000116553	9.04866e-05	7.24401e-05	5.46615e-05	4.50205e-05	3.79582e-05	3.04131e-05	2.21329e-05	1.60918e-05	1.13409e-05	8.53766e-06	6.69092e-06	4.87166e-06	3.26387e-06	2.15562e-06	1.38875e-06	9.46638e-07	6.79586e-07	4.48757e-07	2.73642e-07	1.63357e-07	9.60023e-08	5.94004e-08	3.88442e-08	2.32585e-08	1.29089e-08	6.99742e-09	3.73363e-09	2.09343e-09	1.24421e-09	6.75694e-10	3.40614e-10	1.67357e-10	8.12896e-11	4.14281e-11	2.24117e-11	1.10667e-11	5.07777e-12	2.27061e-12	1.0026e-12	4.64233e-13	2.28079e-13	1.01944e-13	4.20362e-14	1.6553e-14	6.18643e-15	2.25534e-15	7.88091e-16	2.71626e-16	8.99532e-17	3.00569e-17	1.00374e-17	3.84503e-18	1.85594e-18	1.35253e-18	1.53392e-18	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
