NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.256462	0.228359	0.182537	0.132224	0.0875487	0.0533602	0.0300961	0.015769	0.00769762	0.00350891	0.00149666	0.000598413	0.000224671	7.93334e-05	2.6387e-05	8.27896e-06	2.45366e-06	6.87813e-07	1.82589e-07	4.59523e-08	1.09748e-08	2.48948e-09	5.36703e-10	1.10026e-10	2.14557e-11	3.98071e-12	7.02703e-13	1.18019e-13	3.9085e-17	1.52355e-17	5.79099e-18	2.14601e-18	7.75229e-19	2.72947e-19	9.36512e-20	3.13093e-20	1.01977e-20	3.23553e-21	9.99908e-22	3.00958e-22	8.82167e-23	2.51806e-23	6.99895e-24	1.89425e-24	4.99196e-25	1.28095e-25	3.20059e-26	7.78697e-27	1.84487e-27	4.25641e-28	9.5637e-29	2.09287e-29	4.46095e-30	9.2623e-31	1.87352e-31	3.69224e-32	7.09024e-33	1.32685e-33	2.42006e-34	4.30258e-35	7.45738e-36	1.26025e-36	2.07684e-37	3.33799e-38	5.2332e-39	8.0041e-40	1.1945e-40	1.73963e-41	2.47281e-42	3.43127e-43	4.64854e-44	6.14958e-45	7.94534e-46	1.00274e-46	1.23634e-47	1.48951e-48	1.75376e-49	2.01837e-50	2.27097e-51	2.49855e-52	2.6886e-53	2.83031e-54	2.91571e-55	2.94056e-56	2.90493e-57	2.81345e-58	2.67534e-59	2.50449e-60	2.32009e-61	2.1488e-62	2.03006e-63	2.03146e-64	2.54362e-65	
N2	0.24487	0.223415	0.181012	0.135373	0.0909477	0.0573624	0.0327525	0.0178792	0.00885136	0.00428527	0.00187644	0.000829632	0.00032774	0.000136533	4.98386e-05	2.02671e-05	6.94944e-06	2.79674e-06	9.12969e-07	3.65494e-07	1.12525e-07	4.36496e-08	1.27144e-08	4.78585e-09	1.29363e-09	4.59066e-10	1.17049e-10	4.0198e-11	9.44412e-12	3.03306e-12	6.78451e-13	2.13758e-13	4.38136e-14	1.27884e-14	2.52582e-15	7.32609e-16	1.31784e-16	3.4977e-17	6.13221e-18	1.62828e-18	2.56398e-19	6.09521e-20	9.3879e-21	2.23751e-21	3.07543e-22	6.50725e-23	8.80901e-24	1.87611e-24	2.23542e-25	4.15372e-26	4.87758e-27	9.17425e-28	9.50976e-29	1.56878e-29	1.62177e-30	2.73186e-31	2.45632e-32	3.56072e-33	3.19481e-34	4.77211e-35	3.76385e-36	4.91191e-37	3.93926e-38	5.35012e-39	3.68633e-40	4.24582e-41	2.96489e-42	3.58786e-43	2.19502e-44	2.31342e-45	1.47116e-46	1.64235e-47	8.86009e-49	8.26442e-50	4.59438e-51	4.57952e-52	2.22582e-53	1.92667e-54	9.92582e-56	9.20176e-57	3.96837e-58	3.02769e-59	1.3611e-60	1.12329e-61	4.41788e-63	3.17822e-64	1.37212e-65	1.10363e-66	4.63156e-68	3.81665e-69	2.97638e-70	3.76702e-71	5.35696e-72	
N3	0.246898	0.224844	0.181482	0.135021	0.090129	0.056477	0.0320199	0.0173775	0.00854395	0.0041178	0.00178964	0.000788733	0.000308379	0.000128158	4.60021e-05	1.86774e-05	6.22514e-06	2.50351e-06	7.82911e-07	3.14907e-07	9.13077e-08	3.57933e-08	9.68279e-09	3.73237e-09	9.20537e-10	3.36611e-10	7.75192e-11	2.79663e-11	5.81257e-12	1.96339e-12	3.86459e-13	1.31609e-13	2.30881e-14	7.21994e-15	1.2233e-15	3.95059e-16	5.87422e-17	1.69816e-17	2.496e-18	7.62819e-19	9.59594e-20	2.52548e-20	3.2029e-21	9.08269e-22	9.7026e-23	2.31e-23	2.54894e-24	6.68492e-25	6.04553e-26	1.27812e-26	1.21465e-27	2.88451e-28	2.23456e-29	4.23132e-30	3.54242e-31	7.73102e-32	5.09928e-33	8.47241e-34	6.12374e-35	1.19954e-35	6.86385e-37	1.02933e-37	6.68793e-39	1.21742e-39	5.94871e-41	7.77834e-42	4.3484e-43	7.07729e-44	3.03736e-45	3.64828e-46	1.87619e-47	2.8847e-48	1.05853e-49	1.10136e-50	4.83176e-52	6.61522e-53	2.16077e-54	2.11232e-55	8.74623e-57	1.1485e-57	3.20375e-59	2.67409e-60	9.27489e-62	1.07359e-62	2.69893e-64	2.16328e-65	7.26558e-67	8.16842e-68	1.80399e-69	1.31848e-70	6.35863e-72	9.9768e-73	1.81032e-73	
N4	0.232007	0.213972	0.176955	0.136285	0.0950667	0.0627661	0.0378089	0.0219581	0.0116513	0.00610021	0.00290736	0.00141299	0.000616322	0.000286513	0.000116842	5.35905e-05	2.06494e-05	9.39593e-06	3.44318e-06	1.55316e-06	5.33617e-07	2.31876e-07	7.48896e-08	3.14508e-08	9.36103e-09	3.68724e-09	1.03e-09	3.91338e-10	1.00049e-10	3.52832e-11	8.54654e-12	2.94035e-12	6.47028e-13	2.03959e-13	4.29582e-14	1.33528e-14	2.53465e-15	7.12531e-16	1.30807e-16	3.65505e-17	5.96161e-18	1.47615e-18	2.33948e-19	5.78973e-20	8.11067e-21	1.76708e-21	2.42883e-22	5.32553e-23	6.38167e-24	1.20931e-24	1.42482e-25	2.7354e-26	2.81914e-27	4.70083e-28	4.828e-29	8.22356e-30	7.26402e-31	1.05082e-31	9.24401e-33	1.37621e-33	1.05254e-34	1.35134e-35	1.04845e-36	1.39571e-37	9.17387e-39	1.01877e-39	6.75111e-41	7.83256e-42	4.48698e-43	4.46568e-44	2.64229e-45	2.76493e-46	1.36581e-47	1.17336e-48	5.92087e-50	5.39234e-51	2.34304e-52	1.82362e-53	8.3247e-55	6.88422e-56	2.58368e-57	1.72511e-58	6.67675e-60	4.78287e-61	1.58961e-62	9.72816e-64	3.4957e-65	2.35144e-66	7.85469e-68	5.1208e-69	3.01094e-70	2.80332e-71	3.49329e-72	
N5	0.219981	0.204977	0.172682	0.136639	0.0983393	0.0676315	0.0424032	0.0260533	0.0144752	0.00821255	0.00411341	0.00227122	0.00103982	0.000597749	0.000254836	0.000165961	6.58448e-05	4.87898e-05	1.83971e-05	1.55448e-05	5.41639e-06	4.68012e-06	1.59041e-06	1.48218e-06	4.58152e-07	3.96418e-07	1.24462e-07	1.20002e-07	3.30164e-08	2.73928e-08	8.15093e-09	8.35e-09	2.01927e-09	1.59104e-09	4.50868e-10	4.9682e-10	1.05379e-10	7.9555e-11	2.18087e-11	2.59184e-11	4.80612e-12	3.38681e-12	8.6207e-13	1.03584e-12	1.72474e-13	1.16657e-13	2.87606e-14	3.50181e-14	5.20084e-15	3.18134e-15	6.95448e-16	7.93628e-16	1.08763e-16	6.52222e-17	1.42443e-17	1.62149e-17	1.98134e-18	1.0335e-18	1.89112e-19	1.93213e-19	2.21059e-20	1.19157e-20	2.34162e-21	2.46291e-21	2.46133e-22	1.08111e-22	1.61998e-23	1.46928e-23	1.39051e-24	6.85612e-25	1.22733e-25	1.19714e-25	9.72526e-27	3.59013e-27	4.3721e-28	3.56345e-28	2.77709e-29	1.28875e-29	2.13562e-30	1.93662e-30	1.28138e-31	3.9642e-32	3.87916e-33	2.83484e-33	1.80598e-34	7.73797e-35	1.16001e-35	9.65255e-36	5.43338e-37	1.53739e-37	2.20821e-38	2.45348e-38	2.82303e-38	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.125743	0.124953	0.119272	0.112454	0.101265	0.0898705	0.0758622	0.0632318	0.0499776	0.0392275	0.0291414	0.0217001	0.0152439	0.0108663	0.00727849	0.00501799	0.00322258	0.00216013	0.00133578	0.000873775	0.000519543	0.000330497	0.000189039	0.000116954	6.4113e-05	3.83858e-05	2.02431e-05	1.17824e-05	5.96532e-06	3.36236e-06	1.64491e-06	9.03616e-07	4.24641e-07	2.25235e-07	1.02111e-07	5.25239e-08	2.26922e-08	1.11471e-08	4.60641e-09	2.17227e-09	8.45273e-10	3.75801e-10	1.38682e-10	5.86997e-11	2.02164e-11	7.99826e-12	2.59975e-12	9.75046e-13	2.9398e-13	1.02464e-13	2.90998e-14	9.6032e-15	2.52417e-15	7.72702e-16	1.91442e-16	5.55412e-17	1.27144e-17	3.41551e-18	7.38203e-19	1.88305e-19	3.76476e-20	8.90226e-21	1.68549e-21	3.79472e-22	6.64394e-23	1.38545e-23	2.30343e-24	4.58588e-25	7.06964e-26	1.30702e-26	1.92056e-27	3.40064e-28	4.63266e-29	7.61148e-30	9.91146e-31	1.56414e-31	1.89501e-32	2.78504e-33	3.23848e-34	4.58806e-35	4.96884e-36	6.5658e-37	6.89382e-38	8.89888e-39	8.99833e-40	1.13004e-40	1.21089e-41	1.61997e-42	1.96597e-43	2.86479e-44	4.12025e-45	6.84436e-46	1.68311e-46	
N7	0.10535	0.105909	0.10332	0.100464	0.0939217	0.0871208	0.0771396	0.067868	0.0566611	0.0473319	0.0373279	0.0298672	0.0223955	0.0174086	0.0125523	0.00966388	0.00675142	0.00522028	0.00356093	0.00280982	0.00187123	0.00150957	0.000988919	0.000823646	0.000528235	0.000448049	0.000285327	0.000249422	0.000156115	0.000137314	8.61704e-05	7.78527e-05	4.77563e-05	4.26084e-05	2.61827e-05	2.38667e-05	1.4101e-05	1.24343e-05	7.34007e-06	6.62052e-06	3.68537e-06	3.15163e-06	1.75762e-06	1.55162e-06	8.04987e-07	6.64625e-07	3.49075e-07	3.01607e-07	1.44917e-07	1.14702e-07	5.63309e-08	4.72329e-08	2.10596e-08	1.60093e-08	7.39957e-09	6.01997e-09	2.48469e-09	1.79076e-09	7.70656e-10	5.98923e-10	2.30269e-10	1.58366e-10	6.43116e-11	4.79552e-11	1.70861e-11	1.1008e-11	4.14032e-12	2.9102e-12	9.69188e-13	5.95176e-13	2.12255e-13	1.42832e-13	4.40729e-14	2.51838e-14	8.27845e-15	5.2249e-15	1.51236e-15	8.29084e-16	2.60653e-16	1.58475e-16	4.24351e-17	2.15335e-17	6.20052e-18	3.53117e-18	8.92578e-19	4.41723e-19	1.25052e-19	7.14115e-20	1.91115e-20	1.11013e-20	6.13782e-21	6.74876e-21	9.31807e-21	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
