NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.271271	0.238712	0.186102	0.129823	0.0817955	0.0469084	0.0246437	0.0119159	0.00532428	0.00220487	0.0008486	0.00030421	0.000101798	3.18558e-05	9.33924e-06	2.56916e-06	6.64198e-07	1.61594e-07	3.7046e-08	8.01227e-09	1.63661e-09	3.1603e-10	5.77428e-11	9.99051e-12	1.63798e-12	2.54637e-13	5.34532e-17	1.99988e-17	7.29097e-18	2.5905e-18	8.97148e-19	3.02882e-19	9.96905e-20	3.19917e-20	1.00104e-20	3.05433e-21	9.08752e-22	2.63665e-22	7.46012e-23	2.05841e-23	5.53883e-24	1.45348e-24	3.71973e-25	9.2839e-26	2.25983e-26	5.36483e-27	1.24218e-27	2.80526e-28	6.17933e-29	1.32772e-29	2.78285e-30	5.69005e-31	1.13504e-31	2.20906e-32	4.19502e-33	7.77364e-34	1.40577e-34	2.4811e-35	4.27417e-36	7.18753e-37	1.17997e-37	1.89135e-38	2.96025e-39	4.52469e-40	6.75465e-41	9.84962e-42	1.40311e-42	1.95286e-43	2.6559e-44	3.52996e-45	4.58561e-46	5.82309e-47	7.22928e-48	8.77566e-49	1.04176e-49	1.20955e-50	1.37375e-51	1.52648e-52	1.65977e-53	1.76627e-54	1.84e-55	1.87692e-56	1.87536e-57	1.83628e-58	1.7632e-59	1.66199e-60	1.54054e-61	1.40855e-62	1.27758e-63	1.16197e-64	1.08116e-65	1.06692e-66	1.31168e-67	
N2	0.255571	0.232545	0.185671	0.133794	0.0865699	0.0520455	0.0280033	0.0142623	0.00664663	0.00293912	0.00119289	0.00048499	0.000174768	6.567e-05	2.24143e-05	7.98109e-06	2.51826e-06	9.10994e-07	2.65569e-07	9.244e-08	2.64548e-08	8.67497e-09	2.29021e-09	7.60544e-10	1.81769e-10	5.60037e-11	1.32901e-11	3.84429e-12	8.27571e-13	2.39508e-13	4.75539e-14	1.29988e-14	2.54139e-15	6.30789e-16	1.15352e-16	3.00936e-17	4.87609e-18	1.13225e-18	1.89795e-19	4.21403e-20	6.2609e-21	1.36423e-21	1.88316e-22	3.90734e-23	5.27411e-24	9.5869e-25	1.21982e-25	2.37954e-26	2.61366e-27	4.37375e-28	5.03295e-29	8.16508e-30	8.22021e-31	1.2963e-31	1.22647e-32	1.85111e-33	1.68777e-34	2.18738e-35	1.91825e-36	2.72512e-37	2.03512e-38	2.45077e-39	1.99071e-40	2.35201e-41	1.62463e-42	1.84284e-43	1.2121e-44	1.33355e-45	8.53842e-47	8.06386e-48	5.09176e-49	5.44187e-50	2.82685e-51	2.44956e-52	1.40423e-53	1.21972e-54	6.02312e-56	5.10279e-57	2.44525e-58	2.04047e-59	9.35819e-61	6.43976e-62	2.90597e-63	2.3087e-64	8.76052e-66	5.80669e-67	2.54107e-68	1.77531e-69	7.43193e-71	5.96401e-72	4.26811e-73	5.24911e-74	7.52855e-75	
N3	0.257904	0.234161	0.186147	0.133309	0.0855872	0.0510319	0.0272001	0.0137328	0.00633716	0.00277748	0.00111414	0.000449515	0.00015931	5.93479e-05	1.9826e-05	6.98437e-06	2.12863e-06	7.67617e-07	2.12371e-07	7.4026e-08	2.0003e-08	6.57983e-09	1.61094e-09	5.51657e-10	1.19286e-10	3.79945e-11	8.22318e-12	2.47324e-12	4.70958e-13	1.45212e-13	2.50335e-14	7.37703e-15	1.25214e-15	3.27117e-16	5.12562e-17	1.49938e-17	1.98035e-18	4.96938e-19	7.12436e-20	1.75896e-20	2.10319e-21	5.11741e-22	5.70003e-23	1.3742e-23	1.49119e-24	2.92126e-25	3.03651e-26	7.2384e-27	5.96563e-28	1.10674e-28	1.05682e-29	2.03996e-30	1.5475e-31	2.82249e-32	2.08694e-33	3.91231e-34	2.69457e-35	3.80543e-36	2.68409e-37	4.9407e-38	2.60983e-39	3.50131e-40	2.35652e-41	3.4784e-42	1.70729e-43	2.24371e-44	1.12685e-45	1.59533e-46	7.36374e-48	7.5523e-49	3.83145e-50	5.6258e-51	1.93538e-52	1.82546e-53	8.43208e-55	9.42993e-56	3.17812e-57	3.15885e-58	1.14374e-59	1.29344e-60	4.03576e-62	2.91759e-63	1.02106e-64	1.13788e-65	2.72322e-67	1.95828e-68	6.80128e-70	6.18799e-71	1.43998e-72	1.10704e-73	4.47286e-75	6.39391e-76	1.15927e-76	
N4	0.244589	0.224683	0.182727	0.135229	0.0905755	0.0568089	0.032144	0.0173504	0.00863794	0.0041114	0.00180975	0.000803436	0.000318244	0.000132159	5.00936e-05	1.98714e-05	7.00356e-06	2.83205e-06	9.2365e-07	3.59584e-07	1.15026e-07	4.21499e-08	1.24074e-08	4.59812e-09	1.22055e-09	4.18082e-10	1.09724e-10	3.50839e-11	8.29458e-12	2.63558e-12	5.70064e-13	1.6961e-13	3.58001e-14	9.57959e-15	1.87302e-15	5.2183e-16	8.94799e-17	2.19712e-17	3.85991e-18	8.98285e-19	1.38459e-19	3.13422e-20	4.44663e-21	9.50782e-22	1.30786e-22	2.42574e-23	3.11919e-24	6.17725e-25	6.78549e-26	1.14052e-26	1.30544e-27	2.11194e-28	2.09302e-29	3.26544e-30	3.01683e-31	4.4699e-32	3.94607e-33	4.96503e-34	4.18372e-35	5.73885e-36	4.0724e-37	4.68084e-38	3.58942e-39	4.01859e-40	2.59067e-41	2.75452e-42	1.67733e-43	1.71681e-44	1.00632e-45	8.73948e-47	5.01299e-48	4.89205e-49	2.28007e-50	1.78078e-51	9.08516e-53	7.06306e-54	3.06649e-55	2.29701e-56	9.59391e-58	7.02243e-59	2.77184e-60	1.64853e-61	6.34186e-63	4.32391e-64	1.37584e-65	7.67979e-67	2.78028e-68	1.60419e-69	5.35031e-71	3.37976e-72	1.8123e-73	1.61785e-74	2.02205e-75	
N5	0.231797	0.215347	0.178854	0.136403	0.0947274	0.0622771	0.0369285	0.0212476	0.0112455	0.00583266	0.00274912	0.00141379	0.000598272	0.000311955	0.000131396	7.30022e-05	2.81713e-05	1.91703e-05	6.66799e-06	4.89811e-06	1.7601e-06	1.25469e-06	4.16034e-07	3.50822e-07	1.00818e-07	7.71637e-08	2.52391e-08	1.95531e-08	5.34248e-09	4.31096e-09	1.15318e-09	1.00511e-09	2.68818e-10	1.75626e-10	4.89809e-11	5.03987e-11	1.00556e-11	6.77969e-12	2.01328e-12	1.80772e-12	3.51126e-13	2.57564e-13	5.68833e-14	5.6461e-14	1.09363e-14	6.12064e-15	1.47108e-15	1.63538e-15	2.3483e-16	1.30737e-16	3.04927e-17	2.68806e-17	3.89378e-18	2.53966e-18	4.59825e-19	4.29343e-19	5.85462e-20	2.71619e-20	5.14459e-21	5.00927e-21	5.45222e-22	2.6119e-22	5.36943e-23	4.33305e-23	4.63445e-24	2.39809e-24	3.1298e-25	2.3345e-25	2.55987e-26	1.07992e-26	1.95805e-27	1.8441e-27	1.45509e-28	4.98236e-29	6.82223e-30	4.31522e-30	3.81456e-31	2.01749e-31	2.56638e-32	1.93809e-32	1.52606e-33	4.36922e-34	4.96414e-35	3.67179e-35	2.30725e-36	8.15435e-37	1.21129e-37	8.17353e-38	5.16218e-39	1.89747e-39	2.25886e-40	2.2107e-40	2.5861e-40	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.137879	0.136922	0.129498	0.118847	0.10453	0.0900808	0.0733755	0.058687	0.0448845	0.0334128	0.0237874	0.0168644	0.0112291	0.0075177	0.00481213	0.00306364	0.00185864	0.00116215	0.00066989	0.00040268	0.000227848	0.000131456	7.0872e-05	4.06346e-05	2.07656e-05	1.13912e-05	5.73901e-06	3.00624e-06	1.43344e-06	7.44626e-07	3.36031e-07	1.66474e-07	7.39489e-08	3.47223e-08	1.46105e-08	6.82533e-09	2.69509e-09	1.18699e-09	4.63208e-10	1.93141e-10	7.0584e-11	2.89559e-11	9.91413e-12	3.8306e-12	1.28291e-12	4.61352e-13	1.4445e-13	5.13152e-14	1.48322e-14	4.87431e-15	1.38168e-15	4.24355e-16	1.10975e-16	3.32064e-17	8.04748e-18	2.24133e-18	5.26927e-19	1.35074e-19	2.95393e-20	7.45981e-21	1.49198e-21	3.45685e-22	6.80194e-23	1.46866e-23	2.64699e-24	5.55724e-25	9.29712e-26	1.81817e-26	2.95127e-27	5.29628e-28	8.02247e-29	1.42855e-29	1.97263e-30	3.20682e-31	4.38414e-32	6.67483e-33	8.37511e-34	1.24253e-34	1.45179e-35	2.01574e-36	2.29886e-37	2.93102e-38	3.14498e-39	4.04196e-40	4.0696e-41	4.96749e-42	5.38338e-43	6.845e-44	8.27412e-45	1.2038e-45	1.73642e-46	2.94095e-47	7.50059e-48	
N7	0.114695	0.115512	0.112195	0.106873	0.0983515	0.0893858	0.0770649	0.0657148	0.0537119	0.0430268	0.0329688	0.0255418	0.0184286	0.0136966	0.00966887	0.00698178	0.00472709	0.00351255	0.00228792	0.00170263	0.00113396	0.000844261	0.000546218	0.000437969	0.000271786	0.000217015	0.000140536	0.000111306	6.89402e-05	5.78849e-05	3.45183e-05	2.86227e-05	1.75867e-05	1.40145e-05	8.35724e-06	7.1958e-06	4.01134e-06	3.26486e-06	1.93781e-06	1.55973e-06	8.63835e-07	7.20533e-07	3.83121e-07	3.14938e-07	1.71897e-07	1.29736e-07	6.86987e-08	5.80637e-08	2.75341e-08	2.08122e-08	1.07917e-08	8.15173e-09	3.79308e-09	2.91108e-09	1.30585e-09	9.88857e-10	4.43669e-10	2.96061e-10	1.31277e-10	1.0016e-10	3.84794e-11	2.53468e-11	1.09692e-11	7.32213e-12	2.74042e-12	1.79738e-12	6.61203e-13	4.35593e-13	1.57943e-13	9.01328e-14	3.31438e-14	2.21642e-14	6.82346e-15	3.75915e-15	1.31954e-15	7.55964e-16	2.30618e-16	1.29537e-16	3.9381e-17	2.25258e-17	6.66794e-18	3.17086e-18	9.51464e-19	5.45595e-19	1.37949e-19	6.57175e-20	1.9806e-20	1.02325e-20	2.90105e-21	1.74538e-21	9.24347e-22	1.02738e-21	1.49465e-21	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
