NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.279961	0.244681	0.187897	0.128039	0.0781592	0.043087	0.0216072	0.00990869	0.00417579	0.00162265	0.000583346	0.000194478	6.02716e-05	1.7397e-05	4.686e-06	1.17978e-06	2.78099e-07	6.14639e-08	1.27555e-08	2.48877e-09	4.57124e-10	7.9127e-11	1.29222e-11	1.99286e-12	2.90506e-13	5.41991e-17	1.95835e-17	6.88726e-18	2.35835e-18	7.86492e-19	2.55519e-19	8.08895e-20	2.49572e-20	7.50607e-21	2.20098e-21	6.29308e-22	1.75475e-22	4.77213e-23	1.2659e-23	3.27577e-24	8.26959e-25	2.03676e-25	4.89446e-26	1.14764e-26	2.62583e-27	5.86287e-28	1.27749e-28	2.71668e-29	5.63863e-30	1.14233e-30	2.259e-31	4.36097e-32	8.21902e-33	1.51237e-33	2.71729e-34	4.76743e-35	8.1685e-36	1.36693e-36	2.2343e-37	3.56748e-38	5.56485e-39	8.48122e-40	1.26305e-40	1.83817e-41	2.61458e-42	3.63507e-43	4.94046e-44	6.5647e-45	8.52912e-46	1.08364e-46	1.34651e-47	1.63655e-48	1.94579e-49	2.26342e-50	2.57628e-51	2.86969e-52	3.12861e-53	3.33895e-54	3.48884e-55	3.56982e-56	3.57768e-57	3.51291e-58	3.38065e-59	3.19022e-60	2.95428e-61	2.68782e-62	2.40714e-63	2.12915e-64	1.87132e-65	1.65272e-66	1.49689e-67	1.44056e-68	1.72466e-69	
N2	0.258712	0.236858	0.188879	0.13342	0.0847787	0.04957	0.0257797	0.0125569	0.00565953	0.00234898	0.000910409	0.000348099	0.000118052	4.0775e-05	1.3346e-05	4.22164e-06	1.25863e-06	4.13498e-07	1.10824e-07	3.39323e-08	9.35271e-09	2.62574e-09	6.53497e-10	1.93999e-10	4.2607e-11	1.15729e-11	2.67789e-12	6.54569e-13	1.34082e-13	3.51992e-14	6.42693e-15	1.53259e-15	2.94598e-16	6.21611e-17	1.08166e-17	2.54247e-18	3.79564e-19	7.72778e-20	1.27183e-20	2.36022e-21	3.39648e-22	6.74591e-23	8.52215e-24	1.53559e-24	2.10777e-25	3.242e-26	3.94524e-27	6.96825e-28	7.21991e-29	1.07864e-29	1.24297e-30	1.69263e-31	1.69566e-32	2.53131e-33	2.20433e-34	2.89332e-35	2.73404e-36	3.0776e-37	2.65069e-38	3.45283e-39	2.46349e-40	2.68749e-41	2.24923e-42	2.21054e-43	1.53422e-44	1.6604e-45	1.03424e-46	1.00332e-47	6.72742e-49	5.50105e-50	3.43043e-51	3.4164e-52	1.70186e-53	1.33771e-54	7.9243e-56	5.83627e-57	2.93374e-58	2.35848e-59	1.05715e-60	7.78586e-62	3.88658e-63	2.31137e-64	1.03444e-65	7.65852e-67	2.8304e-68	1.70397e-69	7.64501e-71	4.47751e-72	1.89469e-73	1.45485e-74	9.30781e-76	1.08428e-76	1.56511e-77	
N3	0.260992	0.238448	0.189346	0.132925	0.0837956	0.0485629	0.0249935	0.0120469	0.00536922	0.00220183	0.000841835	0.000318419	0.000105932	3.60984e-05	1.15796e-05	3.59176e-06	1.0367e-06	3.38255e-07	8.60186e-08	2.61236e-08	6.8985e-09	1.90749e-09	4.45128e-10	1.35225e-10	2.69377e-11	7.47049e-12	1.6169e-12	3.97205e-13	7.31185e-14	2.03745e-14	3.23419e-15	8.12849e-16	1.40145e-16	3.00792e-17	4.55874e-18	1.19033e-18	1.45253e-19	3.13377e-20	4.56869e-21	8.93847e-22	1.06922e-22	2.35967e-23	2.38445e-24	4.79097e-25	5.62947e-26	8.84049e-27	8.88881e-28	1.87217e-28	1.47436e-29	2.37835e-30	2.3507e-31	3.51635e-32	2.75293e-33	4.81862e-34	3.18282e-35	4.86613e-36	3.69996e-37	4.33913e-38	3.04694e-39	4.97667e-40	2.52018e-41	2.99719e-42	2.18299e-43	2.40819e-44	1.22957e-45	1.57618e-46	7.35346e-48	8.60441e-49	4.43843e-50	3.7443e-51	1.89178e-52	2.54564e-53	8.42131e-55	7.04778e-56	3.5095e-57	3.03985e-58	1.09775e-59	1.05452e-60	3.41706e-62	3.18692e-63	1.21398e-64	7.12216e-66	2.48875e-67	2.52659e-68	5.9991e-70	3.81953e-71	1.39826e-72	9.57073e-74	2.46713e-75	1.9621e-76	6.55507e-78	8.14636e-79	1.47745e-79	
N4	0.247832	0.229135	0.186236	0.135245	0.0890582	0.0543728	0.029761	0.0153643	0.00739405	0.00330002	0.00138508	0.000576452	0.000214421	8.14869e-05	2.95033e-05	1.03493e-05	3.43547e-06	1.25495e-06	3.75931e-07	1.28271e-07	3.95182e-08	1.23708e-08	3.43819e-09	1.13594e-09	2.77818e-10	8.3694e-11	2.1452e-11	5.78214e-12	1.30325e-12	3.74513e-13	7.46233e-14	1.93187e-14	4.01452e-15	9.11713e-16	1.69833e-16	4.25268e-17	6.73244e-18	1.44713e-18	2.49934e-19	4.84669e-20	7.24714e-21	1.49036e-21	1.93559e-22	3.57424e-23	4.9995e-24	7.80099e-25	9.57181e-26	1.7008e-26	1.7585e-27	2.6164e-28	2.98347e-29	4.00507e-30	3.92901e-31	5.73565e-32	4.84035e-33	6.15102e-34	5.58516e-35	6.02622e-36	4.93792e-37	6.11652e-38	4.10849e-39	4.21903e-40	3.29733e-41	3.02174e-42	1.93756e-43	1.93837e-44	1.10504e-45	9.81969e-47	5.96977e-48	4.42408e-49	2.47848e-50	2.22095e-51	9.82977e-53	6.87371e-54	3.59068e-55	2.33189e-56	1.02227e-57	7.17917e-59	2.77758e-60	1.76954e-61	7.55759e-63	3.83766e-64	1.45263e-65	9.11067e-67	2.80529e-68	1.40598e-69	5.17809e-71	2.46756e-72	8.27237e-74	4.93542e-75	2.33189e-76	1.93337e-77	2.39443e-78	
N5	0.234491	0.219387	0.182435	0.136806	0.093773	0.0602709	0.0347656	0.0192061	0.00995749	0.00483365	0.00221025	0.00106874	0.000432437	0.000203204	8.70404e-05	4.01369e-05	1.56891e-05	9.46626e-06	3.15059e-06	1.93173e-06	7.54478e-07	4.28398e-07	1.46454e-07	1.07307e-07	2.99702e-08	2.00907e-08	7.2356e-09	4.28424e-09	1.22238e-09	9.36788e-10	2.3627e-10	1.67956e-10	5.1768e-11	2.76806e-11	7.82454e-12	7.1391e-12	1.39338e-12	8.27785e-13	2.71755e-13	1.73929e-13	3.80324e-14	2.75025e-14	5.4361e-15	4.22478e-15	1.05267e-15	4.64788e-16	1.09262e-16	1.04797e-16	1.5421e-17	7.80411e-18	2.01766e-18	1.27575e-18	2.08659e-19	1.46354e-19	2.23708e-20	1.58898e-20	2.64799e-21	1.06224e-21	2.11959e-22	1.82737e-22	1.98223e-23	8.58096e-24	2.02581e-24	1.07681e-24	1.2931e-25	7.40716e-26	9.17784e-27	5.38242e-27	7.24856e-28	2.45405e-28	4.42978e-29	3.83485e-29	3.02169e-30	9.51659e-31	1.52915e-31	7.04073e-32	7.34322e-33	3.92878e-33	4.04582e-34	2.35525e-34	2.6554e-35	6.22196e-36	7.72227e-37	5.30387e-37	3.42865e-38	1.01651e-38	1.53302e-39	7.3445e-40	5.6731e-41	2.62588e-41	2.57634e-42	2.04945e-42	2.39742e-42	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.139138	0.139603	0.133012	0.121337	0.1066	0.0912141	0.0735096	0.0577575	0.0437035	0.0315769	0.0220092	0.0151382	0.00976247	0.00625791	0.00389578	0.0023384	0.00136497	0.000808729	0.000442689	0.000248187	0.000135222	7.16639e-05	3.67935e-05	1.96603e-05	9.4556e-06	4.77759e-06	2.31867e-06	1.10019e-06	4.9942e-07	2.41035e-07	1.02117e-07	4.62935e-08	1.98317e-08	8.39139e-09	3.35915e-09	1.45397e-09	5.37897e-10	2.16408e-10	8.16287e-11	3.05984e-11	1.06961e-11	4.08124e-12	1.3148e-12	4.66109e-13	1.53038e-13	4.98265e-14	1.50442e-14	5.01847e-15	1.38605e-15	4.23535e-16	1.18745e-16	3.32891e-17	8.54467e-18	2.44224e-18	5.68576e-19	1.47966e-19	3.49893e-20	8.29631e-21	1.79205e-21	4.32948e-22	8.4334e-23	1.84984e-23	3.68736e-24	7.34599e-25	1.32094e-25	2.68546e-26	4.39044e-27	8.1202e-28	1.34401e-28	2.24691e-29	3.40113e-30	5.86693e-31	7.94933e-32	1.22998e-32	1.71607e-33	2.42881e-34	3.06587e-35	4.42015e-36	5.0569e-37	6.66198e-38	7.82762e-39	9.28294e-40	9.9379e-41	1.23256e-41	1.21202e-42	1.39536e-43	1.50023e-44	1.74496e-45	2.04223e-46	2.87354e-47	4.03853e-48	6.80929e-49	1.77322e-49	
N7	0.114803	0.116944	0.114701	0.108945	0.100588	0.0912401	0.0782891	0.0659914	0.0538495	0.0421412	0.031954	0.0242624	0.0171552	0.0123179	0.00863695	0.00590133	0.00393278	0.00280669	0.00177042	0.00123268	0.000825812	0.00055889	0.000358083	0.000269533	0.000161938	0.000118834	7.87641e-05	5.50705e-05	3.40512e-05	2.68937e-05	1.55135e-05	1.17193e-05	7.40632e-06	5.2279e-06	3.11517e-06	2.53044e-06	1.36404e-06	1.01938e-06	6.25606e-07	4.43419e-07	2.5012e-07	1.99153e-07	1.02386e-07	7.68437e-08	4.50191e-08	3.01435e-08	1.61491e-08	1.29381e-08	6.1214e-09	4.31461e-09	2.36298e-09	1.55504e-09	7.60862e-10	5.75815e-10	2.50119e-10	1.70575e-10	8.3841e-11	5.03468e-11	2.29983e-11	1.66214e-11	6.41236e-12	3.97075e-12	1.86368e-12	1.06372e-12	4.20171e-13	2.73142e-13	9.91431e-14	5.93017e-14	2.3738e-14	1.21184e-14	4.6125e-15	2.98362e-15	9.19694e-16	4.7563e-16	1.81097e-16	9.02499e-17	2.94157e-17	1.63299e-17	4.83415e-18	2.52076e-18	8.57009e-19	3.61996e-19	1.12189e-19	6.18812e-20	1.59091e-20	7.12551e-21	2.3088e-21	1.02475e-21	3.10792e-22	1.86915e-22	9.1183e-23	9.8427e-23	1.49279e-22	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
