NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.187254	0.17446	0.152924	0.127227	0.101175	0.0773428	0.057093	0.040842	0.0283961	0.0192323	0.0127135	0.00821537	0.00519655	0.00322112	0.00195862	0.00116926	0.00068588	0.000395603	0.000224511	0.000125441	6.90423e-05	3.74529e-05	2.0034e-05	1.05721e-05	5.50619e-06	2.8315e-06	1.43822e-06	7.21835e-07	3.58102e-07	1.75661e-07	8.52276e-08	4.09124e-08	1.94368e-08	9.14126e-09	4.25714e-09	1.96367e-09	8.97359e-10	4.06365e-10	1.82398e-10	8.11662e-11	3.58165e-11	1.56761e-11	6.80667e-12	2.93268e-12	1.25406e-12	5.32332e-13	2.24353e-13	1.05889e-16	6.82652e-17	4.38613e-17	2.80883e-17	1.79291e-17	1.14081e-17	7.23637e-18	4.57625e-18	2.88544e-18	1.8141e-18	1.13733e-18	7.11096e-19	4.43418e-19	2.75788e-19	1.71098e-19	1.05888e-19	6.53729e-20	4.02646e-20	2.47423e-20	1.51694e-20	9.2797e-21	5.66439e-21	3.45026e-21	2.09726e-21	1.27227e-21	7.70304e-22	4.65507e-22	2.80804e-22	1.69093e-22	1.01656e-22	6.10191e-23	3.65738e-23	2.18928e-23	1.30893e-23	7.81797e-24	4.66568e-24	2.7828e-24	1.65929e-24	9.89463e-25	5.90415e-25	3.52868e-25	2.11671e-25	1.28108e-25	7.93634e-26	5.23144e-26	4.00248e-26	
N2	0.172502	0.168304	0.151714	0.129362	0.104375	0.0814152	0.0603236	0.0436687	0.0304662	0.0207615	0.0136925	0.00895874	0.00562931	0.00353314	0.00215328	0.00130474	0.000767528	0.000458002	0.000261149	0.000152459	8.60652e-05	4.93606e-05	2.72941e-05	1.576e-05	8.5481e-06	4.89413e-06	2.6706e-06	1.51739e-06	8.16584e-07	4.71181e-07	2.4998e-07	1.43293e-07	7.66738e-08	4.34721e-08	2.29675e-08	1.31995e-08	6.85513e-09	3.88906e-09	2.03801e-09	1.14234e-09	5.89507e-10	3.33054e-10	1.69379e-10	9.46326e-11	4.84504e-11	2.66589e-11	1.3496e-11	7.51516e-12	3.74256e-12	2.05434e-12	1.03494e-12	5.62491e-13	2.79566e-13	1.53264e-13	7.53365e-14	4.09412e-14	2.02939e-14	1.08737e-14	5.35005e-15	2.90884e-15	1.40916e-15	7.55625e-16	3.71524e-16	1.97694e-16	9.59123e-17	5.14432e-17	2.47487e-17	1.31799e-17	6.38802e-18	3.35353e-18	1.61633e-18	8.60832e-19	4.08485e-19	2.14416e-19	1.03259e-19	5.38905e-20	2.56591e-20	1.34944e-20	6.40288e-21	3.36296e-21	1.61908e-21	8.47966e-22	4.14422e-22	2.24766e-22	1.12659e-22	6.28475e-23	3.38629e-23	1.99035e-23	1.14905e-23	7.21115e-24	4.5356e-24	3.18077e-24	2.63699e-24	
N3	0.172269	0.16821	0.151817	0.129606	0.104661	0.0816445	0.0604581	0.043698	0.0304192	0.0206677	0.0135837	0.00885135	0.00553783	0.00345917	0.00209777	0.00126447	0.000739782	0.000439034	0.000248834	0.000144426	8.10009e-05	4.61596e-05	2.53299e-05	1.45256e-05	7.80507e-06	4.43267e-06	2.39242e-06	1.34623e-06	7.14617e-07	4.08148e-07	2.12925e-07	1.2065e-07	6.33772e-08	3.5471e-08	1.83432e-08	1.04219e-08	5.28012e-09	2.95933e-09	1.51294e-09	8.37456e-10	4.2035e-10	2.35154e-10	1.15981e-10	6.41608e-11	3.18779e-11	1.73435e-11	8.49931e-12	4.69936e-12	2.25633e-12	1.22768e-12	5.97592e-13	3.21768e-13	1.53929e-13	8.38308e-14	3.9545e-14	2.13346e-14	1.0156e-14	5.38501e-15	2.5391e-15	1.37269e-15	6.33712e-16	3.3659e-16	1.58264e-16	8.33575e-17	3.84718e-17	2.04573e-17	9.34085e-18	4.92921e-18	2.2681e-18	1.17447e-18	5.36921e-19	2.83794e-19	1.26885e-19	6.57412e-20	2.9989e-20	1.5452e-20	6.92794e-21	3.5984e-21	1.60407e-21	8.30621e-22	3.7454e-22	1.9135e-22	8.6989e-23	4.59822e-23	2.11087e-23	1.13486e-23	5.67507e-24	3.27517e-24	1.83019e-24	1.19376e-24	7.9357e-25	6.26114e-25	5.85626e-25	
N4	0.152483	0.151408	0.140814	0.125071	0.105734	0.086693	0.0675547	0.0514304	0.0376718	0.0269224	0.0185732	0.0127179	0.00833155	0.00546526	0.0034714	0.00219949	0.00134834	0.000845325	0.000502725	0.000309526	0.000183038	0.000111072	6.4417e-05	3.95552e-05	2.24853e-05	1.36841e-05	7.82973e-06	4.71575e-06	2.6507e-06	1.61662e-06	8.91803e-07	5.37589e-07	2.98016e-07	1.76697e-07	9.63373e-08	5.77445e-08	3.08098e-08	1.81485e-08	9.76003e-09	5.66576e-09	2.99095e-09	1.74747e-09	9.07217e-10	5.23208e-10	2.73219e-10	1.54675e-10	7.97472e-11	4.57184e-11	2.31073e-11	1.30106e-11	6.65502e-12	3.70382e-12	1.86275e-12	1.04359e-12	5.1801e-13	2.87053e-13	1.43348e-13	7.79975e-14	3.85884e-14	2.12844e-14	1.0326e-14	5.59326e-15	2.75126e-15	1.47591e-15	7.13721e-16	3.84726e-16	1.84159e-16	9.83887e-17	4.73255e-17	2.48409e-17	1.18674e-17	6.31555e-18	2.96076e-18	1.54772e-18	7.36165e-19	3.82209e-19	1.79259e-19	9.36057e-20	4.3694e-20	2.27582e-20	1.07592e-20	5.57154e-21	2.67167e-21	1.4342e-21	7.0489e-22	3.89775e-22	2.07808e-22	1.22581e-22	7.15734e-23	4.66855e-23	3.14706e-23	2.4707e-23	2.2959e-23	
N5	0.144813	0.144533	0.135684	0.122089	0.104832	0.0875929	0.0696052	0.0542377	0.0406687	0.0298599	0.0211292	0.0149731	0.0100689	0.00688152	0.0045147	0.00300752	0.00190545	0.0012875	0.000789905	0.000535814	0.000331827	0.0002272	0.000137824	0.000100917	5.95038e-05	4.44761e-05	2.70897e-05	2.05763e-05	1.22068e-05	9.86233e-06	5.71897e-06	4.66637e-06	2.77772e-06	2.2311e-06	1.31282e-06	1.11944e-06	6.347e-07	5.26105e-07	3.13304e-07	2.60302e-07	1.50005e-07	1.27228e-07	7.28312e-08	6.211e-08	3.6219e-08	2.95207e-08	1.73777e-08	1.53091e-08	8.52213e-09	7.07365e-09	4.24424e-09	3.61794e-09	2.06023e-09	1.76133e-09	1.01626e-09	8.9139e-10	5.13059e-10	4.19931e-10	2.50092e-10	2.26792e-10	1.24781e-10	1.04223e-10	6.33061e-11	5.54417e-11	3.12105e-11	2.67125e-11	1.55324e-11	1.3866e-11	7.92654e-12	6.53803e-12	3.93912e-12	3.62303e-12	1.9834e-12	1.64799e-12	9.99078e-13	8.79352e-13	4.97065e-13	4.25833e-13	2.51308e-13	2.25682e-13	1.29212e-13	1.06151e-13	6.42993e-14	5.89245e-14	3.31035e-14	2.81476e-14	1.80993e-14	1.7102e-14	1.17704e-14	1.2774e-14	1.31365e-14	1.89089e-14	2.74638e-14	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0677985	0.0713855	0.0738904	0.0758427	0.0762834	0.0759605	0.0731665	0.0695662	0.0643206	0.0583464	0.0515135	0.045104	0.0381908	0.0322125	0.0265369	0.0216861	0.0173338	0.01394	0.0108607	0.00855765	0.00660038	0.00511278	0.00387646	0.00299777	0.00223751	0.00171039	0.00127578	0.000964484	0.000710498	0.000538637	0.000391865	0.000294192	0.000214309	0.000159152	0.000114669	8.54559e-05	6.08211e-05	4.48631e-05	3.20143e-05	2.33773e-05	1.65059e-05	1.20898e-05	8.44624e-06	6.13103e-06	4.29569e-06	3.08666e-06	2.14346e-06	1.54674e-06	1.06308e-06	7.60028e-07	5.2447e-07	3.71663e-07	2.54174e-07	1.80726e-07	1.22486e-07	8.63837e-08	5.87381e-08	4.10384e-08	2.76931e-08	1.94298e-08	1.29886e-08	9.03482e-09	6.067e-09	4.18732e-09	2.78936e-09	1.9318e-09	1.27752e-09	8.78944e-10	5.83641e-10	3.98583e-10	2.63418e-10	1.81028e-10	1.18996e-10	8.1424e-11	5.4036e-11	3.69429e-11	2.45479e-11	1.69811e-11	1.13546e-11	7.91282e-12	5.40001e-12	3.80588e-12	2.64583e-12	1.91297e-12	1.36082e-12	1.0059e-12	7.41879e-13	5.65122e-13	4.33913e-13	3.4831e-13	2.87769e-13	2.56717e-13	2.50006e-13	
N7	0.0587134	0.0619463	0.0644188	0.0666412	0.0678154	0.0685701	0.067347	0.0654999	0.0621632	0.058031	0.0528691	0.047855	0.0419761	0.0367346	0.0314455	0.0267427	0.0222614	0.0187015	0.0152016	0.0125565	0.0101422	0.00826992	0.00658235	0.0054063	0.00424652	0.00347258	0.00274913	0.00224129	0.00175955	0.00146197	0.00113799	0.000946179	0.000746828	0.000619962	0.000486459	0.00041325	0.000321346	0.000272558	0.000215627	0.000182536	0.00014339	0.000123828	9.6558e-05	8.3228e-05	6.59316e-05	5.64763e-05	4.45157e-05	3.89145e-05	3.03774e-05	2.6375e-05	2.09516e-05	1.81068e-05	1.42696e-05	1.25196e-05	9.79879e-06	8.55973e-06	6.79133e-06	5.87891e-06	4.64679e-06	4.09846e-06	3.20395e-06	2.80049e-06	2.23061e-06	1.94198e-06	1.53272e-06	1.35202e-06	1.06169e-06	9.33469e-07	7.42053e-07	6.45865e-07	5.12399e-07	4.54956e-07	3.56581e-07	3.1331e-07	2.50576e-07	2.19801e-07	1.74324e-07	1.54958e-07	1.22789e-07	1.09375e-07	8.82939e-08	7.85869e-08	6.45443e-08	5.99419e-08	5.07018e-08	4.88541e-08	4.52804e-08	4.68889e-08	4.7775e-08	5.40182e-08	6.06934e-08	7.33366e-08	8.8978e-08	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
