NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.162093	0.153417	0.138497	0.120087	0.100548	0.081643	0.0645057	0.0497221	0.0374735	0.0276602	0.0200259	0.0142373	0.00995012	0.00684154	0.00463189	0.00308971	0.00203196	0.0013182	0.000844008	0.000533593	0.000333253	0.00020569	0.000125517	7.57537e-05	4.52348e-05	2.67333e-05	1.56419e-05	9.06388e-06	5.20308e-06	2.95972e-06	1.66881e-06	9.32908e-07	5.17203e-07	2.84429e-07	1.55195e-07	8.40372e-08	4.51697e-08	2.41043e-08	1.27734e-08	6.72309e-09	3.51534e-09	1.82636e-09	9.43e-10	4.83972e-10	2.46942e-10	1.25289e-10	6.32183e-11	3.17282e-11	1.58407e-11	7.86828e-12	3.8888e-12	1.91264e-12	9.36238e-13	4.56172e-13	2.21267e-13	1.22044e-16	8.46342e-17	5.8572e-17	4.04563e-17	2.78912e-17	1.91943e-17	1.31867e-17	9.0444e-18	6.19327e-18	4.23415e-18	2.89022e-18	1.96982e-18	1.34049e-18	9.10866e-19	6.18031e-19	4.1874e-19	2.83314e-19	1.91423e-19	1.29163e-19	8.70377e-20	5.85763e-20	3.93727e-20	2.64328e-20	1.7725e-20	1.18726e-20	7.94409e-21	5.31029e-21	3.54655e-21	2.3668e-21	1.57856e-21	1.05249e-21	7.01827e-22	4.68452e-22	3.13582e-22	2.11498e-22	1.45448e-22	1.05081e-22	8.50997e-23	
N2	0.142416	0.14502	0.137075	0.122476	0.10469	0.0869865	0.0689043	0.053555	0.0405338	0.0298226	0.021457	0.015329	0.0105458	0.00723961	0.00488178	0.00323201	0.00210582	0.00138252	0.000871588	0.000557195	0.000350719	0.000218614	0.000134287	8.45812e-05	5.06508e-05	3.13729e-05	1.90707e-05	1.15938e-05	6.91581e-06	4.31174e-06	2.51753e-06	1.54972e-06	9.26505e-07	5.60477e-07	3.29666e-07	2.05645e-07	1.18202e-07	7.26373e-08	4.29166e-08	2.59009e-08	1.5032e-08	9.33118e-09	5.29622e-09	3.23993e-09	1.88861e-09	1.13122e-09	6.48237e-10	3.99876e-10	2.24061e-10	1.35894e-10	7.82267e-11	4.65577e-11	2.63647e-11	1.61301e-11	8.93992e-12	5.38378e-12	3.0661e-12	1.81074e-12	1.01677e-12	6.17925e-13	3.39421e-13	2.03007e-13	1.1492e-13	6.75094e-14	3.75891e-14	2.27022e-14	1.24132e-14	7.3933e-15	4.149e-15	2.42361e-15	1.34431e-15	8.0909e-16	4.38902e-16	2.59707e-16	1.45297e-16	8.47478e-17	4.67762e-17	2.80386e-17	1.52863e-17	9.10862e-18	5.14496e-18	3.0479e-18	1.73908e-18	1.08276e-18	6.2964e-19	4.01041e-19	2.50737e-19	1.65463e-19	1.0861e-19	7.61425e-20	5.31366e-20	4.07051e-20	3.54734e-20	
N3	0.141072	0.144	0.136655	0.122655	0.105278	0.0877288	0.0696137	0.0541068	0.0408968	0.0300127	0.0215178	0.0153011	0.0104749	0.00714966	0.00479241	0.0031528	0.00204112	0.00133106	0.000833695	0.000529389	0.000331031	0.000204964	0.000125072	7.82526e-05	4.65423e-05	2.86295e-05	1.7279e-05	1.04261e-05	6.16967e-06	3.81583e-06	2.20736e-06	1.34646e-06	7.96802e-07	4.76978e-07	2.77218e-07	1.71092e-07	9.69675e-08	5.88808e-08	3.4296e-08	2.04226e-08	1.16609e-08	7.15127e-09	3.98336e-09	2.40486e-09	1.37725e-09	8.12658e-10	4.56473e-10	2.78184e-10	1.52336e-10	9.11417e-11	5.1387e-11	3.01113e-11	1.66584e-11	1.00696e-11	5.43396e-12	3.22753e-12	1.79461e-12	1.04257e-12	5.70061e-13	3.42116e-13	1.82237e-13	1.07367e-13	5.91432e-14	3.41262e-14	1.84252e-14	1.09708e-14	5.79651e-15	3.39606e-15	1.8469e-15	1.05774e-15	5.67349e-16	3.36358e-16	1.7568e-16	1.02095e-16	5.526e-17	3.15962e-17	1.68267e-17	9.92322e-18	5.20541e-18	3.04458e-18	1.65859e-18	9.5882e-19	5.25019e-19	3.19154e-19	1.76798e-19	1.09445e-19	6.58116e-20	4.26246e-20	2.7516e-20	1.95791e-20	1.40292e-20	1.13867e-20	1.05497e-20	
N4	0.120698	0.125553	0.123188	0.115417	0.103963	0.0911386	0.0760064	0.0620141	0.0490696	0.0375788	0.0280237	0.02072	0.0146665	0.0103686	0.00718286	0.0048828	0.00326058	0.00220865	0.00142476	0.000941134	0.000610253	0.000393556	0.000249171	0.000163902	0.00010104	6.54196e-05	4.12084e-05	2.61455e-05	1.61198e-05	1.05371e-05	6.33386e-06	4.07387e-06	2.51082e-06	1.57921e-06	9.53951e-07	6.19145e-07	3.63554e-07	2.31284e-07	1.39722e-07	8.69495e-08	5.14051e-08	3.29014e-08	1.89528e-08	1.19157e-08	7.05727e-09	4.32585e-09	2.5121e-09	1.58893e-09	8.98543e-10	5.5655e-10	3.24053e-10	1.96403e-10	1.12132e-10	6.99306e-11	3.89446e-11	2.3833e-11	1.36506e-11	8.16014e-12	4.59789e-12	2.83241e-12	1.55424e-12	9.38476e-13	5.31547e-13	3.14405e-13	1.74525e-13	1.06118e-13	5.77066e-14	3.45226e-14	1.92623e-14	1.1264e-14	6.20281e-15	3.74085e-15	2.00692e-15	1.18571e-15	6.56857e-16	3.81894e-16	2.08119e-16	1.24265e-16	6.67435e-17	3.95332e-17	2.19853e-17	1.29003e-17	7.23572e-18	4.46972e-18	2.55198e-18	1.61379e-18	9.99302e-19	6.60438e-19	4.35953e-19	3.13298e-19	2.27615e-19	1.8619e-19	1.73236e-19	
N5	0.114708	0.119762	0.118315	0.11191	0.101995	0.0906948	0.0767775	0.0637415	0.0513787	0.0401199	0.0305176	0.0231393	0.0167049	0.0121462	0.00864529	0.00605809	0.00415581	0.0029592	0.00195235	0.00136651	0.000925472	0.00063583	0.000418792	0.000307642	0.000194491	0.000142562	9.58387e-05	6.91056e-05	4.48203e-05	3.56549e-05	2.20879e-05	1.7467e-05	1.16048e-05	8.91515e-06	5.74203e-06	4.89986e-06	2.9731e-06	2.46348e-06	1.63177e-06	1.31769e-06	8.37903e-07	7.32744e-07	4.45267e-07	3.82171e-07	2.50997e-07	2.04192e-07	1.30664e-07	1.17997e-07	7.09203e-08	6.07415e-08	4.0225e-08	3.37215e-08	2.13622e-08	1.92808e-08	1.17208e-08	1.03067e-08	6.72664e-09	5.58134e-09	3.62473e-09	3.36501e-09	2.00759e-09	1.74198e-09	1.17789e-09	1.00938e-09	6.36908e-10	5.81408e-10	3.59662e-10	3.24707e-10	2.11845e-10	1.78203e-10	1.17942e-10	1.12873e-10	6.71139e-11	5.85705e-11	3.98727e-11	3.514e-11	2.23306e-11	2.05764e-11	1.29342e-11	1.19422e-11	7.85643e-12	6.66375e-12	4.45348e-12	4.31056e-12	2.62657e-12	2.35733e-12	1.68689e-12	1.61373e-12	1.23894e-12	1.42891e-12	1.50528e-12	2.14095e-12	3.04464e-12	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0502739	0.0550874	0.0593944	0.0631641	0.0661616	0.0685871	0.0686113	0.0676878	0.0652225	0.0611617	0.0561032	0.0509889	0.044728	0.0390535	0.0335291	0.0282755	0.0235155	0.0196506	0.0158882	0.0129761	0.0104778	0.00838379	0.0066429	0.00535234	0.0041619	0.00330669	0.00259664	0.00203181	0.00157273	0.00124767	0.000950607	0.000745167	0.00057526	0.000444547	0.000338916	0.000266032	0.000199666	0.000154861	0.000117999	9.0294e-05	6.79719e-05	5.28192e-05	3.91946e-05	3.0131e-05	2.27072e-05	1.7218e-05	1.28319e-05	9.89039e-06	7.2703e-06	5.5426e-06	4.13807e-06	3.1151e-06	2.30149e-06	1.75983e-06	1.28308e-06	9.70997e-07	7.19029e-07	5.37504e-07	3.94282e-07	2.99392e-07	2.16903e-07	1.63171e-07	1.20176e-07	8.94167e-08	6.52728e-08	4.93502e-08	3.56629e-08	2.67574e-08	1.96518e-08	1.46078e-08	1.06715e-08	8.07578e-09	5.85507e-09	4.41008e-09	3.26392e-09	2.4504e-09	1.81407e-09	1.3911e-09	1.03198e-09	7.94721e-10	6.05093e-10	4.68395e-10	3.60569e-10	2.86522e-10	2.23266e-10	1.79584e-10	1.4419e-10	1.17881e-10	9.69313e-11	8.23792e-11	7.09034e-11	6.45819e-11	6.25999e-11	
N7	0.0440776	0.0482783	0.0520743	0.0555282	0.0585111	0.0612184	0.0620834	0.0622715	0.0612095	0.0587176	0.0552372	0.0515462	0.046553	0.0418712	0.0370918	0.0322999	0.0277703	0.0240172	0.020101	0.017024	0.0142708	0.0118624	0.00976968	0.0082299	0.00665519	0.0055462	0.00456484	0.00375603	0.00305106	0.00257976	0.00206239	0.00173052	0.00142025	0.00117761	0.000955369	0.000820194	0.000653679	0.000556335	0.000458017	0.000385133	0.000313096	0.000272957	0.000218064	0.000188558	0.000155886	0.000132761	0.000108401	9.59425e-05	7.69275e-05	6.73242e-05	5.58814e-05	4.8203e-05	3.95147e-05	3.5335e-05	2.84362e-05	2.51359e-05	2.09337e-05	1.82131e-05	1.5003e-05	1.35283e-05	1.09328e-05	9.74014e-06	8.16494e-06	7.16718e-06	5.92756e-06	5.3854e-06	4.38533e-06	3.94187e-06	3.31383e-06	2.92941e-06	2.4412e-06	2.23763e-06	1.82687e-06	1.65019e-06	1.39773e-06	1.24703e-06	1.04334e-06	9.61348e-07	7.9422e-07	7.2771e-07	6.24959e-07	5.68383e-07	4.92599e-07	4.74001e-07	4.19294e-07	4.15121e-07	4.01869e-07	4.17811e-07	4.32166e-07	4.84221e-07	5.32293e-07	6.20783e-07	7.24267e-07	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
