NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.000214292	0.000278491	0.000434037	0.000741245	0.00130093	0.00226195	0.00382336	0.00622449	0.00971721	0.0145182	0.0207456	0.0283526	0.037077	0.0464248	0.0557044	0.0641102	0.0708422	0.0752367	0.0768768	0.0756562	0.0717847	0.0657365	0.0581579	0.0497586	0.0412101	0.0330692	0.0257349	0.0194392	0.0142646	0.0101771	0.00706498	0.00477583	0.00314597	0.00202085	0.00126671	0.000775299	0.000463638	0.000271062	0.000155019	8.67712e-05	4.75628e-05	2.55438e-05	1.34477e-05	6.94314e-06	3.51734e-06	1.7491e-06	8.54162e-07	4.09802e-07	1.93235e-07	8.95871e-08	4.08519e-08	1.83292e-08	8.09452e-09	3.51965e-09	1.50734e-09	6.36013e-10	2.64481e-10	1.08425e-10	4.38325e-11	1.74791e-11	6.87737e-12	2.67068e-12	1.02385e-12	3.87603e-13	1.94944e-16	1.18493e-16	7.1601e-17	4.30179e-17	2.57007e-17	1.52712e-17	9.02612e-18	5.30766e-18	3.1057e-18	1.80866e-18	1.04855e-18	6.05299e-19	3.48031e-19	1.99374e-19	1.13837e-19	6.48095e-20	3.68077e-20	2.08648e-20	1.18121e-20	6.68297e-21	3.78158e-21	2.14199e-21	1.21582e-21	6.92669e-22	3.97281e-22	2.31047e-22	1.388e-22	9.01673e-23	6.92636e-23	
N2	0.000213008	0.00027481	0.000435813	0.000761143	0.00136221	0.0024045	0.00410879	0.00673766	0.0105607	0.0157971	0.0225431	0.0307	0.0399262	0.0496338	0.0590416	0.0672815	0.0735362	0.0771776	0.0778721	0.0756275	0.0707754	0.063896	0.0557086	0.046955	0.0382993	0.0302602	0.0231808	0.0172326	0.0124427	0.00873339	0.00596343	0.0039645	0.0025679	0.0016217	0.000999221	0.000601079	0.000353225	0.000202901	0.000113993	6.2672e-05	3.37369e-05	1.77908e-05	9.19516e-06	4.66018e-06	2.31701e-06	1.13064e-06	5.41726e-07	2.54961e-07	1.17917e-07	5.36117e-08	2.39708e-08	1.05439e-08	4.56423e-09	1.94504e-09	8.16254e-10	3.3744e-10	1.37459e-10	5.51931e-11	2.18502e-11	8.53108e-12	3.28582e-12	1.24877e-12	4.68406e-13	1.73442e-13	6.34111e-14	2.28942e-14	8.16395e-15	2.87567e-15	1.00064e-15	3.43987e-16	1.16827e-16	3.91998e-17	1.29945e-17	4.25556e-18	1.3768e-18	4.40049e-19	1.38951e-19	4.33504e-20	1.33653e-20	4.07348e-21	1.22798e-21	3.66467e-22	1.08419e-22	3.18687e-23	9.34014e-24	2.74485e-24	8.16019e-25	2.4871e-25	7.91926e-26	2.70016e-26	1.01884e-26	4.51702e-27	2.70634e-27	
N3	0.000199709	0.000262727	0.000427871	0.000765865	0.00139807	0.00250497	0.00432652	0.0071451	0.0112444	0.0168442	0.0240201	0.0326284	0.042261	0.0522528	0.0617511	0.0698394	0.0756898	0.0787064	0.0786254	0.0755487	0.0699065	0.0623638	0.0536975	0.0446728	0.0359458	0.0280023	0.0211395	0.015479	0.0110032	0.0075995	0.00510378	0.0033356	0.00212301	0.00131685	0.000796572	0.000470218	0.000271041	0.00015265	8.40494e-05	4.52684e-05	2.38623e-05	1.23172e-05	6.22889e-06	3.08758e-06	1.50086e-06	7.15757e-07	3.35032e-07	1.53987e-07	6.95237e-08	3.08463e-08	1.34542e-08	5.77104e-09	2.43527e-09	1.01131e-09	4.13439e-10	1.66442e-10	6.6005e-11	2.57918e-11	9.93354e-12	3.77195e-12	1.41249e-12	5.21767e-13	1.90173e-13	6.84082e-14	2.42915e-14	8.51698e-15	2.94911e-15	1.00869e-15	3.4085e-16	1.13811e-16	3.75567e-17	1.225e-17	3.94989e-18	1.25917e-18	3.96899e-19	1.23713e-19	3.81354e-20	1.16269e-20	3.50652e-21	1.04623e-21	3.08895e-22	9.02747e-23	2.61283e-23	7.49532e-24	2.13386e-24	6.04174e-25	1.70743e-25	4.84672e-26	1.39811e-26	4.19408e-27	1.3735e-27	5.43623e-28	3.10812e-28	
N4	0.000115569	0.000148209	0.000237	0.000427623	0.000805818	0.00151175	0.00275062	0.00479056	0.00793848	0.0124882	0.0186437	0.0264308	0.0356228	0.0457063	0.0559104	0.0653014	0.0729302	0.0779965	0.0799894	0.0787712	0.0745837	0.0679837	0.059727	0.0506336	0.0414656	0.0328378	0.0251731	0.0186979	0.0134693	0.00941844	0.00639825	0.00422615	0.00271624	0.00170003	0.00103686	0.000616676	0.000357894	0.000202809	0.000112284	6.0772e-05	3.21727e-05	1.66688e-05	8.45627e-06	4.20273e-06	2.04724e-06	9.77904e-07	4.58254e-07	2.1076e-07	9.51746e-08	4.22165e-08	1.84009e-08	7.88419e-09	3.32194e-09	1.37689e-09	5.61592e-10	2.25479e-10	8.91436e-11	3.47143e-11	1.33196e-11	5.03692e-12	1.87781e-12	6.90355e-13	2.50347e-13	8.95727e-14	3.16288e-14	1.10249e-14	3.79449e-15	1.28982e-15	4.33113e-16	1.43707e-16	4.71258e-17	1.52774e-17	4.89731e-18	1.5527e-18	4.8703e-19	1.51174e-19	4.64497e-20	1.41321e-20	4.25895e-21	1.27188e-21	3.76564e-22	1.10594e-22	3.22435e-23	9.34095e-24	2.69266e-24	7.73994e-25	2.22631e-25	6.44819e-26	1.90306e-26	5.86162e-27	1.9801e-27	8.10531e-28	4.75136e-28	
N5	0.000128743	0.000167431	0.00027065	0.000487085	0.000904644	0.00166154	0.00295287	0.00502511	0.00815138	0.0125841	0.0184884	0.0258697	0.0345134	0.0439602	0.0535317	0.0624101	0.0697582	0.0748558	0.077218	0.0766708	0.0733657	0.0677362	0.0604097	0.0520981	0.0434929	0.0351829	0.0276042	0.0210256	0.0155607	0.0111991	0.00784443	0.00535177	0.00355887	0.0023084	0.00146148	0.000903729	0.000546158	0.000322771	0.000186645	0.000105664	5.8594e-05	3.18435e-05	1.69684e-05	8.86999e-06	4.55054e-06	2.2922e-06	1.13416e-06	5.51451e-07	2.63585e-07	1.23903e-07	5.72995e-08	2.60783e-08	1.16847e-08	5.15596e-09	2.24127e-09	9.60077e-10	4.05394e-10	1.68785e-10	6.93101e-11	2.80794e-11	1.12259e-11	4.43011e-12	1.72613e-12	6.64217e-13	2.52481e-13	9.4827e-14	3.51987e-14	1.29156e-14	4.68595e-15	1.68144e-15	5.96858e-16	2.09641e-16	7.28806e-17	2.5084e-17	8.54991e-18	2.887e-18	9.66071e-19	3.20499e-19	1.05463e-19	3.44409e-20	1.11694e-20	3.60011e-21	1.15443e-21	3.6876e-22	1.17539e-22	3.74699e-23	1.19852e-23	3.86421e-24	1.26423e-24	4.2398e-25	1.48488e-25	5.72006e-26	2.91964e-26	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	5.23106e-05	6.46034e-05	9.70558e-05	0.000163399	0.000289484	0.000518398	0.000916289	0.00157719	0.00262445	0.00420604	0.00648153	0.00959992	0.0136701	0.0187284	0.0247092	0.0314274	0.0385779	0.0457553	0.052494	0.0583206	0.0628124	0.0656491	0.0666506	0.065794	0.0632077	0.0591472	0.0539559	0.0480209	0.0417289	0.0354301	0.0294128	0.0238899	0.0189969	0.0147979	0.0112985	0.00846012	0.00621587	0.00448348	0.00317634	0.00221124	0.00151335	0.00101864	0.000674619	0.000439768	0.000282281	0.000178481	0.0001112	6.82916e-05	4.13546e-05	2.47007e-05	1.45565e-05	8.46624e-06	4.86113e-06	2.75622e-06	1.54361e-06	8.54115e-07	4.67048e-07	2.52451e-07	1.34917e-07	7.13059e-08	3.72781e-08	1.92817e-08	9.86945e-09	5.00019e-09	2.50794e-09	1.24558e-09	6.12684e-10	2.9854e-10	1.44131e-10	6.89588e-11	3.27033e-11	1.53765e-11	7.16948e-12	3.31579e-12	1.52149e-12	6.92885e-13	3.13259e-13	1.40656e-13	6.27496e-14	2.78287e-14	1.22767e-14	5.39182e-15	2.36001e-15	1.03098e-15	4.50438e-16	1.9742e-16	8.72137e-17	3.91372e-17	1.80774e-17	8.79139e-18	4.67433e-18	2.87512e-18	2.18838e-18	
N7	9.15412e-05	0.000113018	0.000166874	0.000269718	0.000450937	0.000755807	0.00124856	0.00201388	0.00315522	0.0047885	0.00703025	0.00998077	0.0137037	0.0182057	0.0234193	0.0291941	0.0352987	0.041435	0.0472634	0.0524367	0.0566355	0.0596031	0.0611707	0.0612728	0.0599491	0.0573342	0.0536381	0.0491203	0.0440617	0.0387388	0.0334024	0.0282619	0.0234779	0.0191591	0.0153663	0.0121185	0.00940176	0.0071787	0.00539685	0.00399638	0.00291605	0.00209741	0.00148762	0.00104079	0.000718531	0.000489637	0.000329445	0.000218926	0.000143729	9.32479e-05	5.97996e-05	3.79168e-05	2.37764e-05	1.47485e-05	9.05174e-06	5.49795e-06	3.30557e-06	1.96772e-06	1.15994e-06	6.77266e-07	3.91754e-07	2.24536e-07	1.27543e-07	7.18149e-08	4.00901e-08	2.21927e-08	1.21848e-08	6.63658e-09	3.58659e-09	1.92364e-09	1.02417e-09	5.41414e-10	2.84261e-10	1.48274e-10	7.6864e-11	3.96147e-11	2.03076e-11	1.036e-11	5.26283e-12	2.66415e-12	1.34508e-12	6.78012e-13	3.41628e-13	1.72317e-13	8.71581e-14	4.42972e-14	2.26779e-14	1.17317e-14	6.16165e-15	3.31474e-15	1.86367e-15	1.14878e-15	8.52566e-16	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	2.5082e-05	3.17603e-05	4.97077e-05	8.77546e-05	0.000163247	0.000306794	0.000568525	0.00102481	0.0017835	0.00298479	0.0047945	0.00738727	0.0109192	0.0154928	0.0211191	0.0276877	0.0349508	0.0425298	0.0499469	0.0566772	0.0622139	0.0661339	0.0681521	0.0681546	0.0662058	0.0625298	0.0574719	0.0514482	0.0448936	0.038215	0.0317571	0.0257816	0.0204614	0.0158854	0.0120715	0.00898434	0.00655259	0.00468574	0.00328704	0.00226314	0.00153003	0.00101618	0.000663306	0.000425708	0.000268746	0.000166944	0.000102085	6.14717e-05	3.64634e-05	2.13135e-05	1.22803e-05	6.9768e-06	3.90954e-06	2.16144e-06	1.17933e-06	6.35203e-07	3.37828e-07	1.77457e-07	9.209e-08	4.72234e-08	2.39348e-08	1.19929e-08	5.94212e-09	2.91185e-09	1.41156e-09	6.77054e-10	3.21384e-10	1.51004e-10	7.02424e-11	3.23551e-11	1.47605e-11	6.67054e-12	2.98684e-12	1.32539e-12	5.82985e-13	2.5425e-13	1.09971e-13	4.71896e-14	2.00974e-14	8.49891e-15	3.5709e-15	1.49184e-15	6.20358e-16	2.57129e-16	1.06442e-16	4.41365e-17	1.84144e-17	7.78704e-18	3.37961e-18	1.53903e-18	7.64642e-19	4.41774e-19	3.22923e-19	
Morelotia_affinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	2.34632e-05	2.9612e-05	4.62192e-05	8.1627e-05	0.00015236	0.000287836	0.000536647	0.000973434	0.00170445	0.00286895	0.0046331	0.00717379	0.0106516	0.0151756	0.0207648	0.0273167	0.0345899	0.0422093	0.0496962	0.0565206	0.0621666	0.0661998	0.0683237	0.0684143	0.0665288	0.0628882	0.057838	0.0517983	0.0452095	0.0384854	0.0319768	0.0259513	0.0205854	0.0159705	0.0121257	0.00901528	0.00656727	0.00468984	0.00328493	0.0022579	0.0015237	0.00100999	0.00065787	0.000421268	0.000265306	0.000164391	0.000100256	6.0202e-05	3.56061e-05	2.07491e-05	1.19173e-05	6.74833e-06	3.76866e-06	2.07624e-06	1.12873e-06	6.0568e-07	3.20889e-07	1.67894e-07	8.67743e-08	4.43129e-08	2.23642e-08	1.11573e-08	5.50354e-09	2.68471e-09	1.29544e-09	6.18425e-10	2.92143e-10	1.36593e-10	6.32215e-11	2.89728e-11	1.31488e-11	5.91057e-12	2.63211e-12	1.16143e-12	5.07898e-13	2.20165e-13	9.46242e-14	4.03319e-14	1.70535e-14	7.15579e-15	2.98115e-15	1.2339e-15	5.07872e-16	2.08179e-16	8.5173e-17	3.49079e-17	1.44168e-17	6.05879e-18	2.63318e-18	1.21496e-18	6.20094e-19	3.71113e-19	2.78659e-19	
N10	2.01563e-05	2.61848e-05	4.22472e-05	7.60064e-05	0.000141866	0.000264145	0.000481094	0.000849027	0.00144543	0.00236946	0.00373818	0.00567717	0.00830518	0.0117138	0.0159448	0.0209693	0.0266731	0.0328524	0.0392224	0.0454396	0.051134	0.0559482	0.0595761	0.0617955	0.0624905	0.0616592	0.0594084	0.0559355	0.0515022	0.0464039	0.0409407	0.0353913	0.0299938	0.0249348	0.0203447	0.0163002	0.0128305	0.00992674	0.0075523	0.0056526	0.00416385	0.0030199	0.00215728	0.00151844	0.00105346	0.000720639	0.000486228	0.000323684	0.000212665	0.00013794	8.83552e-05	5.59035e-05	3.49485e-05	2.15931e-05	1.31888e-05	7.96547e-06	4.75811e-06	2.81176e-06	1.64415e-06	9.51533e-07	5.45156e-07	3.09264e-07	1.73757e-07	9.6706e-08	5.33283e-08	2.91439e-08	1.57877e-08	8.47946e-09	4.51637e-09	2.38607e-09	1.25069e-09	6.50571e-10	3.35911e-10	1.72207e-10	8.76782e-11	4.43472e-11	2.22896e-11	1.1136e-11	5.53213e-12	2.7336e-12	1.34406e-12	6.57839e-13	3.20661e-13	1.55763e-13	7.54684e-14	3.65239e-14	1.77025e-14	8.63557e-15	4.28112e-15	2.19776e-15	1.20948e-15	7.55444e-16	5.76838e-16	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.000802944	0.000970415	0.00137306	0.00208386	0.00321297	0.00489342	0.00726243	0.0104377	0.0144904	0.0194189	0.0251291	0.0314258	0.0380198	0.0445493	0.050616	0.0558276	0.0598424	0.0624064	0.0633797	0.0627467	0.0606104	0.0571733	0.052709	0.0475288	0.0419497	0.0362663	0.0307303	0.0255384	0.0208276	0.0166784	0.0131212	0.0101466	0.00771626	0.00577353	0.00425224	0.00308406	0.00220362	0.00155177	0.00107737	0.000737742	0.000498421	0.000332344	0.000218785	0.000142239	9.13535e-05	5.79772e-05	3.63695e-05	2.25569e-05	1.38356e-05	8.39452e-06	5.03942e-06	2.994e-06	1.76078e-06	1.02527e-06	5.912e-07	3.37666e-07	1.91064e-07	1.07126e-07	5.95264e-08	3.27872e-08	1.7904e-08	9.69445e-09	5.20585e-09	2.77283e-09	1.46516e-09	7.68145e-10	3.99629e-10	2.06343e-10	1.05754e-10	5.38075e-11	2.71818e-11	1.36352e-11	6.79273e-12	3.36112e-12	1.65209e-12	8.06776e-13	3.91472e-13	1.88776e-13	9.04853e-14	4.31224e-14	2.04399e-14	9.64134e-15	4.5294e-15	2.12214e-15	9.93774e-16	4.66829e-16	2.213e-16	1.06905e-16	5.34564e-17	2.83429e-17	1.64949e-17	1.10108e-17	8.81836e-18	
Schoenus_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Schoenus_apogon	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.000509532	0.000601529	0.00083327	0.00125959	0.00196656	0.00306686	0.0046918	0.00697745	0.0100444	0.0139728	0.0187764	0.0243807	0.0306116	0.0371969	0.0437854	0.0499792	0.0553766	0.0596175	0.0624245	0.063633	0.063205	0.061227	0.0578926	0.0534736	0.0482867	0.0426584	0.0368958	0.0312631	0.0259686	0.0211588	0.0169204	0.0132877	0.0102527	0.00777664	0.00580131	0.00425833	0.00307698	0.00218961	0.00153511	0.00106076	0.000722694	0.000485639	0.000321989	0.000210708	0.000136136	8.68653e-05	5.4756e-05	3.41076e-05	2.10002e-05	1.27839e-05	7.69623e-06	4.58328e-06	2.7006e-06	1.57481e-06	9.09028e-07	5.19515e-07	2.94022e-07	1.6482e-07	9.1532e-08	5.03672e-08	2.74671e-08	1.48472e-08	7.95643e-09	4.22769e-09	2.22776e-09	1.16434e-09	6.03681e-10	3.10535e-10	1.58508e-10	8.02952e-11	4.03724e-11	2.01508e-11	9.98544e-12	4.91322e-12	2.40073e-12	1.16508e-12	5.61644e-13	2.68983e-13	1.28003e-13	6.05411e-14	2.84675e-14	1.33145e-14	6.19876e-15	2.87628e-15	1.33295e-15	6.19141e-16	2.89977e-16	1.38316e-16	6.82896e-17	3.5787e-17	2.06343e-17	1.36926e-17	1.09377e-17	
N13	2.09896e-06	3.71219e-06	8.4906e-06	2.05968e-05	4.95606e-05	0.00011521	0.000255497	0.000537158	0.00106768	0.00200492	0.00355853	0.00597669	0.0095133	0.0143755	0.0206591	0.0282862	0.0369637	0.0461803	0.0552497	0.0633984	0.0698798	0.0740918	0.0756697	0.0745365	0.0708994	0.0652003	0.0580328	0.0500462	0.0418583	0.0339875	0.0268153	0.0205755	0.0153668	0.0111797	0.007929	0.00548613	0.00370574	0.00244533	0.00157735	0.000995214	0.000614551	0.000371619	0.000220177	0.000127882	7.28494e-05	4.07224e-05	2.23477e-05	1.20454e-05	6.37947e-06	3.32127e-06	1.70041e-06	8.56455e-07	4.24538e-07	2.0718e-07	9.95751e-08	4.71489e-08	2.20015e-08	1.01211e-08	4.5913e-09	2.05447e-09	9.07086e-10	3.95275e-10	1.70048e-10	7.22398e-11	3.03127e-11	1.25667e-11	5.14842e-12	2.08487e-12	8.34708e-13	3.30473e-13	1.29412e-13	5.01351e-14	1.92187e-14	7.2913e-15	2.73824e-15	1.01813e-15	3.74878e-16	1.36714e-16	4.93926e-17	1.76825e-17	6.27451e-18	2.20766e-18	7.70609e-19	2.67077e-19	9.20266e-20	3.15959e-20	1.0851e-20	3.75343e-21	1.32419e-21	4.87724e-22	1.96006e-22	9.3304e-23	6.00405e-23	
Machaerina_mariscoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Machaerina_articulata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tetraria_capillaris	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
