NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	3.53955e-08	3.64987e-08	3.83309e-08	4.10587e-08	4.50639e-08	5.11154e-08	6.05761e-08	7.58549e-08	9.89107e-08	1.34171e-07	1.89245e-07	2.76643e-07	4.15675e-07	8.54752e-07	1.24615e-06	1.68852e-06	2.15905e-06	2.65853e-06	3.21537e-06	3.87236e-06	4.00321e-06	4.08415e-06	4.15458e-06	4.27233e-06	4.49971e-06	4.88874e-06	4.73874e-06	4.61897e-06	4.5475e-06	4.56465e-06	4.71912e-06	5.05278e-06	4.85014e-06	4.69175e-06	4.59078e-06	4.58411e-06	4.71795e-06	5.03242e-06	4.81581e-06	4.64691e-06	4.53781e-06	4.52435e-06	4.65176e-06	4.95944e-06	4.74292e-06	4.57463e-06	4.46629e-06	4.4533e-06	4.58042e-06	4.88668e-06	4.67434e-06	4.50953e-06	4.40401e-06	4.39306e-06	4.5213e-06	4.82765e-06	4.61985e-06	4.45912e-06	4.35753e-06	4.35081e-06	4.48437e-06	4.79891e-06	4.60648e-06	4.4681e-06	4.4009e-06	4.44994e-06	4.67893e-06	5.16471e-06	5.20973e-06	5.44266e-06	5.96967e-06	7.01519e-06	9.02033e-06	1.28634e-05	1.79707e-05	2.69469e-05	4.28287e-05	7.15126e-05	0.000124724	0.000225845	0.000382332	0.000651915	0.00113962	0.00208924	0.00406289	0.00828848	0.0167499	0.0334862	0.0639588	0.113134	0.180792	0.256312	0.31816	
N2	2.5261e-07	7.89243e-08	1.10288e-07	1.55304e-07	2.1627e-07	2.94859e-07	3.90889e-07	5.01301e-07	6.2228e-07	7.47327e-07	8.69737e-07	9.83252e-07	1.08295e-06	1.16549e-06	1.23307e-06	1.28517e-06	1.32673e-06	1.36011e-06	1.38651e-06	1.40588e-06	1.41989e-06	1.42948e-06	1.43856e-06	1.44757e-06	1.45586e-06	1.46173e-06	1.46549e-06	1.46724e-06	1.47036e-06	1.47484e-06	1.47972e-06	1.48307e-06	1.48496e-06	1.48544e-06	1.48783e-06	1.49205e-06	1.49703e-06	1.50074e-06	1.50313e-06	1.50425e-06	1.5074e-06	1.51246e-06	1.51833e-06	1.52292e-06	1.52617e-06	1.52813e-06	1.53219e-06	1.53826e-06	1.54526e-06	1.55118e-06	1.55608e-06	1.56028e-06	1.56765e-06	1.57879e-06	1.59372e-06	1.61216e-06	1.63708e-06	1.67351e-06	1.73307e-06	1.82887e-06	1.98145e-06	2.22514e-06	2.62461e-06	3.2957e-06	4.46574e-06	6.57722e-06	1.05472e-05	1.83624e-05	3.45994e-05	6.98363e-05	0.000149404	0.000333228	0.000758977	0.00172499	0.00383749	0.00815121	0.0162641	0.0300563	0.0508592	0.0780481	0.108062	0.133233	0.145242	0.138721	0.114895	0.0815473	0.0490371	0.0244432	0.00994428	0.00326408	0.000887185	0.00023206	7.65935e-05	
N3	1.60869e-06	2.15256e-07	2.21116e-07	2.29302e-07	2.36345e-07	2.42413e-07	2.47687e-07	2.49024e-07	2.5239e-07	2.55432e-07	2.58249e-07	2.60928e-07	2.63535e-07	2.6188e-07	2.64319e-07	2.66295e-07	2.68362e-07	2.70542e-07	2.72851e-07	2.72218e-07	2.75173e-07	2.77696e-07	2.80346e-07	2.83131e-07	2.86055e-07	2.86106e-07	2.89753e-07	2.92932e-07	2.96226e-07	2.99644e-07	3.03195e-07	3.03915e-07	3.08313e-07	3.12275e-07	3.1648e-07	3.21034e-07	3.26102e-07	3.29e-07	3.36763e-07	3.4588e-07	3.58376e-07	3.76663e-07	4.05083e-07	4.48634e-07	5.29752e-07	6.72882e-07	9.37523e-07	1.44638e-06	2.47059e-06	4.63846e-06	9.54264e-06	2.10638e-05	4.90001e-05	0.000117408	0.000282971	0.000671119	0.00154509	0.00337896	0.00694622	0.0133048	0.0235902	0.0385367	0.0580536	0.0799521	0.100637	0.115618	0.121114	0.115586	0.100801	0.0798121	0.057456	0.0375964	0.0223615	0.0120952	0.00597664	0.00268984	0.00111152	0.000425949	0.000153822	5.35479e-05	1.84886e-05	6.42224e-06	2.26093e-06	7.97877e-07	2.77356e-07	9.35432e-08	3.03885e-08	9.41741e-09	2.78373e-09	7.83728e-10	2.09823e-10	5.32908e-11	1.28116e-11	
N4	4.93841e-07	2.23198e-08	2.16369e-08	2.24339e-08	2.34619e-08	2.48896e-08	2.70322e-08	2.94413e-08	3.508e-08	4.47695e-08	6.14873e-08	9.02365e-08	1.39264e-07	2.20106e-07	3.57756e-07	5.83392e-07	9.48349e-07	1.52951e-06	2.44174e-06	3.85689e-06	6.06868e-06	9.49533e-06	1.48852e-05	2.35629e-05	3.79786e-05	6.27735e-05	0.000107393	0.000189312	0.000344014	0.000642157	0.00122312	0.0023525	0.0045304	0.00853975	0.0155243	0.0267825	0.0432112	0.0644006	0.0882173	0.10957	0.123106	0.124831	0.114149	0.0941579	0.0703916	0.0474948	0.0290614	0.0161818	0.00823488	0.00385079	0.00167048	0.000673955	0.000255918	9.24405e-05	3.21106e-05	1.08338e-05	3.58664e-06	1.16495e-06	3.72686e-07	1.17322e-07	3.6245e-08	1.09469e-08	3.22506e-09	9.18325e-10	2.52041e-10	6.63721e-11	1.67021e-11	4.00255e-12	9.12725e-13	1.96827e-13	4.01653e-14	7.74972e-15	1.41337e-15	2.43678e-16	3.98042e-17	6.14075e-18	8.97485e-19	1.24395e-19	1.63685e-20	2.04693e-21	2.43898e-22	2.76228e-23	2.98659e-24	3.09763e-25	3.12015e-26	3.14973e-27	3.42179e-28	4.42287e-29	7.1906e-30	1.378e-30	2.80977e-31	5.71112e-32	1.12377e-32	
N5	1.91941e-07	1.25194e-08	1.5727e-08	2.19297e-08	3.22227e-08	4.91703e-08	7.68e-08	1.20955e-07	1.9204e-07	3.0449e-07	4.8112e-07	7.57331e-07	1.18842e-06	1.85083e-06	2.9053e-06	4.5664e-06	7.21489e-06	1.14977e-05	1.85551e-05	3.04701e-05	5.15281e-05	8.95824e-05	0.000161043	0.000299691	0.000574255	0.00111844	0.00219094	0.00420886	0.00784926	0.0141183	0.0243514	0.0398953	0.0616136	0.087424	0.112451	0.129624	0.132917	0.120772	0.0977039	0.069854	0.0443735	0.0251736	0.0128508	0.00596657	0.00257035	0.00104002	0.000406672	0.000158321	6.31864e-05	2.64298e-05	1.17518e-05	5.483e-06	2.63802e-06	1.27242e-06	5.97108e-07	2.65551e-07	1.10221e-07	4.18383e-08	1.4428e-08	4.49881e-09	1.26566e-09	3.21141e-10	7.38149e-11	1.53044e-11	2.87276e-12	4.89218e-13	7.57806e-14	1.07309e-14	1.42216e-15	1.97739e-16	4.57144e-17	2.37833e-17	1.69869e-17	1.2533e-17	9.09435e-18	6.42842e-18	4.43503e-18	2.98801e-18	1.96725e-18	1.26687e-18	8.0018e-19	4.95122e-19	3.01782e-19	1.82022e-19	1.09151e-19	6.52066e-20	3.86957e-20	2.24765e-20	1.25864e-20	6.67827e-21	3.31735e-21	1.53741e-21	6.68272e-22	
N6	1.87344e-07	1.24092e-08	1.56847e-08	2.19765e-08	3.24055e-08	4.95524e-08	7.7472e-08	1.22064e-07	1.9377e-07	3.07118e-07	4.85009e-07	7.62981e-07	1.1965e-06	1.86302e-06	2.92482e-06	4.59788e-06	7.26638e-06	1.15847e-05	1.87139e-05	3.07954e-05	5.22412e-05	9.1181e-05	0.00016465	0.000307762	0.000591927	0.00115587	0.00226645	0.00435171	0.0081038	0.0145466	0.0250299	0.0408935	0.0629348	0.0889084	0.113769	0.130372	0.132815	0.119846	0.096247	0.0682795	0.0430289	0.024216	0.0122657	0.00565394	0.00242067	0.000974643	0.000379956	0.000147785	5.90343e-05	2.47407e-05	1.10181e-05	5.13824e-06	2.46388e-06	1.1806e-06	5.48685e-07	2.41078e-07	9.86544e-08	3.68488e-08	1.24861e-08	3.82084e-09	1.0538e-09	2.61902e-10	5.89239e-11	1.19439e-11	2.18986e-12	3.63923e-13	5.49403e-14	7.55265e-15	9.5072e-16	1.09228e-16	1.1504e-17	1.11319e-18	9.9197e-20	8.16098e-21	6.23522e-22	4.42152e-23	2.94159e-24	1.87308e-25	1.19763e-26	8.47907e-28	7.51576e-29	8.52006e-30	1.13822e-30	1.65648e-31	2.54006e-32	4.05431e-33	6.68953e-34	1.1209e-34	1.88941e-35	3.17438e-36	5.29245e-37	9.92605e-38	8.0136e-38	
N7	1.6786e-07	4.30617e-08	6.69392e-08	1.05356e-07	1.65858e-07	2.60657e-07	4.08622e-07	6.38553e-07	9.96178e-07	1.5505e-06	2.40731e-06	3.72851e-06	5.76753e-06	8.8921e-06	1.39699e-05	2.24513e-05	3.74709e-05	6.54637e-05	0.00011947	0.000225921	0.000443068	0.00089133	0.00183219	0.00379081	0.00771039	0.0150314	0.0276651	0.0468346	0.0720761	0.0998096	0.123428	0.135592	0.132679	0.11455	0.0874204	0.0590552	0.0354211	0.0189757	0.00922624	0.00411281	0.0017296	0.000707754	0.000289997	0.000121455	5.29047e-05	2.38548e-05	1.10792e-05	5.18802e-06	2.37595e-06	1.0317e-06	4.16185e-07	1.5225e-07	5.01531e-08	1.48293e-08	3.94037e-09	9.44557e-10	2.06068e-10	4.08656e-11	7.41039e-12	1.23168e-12	1.87885e-13	2.6328e-14	3.40739e-15	4.10088e-16	4.92982e-17	8.07365e-18	2.80373e-18	1.55649e-18	9.45716e-19	5.68912e-19	3.34724e-19	1.92342e-19	1.07982e-19	5.9258e-20	3.18404e-20	1.67053e-20	8.57968e-21	4.31545e-21	2.12678e-21	1.02746e-21	4.8732e-22	2.26382e-22	1.0335e-22	4.649e-23	2.07108e-23	9.21403e-24	4.13855e-24	1.88125e-24	8.59599e-25	3.84629e-25	1.62732e-25	6.31923e-26	2.22537e-26	
N8	1.2703e-06	5.46478e-10	2.7751e-13	7.12379e-17	2.11275e-11	0.000785575	2.80359e-06	2.35237e-09	8.10566e-13	1.52543e-16	2.49845e-11	0.000783405	2.35761e-06	1.66875e-09	4.8823e-13	7.83899e-17	1.10896e-11	0.000306261	8.35636e-07	5.52648e-10	1.58618e-13	2.63417e-17	4.06369e-12	0.000127982	4.10221e-07	3.18624e-10	1.07374e-13	6.07134e-15	2.92046e-08	0.994637	0.00334968	2.72319e-06	9.5855e-10	1.8465e-13	8.22754e-13	4.10509e-11	1.65429e-14	2.63377e-18	2.26885e-22	3.55188e-24	1.27545e-22	1.83484e-21	2.02465e-25	8.01096e-30	1.38563e-34	8.75447e-40	1.03236e-20	8.8728e-23	6.19971e-25	3.48171e-27	1.62684e-29	6.21775e-32	1.92976e-34	4.77809e-37	9.15217e-40	1.25849e-42	1.15082e-45	5.26288e-49	5.8234e-28	5.90022e-28	5.99534e-28	5.99511e-28	6.06994e-28	6.14284e-28	6.22723e-28	6.32427e-28	6.43438e-28	6.43925e-28	6.5044e-28	6.54618e-28	6.57405e-28	6.58557e-28	6.57963e-28	6.43891e-28	6.33299e-28	6.18432e-28	6.01005e-28	5.81541e-28	5.60591e-28	5.269e-28	4.97715e-28	4.65563e-28	4.31799e-28	3.96708e-28	3.60635e-28	3.24004e-28	2.87634e-28	2.51421e-28	2.16749e-28	1.84198e-28	1.5421e-28	1.27026e-28	1.02952e-28	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	1.67889e-07	4.33472e-08	6.7397e-08	1.06077e-07	1.66982e-07	2.62399e-07	4.1132e-07	6.42727e-07	1.0026e-06	1.56031e-06	2.42216e-06	3.75082e-06	5.80087e-06	8.94335e-06	1.40541e-05	2.26e-05	3.77575e-05	6.60485e-05	0.000120689	0.000228484	0.000448497	0.000902902	0.00185699	0.00384306	0.00781534	0.015227	0.0279948	0.0473198	0.0726835	0.100427	0.123886	0.135742	0.132464	0.114039	0.0867789	0.0584519	0.034959	0.0186774	0.00905894	0.00402948	0.00169166	0.000691403	0.000283102	0.000118551	5.16561e-05	2.33014e-05	1.0823e-05	5.06433e-06	2.31518e-06	1.00255e-06	4.02998e-07	1.46801e-07	4.81311e-08	1.41602e-08	3.74286e-09	8.92373e-10	1.93617e-10	3.81751e-11	6.88143e-12	1.13678e-12	1.72317e-13	2.39846e-14	3.07695e-15	3.62149e-16	3.92383e-17	3.92073e-18	3.62156e-19	3.10213e-20	2.48137e-21	1.85557e-22	1.31199e-23	8.89486e-25	5.90089e-26	3.93023e-27	2.70278e-28	1.93686e-29	1.44368e-30	1.09928e-31	8.37016e-33	6.26588e-34	4.57859e-35	3.23075e-36	2.20058e-37	1.44499e-38	9.14057e-40	5.56965e-41	3.28108e-42	1.86064e-43	1.01875e-44	5.38753e-46	2.75304e-47	1.42758e-48	3.86025e-49	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	6.28238e-07	3.16571e-07	4.93709e-07	7.71233e-07	1.2048e-06	1.8861e-06	2.96856e-06	4.71652e-06	7.60698e-06	1.25006e-05	2.09553e-05	3.5737e-05	6.16122e-05	0.000106129	0.000183261	0.000314863	0.000543317	0.000958491	0.00176181	0.0033841	0.00667401	0.0129312	0.0237896	0.0405228	0.062933	0.0883341	0.112023	0.127196	0.129399	0.117908	0.0962593	0.0704871	0.0465834	0.0277159	0.0150044	0.00749664	0.00354268	0.00164714	0.00079853	0.000424899	0.000258375	0.000178867	0.000135299	0.000105869	8.21078e-05	6.07904e-05	4.23002e-05	2.74239e-05	1.65123e-05	9.2315e-06	4.81196e-06	2.32921e-06	1.05084e-06	4.42749e-07	1.74618e-07	6.46273e-08	2.25526e-08	7.39833e-09	2.28968e-09	6.69579e-10	1.85359e-10	4.86688e-11	1.21661e-11	2.8865e-12	6.51975e-13	1.40344e-13	2.88313e-14	5.66097e-15	1.06566e-15	1.91727e-16	3.30561e-17	5.46576e-18	8.67669e-19	1.32402e-19	1.94719e-20	2.75126e-21	3.74396e-22	4.9096e-23	6.20962e-24	7.58319e-25	8.96266e-26	1.02232e-26	1.1289e-27	1.20977e-28	1.26469e-29	1.30115e-30	1.33381e-31	1.36749e-32	1.39548e-33	1.38182e-34	1.2803e-35	1.0746e-36	8.0581e-38	
Bulbostylis_funckii	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	1.04075e-20	1.67236e-15	3.58399e-08	2.30795e-10	3.52483e-13	2.21899e-16	7.44323e-20	2.40731e-15	4.51815e-08	2.52742e-10	3.35452e-13	1.83898e-16	9.03583e-16	5.96714e-08	0.995028	0.00496608	6.17717e-06	3.32015e-09	9.62373e-13	1.65285e-16	1.86303e-20	1.41407e-24	7.39551e-29	2.67711e-33	6.64334e-38	1.06603e-42	1.12039e-47	7.05549e-53	2.3865e-58	3.49966e-64	1.29193e-70	1.84814e-32	1.86838e-32	1.88857e-32	1.91308e-32	1.94289e-32	1.97903e-32	1.95868e-32	1.98084e-32	2.00243e-32	2.02822e-32	2.05926e-32	2.09659e-32	2.07739e-32	2.1009e-32	2.12367e-32	2.15071e-32	2.18309e-32	2.22186e-32	2.2042e-32	2.22963e-32	2.25439e-32	2.28385e-32	2.31916e-32	2.36146e-32	2.34802e-32	2.37864e-32	2.4091e-32	2.44489e-32	2.48682e-32	2.53542e-32	2.5271e-32	2.56078e-32	2.59037e-32	2.62027e-32	2.64981e-32	2.67826e-32	2.64109e-32	2.63711e-32	2.62029e-32	2.59634e-32	2.56623e-32	2.53119e-32	2.42882e-32	2.36015e-32	2.28115e-32	2.19822e-32	2.11263e-32	2.02537e-32	1.87335e-32	1.75698e-32	1.63257e-32	1.50496e-32	1.37532e-32	1.24504e-32	1.11569e-32	9.90562e-33	8.68484e-33	7.53483e-33	6.46612e-33	5.48368e-33	4.58646e-33	3.78366e-33	
Bulbostylis_stenophylla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_warei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_capillaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
