NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.220803	0.203034	0.17215	0.135226	0.098934	0.0677642	0.0436523	0.0265469	0.0152866	0.00835276	0.00433703	0.00214167	0.00100612	0.000449626	0.000191352	7.75545e-05	2.9935e-05	1.10047e-05	3.85356e-06	1.28571e-06	4.089e-07	1.23855e-07	3.5732e-08	9.81884e-09	2.56993e-09	6.40647e-10	1.52093e-10	3.43814e-11	7.39897e-12	1.51545e-12	2.95331e-13	7.17355e-17	3.01235e-17	1.2329e-17	4.91673e-18	1.90991e-18	7.22434e-19	2.66002e-19	9.53077e-20	3.32185e-20	1.1259e-20	3.70981e-21	1.188e-21	3.69662e-22	1.11765e-22	3.28146e-23	9.35415e-24	2.58844e-24	6.95188e-25	1.8119e-25	4.58235e-26	1.1244e-26	2.67667e-27	6.18145e-28	1.38481e-28	3.00954e-29	6.34615e-30	1.29807e-30	2.57555e-31	4.95722e-32	9.25598e-33	1.67666e-33	2.94669e-34	5.02481e-35	8.31451e-36	1.33513e-36	2.08076e-37	3.14765e-38	4.62326e-39	6.59251e-40	9.12731e-41	1.22709e-41	1.60214e-42	2.03176e-43	2.50293e-44	2.9956e-45	3.4837e-46	3.9371e-47	4.32469e-48	4.61792e-49	4.795e-50	4.84127e-51	4.75361e-52	4.5399e-53	4.21786e-54	3.81268e-55	3.35372e-56	2.87117e-57	2.39292e-58	1.94259e-59	1.5411e-60	1.23464e-61	1.43639e-62	
N2	0.191483	0.178119	0.155169	0.13	0.102305	0.0779921	0.0560379	0.0393614	0.0261004	0.0171109	0.0105949	0.00658355	0.00385579	0.00230588	0.00129214	0.00075648	0.000410248	0.000237857	0.000126039	7.30101e-05	3.79195e-05	2.19135e-05	1.1224e-05	6.50036e-06	3.30712e-06	1.88075e-06	9.21958e-07	5.0493e-07	2.35995e-07	1.2366e-07	5.56359e-08	2.84067e-08	1.24268e-08	6.26193e-09	2.77902e-09	1.4362e-09	6.65008e-10	3.29972e-10	1.41717e-10	6.47173e-11	2.57325e-11	1.09254e-11	4.13646e-12	1.70484e-12	6.33781e-13	2.63076e-13	1.02731e-13	4.50704e-14	1.87389e-14	7.67029e-15	2.78278e-15	1.01086e-15	3.31104e-16	1.10261e-16	3.39354e-17	1.09026e-17	3.30566e-18	1.08283e-18	3.48976e-19	1.22693e-19	4.24866e-20	1.38376e-20	4.06822e-21	1.16086e-21	3.06175e-22	7.9922e-23	1.97817e-23	4.99288e-24	1.23099e-24	3.22181e-25	8.5465e-26	2.43126e-26	6.93318e-27	1.81947e-27	4.33033e-28	9.87153e-29	2.08492e-29	4.28603e-30	8.24431e-31	1.56376e-31	2.77667e-32	4.93723e-33	8.26542e-34	1.4264e-34	2.35205e-35	4.24599e-36	7.85392e-37	1.72179e-37	4.05115e-38	1.08092e-38	2.99211e-39	9.30587e-40	4.32775e-40	
N3	0.169264	0.159374	0.142278	0.123562	0.102034	0.0824136	0.0634993	0.0481396	0.0348775	0.0250127	0.0171583	0.0117256	0.00765807	0.00501219	0.00312928	0.00197436	0.00118363	0.000722978	0.000417901	0.000248299	0.000138752	8.03218e-05	4.34748e-05	2.45721e-05	1.28994e-05	7.08153e-06	3.57727e-06	1.89701e-06	9.18968e-07	4.69141e-07	2.18367e-07	1.07654e-07	4.81976e-08	2.2959e-08	9.95726e-09	4.61803e-09	1.9512e-09	8.70689e-10	3.50909e-10	1.49355e-10	5.73243e-11	2.32794e-11	8.58091e-12	3.36168e-12	1.19647e-12	4.54561e-13	1.58558e-13	5.92259e-14	2.04026e-14	7.30078e-15	2.37112e-15	7.99632e-16	2.45353e-16	7.8392e-17	2.30307e-17	7.08804e-18	2.01362e-18	6.02992e-19	1.69021e-19	5.0124e-20	1.40008e-20	3.96425e-21	1.03135e-21	2.72907e-22	6.67592e-23	1.67035e-23	3.91203e-24	9.45121e-25	2.15161e-25	5.09587e-26	1.15286e-26	2.72487e-27	6.17821e-28	1.39064e-28	2.89848e-29	6.03503e-30	1.16943e-30	2.27656e-31	4.15349e-32	7.6742e-33	1.33141e-33	2.36848e-34	4.0094e-35	7.11487e-36	1.22639e-36	2.27794e-37	4.251e-38	8.60301e-39	1.75968e-39	3.79633e-40	8.29684e-41	2.00006e-41	7.29337e-42	
N4	0.0801902	0.0812835	0.0829773	0.0858145	0.0864005	0.0859559	0.0818933	0.0765814	0.0683475	0.0600066	0.0503187	0.0416425	0.0328638	0.0256107	0.0189715	0.0138991	0.00963756	0.00662013	0.0042904	0.00276285	0.00167345	0.0010103	0.000572142	0.0003244	0.000172135	9.16895e-05	4.55706e-05	2.28317e-05	1.06498e-05	5.02832e-06	2.20967e-06	9.86927e-07	4.09599e-07	1.73259e-07	6.80648e-08	2.73242e-08	1.01692e-08	3.85494e-09	1.3486e-09	4.80755e-10	1.5773e-10	5.27652e-11	1.62545e-11	5.11178e-12	1.47818e-12	4.36746e-13	1.18865e-13	3.30969e-14	8.48885e-15	2.2096e-15	5.27149e-16	1.27681e-16	2.83394e-17	6.39363e-18	1.32698e-18	2.80508e-19	5.45919e-20	1.08397e-20	1.99113e-21	3.73818e-22	6.50653e-23	1.14375e-23	1.85274e-24	3.03815e-25	4.61228e-26	7.15625e-27	1.05309e-27	1.65887e-28	2.71483e-29	5.46562e-30	1.29121e-30	3.7423e-31	1.1328e-31	3.63608e-32	1.1128e-32	3.48362e-33	1.02611e-33	3.08437e-34	8.76791e-35	2.55728e-35	7.10106e-36	2.03983e-36	5.66142e-37	1.63973e-37	4.6525e-38	1.38035e-38	4.05966e-39	1.23648e-39	3.74213e-40	1.16323e-40	3.69109e-41	1.31986e-41	6.90458e-42	
N5	0.0358412	0.0382958	0.0430942	0.0507461	0.0592254	0.0688156	0.0763166	0.0825193	0.0838577	0.0828639	0.0767079	0.0695193	0.0589152	0.049138	0.0380355	0.0291031	0.0204065	0.0142333	0.00901118	0.00575867	0.0033185	0.00197327	0.00105693	0.000601257	0.00030761	0.000169971	8.33308e-05	4.46773e-05	2.08434e-05	1.06857e-05	4.69545e-06	2.27673e-06	9.2772e-07	4.18936e-07	1.58744e-07	6.71682e-08	2.38568e-08	9.13924e-09	2.88022e-09	9.75359e-10	2.7064e-10	8.08669e-11	2.00265e-11	5.39403e-12	1.20178e-12	2.9521e-13	6.17338e-14	1.44188e-14	2.92111e-15	6.06808e-16	1.05909e-16	1.9648e-17	3.55608e-18	1.03941e-18	4.81439e-19	3.30208e-19	2.20277e-19	1.6704e-19	1.18737e-19	9.59141e-20	7.37085e-20	5.65283e-20	3.85806e-20	2.68145e-20	1.68839e-20	1.09831e-20	6.6271e-21	4.2188e-21	2.52342e-21	1.64056e-21	1.04392e-21	7.35284e-22	5.11049e-22	3.39716e-22	2.0395e-22	1.2131e-22	6.65433e-23	3.67434e-23	1.89714e-23	9.98247e-24	4.89014e-24	2.46817e-24	1.16487e-24	5.76178e-25	2.65369e-25	1.32257e-25	6.41494e-26	3.61745e-26	2.1424e-26	1.5194e-26	1.1556e-26	1.00094e-26	1.05e-26	
N6	0.0357261	0.0381687	0.0429606	0.050592	0.0591033	0.0686927	0.0762928	0.0824929	0.083975	0.0829472	0.076927	0.0696365	0.0591109	0.0491918	0.0381402	0.0290917	0.0204406	0.0142022	0.0090145	0.00573405	0.00331399	0.00196001	0.00105274	0.000595144	0.000305018	0.000167364	8.21796e-05	4.37093e-05	2.04205e-05	1.03743e-05	4.56526e-06	2.19026e-06	8.94041e-07	3.98998e-07	1.51376e-07	6.32104e-08	2.23996e-08	8.46872e-09	2.6643e-09	8.90759e-10	2.46401e-10	7.27651e-11	1.79197e-11	4.77837e-12	1.05513e-12	2.57364e-13	5.30039e-14	1.23415e-14	2.43353e-15	5.07323e-16	8.52657e-17	1.54576e-17	2.2152e-18	3.58476e-19	4.47871e-20	6.91959e-21	7.51381e-22	1.16069e-22	1.14399e-23	1.93806e-24	1.82297e-25	3.04607e-26	2.22506e-27	4.13442e-28	2.41671e-29	5.77951e-30	3.56877e-31	1.57855e-31	1.23933e-32	8.51291e-33	7.52701e-34	6.4572e-34	8.05462e-35	5.14956e-35	5.46352e-36	3.50247e-36	3.44204e-37	1.99584e-37	1.97528e-38	1.10813e-38	1.00937e-39	5.06013e-40	4.5543e-41	2.24392e-41	1.83973e-42	8.29374e-43	6.64127e-44	3.01209e-44	2.13816e-45	9.12647e-46	6.42773e-47	4.11706e-47	7.69226e-47	
N7	0.027582	0.0299331	0.0347001	0.04246	0.0518681	0.0629982	0.0731607	0.082141	0.0869003	0.0884796	0.0847863	0.0781969	0.0675304	0.055923	0.0430815	0.0318847	0.0218912	0.0145906	0.0090567	0.00556654	0.00320196	0.00186516	0.00101456	0.000571238	0.000296558	0.000162005	7.97263e-05	4.19016e-05	1.92662e-05	9.58067e-06	4.05899e-06	1.88314e-06	7.24678e-07	3.08862e-07	1.07382e-07	4.19007e-08	1.31491e-08	4.6362e-09	1.29894e-09	4.12116e-10	1.02757e-10	2.91907e-11	6.53289e-12	1.6763e-12	3.35763e-13	7.74775e-14	1.41343e-14	2.99641e-15	5.05123e-16	9.64168e-17	1.47253e-17	2.62868e-18	4.24899e-19	1.14378e-19	4.36418e-20	2.66657e-20	1.48568e-20	9.90653e-21	5.67284e-21	3.83945e-21	2.24814e-21	1.46243e-21	8.1368e-22	5.04722e-22	2.67725e-22	1.58402e-22	8.22914e-23	4.77243e-23	2.40397e-23	1.35775e-23	6.91172e-24	3.99559e-24	2.1126e-24	1.17074e-24	5.75712e-25	3.00974e-25	1.40435e-25	6.99539e-26	3.17654e-26	1.53884e-26	6.69478e-27	3.09966e-27	1.30555e-27	5.87127e-28	2.36613e-28	1.0319e-28	4.18489e-29	1.93587e-29	8.93453e-30	5.0568e-30	3.10526e-30	2.23405e-30	2.00112e-30	
N8	8.91322e-17	1.94132e-13	2.05461e-10	9.14498e-10	6.44392e-07	0.00011804	6.48974e-07	1.38855e-09	1.74839e-10	3.88683e-12	2.59734e-12	3.16447e-12	4.60669e-12	4.88079e-09	4.83658e-06	5.14723e-07	6.54014e-07	5.89413e-05	5.6736e-07	3.83943e-07	2.31877e-07	1.53446e-10	2.7834e-13	3.96764e-13	4.50971e-13	2.13082e-12	4.99466e-09	8.05749e-06	0.00554027	0.98917	0.0050891	6.81799e-06	3.87364e-09	1.2715e-12	1.38577e-15	1.33077e-15	1.06805e-15	6.34313e-16	2.48837e-16	6.70619e-17	1.01713e-17	7.24073e-19	2.40724e-22	3.79362e-26	3.41269e-30	2.17495e-34	9.45861e-39	3.22628e-43	7.98574e-48	1.60762e-52	2.40274e-57	2.97007e-62	2.74338e-67	2.09797e-72	1.19256e-77	5.53119e-83	1.85615e-88	4.88542e-94	8.76972e-100	1.11862e-105	8.15102e-112	2.80146e-118	2.51595e-57	4.6495e-60	7.24232e-63	1.04282e-65	1.24801e-68	1.35044e-71	1.17673e-74	8.88234e-78	5.08615e-81	2.28594e-84	6.54247e-88	9.76096e-92	4.25667e-28	4.25753e-28	4.06214e-28	4.05469e-28	3.88652e-28	3.91557e-28	3.81068e-28	3.92369e-28	3.95963e-28	4.25721e-28	4.54844e-28	5.18294e-28	5.94338e-28	7.19066e-28	8.75967e-28	1.10579e-27	1.40087e-27	1.80832e-27	2.33144e-27	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
