NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.444247	0.309736	0.15784	0.062064	0.0196235	0.00511823	0.00112301	0.000209505	3.35664e-05	4.64598e-06	5.59067e-07	5.87425e-08	5.41327e-09	4.38957e-10	3.14162e-11	1.98915e-12	1.11638e-13	1.59461e-17	3.35561e-18	6.66008e-19	1.24716e-19	2.20391e-20	3.67581e-21	5.78656e-22	8.59774e-23	1.2056e-23	1.5952e-24	1.99125e-25	2.3444e-26	2.60265e-27	2.72366e-28	2.68606e-29	2.49565e-30	2.18396e-31	1.79971e-32	1.3963e-33	1.01981e-34	7.01131e-36	4.53756e-37	2.76454e-38	1.58585e-39	8.56711e-41	4.35976e-42	2.09071e-43	9.45155e-45	4.02981e-46	1.62126e-47	6.15799e-49	2.20949e-50	7.49319e-52	2.40345e-53	7.29582e-55	2.09733e-56	5.71349e-58	1.47595e-59	3.61799e-61	8.42149e-63	1.86264e-64	3.91726e-66	7.83868e-68	1.49349e-69	2.71111e-71	4.69208e-73	7.74709e-75	1.22109e-76	1.83849e-78	2.64581e-80	3.64169e-82	4.79684e-84	6.05029e-86	7.31169e-88	8.4709e-90	9.41363e-92	1.00401e-93	1.02828e-95	1.01183e-97	9.5709e-100	8.70701e-102	7.6221e-104	6.42368e-106	5.21442e-108	4.07894e-110	3.07615e-112	2.23762e-114	1.57064e-116	1.06431e-118	6.96542e-121	4.40449e-123	2.6921e-125	1.59117e-127	9.09891e-130	5.04699e-132	3.16681e-134	
N2	0.326848	0.280852	0.188871	0.10938	0.053331	0.025058	0.00963889	0.00389712	0.00136933	0.000507146	0.000158853	6.32401e-05	1.73743e-05	6.45195e-06	1.79045e-06	6.20631e-07	1.49375e-07	5.38624e-08	1.13045e-08	3.74529e-09	7.88147e-10	2.23371e-10	4.26047e-11	1.36098e-11	2.08805e-12	5.39778e-13	9.13795e-14	2.20976e-14	2.99959e-15	7.28336e-16	8.95435e-17	2.0392e-17	2.42244e-18	4.31522e-19	4.85285e-20	1.05432e-20	8.99581e-22	1.4519e-22	1.46524e-23	2.36836e-24	1.8556e-25	2.8465e-26	2.03619e-27	3.00861e-28	2.1802e-29	2.48448e-30	1.75614e-31	2.57968e-32	1.31614e-33	1.34097e-34	8.21384e-36	8.59174e-37	4.2071e-38	4.46281e-39	2.04618e-40	2.06565e-41	9.01002e-43	6.69347e-44	2.97209e-45	2.92231e-46	9.53051e-48	6.81128e-49	2.94031e-50	2.18478e-51	6.69976e-53	4.62936e-54	1.37841e-55	9.52605e-57	2.84953e-58	1.53622e-59	4.98865e-61	3.70406e-62	7.89989e-64	3.71401e-65	1.03285e-66	5.31315e-68	1.16337e-69	6.09586e-71	1.34855e-72	7.26871e-74	1.51042e-75	5.4787e-77	1.17393e-78	6.11509e-80	9.45745e-82	3.44804e-83	7.40043e-85	3.06485e-86	5.13983e-88	2.26518e-89	7.10353e-91	4.92556e-92	4.55218e-93	
N3	0.277941	0.251872	0.188168	0.126156	0.0743989	0.0424482	0.0208779	0.0102771	0.00457551	0.00199325	0.000783282	0.000329316	0.000114391	4.36506e-05	1.45301e-05	5.02565e-06	1.47662e-06	4.99807e-07	1.28511e-07	3.89378e-08	9.60001e-09	2.56432e-09	5.58143e-10	1.47871e-10	2.76212e-11	6.38788e-12	1.17918e-12	2.42957e-13	3.86283e-14	7.81652e-15	1.09591e-15	1.98371e-16	2.6937e-17	4.2176e-18	5.13889e-19	8.28364e-20	8.55098e-21	1.17491e-21	1.24095e-22	1.55523e-23	1.4142e-24	1.73943e-25	1.40938e-26	1.57494e-27	1.26618e-28	1.21548e-29	8.85753e-31	9.02516e-32	5.57209e-33	4.80076e-34	3.10031e-35	2.47095e-36	1.38634e-37	1.1103e-38	5.59984e-40	4.07114e-41	2.04362e-42	1.27967e-43	5.96266e-45	4.03282e-46	1.59083e-47	9.1653e-49	3.92292e-50	2.10697e-51	7.67072e-53	4.13426e-54	1.38607e-55	6.92019e-57	2.33264e-58	1.0098e-59	3.22938e-61	1.55384e-62	4.11708e-64	1.63659e-65	4.77158e-67	1.81367e-68	4.59757e-70	1.77348e-71	4.17995e-73	1.51892e-74	3.61599e-76	1.10918e-77	2.48784e-79	8.64872e-81	1.65372e-82	4.89768e-84	1.0798e-85	3.27208e-87	7.65499e-89	2.93241e-90	1.06115e-91	5.09974e-93	3.23458e-94	
N4	0.0940447	0.114234	0.131979	0.141411	0.132942	0.118509	0.0908334	0.0677375	0.0454518	0.028842	0.016433	0.00934451	0.00450271	0.00218732	0.000940877	0.000390196	0.000141502	5.27504e-05	1.59529e-05	4.99476e-06	1.33341e-06	3.46759e-07	7.66061e-08	1.77873e-08	3.21945e-09	6.19954e-10	1.00547e-10	1.62082e-11	2.17977e-12	3.18516e-13	3.59821e-14	4.46325e-15	4.58363e-16	4.80916e-17	4.23317e-18	4.17625e-19	3.10812e-20	2.61721e-21	1.84781e-22	1.36929e-23	8.47425e-25	6.35569e-26	4.45533e-27	5.83158e-28	1.026e-28	2.38347e-29	4.91476e-30	1.20463e-30	2.19287e-31	4.6968e-32	8.35486e-33	1.60225e-33	2.50515e-34	4.66207e-35	6.46364e-36	1.07338e-36	1.44368e-37	2.11524e-38	2.56562e-39	3.74969e-40	3.98186e-41	5.12845e-42	5.46366e-43	6.37617e-44	5.99021e-45	6.88241e-46	5.85318e-47	6.10694e-48	5.10511e-49	4.74419e-50	3.63978e-51	3.45605e-52	2.32804e-53	1.94582e-54	1.33873e-55	1.0337e-56	6.3668e-58	4.89098e-59	2.75513e-60	1.95094e-61	1.09817e-62	6.93916e-64	3.61749e-65	2.38999e-66	1.13849e-67	6.97431e-69	3.75634e-70	2.44477e-71	1.5407e-72	1.21878e-73	9.49824e-75	8.35363e-76	1.05742e-76	
N5	0.0229079	0.03516	0.0579403	0.0902496	0.118883	0.142806	0.13799	0.126335	0.0979751	0.0706848	0.0433247	0.0279451	0.0138984	0.00770048	0.00350885	0.0016839	0.000620079	0.000273866	7.71862e-05	2.73258e-05	6.69338e-06	1.8737e-06	3.64892e-07	9.70521e-08	1.42864e-08	2.97438e-09	4.18325e-10	7.42949e-11	8.5186e-12	1.54026e-12	1.57347e-13	2.57892e-14	2.51599e-15	3.25026e-16	2.83228e-17	6.09865e-18	1.79081e-18	1.66844e-18	1.12684e-18	1.12535e-18	6.26433e-19	6.22398e-19	3.13227e-19	2.94373e-19	1.50374e-19	1.12917e-19	5.41874e-20	4.98323e-20	1.85036e-20	1.29102e-20	5.60949e-21	3.90176e-21	1.3838e-21	9.7804e-22	3.20451e-22	2.13946e-22	6.91606e-23	3.62172e-23	1.16468e-23	7.74079e-24	1.90415e-24	9.64618e-25	3.01748e-25	1.55324e-25	3.69073e-26	1.8695e-26	4.27872e-27	2.13768e-27	4.96481e-28	1.98621e-28	4.8722e-29	2.62383e-29	4.5336e-30	1.67353e-30	3.72913e-31	1.49004e-31	2.68364e-32	1.10659e-32	1.9851e-33	8.29963e-34	1.46552e-34	4.39221e-35	7.92716e-36	3.37461e-36	4.56225e-37	1.41922e-37	2.63088e-38	9.12743e-39	1.36484e-39	5.19095e-40	1.43457e-40	8.8411e-41	6.52991e-41	
N6	0.0227421	0.0348822	0.0575528	0.0898094	0.118719	0.142705	0.138369	0.126583	0.0983664	0.070869	0.0435533	0.02798	0.0139716	0.00770186	0.00351694	0.00167656	0.000618861	0.000270568	7.64786e-05	2.67692e-05	6.55624e-06	1.81512e-06	3.52434e-07	9.26357e-08	1.35642e-08	2.79597e-09	3.90113e-10	6.86087e-11	7.75016e-12	1.39094e-12	1.39084e-13	2.25126e-14	2.15089e-15	2.71231e-16	2.16681e-17	2.79058e-18	1.57852e-19	1.4354e-20	7.9623e-22	6.18228e-23	2.54348e-24	2.08129e-25	1.07201e-26	1.64938e-27	1.52344e-28	2.56148e-29	2.06543e-30	5.05728e-31	2.41465e-32	5.41534e-33	3.10686e-34	8.22155e-35	2.11654e-36	1.19867e-36	2.03752e-38	1.31633e-38	4.36537e-40	1.10746e-40	1.92943e-42	1.45512e-42	1.15123e-44	7.76678e-45	1.5579e-46	6.54706e-47	3.70332e-49	3.37726e-49	1.39496e-51	1.8198e-51	8.51151e-54	6.1561e-54	1.84528e-56	3.18526e-56	5.1364e-59	6.55847e-59	1.5777e-61	2.05593e-61	2.9154e-64	3.74227e-64	5.55366e-67	8.75703e-67	1.26237e-69	1.25364e-69	3.17837e-72	1.62947e-71	7.65366e-74	3.60503e-73	3.32668e-75	2.01727e-74	1.69462e-76	2.44662e-75	5.78249e-77	1.69168e-75	3.51625e-75	
N7	0.0136247	0.0222961	0.0408874	0.0713292	0.106004	0.138291	0.147499	0.140135	0.114513	0.0838888	0.0540478	0.0338744	0.0177281	0.00920823	0.0040835	0.00170747	0.00058589	0.000215862	5.71761e-05	1.74268e-05	4.10118e-06	1.06219e-06	2.08176e-07	5.57686e-08	9.13423e-09	2.17469e-09	3.58769e-10	7.43809e-11	9.91877e-12	2.02486e-12	2.17139e-13	3.61077e-14	3.41178e-15	4.23972e-16	3.263e-17	5.62824e-18	1.0902e-18	7.19251e-19	3.36908e-19	2.42251e-19	9.46562e-20	6.889e-20	2.39194e-20	1.63309e-20	5.83813e-21	3.16702e-21	1.04783e-21	7.1858e-22	1.82978e-22	9.50574e-23	2.96193e-23	1.54021e-23	3.78083e-24	2.04179e-24	4.63155e-25	2.39017e-25	5.47791e-26	2.15776e-26	4.96985e-27	2.64113e-27	4.46783e-28	1.73939e-28	3.94601e-29	1.60685e-29	2.66283e-30	1.06276e-30	1.75081e-31	7.15019e-32	1.15567e-32	3.58627e-33	6.31592e-34	2.78833e-34	3.36211e-35	9.81646e-36	1.60037e-36	5.34663e-37	6.73189e-38	2.1997e-38	2.83588e-39	9.84922e-40	1.23076e-40	2.92345e-41	3.93614e-42	1.54273e-42	2.03683e-43	1.25066e-43	7.14203e-44	1.05997e-43	5.90628e-44	9.84797e-44	1.03003e-43	3.02502e-43	8.85573e-43	
N8	8.06443e-30	5.44706e-25	5.38903e-21	1.5812e-18	2.49447e-14	3.35642e-15	5.82228e-11	5.56415e-13	6.96088e-11	8.74602e-08	9.13485e-10	4.85549e-12	5.41755e-08	0.000116078	8.76338e-05	7.19644e-09	6.15289e-11	9.73169e-09	3.38506e-05	0.0402751	0.0548673	6.20937e-06	3.14397e-10	1.03895e-14	1.21526e-13	3.71094e-09	5.97597e-05	0.324354	0.434949	0.145229	2.17976e-05	1.44254e-09	4.56186e-14	9.38352e-19	3.94105e-20	5.03465e-20	3.53141e-20	1.88173e-20	5.76996e-21	1.14695e-21	1.08782e-22	4.83284e-24	9.84279e-29	8.68649e-34	2.93832e-39	3.96372e-45	3.65125e-21	1.52906e-23	4.1874e-26	1.12525e-28	2.20484e-31	3.91259e-34	4.9297e-37	5.98591e-40	4.50004e-43	3.00673e-46	1.14526e-49	2.43333e-53	4.49131e-27	4.8411e-27	4.0875e-27	4.24197e-27	3.85672e-27	3.91955e-27	3.41822e-27	3.68743e-27	3.13759e-27	3.30984e-27	2.9728e-27	3.01792e-27	2.66415e-27	2.93628e-27	2.4594e-27	2.57784e-27	2.3376e-27	2.41242e-27	2.09998e-27	2.29575e-27	1.94601e-27	2.08545e-27	1.87648e-27	1.92116e-27	1.6983e-27	1.91303e-27	1.65301e-27	1.85021e-27	1.90878e-27	2.41503e-27	3.0945e-27	4.99266e-27	8.13352e-27	1.46398e-26	2.64031e-26	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
