NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.000600556	0.0008123	0.00110234	0.00145586	0.00186722	0.00233133	0.00284189	0.00339165	0.00397333	0.00458009	0.00520547	0.00584289	0.00648502	0.00712467	0.00775554	0.0083725	0.00897154	0.00954959	0.0101044	0.0106343	0.0111383	0.0116155	0.012065	0.0124845	0.0128713	0.0132241	0.0135426	0.0138268	0.0140776	0.0142962	0.014484	0.0146426	0.0147739	0.0148795	0.0149612	0.0150207	0.0150596	0.0150795	0.0150819	0.0150683	0.0150399	0.0149981	0.014944	0.0148787	0.0148033	0.0147179	0.0146201	0.0145089	0.0143864	0.0142544	0.0141143	0.0139675	0.0138153	0.0136587	0.0134986	0.013336	0.0131715	0.0130058	0.0128395	0.0126731	0.0125071	0.0123419	0.0121778	0.0120152	0.0118542	0.0116951	0.0115382	0.0113835	0.0112311	0.0110813	0.010934	0.0107894	0.0106475	0.0105083	0.0103719	0.0102383	0.0101074	0.00997936	0.00985408	0.00973157	0.00961182	0.00949481	0.00938051	0.00926888	0.00915989	0.00905351	0.0089497	0.0088484	0.00874958	0.0086532	0.00855925	0.00846834	0.00838722	
N2	0.000392152	0.000993018	0.0017924	0.00287704	0.00408407	0.00556048	0.00706449	0.00877839	0.0103934	0.012153	0.0137091	0.0153604	0.0167261	0.0181633	0.0192673	0.0204358	0.0212427	0.0221253	0.0226438	0.023256	0.0235106	0.0238827	0.0239143	0.0240828	0.023927	0.023926	0.0236211	0.0234828	0.0230586	0.0228128	0.0223038	0.0219808	0.0214144	0.0210408	0.020445	0.0200427	0.019433	0.0190143	0.018401	0.0179682	0.0173454	0.0168883	0.0162427	0.0157419	0.0150498	0.0144849	0.0137351	0.0131053	0.012304	0.0116253	0.0108018	0.0101156	0.00931832	0.00867872	0.00796145	0.00741445	0.00681	0.00637622	0.00589202	0.00556538	0.00518355	0.00494082	0.00463569	0.00445034	0.00419583	0.00404631	0.00382551	0.00369826	0.0034997	0.00338719	0.00320615	0.00310478	0.00293756	0.00284536	0.00269104	0.00260695	0.0024636	0.0023867	0.00225399	0.00218365	0.00206008	0.00199561	0.00188106	0.001822	0.00171525	0.0016611	0.00156218	0.00151265	0.00142063	0.00137541	0.00129053	0.00124968	0.00117321	
N3	0.0013037	0.00393046	0.00831771	0.0146245	0.021709	0.029401	0.0361098	0.0422793	0.046429	0.0498045	0.0510052	0.0517476	0.0505532	0.0493587	0.0466013	0.0442439	0.0406893	0.0378574	0.0341794	0.0314195	0.02806	0.0256877	0.0228704	0.0209799	0.0186995	0.0172306	0.0154035	0.01425	0.012755	0.0118207	0.0105829	0.0098077	0.00876481	0.00811255	0.00723924	0.00669196	0.00595944	0.00550383	0.00490009	0.00452635	0.00402937	0.0037259	0.00332342	0.00307943	0.00275137	0.00255537	0.00229089	0.00213429	0.00191831	0.00179212	0.00161639	0.00151387	0.00136783	0.00128348	0.00116268	0.00109277	0.000990789	0.000932257	0.000846861	0.00079767	0.000724821	0.000683192	0.000621743	0.000586489	0.000533774	0.000503788	0.000459177	0.000433703	0.000395338	0.000373633	0.000341117	0.000322662	0.000294662	0.000278931	0.000255184	0.000241803	0.000221326	0.000209912	0.000192514	0.000182792	0.000167752	0.000159441	0.00014663	0.00013953	0.000128413	0.000122322	0.00011281	0.000107585	9.92897e-05	9.47858e-05	8.76575e-05	8.3802e-05	7.7819e-05	
N4	0.00227006	0.00766379	0.0171717	0.030552	0.0433259	0.054977	0.0608682	0.0648777	0.0630024	0.0618774	0.0564851	0.0537903	0.0476746	0.0449067	0.0392833	0.0368526	0.0318851	0.0297847	0.0256579	0.0239117	0.0204755	0.0190362	0.0163266	0.0151893	0.0130096	0.0121115	0.0104372	0.0097438	0.00840079	0.00785181	0.00681344	0.00637976	0.0055318	0.00517703	0.00451128	0.0042214	0.00366959	0.00342654	0.00298846	0.00278664	0.00242235	0.00225282	0.00196415	0.00182405	0.00158567	0.00146954	0.00128206	0.00118847	0.00103597	0.000960324	0.000841301	0.000780752	0.000683908	0.000635075	0.000559099	0.000519964	0.000457892	0.000426254	0.000377305	0.000351816	0.000311563	0.000290805	0.000258712	0.000241817	0.000215178	0.000201265	0.000179829	0.000168363	0.000150405	0.000140843	0.000126215	0.000118232	0.000105875	9.91442e-05	8.90056e-05	8.33317e-05	7.47241e-05	6.99052e-05	6.27934e-05	5.87078e-05	5.2657e-05	4.91781e-05	4.41733e-05	4.12212e-05	3.69683e-05	3.44577e-05	3.09363e-05	2.88107e-05	2.58273e-05	2.40272e-05	2.15659e-05	2.00617e-05	1.81038e-05	
N5	0.000988943	0.00380791	0.00967521	0.0192708	0.029956	0.0412797	0.048696	0.0553201	0.0563152	0.058555	0.0554367	0.0554985	0.0502095	0.0491836	0.0433392	0.0420314	0.0363368	0.0350939	0.0302556	0.0292891	0.0250751	0.024248	0.020793	0.0200734	0.0170094	0.0162857	0.013777	0.0131029	0.0109232	0.0102933	0.0085885	0.00806212	0.00665593	0.00622268	0.00517837	0.00485052	0.00401706	0.00376657	0.00315758	0.00297573	0.00248823	0.00235082	0.00199215	0.00189089	0.00159691	0.00151684	0.00129398	0.00123076	0.00104272	0.00098918	0.000844349	0.000799931	0.000677155	0.000639033	0.000544305	0.000512828	0.000433756	0.000407431	0.000347581	0.000326143	0.000276896	0.000258917	0.000221387	0.000206349	0.000175364	0.000162516	0.000138817	0.00012805	0.000108679	9.97198e-05	8.4996e-05	7.77634e-05	6.5999e-05	6.0228e-05	5.14563e-05	4.69439e-05	4.00442e-05	3.65187e-05	3.13776e-05	2.86477e-05	2.46127e-05	2.24887e-05	1.94791e-05	1.78322e-05	1.54605e-05	1.41727e-05	1.23807e-05	1.1374e-05	9.94931e-06	9.15508e-06	8.06944e-06	7.44659e-06	6.62325e-06	
N6	0.000985618	0.00379594	0.00965456	0.0192351	0.029933	0.0412453	0.048719	0.0553177	0.0564106	0.0585775	0.0555767	0.0555047	0.0503554	0.0491674	0.0434777	0.0419987	0.0364684	0.0350668	0.0303798	0.0292563	0.0251837	0.0242121	0.020877	0.0200154	0.017063	0.0162177	0.0138021	0.0130201	0.0109274	0.0102152	0.00858027	0.00798681	0.00664315	0.00616233	0.00516522	0.00479937	0.0040062	0.00372865	0.00314912	0.00294476	0.00248214	0.00232806	0.00198741	0.00187152	0.001593	0.00150147	0.00129002	0.00121651	0.00103864	0.000977131	0.000839948	0.000788545	0.00067273	0.000629354	0.000539937	0.000503996	0.000429716	0.000400134	0.000343802	0.000319627	0.000273418	0.000253442	0.000218089	0.000201417	0.000172304	0.000158342	0.000135994	0.000124386	0.000106191	9.67026e-05	8.28481e-05	7.5236e-05	6.4214e-05	5.822e-05	4.99841e-05	4.53102e-05	3.88536e-05	3.52347e-05	3.04117e-05	2.76122e-05	2.38368e-05	2.16749e-05	1.885e-05	1.7174e-05	1.49523e-05	1.36494e-05	1.19653e-05	1.09464e-05	9.60971e-06	8.80924e-06	7.78086e-06	7.1192e-06	6.22229e-06	
N7	0.000866324	0.00344529	0.00912867	0.0187341	0.0301749	0.0425096	0.0518158	0.0595879	0.0621551	0.0641818	0.0615809	0.0604119	0.0555062	0.0532253	0.0478323	0.0453045	0.039955	0.0373346	0.032374	0.0297988	0.0253313	0.0229646	0.019268	0.017305	0.0143684	0.0128582	0.0106837	0.00959239	0.00797641	0.00719764	0.00603042	0.00547409	0.00459231	0.00417896	0.00352205	0.00320647	0.00269137	0.00244105	0.00204735	0.00184766	0.00153665	0.00137645	0.00114117	0.00101505	0.000833715	0.000735645	0.000602464	0.000528311	0.000429353	0.000374218	0.00030396	0.000263911	0.000213319	0.000184662	0.000149648	0.000129504	0.000104816	9.07547e-05	7.38909e-05	6.4138e-05	5.22904e-05	4.54967e-05	3.73577e-05	3.2607e-05	2.68245e-05	2.34624e-05	1.9429e-05	1.70244e-05	1.41042e-05	1.23566e-05	1.02742e-05	8.99102e-06	7.45779e-06	6.5077e-06	5.40316e-06	4.70061e-06	3.88764e-06	3.3699e-06	2.78705e-06	2.40856e-06	1.98446e-06	1.70938e-06	1.40868e-06	1.21015e-06	9.93855e-07	8.51263e-07	6.99196e-07	5.97429e-07	4.89216e-07	4.16972e-07	3.41693e-07	2.9107e-07	2.41355e-07	
N8	6.89657e-20	1.24657e-14	2.51761e-12	5.28892e-08	1.76573e-07	1.51472e-06	1.96563e-06	0.00038554	0.000841499	0.00128287	0.00223786	0.00642227	0.0113781	0.0145618	0.0105385	0.00356339	0.0196925	0.07873	0.192425	0.338408	0.313756	0.000238183	3.18229e-06	2.2117e-05	0.00010188	0.000372697	0.000878765	0.0015403	0.00149284	0.000737139	1.302e-06	1.37007e-09	2.232e-09	2.73546e-08	2.23668e-07	1.48261e-06	6.74059e-06	2.48399e-05	6.11623e-05	0.000112156	0.000116656	6.14674e-05	1.81278e-07	2.80836e-10	2.61845e-13	1.93589e-16	1.04665e-19	4.98117e-23	1.86063e-26	6.45324e-30	1.83955e-33	4.99213e-37	1.13878e-40	2.52551e-44	4.81569e-48	9.00893e-52	1.46377e-55	2.35969e-59	3.35275e-63	4.74012e-67	5.93735e-71	7.45032e-75	8.36827e-79	9.42024e-83	9.51749e-87	9.68014e-91	8.90862e-95	8.24303e-99	6.91022e-103	5.84126e-107	4.50128e-111	3.49123e-115	2.4694e-119	1.76144e-123	1.15181e-127	7.57604e-132	4.56706e-136	2.77255e-140	1.54876e-144	8.68884e-149	4.4821e-153	2.32339e-157	1.11112e-161	5.32281e-166	2.34976e-170	1.03904e-174	4.24396e-179	1.73067e-183	6.50877e-188	2.4426e-192	8.4687e-197	2.9189e-201	9.28708e-206	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.000867128	0.00344824	0.00913696	0.0187491	0.0302019	0.0425434	0.0518654	0.0596332	0.0622123	0.0642185	0.0616305	0.0604349	0.055549	0.0532404	0.0478682	0.0453083	0.0399762	0.0373217	0.0323753	0.0297681	0.0253155	0.0229247	0.0192438	0.0172645	0.0143441	0.0128244	0.0106636	0.00956628	0.00796132	0.00717864	0.00601916	0.00545968	0.00458341	0.00416755	0.0035143	0.00319655	0.00268418	0.00243216	0.00204049	0.00183947	0.00153023	0.00136914	0.00113533	0.00100862	0.000828601	0.000730242	0.000598146	0.000523902	0.000425868	0.000370775	0.000301227	0.000261278	0.000211243	0.000182716	0.000148105	0.000128085	0.000103691	8.97403e-05	7.30771e-05	6.34133e-05	5.17041e-05	4.4981e-05	3.69326e-05	3.22362e-05	2.6514e-05	2.31931e-05	1.91984e-05	1.68251e-05	1.39304e-05	1.22065e-05	1.0141e-05	8.87643e-06	7.35512e-06	6.41954e-06	5.32379e-06	4.6329e-06	3.82671e-06	3.31809e-06	2.74055e-06	2.36924e-06	1.94928e-06	1.67965e-06	1.38219e-06	1.18783e-06	9.74051e-07	8.34564e-07	6.84452e-07	5.85016e-07	4.78309e-07	4.07777e-07	3.33659e-07	2.84455e-07	2.37381e-07	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	0.00072655	0.00291594	0.00782898	0.0163228	0.0267773	0.0383979	0.0473076	0.0548884	0.0577091	0.060674	0.0591402	0.0594162	0.0548975	0.0532145	0.0469832	0.0443375	0.0378071	0.0352835	0.0297672	0.0280336	0.0236598	0.0226647	0.0193419	0.0188389	0.016043	0.0157032	0.0133654	0.0130599	0.0109205	0.0105584	0.00875904	0.00838243	0.00680224	0.00642675	0.00519547	0.00487635	0.00387801	0.00362097	0.00289983	0.00271784	0.00216275	0.00203817	0.0016533	0.00157757	0.0012797	0.00123277	0.0010218	0.000994905	0.000820712	0.000801347	0.000671521	0.000657081	0.000543687	0.00052947	0.000442059	0.000428841	0.000351723	0.000338293	0.000279574	0.000267333	0.000216915	0.000205612	0.000168117	0.000158621	0.000127746	0.000119837	9.78635e-05	9.16699e-05	7.42262e-05	6.92621e-05	5.69548e-05	5.30016e-05	4.32669e-05	3.99996e-05	3.30924e-05	3.04226e-05	2.49776e-05	2.27963e-05	1.89126e-05	1.71863e-05	1.41842e-05	1.2835e-05	1.07253e-05	9.6935e-06	8.08707e-06	7.29938e-06	6.16392e-06	5.56869e-06	4.70555e-06	4.25438e-06	3.64204e-06	3.3039e-06	2.86295e-06	
Bulbostylis_funckii	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
