NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.204081	0.191284	0.168536	0.139266	0.107393	0.0768106	0.0506335	0.0305803	0.0168331	0.00840848	0.00379846	0.00154762	0.00056745	0.000186817	5.53802e-05	1.47693e-05	3.54164e-06	7.63567e-07	1.48122e-07	2.57623e-08	4.01829e-09	5.62237e-10	7.05962e-11	7.95841e-12	8.05929e-13	8.26703e-17	2.36577e-17	6.42431e-18	1.6563e-18	4.05672e-19	9.44586e-20	2.09322e-20	4.41099e-21	8.84453e-22	1.68851e-22	3.07112e-23	5.32514e-24	8.80818e-25	1.39072e-25	2.09737e-26	3.02326e-27	4.16805e-28	5.49995e-29	6.95187e-30	8.42681e-31	9.79041e-32	1.09085e-32	1.16628e-33	1.19717e-34	1.18049e-35	1.11882e-36	1.01971e-37	8.94212e-39	7.54887e-40	6.13807e-41	4.80992e-42	3.63488e-43	2.65182e-44	1.86675e-45	1.2686e-46	8.32635e-48	5.28066e-49	3.23775e-50	1.92036e-51	1.10276e-52	6.14088e-54	3.32826e-55	1.77207e-56	9.49529e-58	5.42385e-59	4.00418e-60	
N2	0.169471	0.177898	0.168901	0.147285	0.117462	0.086497	0.0581429	0.0359634	0.0201363	0.0103317	0.00475621	0.00201015	0.000757731	0.000267361	8.38969e-05	2.54829e-05	6.83506e-06	1.89502e-06	4.55661e-07	1.22251e-07	2.68605e-08	6.92448e-09	1.37261e-09	3.35937e-10	6.50141e-11	1.75327e-11	4.53969e-12	1.10994e-12	2.1159e-13	3.83484e-14	5.86353e-15	8.5891e-16	1.08673e-16	1.31416e-17	1.3945e-18	1.44825e-19	1.41809e-20	1.63159e-21	2.27642e-22	3.8004e-23	4.47451e-24	4.38441e-25	3.71793e-26	2.83919e-27	1.95919e-28	1.2421e-29	7.19577e-31	3.87273e-32	1.95037e-33	9.92304e-35	5.75437e-36	4.28661e-37	3.7157e-38	2.31712e-39	1.19475e-40	5.43196e-42	2.21953e-43	8.35874e-45	2.88695e-46	9.28086e-48	2.74042e-49	7.55971e-51	1.91156e-52	4.55706e-54	9.98403e-56	2.13608e-57	4.3931e-59	1.05956e-60	3.57972e-62	2.05936e-63	1.7378e-64	
N3	0.16573	0.175163	0.168099	0.148204	0.119257	0.0882949	0.0594982	0.0367783	0.0205441	0.0104906	0.00480158	0.00201243	0.000751419	0.000261443	8.07573e-05	2.40301e-05	6.28631e-06	1.69087e-06	3.8939e-07	1.0048e-07	2.06202e-08	5.14289e-09	9.25927e-10	2.21509e-10	3.62502e-11	9.25825e-12	2.12311e-12	5.0686e-13	8.58937e-14	1.54285e-14	2.17529e-15	3.21428e-16	3.81479e-17	4.68707e-18	4.68795e-19	4.88658e-20	4.13019e-21	4.05972e-22	4.98925e-23	1.18231e-23	1.34608e-24	1.28042e-25	1.06558e-26	8.19616e-28	5.67611e-29	3.64302e-30	2.11624e-31	1.1392e-32	5.52848e-34	2.52393e-35	1.16463e-36	8.2234e-38	1.03276e-38	6.21171e-40	3.02746e-41	1.33076e-42	5.31436e-44	1.96919e-45	6.67058e-47	2.10057e-48	6.0286e-50	1.61165e-51	3.91501e-53	8.93014e-55	1.84441e-56	3.6739e-58	6.63688e-60	1.23326e-61	2.61446e-63	1.30254e-64	1.5154e-65	
N4	0.130489	0.143648	0.147997	0.142862	0.127165	0.104657	0.0784447	0.0540338	0.0336166	0.0192277	0.00986082	0.00469699	0.00199815	0.000824136	0.000304098	0.000115353	3.85691e-05	1.42416e-05	4.41681e-06	1.57283e-06	4.35036e-07	1.41431e-07	3.41827e-08	1.04484e-08	2.63108e-09	1.00401e-09	3.93877e-10	1.28517e-10	3.26162e-11	7.4747e-12	1.45454e-12	2.60534e-13	4.04088e-14	5.80245e-15	7.32742e-16	8.94079e-17	1.06969e-17	1.63626e-18	3.26942e-19	7.50796e-20	1.12178e-20	1.35086e-21	1.38144e-22	1.24259e-23	9.90381e-25	7.08691e-26	4.55147e-27	2.66606e-28	1.45426e-29	8.22164e-31	5.79707e-32	5.5795e-33	6.0137e-34	4.27428e-35	2.43549e-36	1.194e-37	5.13735e-39	1.98711e-40	6.88359e-42	2.17248e-43	6.17145e-45	1.61371e-46	3.80189e-48	8.40534e-50	1.68794e-51	3.38033e-53	6.50293e-55	1.53613e-56	5.02631e-58	2.60093e-59	2.13103e-60	
N5	0.121651	0.1349	0.140899	0.138702	0.126563	0.107361	0.0832954	0.0597568	0.0388404	0.0234389	0.012676	0.00650528	0.00294233	0.00139414	0.000565796	0.000282903	0.000109586	6.49378e-05	2.42695e-05	1.57516e-05	5.20681e-06	3.31106e-06	9.23386e-07	5.86495e-07	1.58335e-07	1.76521e-07	2.62573e-07	1.72434e-07	8.49479e-08	3.91043e-08	1.56897e-08	5.90098e-09	1.94273e-09	5.96815e-10	1.61408e-10	4.14338e-11	9.38776e-12	2.83849e-12	2.38609e-12	3.47098e-12	1.41948e-12	4.62146e-13	1.32967e-13	3.44832e-14	8.0882e-15	1.71492e-15	3.29617e-16	5.73419e-17	9.0786e-18	1.33912e-18	2.52149e-19	1.40091e-19	1.30188e-19	3.42414e-20	7.14571e-21	1.32606e-21	2.2129e-22	3.36724e-23	4.62011e-24	5.80176e-25	6.55607e-26	6.84559e-27	6.39277e-28	5.66375e-29	4.45041e-30	3.74778e-31	2.79617e-32	2.65138e-33	2.77422e-34	1.12059e-34	1.27149e-34	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0421062	0.0505757	0.0611032	0.0732952	0.0850795	0.094976	0.100164	0.100047	0.0933478	0.0820679	0.0670206	0.0516017	0.0368096	0.0249553	0.0157071	0.00954506	0.00539589	0.00301574	0.00157073	0.00082888	0.00040364	0.000203846	9.40061e-05	4.6056e-05	2.0674e-05	1.01785e-05	4.73994e-06	2.27436e-06	9.66652e-07	4.0677e-07	1.51361e-07	5.46671e-08	1.74781e-08	5.3845e-09	1.48982e-09	4.04341e-10	1.02301e-10	2.66577e-11	6.89798e-12	1.88762e-12	4.62615e-13	1.05048e-13	2.14783e-14	4.05685e-15	6.95087e-16	1.10338e-16	1.60366e-17	2.19331e-18	2.81935e-19	3.5604e-20	4.48364e-21	5.88236e-22	7.93563e-23	9.83513e-24	1.10576e-24	1.14301e-25	1.07668e-26	9.37499e-28	7.4683e-29	5.5184e-30	3.74413e-31	2.37192e-32	1.38738e-33	7.68352e-35	3.99931e-36	2.064e-37	1.08127e-38	6.37972e-40	4.33986e-41	3.56644e-42	4.74564e-43	
N7	0.0352006	0.0420144	0.0504052	0.0603444	0.0705894	0.0803102	0.0874193	0.0911866	0.0899655	0.0845975	0.0748004	0.0630811	0.0497896	0.0377998	0.0267823	0.0186633	0.0120704	0.00807661	0.00496497	0.00344052	0.00209975	0.00159729	0.00098591	0.000823209	0.000516541	0.000486362	0.000388315	0.000389033	0.000296105	0.000264102	0.000192865	0.000155589	0.000105224	7.47808e-05	4.5488e-05	2.85614e-05	1.56992e-05	9.56498e-06	6.39433e-06	5.98061e-06	4.34421e-06	2.9016e-06	1.77291e-06	1.03581e-06	5.62492e-07	2.8943e-07	1.38041e-07	6.20628e-08	2.58623e-08	1.03981e-08	4.25681e-09	2.11204e-09	1.37873e-09	7.18771e-10	3.31973e-10	1.43155e-10	5.7753e-11	2.20844e-11	7.88542e-12	2.64923e-12	8.25813e-13	2.41797e-13	6.5561e-14	1.67808e-14	3.97766e-15	9.08249e-16	1.97441e-16	4.7415e-17	1.5766e-17	1.06335e-17	1.36174e-17	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
