NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.389216	0.296042	0.178674	0.087057	0.0344102	0.0110187	0.00285973	0.000602013	0.000103127	1.44341e-05	1.65897e-06	1.57356e-07	1.23755e-08	8.10104e-10	4.42781e-11	2.02527e-12	7.76732e-14	1.13528e-17	1.86816e-18	2.82072e-19	3.91083e-20	4.98273e-21	5.83919e-22	6.30012e-23	6.26528e-24	5.7497e-25	4.87553e-26	3.82519e-27	2.78061e-28	1.87543e-29	1.17531e-30	6.85358e-32	3.72404e-33	1.88822e-34	8.94608e-36	3.96594e-37	1.64729e-38	6.41904e-40	2.34961e-41	8.08879e-43	2.62215e-44	8.01352e-46	2.31141e-47	6.2994e-49	1.62389e-50	3.96369e-52	9.17008e-54	2.01281e-55	4.19568e-57	8.31341e-59	1.56719e-60	2.8133e-62	4.81312e-64	7.85446e-66	1.22358e-67	1.82104e-69	2.59121e-71	3.5278e-73	4.59873e-75	5.7439e-77	6.8787e-79	7.90359e-81	8.71851e-83	9.23925e-85	9.41207e-87	9.22335e-89	8.70264e-91	7.92211e-93	7.01213e-95	6.31002e-97	7.66523e-99	
N2	0.309971	0.298154	0.206924	0.112923	0.0480987	0.0175609	0.00484431	0.00122733	0.000242675	4.69967e-05	6.66263e-06	1.31666e-06	1.38322e-07	2.47845e-08	2.31702e-09	3.53413e-10	2.35699e-11	3.32596e-12	1.64083e-13	1.9306e-14	8.42091e-16	6.79986e-17	2.3523e-18	2.4429e-19	5.60729e-21	3.38008e-22	9.21293e-24	5.92339e-25	9.7235e-27	4.96515e-28	7.32902e-30	4.14582e-31	5.01098e-33	1.42597e-34	1.65123e-36	8.29072e-38	5.87247e-40	1.32478e-41	1.25438e-43	4.04376e-45	2.30125e-47	4.89445e-49	2.59885e-51	6.5119e-53	3.22225e-55	4.15222e-57	2.36027e-59	6.76321e-61	2.00428e-63	2.02483e-65	8.32502e-68	1.24922e-69	3.35286e-72	4.68996e-74	1.41151e-76	2.29943e-78	5.08523e-81	3.31737e-83	8.51088e-86	1.29589e-87	1.94419e-90	1.29972e-92	3.94592e-95	4.47108e-97	5.96058e-100	3.61573e-102	5.06296e-105	4.40019e-107	7.37495e-110	7.55431e-112	1.51434e-113	
N3	0.302077	0.295841	0.209991	0.116594	0.0503214	0.0184499	0.00512676	0.001289	0.000254378	4.79567e-05	6.67208e-06	1.22929e-06	1.22199e-07	2.0124e-08	1.68869e-09	2.38072e-10	1.33572e-11	1.84113e-12	7.00687e-14	8.44663e-15	2.74066e-16	2.34074e-17	5.40039e-19	6.41473e-20	8.95673e-22	6.70667e-23	1.15787e-24	8.7138e-26	7.78779e-28	5.28322e-29	4.14458e-31	3.24745e-32	2.15164e-34	7.35703e-36	4.50603e-38	3.30515e-39	1.08882e-41	3.0774e-43	1.73949e-45	7.50457e-47	1.90118e-49	5.00193e-51	1.33233e-53	5.36436e-55	1.311e-57	1.58078e-59	4.66484e-62	2.21613e-63	2.58652e-66	2.67394e-68	7.58348e-71	1.69452e-72	1.73652e-75	2.69282e-77	3.75838e-80	1.08536e-81	9.90852e-85	5.29901e-87	8.00089e-90	2.31087e-91	1.23903e-94	7.08787e-97	1.51579e-99	2.73977e-101	1.24824e-104	8.04585e-107	5.5691e-110	9.18549e-112	4.93417e-115	3.44413e-117	7.16246e-119	
N4	0.225156	0.253531	0.221762	0.155231	0.0845499	0.0395495	0.0139371	0.00465259	0.00121534	0.000330351	6.39456e-05	1.88413e-05	2.69361e-06	7.02229e-07	8.82836e-08	1.9321e-08	1.69481e-09	3.38378e-10	2.17591e-11	3.64573e-12	2.04902e-13	2.20382e-14	9.67282e-16	1.38984e-16	3.8031e-18	2.85521e-19	9.10211e-21	7.34721e-22	1.31974e-23	7.81273e-25	1.23709e-26	8.14541e-28	9.94636e-30	2.9782e-31	3.43047e-33	1.86698e-34	1.23162e-36	2.71855e-38	2.43698e-40	7.82631e-42	3.86855e-44	7.61025e-46	3.4023e-48	7.76456e-50	3.14212e-52	3.45221e-54	1.62602e-56	4.10601e-58	9.14451e-61	7.22039e-63	2.18745e-65	2.62675e-67	4.93311e-70	5.19349e-72	1.1027e-74	1.38449e-76	1.99875e-79	9.01662e-82	1.51294e-84	1.64061e-86	1.53001e-89	6.74556e-92	1.31011e-94	1.00938e-96	7.86759e-100	2.96033e-102	2.39527e-105	1.3148e-107	1.21607e-110	6.97226e-113	6.5558e-115	
N5	0.202173	0.235826	0.21843	0.164539	0.0972132	0.0506351	0.0196239	0.00790065	0.00233356	0.000945471	0.000198191	0.00014182	1.88179e-05	1.74939e-05	2.27983e-06	2.09052e-06	1.81613e-07	1.78892e-07	1.25471e-08	1.35531e-08	1.05453e-09	4.95873e-10	3.31022e-11	4.90498e-11	1.61804e-12	6.30829e-13	6.18553e-14	5.38008e-14	1.31515e-15	5.50932e-16	2.05605e-17	2.70862e-17	5.94229e-19	9.6286e-20	3.64477e-21	4.92644e-21	5.97407e-23	8.9739e-24	3.89771e-25	3.31507e-25	3.41219e-27	7.2521e-28	9.95433e-30	6.42102e-30	7.2552e-32	6.69508e-33	2.10883e-34	2.03437e-34	1.14329e-36	7.90227e-38	1.2124e-39	4.35034e-40	2.61836e-42	7.16528e-43	8.17439e-45	4.69331e-45	1.92421e-47	9.10436e-49	8.39896e-51	4.21403e-51	1.30823e-53	9.32729e-55	2.53041e-56	1.0163e-56	2.62661e-59	1.60892e-60	5.37553e-63	1.13805e-63	4.00795e-66	5.59274e-67	2.88093e-67	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0321623	0.0540422	0.08765	0.125836	0.150628	0.158045	0.135091	0.104464	0.0687804	0.041538	0.0214345	0.0116045	0.00492523	0.00234436	0.000902092	0.000374671	0.000116373	4.47273e-05	1.09717e-05	3.47202e-06	7.467e-07	1.90775e-07	3.30565e-08	8.12308e-09	1.11052e-09	2.17203e-10	2.85081e-11	4.87544e-12	5.15772e-13	8.45385e-14	7.67635e-15	1.10265e-15	9.15101e-17	1.0084e-17	6.92009e-19	7.84564e-20	4.00658e-21	3.22139e-22	1.5868e-23	1.11811e-24	4.07649e-26	2.46793e-27	7.36042e-29	3.81565e-30	1.02137e-31	3.83838e-33	8.67096e-35	3.59159e-36	5.97063e-38	1.68388e-39	2.83218e-41	7.31694e-43	9.32325e-45	2.19427e-46	2.40944e-48	5.00101e-50	4.94112e-52	7.36452e-54	6.47066e-56	1.11792e-57	7.33945e-60	8.90888e-62	6.51035e-64	7.67483e-66	4.11331e-68	4.2853e-70	2.14325e-72	2.26164e-74	1.65164e-76	2.42165e-78	4.96862e-80	
N7	0.023923	0.0389901	0.062981	0.0937787	0.120899	0.139192	0.134124	0.118082	0.0905283	0.0647598	0.040072	0.028306	0.0148845	0.0111088	0.00599935	0.00497883	0.00228083	0.00238329	0.000900092	0.000909824	0.000346487	0.000299618	9.87839e-05	0.000103771	2.75687e-05	2.30145e-05	7.73872e-06	6.82654e-06	1.73064e-06	1.67727e-06	4.25741e-07	4.79407e-07	1.23641e-07	7.74129e-08	1.95862e-08	2.57913e-08	3.85765e-09	2.19082e-09	5.19377e-10	4.54096e-10	5.69353e-11	3.1609e-11	4.14488e-12	3.34642e-12	3.69642e-13	1.2123e-13	1.53596e-14	1.25268e-14	8.44903e-16	2.33434e-16	2.40732e-17	1.18259e-17	7.09647e-19	2.43663e-19	1.61614e-20	7.55387e-21	3.75813e-22	6.54451e-23	4.22897e-24	1.99411e-24	6.68868e-26	1.1092e-26	7.97363e-28	2.55901e-28	7.74267e-30	1.44686e-30	4.60796e-32	1.13506e-32	4.37919e-34	1.26849e-34	1.04127e-34	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
