NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	6.33322e-18	8.11564e-17	8.3892e-13	1.38706e-11	1.29068e-10	7.85273e-10	3.61802e-09	1.33435e-08	4.18031e-08	1.14351e-07	2.8149e-07	6.32745e-07	1.31975e-06	2.57915e-06	4.76971e-06	8.39873e-06	1.41678e-05	2.29972e-05	3.60904e-05	5.49682e-05	8.15187e-05	0.000117994	0.000167035	0.000231641	0.000315192	0.000421454	0.000554549	0.0007189	0.000919157	0.00116014	0.00144669	0.00178361	0.00217548	0.00262663	0.00314094	0.00372093	0.00436958	0.00509134	0.00589012	0.00676943	0.00773178	0.00877897	0.00991163	0.0111296	0.0124313	0.0138144	0.015275	0.0168058	0.0184005	0.0200542	0.0217613	0.0235151	0.0253083	0.0271328	0.0289801	0.030841	0.032706	0.0345656	0.0364099	0.0382294	0.0400144	0.0417554	0.0434432	0.0450688	0.0466235	0.0480993	0.0494883	0.0507835	0.0519786	0.0530677	0.0540461	
N2	1.08723e-17	3.47088e-15	2.24421e-13	4.7041e-12	5.36456e-11	3.95527e-10	2.14557e-09	9.18152e-09	3.28089e-08	1.0086e-07	2.75204e-07	6.79225e-07	1.53605e-06	3.23304e-06	6.38834e-06	1.19257e-05	2.12123e-05	3.61656e-05	5.92109e-05	9.3813e-05	0.000144039	0.000214724	0.000311985	0.000442939	0.000613918	0.000835303	0.0011151	0.0014617	0.00188608	0.00239889	0.0030015	0.00371225	0.00453213	0.0054645	0.0065202	0.00770908	0.00901161	0.0104634	0.0120417	0.0137391	0.0155651	0.0175222	0.0195415	0.0216929	0.0239073	0.026165	0.0284766	0.0308484	0.033152	0.035524	0.0378317	0.040044	0.0421462	0.0440883	0.045557	0.0466111	0.0468359	0.0460025	0.0439735	0.0407863	0.0364125	0.031662	0.0268958	0.0227239	0.0195345	0.0174514	0.0159638	0.0151943	0.0145722	0.0140067	0.0134568	
N3	6.92269e-18	2.16964e-15	1.45182e-13	3.32698e-12	4.11541e-11	3.26402e-10	1.88824e-09	8.55027e-09	3.2085e-08	1.02962e-07	2.91586e-07	7.43066e-07	1.72919e-06	3.72987e-06	7.52904e-06	1.4322e-05	2.58928e-05	4.4747e-05	7.41507e-05	0.000118614	0.000183559	0.000275417	0.000402203	0.000573023	0.000796649	0.00108557	0.00145025	0.00190101	0.00245093	0.00311175	0.00388693	0.00479453	0.00583642	0.00701399	0.00833669	0.00981038	0.0114171	0.0131869	0.0150964	0.0171304	0.0192951	0.0215823	0.0239231	0.0263729	0.0288626	0.0313577	0.0338634	0.0363646	0.0387243	0.0410215	0.0430731	0.0447406	0.0458998	0.046367	0.0457839	0.0442278	0.0415337	0.0378639	0.033619	0.029292	0.0251334	0.0217872	0.019197	0.0173296	0.016054	0.0151763	0.0142232	0.0134202	0.0124978	0.0115775	0.0108035	
N4	1.59666e-18	5.50991e-16	4.4713e-14	1.29644e-12	1.9775e-11	1.89757e-10	1.29619e-09	6.80062e-09	2.90074e-08	1.0427e-07	3.26068e-07	9.07223e-07	2.28129e-06	5.26663e-06	1.12837e-05	2.26161e-05	4.27826e-05	7.68856e-05	0.000131717	0.000216622	0.000343091	0.000524714	0.000778228	0.00112248	0.00157477	0.00215927	0.00289524	0.00379969	0.00489477	0.00619834	0.00770567	0.00944622	0.0114087	0.0135785	0.0159622	0.018549	0.0212565	0.0241407	0.0271124	0.0301033	0.0330894	0.0360018	0.0385777	0.0408779	0.0425991	0.0435584	0.0436855	0.0429483	0.0410903	0.0386261	0.0355199	0.0320881	0.0287223	0.0257706	0.022981	0.0210016	0.0193975	0.0181824	0.0173404	0.0169379	0.0163554	0.016254	0.0160033	0.0156835	0.0152498	0.0148806	0.0139816	0.0133958	0.0125477	0.0117222	0.0108652	
N5	6.83295e-18	1.49893e-15	9.17686e-14	2.30118e-12	3.20764e-11	2.90641e-10	1.90813e-09	9.73083e-09	4.05922e-08	1.43475e-07	4.42504e-07	1.21649e-06	3.02878e-06	6.92814e-06	1.47149e-05	2.92626e-05	5.49376e-05	9.79745e-05	0.000166708	0.000272235	0.000428159	0.000650486	0.000958383	0.00137279	0.0019141	0.00260714	0.00347272	0.00452844	0.00579545	0.00728777	0.00900277	0.0109595	0.0131458	0.0155417	0.01815	0.0209447	0.023843	0.0268634	0.029905	0.0328589	0.0356664	0.0381978	0.0401751	0.0416095	0.0422412	0.0419359	0.0407711	0.038845	0.036083	0.0331127	0.0299764	0.0269205	0.0242762	0.0222214	0.020336	0.0192183	0.0183499	0.0176917	0.0172857	0.0171979	0.0166753	0.0165828	0.0161777	0.0156229	0.0149913	0.0146377	0.0138342	0.013973	0.014259	0.0149448	0.0153119	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	5.86511e-16	1.08333e-13	5.80053e-12	1.2857e-10	1.61784e-09	1.34378e-08	8.16821e-08	3.87862e-07	1.51048e-06	4.98127e-06	1.43177e-05	3.66397e-05	8.46739e-05	0.000179428	0.000352083	0.000644397	0.0011095	0.00180854	0.0027968	0.00413405	0.00585173	0.00794251	0.0103784	0.0130842	0.0158626	0.0186313	0.0211632	0.0232582	0.0248822	0.0260622	0.0265623	0.0269167	0.0270022	0.0269403	0.0269943	0.0273976	0.0274145	0.0280698	0.0285001	0.0288592	0.0290898	0.0295705	0.0290444	0.0291472	0.0285143	0.0279068	0.0268957	0.0263398	0.0247968	0.0241093	0.0227274	0.0217555	0.0203654	0.0196061	0.0180557	0.0173179	0.0160148	0.0151465	0.0139352	0.01326	0.0120247	0.0114062	0.0104207	0.00975033	0.00888765	0.00838988	0.00754802	0.00711224	0.00646253	0.00600746	0.00545004	
N7	3.45111e-14	2.46102e-12	6.92572e-11	1.03972e-09	9.95556e-09	6.78018e-08	3.52738e-07	1.47702e-06	5.17368e-06	1.55944e-05	4.13965e-05	9.85389e-05	0.000213077	0.000423727	0.000782065	0.0013489	0.00218972	0.00336355	0.00490171	0.00681196	0.00904847	0.0115026	0.0140489	0.0165327	0.0187369	0.0206181	0.0220855	0.0230989	0.0238273	0.0244228	0.0247629	0.0253044	0.0258787	0.0264259	0.0270783	0.0278681	0.028129	0.028661	0.0287794	0.0286478	0.0282794	0.0280414	0.026989	0.0264838	0.0254452	0.0245395	0.0233674	0.0226913	0.0212041	0.0205402	0.0192933	0.018426	0.017207	0.0166282	0.0152309	0.0147198	0.0136436	0.0130095	0.0120884	0.0118622	0.0110239	0.0111535	0.0109522	0.0112865	0.0113897	0.0119663	0.0117258	0.0119342	0.0114589	0.0111975	0.0105665	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
