NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.219591	0.203024	0.173954	0.138144	0.101608	0.0691678	0.0435559	0.0253621	0.0136466	0.00677718	0.00310129	0.00130518	0.000504145	0.000178356	5.78645e-05	1.72055e-05	4.68797e-06	1.17101e-06	2.67499e-07	5.58562e-08	1.06552e-08	1.85562e-09	2.94778e-10	4.26751e-11	5.62459e-12	6.74203e-13	8.1299e-17	2.55603e-17	7.65355e-18	2.18278e-18	5.92239e-19	1.52822e-19	3.74942e-20	8.74454e-21	1.93838e-21	4.08349e-22	8.17516e-23	1.5554e-23	2.81254e-24	4.8342e-25	7.89987e-26	1.22821e-26	1.81606e-27	2.55455e-28	3.41943e-29	4.357e-30	5.28644e-31	6.10994e-32	6.72926e-33	7.06511e-34	7.07392e-35	6.75715e-36	6.16052e-37	5.3649e-38	4.46259e-39	3.54713e-40	2.69534e-41	1.95878e-42	1.36201e-43	9.06536e-45	5.77822e-46	3.52867e-47	2.06592e-48	1.1621e-49	6.43319e-51	5.02781e-52	
N2	0.199506	0.192795	0.169028	0.138774	0.104553	0.0747329	0.049365	0.0313041	0.0183784	0.0104926	0.00553817	0.00289703	0.00139523	0.000683146	0.000304695	0.000143667	6.05073e-05	2.80493e-05	1.13025e-05	5.18057e-06	1.99246e-06	8.94854e-07	3.33454e-07	1.49217e-07	5.59585e-08	2.40741e-08	8.41779e-09	3.31115e-09	1.05644e-09	3.76801e-10	1.10787e-10	3.6894e-11	1.01564e-11	3.28145e-12	9.40228e-13	3.2898e-13	1.0695e-13	3.48444e-14	9.6307e-15	2.66187e-15	6.37342e-16	1.53717e-16	3.30433e-17	7.33526e-18	1.48111e-18	3.27965e-19	7.19453e-20	1.82086e-20	4.60992e-21	1.06279e-21	2.13191e-22	4.0678e-23	6.94622e-24	1.14894e-24	1.72704e-25	2.55035e-26	3.40644e-27	4.55315e-28	5.55126e-29	7.08611e-30	8.49577e-31	1.20389e-31	1.888e-32	3.87063e-33	9.29824e-34	3.76181e-34	
N3	0.178748	0.175481	0.1586	0.13591	0.108156	0.0823503	0.0585382	0.040119	0.0257168	0.0160129	0.00932525	0.00532324	0.00283581	0.00149478	0.000732151	0.000360441	0.000163693	7.59787e-05	3.22201e-05	1.41852e-05	5.63634e-06	2.36423e-06	8.88201e-07	3.58084e-07	1.28541e-07	4.92832e-08	1.65287e-08	5.91825e-09	1.83834e-09	6.10804e-10	1.76321e-10	5.47449e-11	1.47595e-11	4.32876e-12	1.12325e-12	3.2138e-13	8.27373e-14	2.23972e-14	5.31546e-15	1.31135e-15	2.84439e-16	6.40188e-17	1.2857e-17	2.69971e-18	5.10402e-19	1.02654e-19	1.91769e-20	3.87109e-21	7.37553e-22	1.40358e-22	2.39444e-23	4.06818e-24	6.22684e-25	9.51669e-26	1.32262e-26	1.84814e-27	2.34791e-28	3.04953e-29	3.67728e-30	4.71977e-31	5.87641e-32	8.28258e-33	1.21603e-33	2.02683e-34	3.69437e-35	1.09844e-35	
N4	0.0504807	0.059202	0.0714028	0.0855678	0.0963417	0.103239	0.102452	0.0969902	0.0854365	0.0722989	0.0568661	0.0429582	0.0299227	0.01997	0.0122047	0.00717794	0.00384218	0.00199234	0.00093519	0.000428416	0.000176979	7.21739e-05	2.65284e-05	9.75599e-06	3.23521e-06	1.08129e-06	3.24789e-07	9.92378e-08	2.72374e-08	7.66735e-09	1.94067e-09	5.0594e-10	1.18289e-10	2.85833e-11	6.20671e-12	1.39667e-12	2.82533e-13	5.8323e-14	1.06987e-14	1.99327e-15	3.2933e-16	5.51969e-17	8.24394e-18	1.25021e-18	1.69386e-19	2.34111e-20	2.92548e-21	3.74991e-22	4.38067e-23	5.12658e-24	5.4001e-25	5.73541e-26	5.64839e-27	6.07494e-28	7.27337e-29	1.20711e-29	2.44604e-30	5.93971e-31	1.44968e-31	3.81987e-32	9.95154e-33	2.80365e-33	8.04321e-34	2.51755e-34	8.84068e-35	4.71444e-35	
N5	0.014789	0.0187301	0.0261317	0.0381057	0.0535454	0.0721828	0.0892346	0.103632	0.108932	0.108246	0.0976248	0.0844168	0.0655144	0.0485942	0.0313955	0.019466	0.0102226	0.00528611	0.00228386	0.0010238	0.00038348	0.000160897	5.73919e-05	2.47197e-05	9.08246e-06	3.96555e-06	1.39267e-06	5.64534e-07	1.76763e-07	6.25842e-08	1.69011e-08	5.14521e-09	1.17267e-09	3.05987e-10	6.23256e-11	1.50856e-11	3.02434e-12	6.17528e-13	9.79821e-14	1.56281e-14	1.98078e-15	2.56686e-16	3.02525e-17	6.01665e-18	2.43553e-18	1.69725e-18	1.2141e-18	1.05765e-18	9.14331e-19	7.44261e-19	5.23287e-19	3.61803e-19	2.22852e-19	1.3746e-19	7.71393e-20	4.39609e-20	2.25483e-20	1.19159e-20	5.71472e-21	2.91871e-21	1.35403e-21	7.30482e-22	4.18363e-22	3.2899e-22	3.12395e-22	4.08655e-22	
N6	0.0146794	0.0185882	0.0259459	0.0378648	0.0533064	0.0719485	0.0891295	0.103587	0.109128	0.108462	0.0980136	0.0846362	0.0657715	0.0486352	0.0314727	0.0194247	0.0102258	0.00525519	0.00227786	0.00101304	0.000380831	0.000158311	5.66355e-05	2.41343e-05	8.86998e-06	3.82549e-06	1.34526e-06	5.37611e-07	1.68636e-07	5.87497e-08	1.58918e-08	4.74688e-09	1.0837e-09	2.76973e-10	5.64047e-11	1.33418e-11	2.64441e-12	5.28705e-13	8.31314e-14	1.29846e-14	1.62256e-15	2.0218e-16	2.07118e-17	2.15912e-18	1.85224e-19	1.70188e-20	1.38449e-21	1.30536e-22	1.11926e-23	9.05617e-25	5.87755e-26	4.15183e-27	2.68151e-28	2.75407e-29	2.6997e-30	5.10214e-31	4.92034e-32	1.35852e-32	1.06411e-33	4.66467e-34	2.73673e-35	1.42756e-35	7.23699e-37	4.64872e-37	3.39479e-38	2.05831e-37	
N7	0.0105368	0.0135428	0.0195163	0.0297525	0.0442587	0.0629593	0.0823841	0.100278	0.111961	0.116922	0.111487	0.0978425	0.0762995	0.0536837	0.0330923	0.0185856	0.00924708	0.00437646	0.00188824	0.000821499	0.000330172	0.000141077	5.44712e-05	2.33908e-05	8.59926e-06	3.60565e-06	1.20328e-06	4.63819e-07	1.33617e-07	4.49827e-08	1.09075e-08	3.13011e-09	6.28579e-10	1.51392e-10	2.53672e-11	5.18199e-12	7.35279e-13	1.25942e-13	1.50453e-14	2.17857e-15	2.2178e-16	2.80735e-17	3.07258e-18	7.50006e-19	2.88829e-19	1.80685e-19	9.47825e-20	6.19072e-20	3.30959e-20	2.05153e-20	1.04959e-20	6.21486e-21	3.03224e-21	1.691e-21	8.09293e-22	4.348e-22	1.95132e-22	9.66312e-23	4.1284e-23	1.94865e-23	7.78767e-24	3.57922e-24	1.60217e-24	9.58416e-25	6.69581e-25	7.00196e-25	
N8	5.93428e-18	3.71848e-14	1.09554e-10	1.98992e-10	3.86207e-07	0.000188587	3.66977e-07	2.30376e-10	1.2036e-10	4.99736e-13	6.20839e-14	6.91056e-14	2.35764e-13	1.08261e-09	2.76069e-06	1.04454e-07	3.0266e-07	0.000105558	2.29533e-07	6.50954e-08	3.44609e-08	7.05684e-12	1.84122e-15	2.01369e-15	2.1387e-15	4.13415e-14	3.02988e-10	1.28328e-06	0.00221199	0.995776	0.00171188	7.70866e-07	1.39719e-10	1.42552e-14	2.15139e-18	1.52176e-18	1.0661e-18	5.20371e-19	1.50712e-19	2.7975e-20	2.58406e-21	1.02216e-22	5.84921e-27	1.31731e-31	1.19622e-36	4.28065e-42	2.79127e-21	1.79785e-23	8.8412e-26	3.80204e-28	1.25776e-30	3.63244e-33	7.96972e-36	1.48403e-38	2.01126e-41	2.12764e-44	1.40339e-47	4.99407e-51	4.34434e-28	4.75053e-28	5.20085e-28	6.27157e-28	7.74678e-28	1.0295e-27	1.39076e-27	1.94842e-27	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
