NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.189754	0.178537	0.158363	0.132722	0.105335	0.0793286	0.0567894	0.0386979	0.0251264	0.0155549	0.00918332	0.00516989	0.00277423	0.00141818	0.000690154	0.000319509	0.00014062	5.87999e-05	2.33477e-05	8.79948e-06	3.14668e-06	1.06731e-06	3.43273e-07	1.0466e-07	3.0241e-08	8.27856e-09	2.14646e-09	5.26928e-10	1.22429e-10	2.6912e-11	5.59447e-12	1.09934e-12	2.04111e-13	6.20231e-17	2.52339e-17	9.97236e-18	3.82734e-18	1.42623e-18	5.15929e-19	1.81139e-19	6.17138e-20	2.04001e-20	6.54185e-21	2.03486e-21	6.13885e-22	1.79606e-22	5.09576e-23	1.40193e-23	3.73987e-24	9.67372e-25	2.42625e-25	5.90049e-26	1.39143e-26	3.18183e-27	7.05594e-28	1.51749e-28	3.16541e-29	6.40489e-30	1.25726e-30	2.39471e-31	4.42711e-32	7.94943e-33	1.39011e-33	2.39908e-34	4.40164e-35	1.23388e-35	
N2	0.167631	0.161435	0.146725	0.128072	0.105886	0.0845248	0.0641214	0.0472385	0.0331372	0.022717	0.0148397	0.00954589	0.00584483	0.00355924	0.00205799	0.00119985	0.000660784	0.000373637	0.000198091	0.00011022	5.67538e-05	3.13472e-05	1.57722e-05	8.6743e-06	4.25392e-06	2.31072e-06	1.10069e-06	5.86923e-07	2.69265e-07	1.39425e-07	6.15541e-08	3.09655e-08	1.30768e-08	6.34671e-09	2.57764e-09	1.21665e-09	4.72763e-10	2.15434e-10	8.09049e-11	3.60493e-11	1.29797e-11	5.58665e-12	1.95489e-12	8.26128e-13	2.77328e-13	1.12948e-13	3.69736e-14	1.47979e-14	4.63367e-15	1.77724e-15	5.42874e-16	2.04408e-16	5.95189e-17	2.13826e-17	6.07705e-18	2.14522e-18	5.8121e-19	1.96284e-19	5.2934e-20	1.80885e-20	5.01655e-21	1.80715e-21	6.09121e-22	2.69731e-22	1.33117e-22	1.06551e-22	
N3	0.150523	0.146322	0.135485	0.121519	0.104141	0.0868026	0.0693259	0.0540666	0.0404726	0.0296974	0.0209332	0.0145201	0.00967213	0.00636743	0.00402149	0.00252321	0.0015155	0.000909982	0.000521636	0.000301211	0.000165332	9.21844e-05	4.86192e-05	2.62777e-05	1.33384e-05	6.99487e-06	3.42111e-06	1.74143e-06	8.19377e-07	4.03707e-07	1.82628e-07	8.69994e-08	3.77338e-08	1.73183e-08	7.20348e-09	3.18662e-09	1.26827e-09	5.39274e-10	2.0578e-10	8.43089e-11	3.07836e-11	1.212e-11	4.24898e-12	1.6139e-12	5.41918e-13	1.97902e-13	6.39258e-14	2.25551e-14	6.98409e-15	2.36975e-15	7.07286e-16	2.32263e-16	6.65807e-17	2.10715e-17	5.86033e-18	1.80997e-18	4.9132e-19	1.49311e-19	4.10213e-20	1.27577e-20	3.70926e-21	1.22315e-21	3.9801e-22	1.47043e-22	6.07955e-23	3.86129e-23	
N4	0.0641997	0.067611	0.0722663	0.0779626	0.0821724	0.0849597	0.0842941	0.0813608	0.075067	0.0674029	0.0578377	0.0483585	0.0385772	0.0299962	0.0221982	0.016023	0.0109793	0.00735158	0.00466422	0.00290074	0.00170617	0.000987774	0.000540066	0.000292056	0.000148847	7.54157e-05	3.5942e-05	1.71156e-05	7.64287e-06	3.42556e-06	1.43569e-06	6.06336e-07	2.38458e-07	9.48011e-08	3.49825e-08	1.30856e-08	4.5228e-09	1.5883e-09	5.13931e-10	1.69356e-10	5.12052e-11	1.58015e-11	4.46569e-12	1.29124e-12	3.40672e-13	9.21767e-14	2.27396e-14	5.76886e-15	1.3304e-15	3.16392e-16	6.84784e-17	1.53382e-17	3.12577e-18	6.6209e-19	1.28523e-19	2.60886e-20	4.90011e-21	9.68729e-22	1.80891e-22	3.56395e-23	6.75683e-24	1.34329e-24	2.62951e-25	5.47625e-26	1.27021e-26	4.77019e-27	
N5	0.0254469	0.0283843	0.0337197	0.04185	0.0517281	0.0631788	0.0737835	0.0831136	0.0881381	0.0897095	0.0856403	0.0786607	0.067558	0.055942	0.0430582	0.0320409	0.0220174	0.0147403	0.00908007	0.00553187	0.00309374	0.00174715	0.000903234	0.000482292	0.00023328	0.000118763	5.38792e-05	2.61069e-05	1.10053e-05	5.00954e-06	1.94432e-06	8.23092e-07	2.90528e-07	1.12752e-07	3.60418e-08	1.27708e-08	3.66488e-09	1.17326e-09	3.02825e-10	8.78521e-11	2.02513e-11	5.27817e-12	1.09387e-12	2.58429e-13	4.78025e-14	1.01442e-14	1.6937e-15	3.28094e-16	4.94935e-17	9.08958e-18	1.56204e-18	5.25624e-19	2.44487e-19	1.80092e-19	1.12547e-19	8.84896e-20	5.41726e-20	4.16453e-20	2.56727e-20	2.03418e-20	1.32298e-20	1.14654e-20	9.45751e-21	1.03102e-20	1.17576e-20	1.66381e-20	
N6	0.0254108	0.0283349	0.0336566	0.0417613	0.0516488	0.0630887	0.0737625	0.0830945	0.0882358	0.0897807	0.085815	0.0787387	0.0676956	0.0559538	0.0431144	0.0320022	0.0220217	0.0146946	0.00906713	0.00549934	0.00308109	0.00172953	0.000895679	0.000474452	0.000229912	0.000115885	5.2691e-05	2.52222e-05	1.06643e-05	4.7861e-06	1.86437e-06	7.76545e-07	2.75261e-07	1.04957e-07	3.36891e-08	1.17126e-08	3.37418e-09	1.05956e-09	2.7416e-10	7.80241e-11	1.79999e-11	4.61056e-12	9.5289e-13	2.22001e-13	4.0752e-14	8.58716e-15	1.40991e-15	2.74136e-16	3.96652e-17	7.09527e-18	9.09889e-19	1.55953e-19	1.7166e-20	2.84977e-21	2.67726e-22	4.72282e-23	3.51254e-24	6.86748e-25	3.99983e-26	1.02038e-26	4.39719e-28	1.41386e-28	5.72481e-30	2.27935e-30	1.68384e-31	2.99634e-31	
N7	0.021769	0.0245532	0.0297847	0.037952	0.0483828	0.0608391	0.0732164	0.0844072	0.0916009	0.0943864	0.0911415	0.083424	0.0714379	0.0580186	0.044031	0.0317627	0.0213885	0.0137541	0.00825149	0.00476619	0.00256586	0.00134609	0.00065629	0.000316741	0.000140946	6.32322e-05	2.57919e-05	1.08214e-05	4.04033e-06	1.58373e-06	5.39014e-07	1.96598e-07	6.05878e-08	2.04058e-08	5.67578e-09	1.75759e-09	4.39357e-10	1.2423e-10	2.79422e-11	7.20914e-12	1.45503e-12	3.40589e-13	6.19691e-14	1.32139e-14	2.16192e-15	4.18026e-16	6.20297e-17	1.09848e-17	1.47432e-18	2.38453e-19	2.96243e-20	4.63907e-21	6.28431e-22	1.56414e-22	5.15911e-23	2.94718e-23	1.41063e-23	8.92233e-24	4.43782e-24	2.9255e-24	1.52931e-24	1.1075e-24	7.47815e-25	7.13982e-25	7.28154e-25	9.92832e-25	
N8	7.32945e-21	6.45752e-17	1.31878e-13	3.47801e-10	2.34948e-08	4.63551e-08	1.03349e-06	8.00242e-05	9.94798e-05	0.000138372	0.00486651	0.00596231	0.00446105	0.00207416	0.0354783	0.123456	0.233553	0.273198	0.197819	0.0887867	0.0214275	0.000487172	0.00121259	0.0019953	0.00215833	0.0016137	0.00079147	0.000254795	4.64737e-05	3.85684e-06	1.16835e-07	6.6578e-07	2.20459e-06	4.95876e-06	7.46125e-06	8.25241e-06	6.2799e-06	3.52135e-06	1.31153e-06	3.34356e-07	4.81652e-08	3.24645e-09	1.09343e-12	1.74096e-16	1.58214e-20	1.01661e-24	4.44545e-29	1.52315e-33	3.76921e-38	7.63444e-43	1.1468e-47	1.43817e-52	1.34781e-57	1.05957e-62	6.21758e-68	3.03119e-73	1.08505e-78	3.11807e-84	6.29411e-90	9.23669e-96	8.08487e-102	3.40462e-108	2.40129e-47	5.64547e-50	1.17919e-52	2.2274e-55	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
