NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.307094	0.260727	0.190242	0.120573	0.0668657	0.0326075	0.0140347	0.0053397	0.00179785	0.000535473	0.000141093	3.28688e-05	6.77013e-06	1.23263e-06	1.98411e-07	2.82362e-08	3.55337e-09	3.9547e-10	3.89292e-11	3.38948e-12	2.61015e-13	3.42166e-17	8.3958e-18	1.93675e-18	4.19943e-19	8.55712e-20	1.63831e-20	2.94657e-21	4.97756e-22	7.89661e-23	1.17639e-23	1.64565e-24	2.16174e-25	2.66678e-26	3.08992e-27	3.36333e-28	3.44006e-29	3.30725e-30	2.98973e-31	2.54235e-32	2.03457e-33	1.53305e-34	1.08821e-35	7.28093e-37	4.59438e-38	2.73587e-39	1.53838e-40	8.17348e-42	4.10591e-43	1.95144e-44	8.78086e-46	3.7432e-47	1.51275e-48	5.79964e-50	2.11075e-51	7.29739e-53	2.39818e-54	7.49661e-56	2.23051e-57	6.32094e-59	1.70717e-60	4.39713e-62	1.08084e-63	2.53837e-65	5.75198e-67	1.67119e-68	
N2	0.249406	0.237076	0.191163	0.136624	0.0862411	0.0505807	0.0261251	0.012902	0.00578742	0.0024946	0.000975835	0.000400678	0.000139948	5.44124e-05	1.84703e-05	6.87892e-06	2.12507e-06	8.0791e-07	2.23522e-07	7.91422e-08	2.11246e-08	6.77482e-09	1.6204e-09	5.28804e-10	1.10299e-10	3.20744e-11	6.72087e-12	1.80828e-12	3.3002e-13	8.82536e-14	1.45572e-14	3.61079e-15	5.7887e-16	1.23645e-16	1.81883e-17	4.18495e-18	5.18762e-19	9.96907e-20	1.29382e-20	2.38005e-21	2.61486e-22	4.60249e-23	4.63291e-24	7.74513e-25	7.57467e-26	1.05732e-26	9.71699e-28	1.52765e-28	1.15866e-29	1.46235e-30	1.19858e-31	1.48642e-32	1.03179e-33	1.24975e-34	8.13351e-36	9.41386e-37	5.90324e-38	5.57016e-39	3.38179e-40	3.72609e-41	1.88707e-42	1.74294e-43	1.20769e-44	1.44593e-45	1.73044e-46	4.63669e-47	
N3	0.213447	0.210048	0.180938	0.141775	0.100465	0.066988	0.040185	0.0230096	0.0121364	0.00607044	0.0027997	0.00127759	0.000520551	0.000214088	8.07588e-05	3.02633e-05	1.02595e-05	3.68734e-06	1.122e-06	3.69277e-07	1.06165e-07	3.17336e-08	8.17222e-09	2.35676e-09	5.38648e-10	1.40011e-10	3.05403e-11	7.1888e-12	1.39355e-12	3.16208e-13	5.49334e-14	1.13135e-14	1.87778e-15	3.46324e-16	5.19232e-17	9.45765e-18	1.25473e-18	2.03206e-19	2.64421e-20	3.92506e-21	4.54189e-22	6.53227e-23	6.83657e-24	9.00701e-25	9.13655e-26	1.07165e-26	9.91208e-28	1.17428e-28	9.61293e-30	1.00665e-30	8.23522e-32	8.00469e-33	5.84244e-34	5.56136e-35	3.71413e-36	3.26254e-37	2.1289e-38	1.67147e-39	1.02209e-40	8.39703e-42	4.85378e-43	3.9194e-44	2.9497e-45	2.92113e-46	3.0693e-47	5.64098e-48	
N4	0.0419311	0.0576295	0.0801492	0.103744	0.119698	0.126897	0.119116	0.104621	0.0836662	0.0621731	0.0420518	0.027072	0.0154535	0.00843467	0.0041574	0.00192215	0.000796301	0.000321297	0.000111647	3.81478e-05	1.15339e-05	3.3393e-06	8.50812e-07	2.18447e-07	4.69945e-08	1.03115e-08	1.97619e-09	3.73469e-10	6.12899e-11	1.05157e-11	1.49235e-12	2.23769e-13	2.89685e-14	3.8042e-15	4.32274e-16	5.29463e-17	5.2646e-18	5.67458e-19	5.26409e-20	5.04667e-21	4.1197e-22	3.69156e-23	2.67409e-24	2.16382e-25	1.54893e-26	1.34049e-27	1.39272e-28	2.48939e-29	4.5816e-30	1.04258e-30	2.07663e-31	4.44699e-32	8.03414e-33	1.65661e-33	2.7177e-34	5.11539e-35	8.11115e-36	1.39794e-36	2.09095e-37	3.69264e-38	5.57681e-39	1.02763e-39	1.89522e-40	4.05332e-41	9.64466e-42	3.79581e-42	
N5	0.00556634	0.00949035	0.0187618	0.0361555	0.0614161	0.0929231	0.118603	0.136185	0.135476	0.121268	0.0948241	0.0707508	0.0444174	0.0273455	0.014443	0.00730987	0.00305194	0.00134427	0.000440879	0.000161805	4.62236e-05	1.43787e-05	3.41934e-06	1.01458e-06	2.01869e-07	5.22754e-08	9.93762e-09	2.2993e-09	3.73256e-10	8.24349e-11	1.1327e-11	2.13365e-12	2.59952e-13	3.8957e-14	3.85292e-15	5.42607e-16	4.28238e-17	6.61405e-18	1.82258e-18	1.41765e-18	7.9922e-19	7.25452e-19	3.83039e-19	3.31688e-19	1.74802e-19	1.29691e-19	6.41224e-20	5.38879e-20	2.25006e-20	1.56929e-20	7.14325e-21	4.91673e-21	1.91549e-21	1.3013e-21	4.77954e-22	3.13971e-22	1.12649e-22	6.1889e-23	2.16502e-23	1.3884e-23	4.10567e-24	2.23654e-24	8.93002e-25	6.44756e-25	4.76063e-25	6.66435e-25	
N6	0.00551017	0.00938496	0.0185632	0.0358374	0.0610745	0.0925737	0.11853	0.136213	0.135787	0.121563	0.0952602	0.0709136	0.0446322	0.0273682	0.0144702	0.00728283	0.0030474	0.00132904	0.00043764	0.000158686	4.5429e-05	1.39534e-05	3.32462e-06	9.71123e-07	1.93567e-07	4.9303e-08	9.36266e-09	2.12667e-09	3.4473e-10	7.44539e-11	1.02137e-11	1.87619e-12	2.27609e-13	3.32572e-14	3.27129e-15	4.43464e-16	3.31022e-17	3.41173e-18	2.30465e-19	1.98212e-20	1.00974e-21	7.65822e-23	3.12561e-24	2.11162e-25	8.67754e-27	6.78925e-28	4.32391e-29	8.55089e-30	5.53645e-31	1.22326e-31	9.24721e-33	2.39862e-33	8.86298e-35	4.89162e-35	1.0729e-36	8.17433e-37	2.78403e-38	1.11059e-38	1.87766e-40	2.01192e-40	1.69745e-42	1.81798e-42	2.93458e-44	2.20173e-44	2.86907e-46	1.77151e-45	
N7	0.00296906	0.00532573	0.0115376	0.0247627	0.0471963	0.0785118	0.110321	0.135104	0.143747	0.13491	0.111424	0.0830616	0.0533062	0.0308685	0.0155769	0.00704038	0.00277898	0.00106006	0.000340277	0.000111759	3.23424e-05	9.57976e-06	2.42018e-06	7.23984e-07	1.58144e-07	4.31243e-08	8.86893e-09	2.1043e-09	3.50365e-10	7.68733e-11	1.0103e-11	1.79038e-12	1.99617e-13	2.75677e-14	2.38077e-15	2.92332e-16	2.02282e-17	2.81755e-18	6.15105e-19	3.61021e-19	1.50448e-19	1.03288e-19	3.95765e-20	2.54061e-20	9.82789e-21	5.47325e-21	1.95141e-21	1.23756e-21	3.73556e-22	1.98566e-22	6.68882e-23	3.48325e-23	9.88169e-24	5.25612e-24	1.39238e-24	7.15811e-25	1.89694e-25	8.03295e-26	2.07149e-26	1.07418e-26	2.25995e-27	9.54922e-28	2.7286e-28	1.51861e-28	8.07674e-29	8.83714e-29	
N8	1.53565e-31	8.0798e-27	8.13778e-23	7.35135e-20	9.45639e-16	3.33596e-16	4.61133e-12	5.5127e-14	7.67899e-12	1.51595e-08	1.75472e-10	1.76036e-12	1.50237e-08	4.07804e-05	2.84548e-05	3.05318e-09	3.84507e-11	5.81734e-09	1.65327e-05	0.0238923	0.0293268	4.23175e-06	2.80558e-10	1.29638e-14	5.76724e-13	1.07796e-08	0.000109183	0.365971	0.449491	0.131094	2.61154e-05	2.18612e-09	9.01535e-14	2.59594e-18	4.30003e-19	4.7797e-19	3.10428e-19	1.46192e-19	4.05698e-20	7.18559e-21	6.25082e-22	2.43856e-23	6.62324e-28	7.43958e-33	3.29917e-38	5.75668e-44	6.57773e-21	3.02141e-23	9.66381e-26	2.89376e-28	6.46744e-31	1.28809e-33	1.87359e-36	2.50592e-39	2.20412e-42	1.64398e-45	7.24416e-49	1.77028e-52	3.69776e-27	4.08981e-27	4.15142e-27	5.19126e-27	6.74067e-27	1.00316e-26	1.54891e-26	2.55415e-26	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
