NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	5.89719e-05	7.96478e-05	0.00013336	0.000250061	0.000488457	0.000953877	0.00182213	0.0033647	0.00596415	0.0101011	0.0162898	0.0249468	0.0361979	0.0496693	0.0643444	0.0785833	0.0903667	0.0977414	0.099343	0.0948058	0.084893	0.0712837	0.0561007	0.0413637	0.0285616	0.018464	0.0111722	0.006326	0.00335138	0.00166098	0.000770036	0.000333912	0.000135428	5.13728e-05	1.82267e-05	6.04846e-06	1.87742e-06	5.45107e-07	1.48061e-07	3.76254e-08	8.94631e-09	1.99059e-09	4.14528e-10	8.08014e-11	1.4745e-11	2.51944e-12	4.03156e-13	1.10771e-16	4.15089e-17	1.50571e-17	5.28778e-18	1.79798e-18	5.92016e-19	1.88787e-19	5.83124e-20	1.74488e-20	5.05891e-21	1.42137e-21	3.87086e-22	1.02204e-22	2.61743e-23	6.50985e-24	1.57986e-24	3.81951e-25	1.00536e-25	3.9312e-26	
N2	0.00251516	0.00303335	0.00412587	0.00590673	0.00853278	0.0121826	0.0170223	0.0231581	0.0305791	0.0391011	0.0483271	0.0576426	0.0662602	0.0733167	0.0780093	0.0797442	0.0782587	0.073683	0.0665224	0.0575619	0.0477205	0.0378914	0.0288091	0.0209693	0.0146093	0.00974131	0.0062159	0.00379545	0.00221759	0.0012398	0.000663258	0.000339534	0.000166332	7.79806e-05	3.49906e-05	1.50283e-05	6.17882e-06	2.43216e-06	9.16689e-07	3.30869e-07	1.14382e-07	3.78788e-08	1.20182e-08	3.65395e-09	1.06474e-09	2.97414e-10	7.96526e-11	2.04571e-11	5.03941e-12	1.19096e-12	2.70075e-13	5.87807e-14	1.22812e-14	2.46375e-15	4.74674e-16	8.78485e-17	1.56214e-17	2.6698e-18	4.38739e-19	6.93844e-20	1.05797e-20	1.56291e-21	2.2665e-22	3.35118e-23	5.68016e-24	1.60404e-24	
N3	0.0227491	0.0240318	0.0265588	0.0302989	0.035158	0.0409413	0.0473267	0.0538615	0.0599897	0.0651118	0.0686653	0.0702122	0.0695127	0.0665671	0.0616166	0.0551022	0.0475911	0.0396886	0.0319534	0.0248331	0.0186283	0.0134872	0.00942462	0.00635616	0.00413726	0.00259909	0.0015759	0.000922242	0.000520935	0.000284027	0.000149483	7.59454e-05	3.72485e-05	1.76375e-05	8.06332e-06	3.55931e-06	1.51713e-06	6.24471e-07	2.48239e-07	9.53076e-08	3.53445e-08	1.26616e-08	4.3819e-09	1.46517e-09	4.73372e-10	1.47791e-10	4.45931e-11	1.30049e-11	3.66612e-12	9.99119e-13	2.63259e-13	6.70743e-14	1.65265e-14	3.93834e-15	9.07827e-16	2.02445e-16	4.36808e-17	9.12101e-18	1.84378e-18	3.61083e-19	6.86317e-20	1.2725e-20	2.33598e-21	4.44171e-22	1.00057e-22	3.74888e-23	
N4	0.00109572	0.00148597	0.00234203	0.00381441	0.00611758	0.00950833	0.0142459	0.0205309	0.0284279	0.0377836	0.0481658	0.058848	0.0688629	0.0771306	0.0826429	0.0846636	0.0828889	0.0775221	0.069235	0.0590282	0.0480296	0.0372886	0.0276172	0.0195098	0.0131445	0.00844543	0.0051744	0.00302308	0.0016842	0.000894751	0.000453315	0.000219038	0.000100949	4.43813e-05	1.86153e-05	7.45037e-06	2.84575e-06	1.03754e-06	3.61152e-07	1.20044e-07	3.81116e-08	1.15594e-08	3.3503e-09	9.28136e-10	2.45828e-10	6.22673e-11	1.50875e-11	3.49805e-12	7.76266e-13	1.64929e-13	3.35595e-14	6.54179e-15	1.222e-15	2.18814e-16	3.75701e-17	6.18745e-18	9.7776e-19	1.48311e-19	2.16054e-20	3.02544e-21	4.08036e-22	5.32625e-23	6.81947e-24	8.893e-25	1.32086e-25	3.24054e-26	
N5	8.38392e-06	1.32875e-05	2.77077e-05	6.43238e-05	0.000152166	0.000352324	0.000783669	0.00165858	0.00332169	0.00627277	0.0111421	0.0185819	0.0290556	0.0425511	0.0583112	0.0747215	0.0894817	0.100093	0.104539	0.101908	0.0926982	0.0786615	0.0622591	0.0459546	0.0316297	0.0202989	0.0121463	0.00677657	0.00352518	0.00170995	0.000773487	0.000326315	0.000128409	4.71405e-05	1.61478e-05	5.16229e-06	1.54054e-06	4.29253e-07	1.11705e-07	2.71563e-08	6.16925e-09	1.31006e-09	2.60125e-10	4.83116e-11	8.39547e-12	1.36558e-12	2.07981e-13	2.96708e-14	3.96638e-15	4.97039e-16	5.84104e-17	6.43986e-18	6.66445e-19	6.47911e-20	5.93193e-21	5.1684e-22	4.49928e-23	4.72321e-24	8.37573e-25	2.41617e-25	8.21733e-26	2.85927e-26	9.95886e-27	3.54477e-27	1.38277e-27	7.24394e-28	
N6	8.23011e-06	1.30424e-05	2.72001e-05	6.3186e-05	0.000149657	0.000347098	0.000773561	0.00164061	0.00329258	0.00623028	0.0110872	0.0185212	0.0290026	0.0425252	0.0583329	0.074804	0.089624	0.100276	0.104729	0.102067	0.092795	0.0786842	0.0622145	0.0458643	0.0315203	0.0201934	0.0120591	0.00671284	0.00348333	0.00168502	0.000759926	0.000319553	0.000125307	4.58289e-05	1.56354e-05	4.97708e-06	1.47853e-06	4.09991e-07	1.06151e-07	2.5668e-08	5.79839e-09	1.22405e-09	2.41547e-10	4.45718e-11	7.69344e-12	1.24261e-12	1.87871e-13	2.65983e-14	3.52762e-15	4.38441e-16	5.10873e-17	5.5829e-18	5.72441e-19	5.50943e-20	4.97944e-21	4.22821e-22	3.37496e-23	2.53402e-24	1.79144e-25	1.19438e-26	7.53315e-28	4.52452e-29	2.62878e-30	1.54067e-31	1.03858e-32	1.33148e-33	
N7	1.62389e-06	2.63922e-06	5.94577e-06	1.56068e-05	4.26491e-05	0.000114498	0.000293788	0.000711158	0.00161355	0.00341941	0.00675353	0.012413	0.0212081	0.0336527	0.049558	0.0676881	0.0857012	0.10054	0.109247	0.109913	0.102364	0.0882279	0.0703638	0.0519181	0.0354384	0.0223763	0.0130693	0.007061	0.00352897	0.00163164	0.000697967	0.000276268	0.000101198	3.43111e-05	1.07694e-05	3.12996e-06	8.42501e-07	2.10085e-07	4.85427e-08	1.03964e-08	2.0644e-09	3.80189e-10	6.49585e-11	1.03004e-11	1.51636e-12	2.0732e-13	2.63352e-14	3.10924e-15	3.41326e-16	3.48551e-17	3.31251e-18	2.93188e-19	2.42062e-20	1.87428e-21	1.39079e-22	1.07628e-23	1.09769e-24	1.82859e-25	4.19256e-26	1.04359e-26	2.58424e-27	6.25837e-28	1.48969e-28	3.55634e-29	9.00148e-30	3.07088e-30	
N8	8.4036e-65	1.30001e-61	1.62362e-58	1.69408e-55	1.50869e-52	1.16278e-49	7.82872e-47	4.63528e-44	2.42542e-41	5.54864e-101	1.40084e-94	1.57721e-88	1.05306e-82	4.67814e-77	1.47062e-71	3.39624e-66	5.90311e-61	7.84609e-56	8.05568e-51	6.42493e-46	3.98772e-41	1.92249e-36	7.15827e-32	2.03762e-27	4.36357e-23	6.86071e-19	7.62662e-15	5.63433e-11	2.46492e-07	0.000480641	0.00565333	0.0294151	0.0892374	0.175579	0.23588	0.221797	0.147064	0.0682533	0.021631	0.00444672	0.000533084	2.82772e-05	9.05031e-09	1.29149e-12	1.09177e-16	6.13616e-21	2.43948e-25	7.12392e-30	1.56594e-34	2.63296e-39	3.42117e-44	3.45501e-49	2.71693e-54	1.66068e-59	7.84539e-65	2.83565e-70	7.71698e-76	1.5432e-81	2.18385e-87	2.05593e-93	1.14764e-99	2.85949e-106	8.31658e-47	1.02811e-49	1.19944e-52	1.45152e-55	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	1.63375e-06	2.66193e-06	6.01154e-06	1.57974e-05	4.31739e-05	0.000115853	0.000297044	0.000718427	0.00162859	0.00344813	0.00680405	0.0124945	0.0213281	0.0338132	0.0497505	0.0678917	0.0858846	0.100669	0.109294	0.109867	0.102236	0.0880436	0.0701584	0.0517237	0.0352766	0.0222558	0.0129882	0.00701145	0.00350134	0.00161754	0.000691369	0.000273433	0.000100078	3.39034e-05	1.06327e-05	3.0877e-06	8.30443e-07	2.06908e-07	4.77693e-08	1.02223e-08	2.02816e-09	3.73205e-10	6.37124e-11	1.00944e-11	1.4848e-12	2.02837e-13	2.57443e-14	3.03694e-15	3.33109e-16	3.39866e-17	3.22687e-18	2.85228e-19	2.34816e-20	1.80128e-21	1.28811e-22	8.59115e-24	5.34689e-25	3.10721e-26	1.6874e-27	8.57472e-29	4.08807e-30	1.84006e-31	7.9582e-33	3.50266e-34	1.91982e-35	2.49424e-36	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	3.45953e-06	5.67447e-06	1.24795e-05	3.0622e-05	7.624e-05	0.000185	0.000430116	0.00095034	0.00198629	0.00391531	0.00726296	0.0126587	0.0207042	0.0317479	0.0456081	0.0613467	0.0772275	0.0909569	0.1002	0.103226	0.0994338	0.08955	0.0753988	0.0593507	0.043678	0.0300539	0.0193366	0.0116347	0.00654771	0.00344715	0.00169807	0.000782841	0.00033785	0.000136529	5.16779e-05	1.83274e-05	6.09195e-06	1.89857e-06	5.54974e-07	1.52216e-07	3.91892e-08	9.4748e-09	2.15208e-09	4.59431e-10	9.22265e-11	1.74166e-11	3.09563e-12	5.18107e-13	8.16936e-14	1.21414e-14	1.70168e-15	2.25027e-16	2.80907e-17	3.31192e-18	3.68989e-19	3.88675e-20	3.87284e-21	3.65238e-22	3.26197e-23	2.76092e-24	2.2172e-25	1.69385e-26	1.24043e-27	8.93402e-29	6.98493e-30	9.31217e-31	
Bulbostylis_funckii	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	4.26221e-50	7.59631e-46	1.19613e-41	1.61677e-37	1.84254e-33	1.73443e-29	1.31739e-25	7.85738e-22	3.56061e-18	1.1755e-14	2.67181e-11	3.8537e-08	3.10146e-05	0.0110162	0.97676	0.0121545	3.77393e-05	5.16701e-08	3.94136e-11	1.9034e-14	6.30653e-18	1.51456e-21	2.74331e-25	3.86141e-29	4.32283e-33	3.92036e-37	2.9232e-41	1.81396e-45	9.46199e-50	4.1834e-54	1.57863e-58	5.11391e-63	1.42903e-67	3.45843e-72	7.27253e-77	1.33228e-81	2.13057e-86	2.9787e-91	3.64428e-96	3.90353e-101	3.66068e-106	3.00405e-111	2.15506e-116	1.34945e-121	7.36017e-127	3.48721e-132	1.43038e-137	5.05816e-143	1.53424e-148	3.96716e-154	8.68002e-160	1.59257e-165	2.42347e-171	3.01758e-177	3.02297e-183	2.38487e-189	1.4411e-195	6.42681e-202	2.00876e-208	4.07793e-215	4.75925e-222	2.54832e-229	3.57816e-237	5.33677e-36	3.89775e-36	3.23509e-36	
