NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.00725333	0.249316	0.540325	0.158824	0.0433346	0.000943181	4.17332e-06	5.96474e-09	3.52741e-12	6.31585e-18	8.26455e-20	8.73212e-22	7.76617e-24	5.99477e-26	4.11052e-28	2.5486e-30	1.44813e-32	7.61428e-35	3.72995e-37	1.7102e-39	7.36389e-42	2.98557e-44	1.14241e-46	4.13504e-49	1.419e-51	4.62737e-54	1.43724e-56	4.26146e-59	1.20888e-61	3.28805e-64	8.59242e-67	2.16154e-69	5.24432e-72	1.22929e-74	2.78852e-77	6.13096e-80	1.30843e-82	2.71417e-85	5.47963e-88	1.078e-90	2.06889e-93	3.87766e-96	7.10487e-99	1.27382e-101	2.23674e-104	3.84984e-107	6.5003e-110	1.07749e-112	1.75466e-115	2.80906e-118	4.42408e-121	6.86132e-124	1.05066e-126	1.6053e-129	2.55243e-132	4.81247e-135	1.31551e-137	5.17142e-140	2.35354e-142	1.07597e-144	4.71545e-147	1.96021e-149	7.72743e-152	2.89617e-154	1.03839e-156	4.39207e-159	
N2	0.0055173	0.202785	0.506201	0.192823	0.0788979	0.0135267	0.000226344	2.22753e-05	3.25617e-07	9.868e-09	7.00155e-11	4.68584e-12	1.94505e-14	3.41242e-16	4.63516e-18	1.51155e-19	6.2418e-22	1.77221e-23	7.27398e-26	2.40058e-27	1.02425e-29	1.14801e-31	9.11671e-34	4.5041e-35	1.34041e-37	1.21939e-39	9.04403e-42	1.14689e-43	5.22696e-46	1.44947e-47	7.18994e-50	2.00127e-51	7.03469e-54	5.95134e-56	3.32962e-58	1.10543e-59	3.30054e-62	2.87565e-64	1.9734e-66	4.84282e-68	1.66218e-70	1.64483e-72	5.66862e-75	8.61211e-77	5.07396e-79	5.23862e-81	4.40237e-83	1.37787e-84	4.26024e-87	3.01628e-89	1.20864e-91	1.28883e-93	5.2096e-96	9.15811e-98	3.41482e-100	4.56182e-102	1.85534e-104	1.59959e-106	1.10174e-108	2.58561e-110	9.19474e-113	8.4137e-115	5.94165e-117	1.17279e-118	1.00615e-120	4.08978e-122	
N3	0.00316048	0.124277	0.413345	0.231578	0.187597	0.0389209	0.00105304	6.65254e-05	1.50874e-06	3.55845e-08	4.07765e-10	1.74949e-11	1.19923e-13	1.91791e-15	2.09151e-17	4.10717e-19	2.73699e-21	6.1902e-23	3.41684e-25	5.57587e-27	3.5597e-29	3.81839e-31	3.05025e-33	7.59538e-35	3.46918e-37	3.36842e-39	2.50035e-41	2.58348e-43	1.36793e-45	1.94564e-47	1.07208e-49	1.58287e-51	8.32285e-54	7.37898e-56	4.85928e-58	8.87668e-60	3.86707e-62	3.20525e-64	1.99494e-66	2.28614e-68	1.09584e-70	1.07602e-72	4.93126e-75	5.1794e-77	3.09833e-79	2.80973e-81	1.9757e-83	3.23057e-85	1.42139e-87	1.093e-89	5.65446e-92	5.00146e-94	2.50747e-96	2.79015e-98	1.33512e-100	1.26927e-102	6.47625e-105	4.76762e-107	2.71183e-109	3.27904e-111	1.50379e-113	1.27366e-115	9.45955e-118	1.307e-119	1.86562e-121	5.83561e-123	
N4	8.28401e-05	0.0112221	0.121733	0.174262	0.47997	0.189581	0.0205287	0.00246702	0.000146243	6.88458e-06	1.64386e-07	6.8673e-09	8.20728e-11	1.57927e-12	2.2387e-14	4.12468e-16	4.21382e-18	8.24119e-20	6.07005e-22	7.65834e-24	5.48806e-26	4.96252e-28	4.58855e-30	2.81435e-31	1.37456e-32	1.17432e-33	9.32011e-35	1.27383e-35	1.54258e-36	3.48714e-37	4.1107e-38	7.63385e-39	7.98636e-40	9.90407e-41	8.91501e-42	1.31922e-42	8.01544e-44	6.80364e-45	4.25947e-46	3.31898e-47	1.5676e-48	1.08332e-49	4.30468e-51	2.57943e-52	1.0664e-53	5.22567e-55	1.99359e-56	1.20723e-57	3.54788e-59	1.45244e-60	4.49313e-62	1.75807e-63	4.83036e-65	2.01785e-66	5.04142e-68	1.82635e-69	4.66124e-71	1.4257e-72	3.51613e-74	1.30303e-75	2.8848e-77	9.46547e-79	3.13242e-80	1.55594e-81	9.34079e-83	1.14537e-83	
N5	1.69204e-07	0.000311931	0.0164801	0.0817211	0.532211	0.280181	0.0608351	0.0232799	0.00385625	0.00107303	3.98411e-05	1.09532e-05	2.03005e-07	2.78804e-08	1.57243e-09	1.35321e-10	1.25434e-12	6.9897e-14	2.74989e-16	1.78434e-17	2.54297e-18	2.42883e-18	1.4155e-18	5.31845e-18	8.2601e-19	4.14754e-19	1.87989e-19	3.02168e-19	1.46708e-19	5.2549e-19	2.85425e-19	9.86034e-19	3.84287e-19	3.54001e-19	2.24143e-19	8.30142e-19	1.7037e-19	9.90149e-20	4.145e-20	7.07628e-20	1.16069e-20	7.10245e-21	1.01952e-21	7.15646e-22	1.54056e-22	6.31345e-23	2.04111e-23	2.79571e-23	2.6976e-24	6.39628e-25	7.363e-26	3.15344e-26	3.76149e-27	2.43603e-27	2.84938e-28	1.52102e-28	1.43906e-29	3.06774e-30	4.49601e-31	3.08915e-31	2.36384e-32	5.17341e-33	9.15352e-34	4.6472e-34	1.03626e-34	1.24596e-34	
N6	1.52596e-07	0.000295297	0.0160416	0.0809201	0.533101	0.280047	0.0613422	0.0232463	0.003884	0.00107247	3.9709e-05	1.08005e-05	2.05973e-07	2.7568e-08	1.53389e-09	1.27103e-10	1.15246e-12	6.03832e-14	2.28494e-16	8.9961e-18	9.97734e-20	1.28971e-20	2.09604e-21	2.58659e-21	1.27525e-22	1.6719e-23	1.73451e-24	4.7432e-25	3.34513e-26	1.50755e-26	8.77552e-28	2.80263e-28	9.01881e-30	6.06104e-31	2.53418e-32	5.49159e-33	6.33079e-35	1.84682e-36	3.56652e-38	2.85542e-39	1.85261e-41	6.34193e-43	2.61444e-45	3.19294e-46	2.37675e-48	1.82323e-49	7.13408e-52	6.50901e-52	7.70637e-55	9.05134e-56	9.5001e-58	4.27483e-59	3.21116e-61	9.63946e-62	4.97532e-64	2.70466e-64	1.80054e-65	8.20395e-66	3.65449e-67	2.2702e-66	1.48844e-68	7.78354e-68	1.34067e-69	1.68924e-68	1.29084e-70	3.50726e-69	
N7	4.41215e-09	2.87147e-05	0.00442108	0.0483448	0.581695	0.262132	0.0779798	0.0194762	0.00495991	0.000932308	2.69363e-05	2.65959e-06	6.43021e-08	3.37355e-09	7.43541e-11	1.76557e-12	1.5366e-14	4.80489e-16	2.97724e-17	3.8334e-17	1.15125e-17	8.73187e-18	5.88273e-18	2.66805e-17	1.19376e-17	1.81669e-17	1.32661e-17	2.05719e-17	6.63184e-18	1.07974e-17	2.74529e-18	3.38399e-18	6.0015e-19	2.4799e-19	4.51417e-20	4.64656e-20	4.46876e-21	1.22381e-21	2.38176e-22	1.41499e-22	1.34576e-23	5.50851e-24	4.93911e-25	2.22248e-25	3.26655e-26	7.01157e-27	1.14808e-27	8.79414e-28	6.55591e-29	1.34418e-29	1.97435e-30	9.00461e-31	1.13816e-31	6.85474e-32	9.62694e-33	6.27231e-33	6.97179e-34	1.87706e-34	3.31816e-35	2.61113e-35	2.3497e-36	6.26576e-37	1.17854e-37	7.04291e-38	1.36841e-38	1.59779e-38	
N8	4.46369e-31	1.20967e-29	3.11915e-22	9.43484e-21	8.83092e-14	9.79441e-17	1.36601e-10	4.23239e-14	7.98591e-11	3.07645e-07	1.31476e-10	1.90302e-13	5.8141e-08	0.000198783	0.00010243	1.08952e-10	5.25008e-13	1.9691e-09	5.32859e-05	0.113622	0.0946911	3.07192e-07	3.55367e-13	3.69971e-19	1.13684e-16	5.4164e-11	8.46639e-06	0.384633	0.317649	0.0890415	5.54477e-07	1.96025e-12	1.96325e-18	5.75552e-20	4.67937e-23	3.4336e-25	1.04885e-21	6.20404e-19	1.89163e-16	5.13853e-14	5.738e-12	4.89853e-10	3.14255e-12	1.6333e-14	4.19647e-17	8.83552e-20	1.00741e-22	1.12132e-25	5.48827e-26	5.55606e-26	4.486e-26	4.70366e-26	3.63318e-26	4.42164e-26	3.35248e-26	3.84393e-26	3.16713e-26	3.26012e-26	2.75504e-26	3.5825e-26	2.7918e-26	3.23216e-26	3.76639e-26	6.64696e-26	1.40033e-25	3.69344e-25	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
