NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	0.1397	0.135355	0.127171	0.115918	0.102531	0.088001	0.0732726	0.0591605	0.0462913	0.0350769	0.0257169	0.018224	0.0124673	0.0082218	0.00525247	0.00324859	0.0019442	0.00112547	0.000630029	0.000341029	0.000178535	9.04652e-05	4.41208e-05	2.07056e-05	9.34751e-06	4.05834e-06	1.69411e-06	6.7984e-07	2.62264e-07	9.72924e-08	3.47465e-08	1.18859e-08	3.89406e-09	1.22179e-09	3.67129e-10	1.05656e-10	2.91264e-11	7.69332e-12	1.9482e-12	4.73697e-13	1.24854e-16	5.88512e-17	2.71239e-17	1.22244e-17	5.3881e-18	2.32298e-18	9.7984e-19	4.04507e-19	1.63584e-19	6.4675e-20	2.50007e-20	9.45008e-21	3.49335e-21	1.26311e-21	4.46803e-22	1.54661e-22	5.24097e-23	1.74024e-23	5.6522e-24	1.79597e-24	5.58383e-25	1.69906e-25	5.06114e-26	1.47642e-26	4.22002e-27	1.18276e-27	3.25534e-28	8.79508e-29	2.33645e-29	6.11848e-30	1.58535e-30	4.08636e-31	1.05562e-31	2.76243e-32	7.53386e-33	2.61389e-33	
N2	0.134259	0.132079	0.125663	0.115708	0.103168	0.0891111	0.0745818	0.0604935	0.0475546	0.0362354	0.0266895	0.0189878	0.0130367	0.0086303	0.00553249	0.0034373	0.00207343	0.00121832	0.000701288	0.00039242	0.000213769	0.00011366	5.89332e-05	2.99575e-05	1.50701e-05	7.61756e-06	3.95175e-06	2.15072e-06	1.14323e-06	5.9174e-07	2.98462e-07	1.46643e-07	7.07019e-08	3.38393e-08	1.63185e-08	8.04384e-09	4.08501e-09	1.92119e-09	8.4924e-10	3.57122e-10	1.43912e-10	5.62612e-11	2.16562e-11	8.34731e-12	3.27258e-12	1.31641e-12	4.89067e-13	1.70498e-13	5.64833e-14	1.7921e-14	5.51417e-15	1.6702e-15	5.06485e-16	1.56172e-16	4.93769e-17	1.44126e-17	3.94018e-18	1.01914e-18	2.50305e-19	5.86797e-20	1.31837e-20	2.84764e-21	5.92754e-22	1.19096e-22	2.31072e-23	4.33424e-24	7.88269e-25	1.39311e-25	2.417e-26	4.1985e-27	7.5521e-28	1.47164e-28	3.22407e-29	7.96997e-30	2.18075e-30	7.51745e-31	
N3	0.133803	0.131708	0.125447	0.115674	0.103298	0.0893526	0.0748706	0.06077	0.047777	0.0363842	0.026764	0.0190012	0.0130085	0.00858048	0.00547702	0.00338632	0.00203171	0.00118688	0.000679057	0.000377539	0.000204301	0.000107896	5.55482e-05	2.80045e-05	1.39346e-05	6.93399e-06	3.52046e-06	1.86946e-06	9.65115e-07	4.83949e-07	2.36143e-07	1.12006e-07	5.1907e-08	2.37219e-08	1.08617e-08	5.10211e-09	2.52074e-09	1.13743e-09	4.79649e-10	1.92035e-10	7.35152e-11	2.7174e-11	9.82781e-12	3.55833e-12	1.33837e-12	5.43616e-13	1.95739e-13	6.50424e-14	2.04213e-14	6.12183e-15	1.77117e-15	5.0199e-16	1.43553e-16	4.35818e-17	1.47425e-17	4.27007e-18	1.12696e-18	2.79723e-19	6.61251e-20	1.50015e-20	3.27811e-21	6.91396e-22	1.40947e-22	2.77881e-23	5.28669e-24	9.69868e-25	1.71775e-25	2.93204e-26	4.83511e-27	7.74482e-28	1.22395e-28	2.00369e-29	3.83757e-30	1.00079e-30	3.64631e-31	2.06609e-31	
N4	0.120847	0.119786	0.115656	0.108778	0.0996333	0.088828	0.0770382	0.0649524	0.0532092	0.0423417	0.0326193	0.0243013	0.0174905	0.0121519	0.00818795	0.0053585	0.00341671	0.00213537	0.00132195	0.000801609	0.000477167	0.000279728	0.000161468	9.24044e-05	5.30661e-05	3.11587e-05	1.91334e-05	1.24979e-05	7.8002e-06	4.65774e-06	2.67348e-06	1.47926e-06	7.97388e-07	4.25288e-07	2.28891e-07	1.26674e-07	7.27708e-08	3.82884e-08	1.8808e-08	8.75035e-09	3.88885e-09	1.67388e-09	7.10052e-10	3.03033e-10	1.32628e-10	6.00859e-11	2.48683e-11	9.59195e-12	3.49983e-12	1.21907e-12	4.11098e-13	1.36577e-13	4.56311e-14	1.56236e-14	5.53101e-15	1.78713e-15	5.36798e-16	1.51752e-16	4.05577e-17	1.03032e-17	2.49766e-18	5.79507e-19	1.28986e-19	2.75825e-20	5.66719e-21	1.11967e-21	2.13339e-22	3.92478e-23	7.03485e-24	1.25231e-24	2.2951e-25	4.56432e-26	1.03367e-26	2.72261e-27	8.79641e-28	4.62029e-28	
N5	0.118141	0.117197	0.113341	0.106876	0.0982515	0.0880292	0.0768332	0.065298	0.0540163	0.0434916	0.0339717	0.0257179	0.0188523	0.0133707	0.00921696	0.00618349	0.00404992	0.0026084	0.00167931	0.0010631	0.000664047	0.000411211	0.000252626	0.000154906	9.58046e-05	6.12851e-05	4.31032e-05	3.65414e-05	2.78227e-05	1.98935e-05	1.37034e-05	9.17307e-06	6.0133e-06	3.91313e-06	2.63723e-06	2.02847e-06	1.94703e-06	1.45547e-06	9.7708e-07	6.2112e-07	3.80347e-07	2.26611e-07	1.33355e-07	8.11437e-08	5.65008e-08	4.90088e-08	3.24766e-08	1.92219e-08	1.07475e-08	5.78045e-09	3.0214e-09	1.55836e-09	8.30507e-10	5.06223e-10	3.84021e-10	2.22365e-10	1.14943e-10	5.61058e-11	2.63229e-11	1.19554e-11	5.26597e-12	2.25018e-12	9.33119e-13	3.75599e-13	1.46199e-13	5.4977e-14	1.99974e-14	7.0243e-15	2.39023e-15	7.92636e-16	2.6017e-16	8.90799e-17	3.75584e-17	2.55166e-17	2.88832e-17	4.53081e-17	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0866478	0.0869581	0.0860595	0.0839961	0.080842	0.0767029	0.0717158	0.0660476	0.0598896	0.0534499	0.0468294	0.0402476	0.0339078	0.0279844	0.0227234	0.018161	0.0142991	0.0111095	0.00853908	0.0064662	0.00483001	0.00356583	0.00259623	0.00186948	0.00133632	0.000952562	0.000680585	0.000489811	0.000348379	0.000244734	0.000169856	0.000116036	7.81203e-05	5.19347e-05	3.41795e-05	2.23281e-05	1.45123e-05	9.13752e-06	5.58736e-06	3.32884e-06	1.93035e-06	1.09315e-06	6.06747e-07	3.31344e-07	1.78685e-07	9.5453e-08	4.92229e-08	2.45857e-08	1.19415e-08	5.63714e-09	2.59503e-09	1.16906e-09	5.17212e-10	2.2546e-10	9.70998e-11	4.02371e-11	1.60779e-11	6.2108e-12	2.31452e-12	8.33122e-13	2.90008e-13	9.7748e-14	3.19457e-14	1.01405e-14	3.13313e-15	9.4548e-16	2.80219e-16	8.1811e-17	2.37276e-17	6.91051e-18	2.04713e-18	6.25709e-19	2.00712e-19	6.94897e-20	2.78942e-20	1.60907e-20	
N7	0.0774203	0.0778641	0.0773853	0.0760079	0.0737759	0.0707559	0.0670378	0.0627333	0.0579751	0.0529122	0.0475705	0.0421046	0.0366671	0.0313999	0.0265541	0.0221865	0.0183387	0.0150372	0.0122934	0.00994787	0.00797606	0.00634786	0.00500551	0.00392678	0.0030874	0.00246469	0.00203941	0.00179527	0.00156763	0.00135472	0.00115939	0.000981695	0.000828459	0.000705916	0.000619374	0.000572398	0.000565548	0.00051987	0.000453881	0.00038191	0.000312217	0.000251312	0.000202601	0.000167226	0.000144613	0.000132824	0.000112287	8.96449e-05	6.87457e-05	5.11141e-05	3.73651e-05	2.73266e-05	2.04418e-05	1.60043e-05	1.3291e-05	1.015e-05	7.30914e-06	5.04086e-06	3.34937e-06	2.15838e-06	1.35489e-06	8.30895e-07	4.9872e-07	2.93259e-07	1.68872e-07	9.52794e-08	5.27823e-08	2.87176e-08	1.54744e-08	8.41208e-09	4.79259e-09	3.05361e-09	2.33966e-09	2.22105e-09	2.55498e-09	3.43871e-09	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
