NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	0.121631	0.118845	0.113504	0.105976	0.0967266	0.0862824	0.0751903	0.0639767	0.053113	0.0429876	0.0338885	0.0259957	0.0193837	0.0140337	0.00989613	0.00679489	0.00452309	0.00291704	0.00182162	0.001101	0.000643911	0.000364423	0.000198792	0.000104474	5.28781e-05	2.57687e-05	1.20907e-05	5.46439e-06	2.37029e-06	9.86583e-07	3.9398e-07	1.50944e-07	5.54956e-08	1.95943e-08	6.6227e-09	2.14272e-09	6.63655e-10	1.96805e-10	5.59005e-11	1.52236e-11	3.96356e-12	9.86667e-13	2.34884e-13	9.24802e-17	4.31736e-17	1.9729e-17	8.81337e-18	3.84922e-18	1.64383e-18	6.86546e-19	2.80502e-19	1.12183e-19	4.38654e-20	1.67718e-20	6.27143e-21	2.29391e-21	8.20997e-22	2.87704e-22	9.86107e-23	3.30635e-23	1.08471e-23	3.4829e-24	1.09496e-24	3.37311e-25	1.01749e-25	3.00694e-26	8.71268e-27	2.47801e-27	6.92986e-28	1.91083e-28	5.20904e-29	1.41099e-29	3.82462e-30	1.04834e-30	2.99208e-31	1.08374e-31	
N2	0.121525	0.118629	0.113227	0.105766	0.096577	0.0862684	0.0752764	0.0641275	0.0532364	0.043093	0.0339459	0.0260471	0.0194319	0.0140837	0.00992382	0.00681532	0.00454	0.00294395	0.00185588	0.00113716	0.000675195	0.000391267	0.000220235	0.000121921	6.65012e-05	3.56675e-05	1.87022e-05	9.76699e-06	5.04911e-06	2.65326e-06	1.4146e-06	7.4361e-07	3.80153e-07	1.93012e-07	9.63618e-08	4.84756e-08	2.44583e-08	1.181e-08	5.44732e-09	2.4524e-09	1.0771e-09	4.71552e-10	2.06382e-10	8.56831e-11	3.39384e-11	1.30606e-11	4.90772e-12	1.83306e-12	6.85343e-13	2.4251e-13	8.19573e-14	2.68707e-14	8.61223e-15	2.74095e-15	8.74039e-16	2.6359e-16	7.59781e-17	2.12299e-17	5.79992e-18	1.5709e-18	4.25591e-19	1.08543e-19	2.6258e-20	6.07502e-21	1.34667e-21	2.87629e-22	5.93282e-23	1.18785e-23	2.31704e-24	4.44936e-25	8.496e-26	1.65035e-26	3.3457e-27	7.30223e-28	1.75961e-28	5.53835e-29	
N3	0.121545	0.118671	0.113304	0.105884	0.0967278	0.0864344	0.0754341	0.0642535	0.053313	0.0431122	0.0339093	0.025965	0.0193195	0.0139574	0.00979824	0.00670093	0.00444297	0.0028663	0.00179698	0.00109465	0.00064599	0.000371977	0.000207967	0.000114275	6.18105e-05	3.28311e-05	1.70175e-05	8.76191e-06	4.44715e-06	2.28384e-06	1.18555e-06	6.04337e-07	2.9818e-07	1.45655e-07	6.96218e-08	3.35517e-08	1.62937e-08	7.53601e-09	3.3078e-09	1.41496e-09	5.884e-10	2.45751e-10	1.04241e-10	4.14078e-11	1.55205e-11	5.63771e-12	1.99659e-12	7.13575e-13	2.6315e-13	8.95861e-14	2.86596e-14	8.85783e-15	2.68026e-15	8.24445e-16	2.65955e-16	7.80204e-17	2.14085e-17	5.66185e-18	1.47124e-18	3.91176e-19	1.10393e-19	2.79326e-20	6.56193e-21	1.46893e-21	3.15182e-22	6.54404e-23	1.31237e-23	2.55256e-24	4.79539e-25	8.76489e-26	1.55473e-26	2.73241e-27	4.9363e-28	1.01895e-28	2.78419e-29	1.31797e-29	
N4	0.110883	0.1088	0.104903	0.0994539	0.0925565	0.0845781	0.0757352	0.0663791	0.0568053	0.04748	0.0386679	0.0307196	0.0237608	0.0178795	0.0130933	0.00936437	0.0065085	0.00442348	0.00293992	0.00191037	0.00120908	0.000754332	0.000461906	0.000283638	0.000175454	0.000107856	6.5138e-05	3.9464e-05	2.37573e-05	1.46167e-05	9.15593e-06	5.54245e-06	3.21869e-06	1.83577e-06	1.0261e-06	5.76888e-07	3.27115e-07	1.75281e-07	8.92944e-08	4.4211e-08	2.14087e-08	1.03664e-08	5.06174e-09	2.32194e-09	1.01221e-09	4.2747e-10	1.76684e-10	7.28732e-11	3.03255e-11	1.1833e-11	4.38882e-12	1.575e-12	5.53411e-13	1.93884e-13	6.85479e-14	2.27115e-14	7.15333e-15	2.17826e-15	6.49135e-16	1.92528e-16	5.74808e-17	1.59939e-17	4.18857e-18	1.0423e-18	2.47063e-19	5.60977e-20	1.22251e-20	2.56753e-21	5.20872e-22	1.03009e-22	2.00182e-23	3.91352e-24	7.94977e-25	1.77938e-25	4.90824e-26	2.28691e-26	
N5	0.108983	0.106964	0.103195	0.0979367	0.0912967	0.0836329	0.0751484	0.0661717	0.0569694	0.0479761	0.0394293	0.0316652	0.0248031	0.0189375	0.0140967	0.0102704	0.00728443	0.00506776	0.00345999	0.0023192	0.00151668	0.000983723	0.000627259	0.000407384	0.000272801	0.000183557	0.000120766	8.1107e-05	5.4091e-05	3.88003e-05	3.04443e-05	2.25062e-05	1.55473e-05	1.07075e-05	7.26731e-06	5.32943e-06	4.39529e-06	3.18383e-06	2.12274e-06	1.38456e-06	8.95956e-07	6.2246e-07	4.92413e-07	3.32384e-07	2.06296e-07	1.24088e-07	7.43665e-08	4.75872e-08	3.48084e-08	2.15497e-08	1.22777e-08	6.75725e-09	3.71119e-09	2.17185e-09	1.45468e-09	8.23002e-10	4.28757e-10	2.15536e-10	1.08216e-10	5.78537e-11	3.54171e-11	1.82989e-11	8.69047e-12	3.94614e-12	1.73319e-12	7.41886e-13	3.0951e-13	1.25969e-13	4.99544e-14	1.94035e-14	7.38832e-15	2.80261e-15	1.09708e-15	4.96542e-16	3.23926e-16	3.63273e-16	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0827327	0.0818373	0.0802041	0.0779481	0.0750295	0.0715746	0.067566	0.063075	0.0581225	0.0528964	0.0474556	0.042008	0.0366282	0.03144	0.0265937	0.0222155	0.0182472	0.0147844	0.0118061	0.00929504	0.00720327	0.00552492	0.00417775	0.00313745	0.00233942	0.00172985	0.00126458	0.000921102	0.000664578	0.00047892	0.000343607	0.000243361	0.000169321	0.00011656	7.88933e-05	5.28874e-05	3.50204e-05	2.26356e-05	1.42548e-05	8.81056e-06	5.32626e-06	3.17084e-06	1.85827e-06	1.05812e-06	5.85715e-07	3.17297e-07	1.67952e-07	8.73784e-08	4.47246e-08	2.22096e-08	1.07176e-08	5.05587e-09	2.32984e-09	1.05411e-09	4.68957e-10	2.02155e-10	8.45963e-11	3.45414e-11	1.37527e-11	5.36199e-12	2.0502e-12	7.56476e-13	2.69638e-13	9.32123e-14	3.12118e-14	1.01609e-14	3.22135e-15	9.99763e-16	3.04954e-16	9.22647e-17	2.78529e-17	8.51172e-18	2.67906e-18	8.99057e-19	3.46972e-19	1.91193e-19	
N7	0.0747129	0.0740066	0.0727302	0.0709816	0.0687162	0.066041	0.062926	0.0594179	0.0555064	0.0513413	0.0469387	0.0424725	0.0379772	0.0335418	0.0292824	0.025337	0.0216279	0.0182957	0.0153262	0.012715	0.0104134	0.00848739	0.00684976	0.00555342	0.00453158	0.00370374	0.00300584	0.00246781	0.00203221	0.00172922	0.00152003	0.00133061	0.00114345	0.0009899	0.000856279	0.000765609	0.000707226	0.00063103	0.000543431	0.000464351	0.00039448	0.000343412	0.000308338	0.000263497	0.000216493	0.000175247	0.00014105	0.00011582	9.81489e-05	7.87836e-05	6.08052e-05	4.61144e-05	3.48005e-05	2.67451e-05	2.12266e-05	1.59325e-05	1.15038e-05	8.15292e-06	5.75172e-06	4.12639e-06	3.05379e-06	2.12861e-06	1.41678e-06	9.11594e-07	5.69047e-07	3.47099e-07	2.07396e-07	1.22002e-07	7.08683e-08	4.10837e-08	2.40401e-08	1.46353e-08	9.67094e-09	7.36663e-09	6.79008e-09	7.74228e-09	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
