NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	0.136375	0.132406	0.124844	0.114339	0.101725	0.0879133	0.0737927	0.0601415	0.0475714	0.0364984	0.0271423	0.0195484	0.0136236	0.00917953	0.00597497	0.00375415	0.00227537	0.00132954	0.000748569	0.000405923	0.000211914	0.000106467	5.14584e-05	2.39186e-05	1.06883e-05	4.5902e-06	1.89391e-06	7.50498e-07	2.85535e-07	1.04268e-07	3.65332e-08	1.22782e-08	3.95705e-09	1.22258e-09	3.62025e-10	1.02721e-10	2.79216e-11	7.26947e-12	1.81246e-12	4.32682e-13	1.19476e-16	5.58837e-17	2.55731e-17	1.14488e-17	5.01429e-18	2.14842e-18	9.00508e-19	3.69247e-19	1.48119e-19	5.81267e-20	2.23164e-20	8.38248e-21	3.0806e-21	1.10774e-21	3.89763e-22	1.34201e-22	4.52207e-23	1.49136e-23	4.81433e-24	1.52143e-24	4.70754e-25	1.42639e-25	4.23339e-26	1.23103e-26	3.50881e-27	9.80848e-28	2.69118e-28	7.25578e-29	1.9256e-29	5.04282e-30	1.30791e-30	3.37683e-31	8.74028e-32	2.29108e-32	6.25206e-33	2.16328e-33	
N2	0.130726	0.128081	0.121636	0.112808	0.10131	0.0887851	0.0752286	0.062154	0.0495516	0.0384985	0.0287982	0.0209913	0.0146935	0.0100294	0.00655545	0.00418693	0.00255215	0.00152647	0.000867923	0.000487808	0.000259256	0.00013784	6.88234e-05	3.50072e-05	1.65487e-05	8.16768e-06	3.69368e-06	1.79519e-06	7.82874e-07	3.77014e-07	1.59152e-07	7.57684e-08	3.08052e-08	1.43094e-08	5.57213e-09	2.50036e-09	9.24044e-10	3.95718e-10	1.385e-10	5.65136e-11	1.86166e-11	7.18824e-12	2.23565e-12	8.21331e-13	2.39891e-13	8.33403e-14	2.30263e-14	7.64689e-15	1.98468e-15	6.2449e-16	1.541e-16	4.67232e-17	1.08475e-17	3.12421e-18	6.94847e-19	1.94653e-19	4.07828e-20	1.08547e-20	2.19618e-21	5.72758e-22	1.09167e-22	2.69713e-23	4.9971e-24	1.21454e-24	2.11639e-25	4.85229e-26	8.28399e-27	1.88419e-27	3.07823e-28	6.78716e-29	1.18082e-29	2.86368e-30	6.01247e-31	1.72978e-31	5.01579e-32	2.02788e-32	
N3	0.129298	0.126863	0.120797	0.112418	0.101347	0.0891535	0.0757961	0.0627961	0.0501644	0.0390252	0.0292076	0.0212884	0.0148896	0.0101508	0.00662126	0.00421944	0.00256351	0.00152843	0.000865035	0.000484298	0.00025581	0.000135397	6.70438e-05	3.39257e-05	1.58477e-05	7.77176e-06	3.45257e-06	1.66445e-06	7.06782e-07	3.37101e-07	1.37092e-07	6.46902e-08	2.50504e-08	1.15724e-08	4.24801e-09	1.90949e-09	6.58423e-10	2.84809e-10	9.22245e-11	3.84781e-11	1.1612e-11	4.63468e-12	1.31157e-12	5.06328e-13	1.33196e-13	4.91831e-14	1.21868e-14	4.38822e-15	1.01015e-15	3.47505e-16	7.60155e-17	2.57505e-17	5.22988e-18	1.68372e-18	3.28849e-19	1.05261e-19	1.9026e-20	5.72396e-21	1.0073e-21	3.03808e-22	4.91766e-23	1.37472e-23	2.19086e-24	6.18505e-25	8.97912e-26	2.31213e-26	3.33443e-27	8.73252e-28	1.13821e-28	2.6907e-29	3.56236e-30	8.90349e-31	1.25588e-31	3.70343e-32	1.11965e-32	7.07152e-33	
N4	0.109084	0.108359	0.10565	0.101675	0.0955328	0.0881357	0.0789051	0.0690683	0.0583744	0.0481392	0.0381891	0.0295677	0.0219535	0.0159472	0.0110734	0.00756053	0.00491382	0.00316726	0.00193259	0.00118584	0.000683052	0.00040384	0.000221498	0.000128138	6.75075e-05	3.86519e-05	1.96909e-05	1.12082e-05	5.51327e-06	3.09306e-06	1.46312e-06	8.0129e-07	3.61096e-07	1.90306e-07	8.1465e-08	4.11739e-08	1.66204e-08	7.98175e-09	3.04758e-09	1.39793e-09	5.01601e-10	2.1794e-10	7.40951e-11	3.0864e-11	9.85788e-12	3.89106e-12	1.18362e-12	4.51202e-13	1.28963e-13	4.65832e-14	1.27652e-14	4.48808e-15	1.15481e-15	3.83815e-16	9.52829e-17	3.09933e-17	7.19885e-18	2.19915e-18	4.94697e-19	1.48209e-19	3.10564e-20	8.67883e-21	1.76558e-21	4.84268e-22	9.13146e-23	2.32112e-23	4.26298e-24	1.06842e-24	1.83615e-25	4.34027e-26	7.7417e-27	1.9649e-27	4.10085e-28	1.24513e-28	4.17728e-29	2.58308e-29	
N5	0.104518	0.104008	0.101769	0.0984703	0.0931936	0.086765	0.0785281	0.0696237	0.0596956	0.0500458	0.0404106	0.0319322	0.0242125	0.0180359	0.0128335	0.0090441	0.00604404	0.0040611	0.00255608	0.00166257	0.000990147	0.000638623	0.000362607	0.00024002	0.000130701	9.14277e-05	4.79845e-05	3.60746e-05	1.81499e-05	1.4437e-05	6.97352e-06	5.79236e-06	2.65974e-06	2.22966e-06	9.84873e-07	8.34294e-07	3.49602e-07	2.8902e-07	1.17599e-07	9.73821e-08	3.74402e-08	2.96222e-08	1.12019e-08	8.98208e-09	3.17698e-09	2.3896e-09	8.47617e-10	6.66073e-10	2.16547e-10	1.55459e-10	5.21181e-11	4.09068e-11	1.2186e-11	8.41159e-12	2.68212e-12	2.13834e-12	5.80107e-13	3.85302e-13	1.16507e-13	9.43584e-14	2.3278e-14	1.48972e-14	4.27682e-15	3.507e-15	7.86997e-16	4.81823e-16	1.30404e-16	1.06781e-16	2.21608e-17	1.31922e-17	3.47156e-18	2.93146e-18	6.48927e-19	4.97704e-19	3.8128e-19	7.73545e-19	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0445966	0.0458773	0.0478647	0.0507379	0.0538324	0.0572268	0.0600633	0.0624643	0.0635218	0.0636064	0.0619393	0.0592481	0.0549494	0.0500572	0.0441282	0.0382627	0.0320508	0.0264763	0.0210963	0.0166463	0.0126476	0.00957163	0.00696197	0.00508108	0.00355382	0.0025148	0.00169882	0.00117085	0.0007658	0.000514821	0.000326212	0.000213747	0.0001309	8.3272e-05	4.91428e-05	3.02375e-05	1.71211e-05	1.0139e-05	5.49422e-06	3.1241e-06	1.61488e-06	8.78765e-07	4.33153e-07	2.25617e-07	1.05851e-07	5.26698e-08	2.35574e-08	1.12211e-08	4.77843e-09	2.17504e-09	8.84383e-10	3.85915e-10	1.49588e-10	6.24257e-11	2.31507e-11	9.2757e-12	3.28285e-12	1.25839e-12	4.2686e-13	1.57296e-13	5.09809e-14	1.79898e-14	5.60683e-15	1.90942e-15	5.72465e-16	1.88379e-16	5.53535e-17	1.80046e-17	5.31458e-18	1.75578e-18	5.50496e-19	1.94447e-19	6.82889e-20	2.73679e-20	1.22653e-20	8.05836e-21	
N7	0.0395754	0.0406297	0.0422588	0.0446642	0.047339	0.0504085	0.0532167	0.0558797	0.0576579	0.058787	0.058566	0.0574712	0.0549233	0.0516658	0.0472334	0.0425501	0.0371849	0.0321089	0.0268467	0.0222893	0.0178749	0.014349	0.0110878	0.00868273	0.00650606	0.00502869	0.00368362	0.00285102	0.00205792	0.00161631	0.00115789	0.000932314	0.00066454	0.000548931	0.000389331	0.000328451	0.00023051	0.000196151	0.000135757	0.000115562	7.82893e-05	6.58592e-05	4.36528e-05	3.62259e-05	2.33423e-05	1.89426e-05	1.19091e-05	9.49754e-06	5.78659e-06	4.49663e-06	2.67567e-06	2.04809e-06	1.17941e-06	8.79107e-07	4.96122e-07	3.66465e-07	1.99884e-07	1.43734e-07	7.72404e-08	5.55162e-08	2.87867e-08	2.01303e-08	1.03615e-08	7.32112e-09	3.62996e-09	2.49347e-09	1.24223e-09	8.76933e-10	4.26029e-10	2.99363e-10	1.58681e-10	1.29444e-10	8.94651e-11	9.87851e-11	1.17866e-10	1.87331e-10	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
