NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	0.183972	0.173771	0.155223	0.131393	0.105624	0.0808093	0.0589548	0.041082	0.0273824	0.0174762	0.01069	0.00627124	0.00353048	0.0019081	0.00099046	0.000493932	0.000236713	0.000109042	4.82921e-05	2.05654e-05	8.42257e-06	3.31774e-06	1.25711e-06	4.58204e-07	1.60666e-07	5.41967e-08	1.75875e-08	5.49048e-09	1.64882e-09	4.76287e-10	1.32334e-10	3.53623e-11	9.08752e-12	2.24566e-12	5.33573e-13	1.16565e-16	5.46239e-17	2.50961e-17	1.13037e-17	4.99117e-18	2.16039e-18	9.16623e-19	3.81207e-19	1.55391e-19	6.20835e-20	2.43107e-20	9.33001e-21	3.50934e-21	1.29367e-21	4.6739e-22	1.65498e-22	5.74342e-23	1.95351e-23	6.5124e-24	2.12795e-24	6.81548e-25	2.13982e-25	6.58622e-26	1.98756e-26	5.8815e-27	1.70691e-27	4.85938e-28	1.35745e-28	3.72216e-29	1.00234e-29	2.6526e-30	6.90523e-31	1.77052e-31	4.4796e-32	1.1213e-32	2.78679e-33	6.91039e-34	1.72063e-34	4.34011e-35	1.13654e-35	3.75066e-36	
N2	0.175925	0.168477	0.152074	0.130603	0.106414	0.0831601	0.0615325	0.0438461	0.0297882	0.0194611	0.0121356	0.00736242	0.00423079	0.00238118	0.00127993	0.000672604	0.000336867	0.000169323	7.9467e-05	3.81237e-05	1.72721e-05	7.98903e-06	3.45169e-06	1.60082e-06	6.60255e-07	2.99396e-07	1.22161e-07	5.38454e-08	2.08989e-08	9.21432e-09	3.38297e-09	1.43157e-09	5.13107e-10	2.06161e-10	6.96624e-11	2.76906e-11	8.74665e-12	3.28504e-12	1.01623e-12	3.63045e-13	1.05191e-13	3.69593e-14	1.00793e-14	3.37632e-15	9.0118e-16	2.83496e-16	7.1623e-17	2.2668e-17	5.3223e-18	1.57429e-18	3.6933e-19	1.04546e-19	2.2805e-20	6.36871e-21	1.31327e-21	3.50374e-22	7.07156e-23	1.74847e-23	3.35941e-24	8.44523e-25	1.49024e-25	3.45208e-26	6.15101e-27	1.3722e-27	2.25226e-28	4.91293e-29	7.72696e-30	1.63661e-30	2.54519e-31	5.11575e-32	8.22829e-33	1.8738e-33	3.5466e-34	9.68652e-35	2.75055e-35	1.10656e-35	
N3	0.175858	0.168435	0.152065	0.130621	0.106441	0.0831868	0.0615494	0.0438579	0.0297947	0.0194665	0.0121384	0.00736622	0.00423194	0.00238246	0.00128001	0.000672618	0.000336309	0.000169061	7.90173e-05	3.78721e-05	1.70443e-05	7.85994e-06	3.35209e-06	1.55153e-06	6.25851e-07	2.82843e-07	1.12334e-07	4.93257e-08	1.84257e-08	8.17287e-09	2.85442e-09	1.22077e-09	4.15746e-10	1.69211e-10	5.37347e-11	2.20854e-11	6.45987e-12	2.51603e-12	7.25106e-13	2.70351e-13	7.18083e-14	2.68416e-14	6.63218e-15	2.3836e-15	5.78823e-16	1.93809e-16	4.41241e-17	1.54072e-17	3.18004e-18	1.02342e-18	2.15801e-19	6.71859e-20	1.27994e-20	3.9759e-21	7.13104e-22	2.1459e-22	3.76408e-23	1.01888e-23	1.70809e-24	4.96809e-25	7.33125e-26	1.88711e-26	2.94195e-27	7.48055e-28	1.02097e-28	2.50489e-29	3.30005e-30	8.02535e-31	1.01054e-31	2.14015e-32	2.68173e-33	6.47372e-34	8.11192e-35	2.20802e-35	6.46274e-36	4.05893e-36	
N4	0.157109	0.152267	0.140674	0.124921	0.106189	0.0872559	0.0683251	0.0518307	0.0376664	0.0264472	0.0177889	0.0116988	0.00730436	0.00449294	0.00264594	0.00153344	0.000848402	0.000476249	0.000249115	0.000135107	6.89947e-05	3.64633e-05	1.78739e-05	9.55904e-06	4.48167e-06	2.34604e-06	1.08853e-06	5.52719e-07	2.43162e-07	1.23287e-07	5.11784e-08	2.48739e-08	1.0074e-08	4.64344e-09	1.77287e-09	8.11135e-10	2.89126e-10	1.24858e-10	4.3753e-11	1.79945e-11	5.8974e-12	2.38934e-12	7.3708e-13	2.84828e-13	8.60583e-14	3.11058e-14	8.89248e-15	3.24429e-15	8.57541e-16	2.9062e-16	7.68321e-17	2.49111e-17	6.08708e-18	1.9377e-18	4.46814e-19	1.35788e-19	3.04732e-20	8.52315e-21	1.8184e-21	5.17557e-22	1.00652e-22	2.61835e-23	5.13903e-24	1.28619e-24	2.30383e-25	5.58948e-26	9.54304e-27	2.23539e-27	3.72528e-28	8.12286e-29	1.37816e-29	3.35988e-30	6.58808e-31	1.94361e-31	6.5545e-32	4.10162e-32	
N5	0.150384	0.146285	0.136121	0.122163	0.105265	0.0879719	0.0702114	0.054474	0.0405618	0.0292822	0.020265	0.0138045	0.00889778	0.00571326	0.00349743	0.00213869	0.00123301	0.000750723	0.000408755	0.000248132	0.00013404	8.25709e-05	4.25747e-05	2.89255e-05	1.40278e-05	9.87991e-06	4.87721e-06	3.5006e-06	1.60851e-06	1.2517e-06	5.38737e-07	4.20488e-07	1.81982e-07	1.36287e-07	5.60247e-08	4.53091e-08	1.70865e-08	1.29492e-08	5.14349e-09	3.87509e-09	1.40221e-09	1.06966e-09	3.74291e-10	2.89075e-10	1.01166e-10	6.87851e-11	2.38865e-11	1.94744e-11	5.76557e-12	3.93314e-12	1.36246e-12	1.01655e-12	2.90588e-13	2.05305e-13	6.06779e-14	4.77719e-14	1.31274e-14	7.94329e-15	2.37046e-15	1.98168e-15	4.51338e-16	2.75011e-16	8.22059e-17	6.1584e-17	1.36214e-17	8.54131e-18	2.1379e-18	1.65798e-18	3.61068e-19	1.9837e-19	5.2536e-20	4.48402e-20	9.46129e-21	6.88749e-21	5.25808e-21	1.06802e-20	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0783763	0.0792623	0.0795623	0.0796196	0.0787748	0.0774007	0.0742596	0.0703182	0.0649374	0.0587171	0.0516108	0.0446334	0.0372404	0.0306164	0.0244188	0.0191076	0.0144959	0.0109209	0.00789813	0.0057031	0.00398841	0.00276993	0.00185995	0.00126435	0.00081652	0.000537556	0.000339942	0.000216808	0.000132134	8.30941e-05	4.87231e-05	2.96383e-05	1.70212e-05	9.98005e-06	5.49977e-06	3.17048e-06	1.67061e-06	9.24863e-07	4.76199e-07	2.5288e-07	1.24284e-07	6.46015e-08	3.02735e-08	1.50658e-08	6.8823e-09	3.26778e-09	1.4226e-09	6.61398e-10	2.73478e-10	1.21095e-10	4.88601e-11	2.06306e-11	7.90293e-12	3.25712e-12	1.18491e-12	4.65124e-13	1.64728e-13	6.13686e-14	2.06628e-14	7.53676e-15	2.40156e-15	8.31417e-16	2.59469e-16	8.58121e-17	2.55236e-17	8.31703e-18	2.39769e-18	7.65372e-19	2.25935e-19	7.31629e-20	2.29873e-20	8.21616e-21	2.9403e-21	1.21516e-21	5.68401e-22	3.85896e-22	
N7	0.0673451	0.068327	0.0690413	0.0697999	0.070035	0.07006	0.0687119	0.0667755	0.0635339	0.0594103	0.0541934	0.0488216	0.0425555	0.0366994	0.0307915	0.0254568	0.020449	0.0164379	0.0126718	0.00986588	0.00743825	0.00564522	0.00412729	0.00314786	0.00223935	0.00169848	0.00121684	0.000923183	0.000649463	0.000513119	0.00035408	0.000281558	0.000198099	0.00015713	0.000108197	8.92101e-05	5.96115e-05	4.84816e-05	3.2892e-05	2.63212e-05	1.72736e-05	1.40813e-05	8.94089e-06	7.14177e-06	4.56114e-06	3.52876e-06	2.18439e-06	1.73136e-06	1.02637e-06	7.84819e-07	4.72937e-07	3.53925e-07	2.04276e-07	1.551e-07	8.65544e-08	6.43189e-08	3.61639e-08	2.57167e-08	1.40917e-08	1.04962e-08	5.42621e-09	3.8395e-09	2.07065e-09	1.44985e-09	7.38804e-10	5.27035e-10	2.63707e-10	1.87974e-10	9.64206e-11	6.68876e-11	3.64701e-11	3.04319e-11	2.08199e-11	2.31323e-11	2.84547e-11	4.64611e-11	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
