NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	0.180565	0.171157	0.153815	0.131208	0.106376	0.0820854	0.0603715	0.0423715	0.0284117	0.0182173	0.0111789	0.00656877	0.00369808	0.00199528	0.00103209	0.000511887	0.000243482	0.000111077	4.86078e-05	2.0405e-05	8.21797e-06	3.17554e-06	1.17745e-06	4.18962e-07	1.43075e-07	4.68975e-08	1.47564e-08	4.45759e-09	1.29287e-09	3.60067e-10	9.63013e-11	2.47364e-11	6.10289e-12	1.4463e-12	3.29263e-13	8.99696e-17	4.12414e-17	1.85304e-17	8.16128e-18	3.5234e-18	1.49108e-18	6.1856e-19	2.51541e-19	1.00273e-19	3.91845e-20	1.50108e-20	5.63718e-21	2.07535e-21	7.49045e-22	2.65045e-22	9.19474e-23	3.12737e-23	1.04291e-23	3.41005e-24	1.09329e-24	3.43717e-25	1.05971e-25	3.20432e-26	9.50382e-27	2.76527e-27	7.89469e-28	2.21205e-28	6.08483e-29	1.64388e-29	4.36408e-30	1.13927e-30	2.92748e-31	7.41447e-32	1.85437e-32	4.5916e-33	1.12958e-33	2.77399e-34	6.84209e-35	1.70938e-35	4.42918e-36	1.44256e-36	
N2	0.172886	0.165922	0.150649	0.129727	0.106711	0.0841606	0.0628876	0.0451536	0.0310984	0.020378	0.0128303	0.00781535	0.00450736	0.00252465	0.00136707	0.00070578	0.000353203	0.00017449	8.08252e-05	3.73306e-05	1.68824e-05	7.31105e-06	3.10548e-06	1.35591e-06	5.38495e-07	2.23551e-07	9.07227e-08	3.53942e-08	1.34273e-08	5.45275e-09	1.9129e-09	7.29496e-10	2.63298e-10	9.29418e-11	3.10477e-11	1.14824e-11	3.49297e-12	1.19561e-12	3.7846e-13	1.19664e-13	3.48332e-14	1.15156e-14	3.04756e-15	9.341e-16	2.60137e-16	7.24653e-17	1.83965e-17	5.46431e-18	1.25868e-18	3.41405e-19	8.29219e-20	2.04911e-20	4.55045e-21	1.2064e-21	2.40108e-22	5.76274e-23	1.22537e-23	2.67068e-24	5.18249e-25	1.21444e-25	2.10241e-26	4.46765e-27	8.40111e-28	1.61537e-28	2.72289e-29	5.68873e-30	8.74582e-31	1.67748e-31	2.78533e-32	4.92377e-33	7.95669e-34	1.69463e-34	3.00923e-35	7.58643e-36	2.14087e-36	8.35579e-37	
N3	0.172828	0.165893	0.150663	0.129778	0.106775	0.0842174	0.0629221	0.0451637	0.0310889	0.0203564	0.0128047	0.00779159	0.00448734	0.00250972	0.00135679	0.000698933	0.000348883	0.000171984	7.93068e-05	3.64876e-05	1.64231e-05	7.06081e-06	2.97146e-06	1.29054e-06	5.0383e-07	2.07133e-07	8.29279e-08	3.18037e-08	1.17799e-08	4.7745e-09	1.61206e-09	6.10961e-10	2.15486e-10	7.48238e-11	2.40554e-11	9.05921e-12	2.58894e-12	8.94508e-13	2.74139e-13	8.63809e-14	2.37887e-14	8.18103e-15	1.98676e-15	6.28341e-16	1.67709e-16	4.69246e-17	1.1053e-17	3.51361e-18	7.26838e-19	2.06539e-19	4.72339e-20	1.1932e-20	2.41894e-21	7.02669e-22	1.22305e-22	3.12744e-23	6.18514e-24	1.39202e-24	2.43873e-25	6.35222e-26	9.39908e-27	2.14339e-27	3.74884e-28	7.46016e-29	1.09734e-29	2.55717e-30	3.31186e-31	6.82806e-32	9.90779e-33	1.73539e-33	2.28643e-34	5.06729e-35	6.15219e-36	1.46608e-36	4.224e-37	2.4725e-37	
N4	0.153455	0.149085	0.138642	0.123584	0.106215	0.088231	0.0698889	0.0534967	0.0394627	0.0277977	0.0188797	0.012453	0.00779154	0.0047541	0.00281433	0.00159257	0.000877106	0.000480336	0.000246517	0.000127304	6.46318e-05	3.15285e-05	1.51261e-05	7.53685e-06	3.38806e-06	1.61008e-06	7.45094e-07	3.32521e-07	1.43576e-07	6.70616e-08	2.67159e-08	1.171e-08	4.81705e-09	1.95101e-09	7.42111e-10	3.16663e-10	1.09351e-10	4.30632e-11	1.55509e-11	5.642e-12	1.86779e-12	7.1095e-13	2.13012e-13	7.49093e-14	2.37146e-14	7.53824e-15	2.16546e-15	7.37563e-16	1.91164e-16	5.91204e-17	1.62044e-17	4.54766e-18	1.13395e-18	3.42359e-19	7.60543e-20	2.06726e-20	4.91386e-21	1.20575e-21	2.60376e-22	6.88672e-23	1.31607e-23	3.13211e-24	6.51765e-25	1.39396e-25	2.57395e-26	5.972e-27	9.96627e-28	2.09988e-28	3.75613e-29	7.16044e-30	1.22401e-30	2.78001e-31	5.11275e-32	1.38292e-32	4.61408e-33	2.79409e-33	
N5	0.146655	0.142984	0.133912	0.120614	0.105086	0.0887889	0.0717094	0.0561493	0.0424985	0.0307736	0.021547	0.0147298	0.00953485	0.00606329	0.00375843	0.0022264	0.00128928	0.000760583	0.000409619	0.000230946	0.000128622	6.90895e-05	3.63026e-05	2.19773e-05	1.05309e-05	6.25201e-06	3.40802e-06	1.89166e-06	9.27939e-07	6.30925e-07	2.7265e-07	1.76986e-07	8.75272e-08	5.13309e-08	2.27907e-08	1.65358e-08	6.26074e-09	4.10546e-09	1.85423e-09	1.10778e-09	4.41621e-10	3.11214e-10	1.06784e-10	6.98628e-11	2.95131e-11	1.61507e-11	5.88617e-12	4.29046e-12	1.31976e-12	8.01577e-13	3.1366e-13	1.71702e-13	5.67839e-14	4.02713e-14	1.10931e-14	6.75563e-15	2.39164e-15	1.18152e-15	3.77168e-16	2.69082e-16	6.44845e-17	3.52911e-17	1.28049e-17	6.38944e-18	1.67407e-18	1.07516e-18	2.58909e-19	1.53661e-19	4.42471e-20	1.94999e-20	5.54913e-21	4.23323e-21	9.16332e-22	5.85009e-22	4.43476e-22	8.11573e-22	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0705747	0.0717451	0.0729048	0.0738539	0.0746334	0.0749991	0.0736789	0.0713153	0.0676178	0.0621748	0.055784	0.0489912	0.0414078	0.0342688	0.0276711	0.0215804	0.0164411	0.0123373	0.00887876	0.00631537	0.00440911	0.00297795	0.00197707	0.00130975	0.000826903	0.00052335	0.000326545	0.000197082	0.000117269	7.05511e-05	3.99251e-05	2.29365e-05	1.29531e-05	7.07525e-06	3.79921e-06	2.08419e-06	1.05821e-06	5.51379e-07	2.8101e-07	1.38693e-07	6.68889e-08	3.32217e-08	1.50938e-08	7.10151e-09	3.24939e-09	1.43937e-09	6.20172e-10	2.77544e-10	1.12323e-10	4.73588e-11	1.92964e-11	7.63634e-12	2.92475e-12	1.17085e-12	4.18691e-13	1.57058e-13	5.67391e-14	1.993e-14	6.74296e-15	2.39388e-15	7.54921e-16	2.51245e-16	8.0392e-17	2.50062e-17	7.49587e-18	2.38416e-18	6.76482e-19	2.05768e-19	6.1261e-20	1.84794e-20	5.6883e-21	1.96172e-21	6.82793e-22	2.76999e-22	1.3126e-22	8.93655e-23	
N7	0.0609	0.0620186	0.0632656	0.0645154	0.0658529	0.067103	0.067154	0.0665148	0.0648414	0.0615913	0.0573417	0.0524819	0.0464189	0.0403652	0.0343947	0.0284014	0.0230069	0.0184699	0.0142363	0.0109306	0.00829634	0.00610694	0.0044531	0.00330322	0.00231306	0.00166744	0.00120065	0.000838705	0.000584399	0.000433041	0.000289916	0.000209788	0.000149641	0.000104396	7.15056e-05	5.44414e-05	3.51991e-05	2.5771e-05	1.80098e-05	1.25866e-05	8.33276e-06	6.33677e-06	3.92691e-06	2.86114e-06	1.92559e-06	1.31744e-06	8.31138e-07	6.25473e-07	3.69079e-07	2.62513e-07	1.67705e-07	1.1183e-07	6.72495e-08	4.96352e-08	2.7473e-08	1.88787e-08	1.15191e-08	7.39292e-09	4.21952e-09	3.00214e-09	1.56665e-09	1.03895e-09	6.10426e-10	3.7387e-10	2.01525e-10	1.3998e-10	7.02893e-11	4.58105e-11	2.59087e-11	1.59333e-11	8.97415e-12	7.03703e-12	4.55979e-12	4.62931e-12	5.65345e-12	8.98678e-12	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
