NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	1.2737e-07	1.50654e-07	2.0218e-07	2.94445e-07	4.49042e-07	6.99578e-07	1.09615e-06	1.71101e-06	2.64601e-06	4.04115e-06	6.08537e-06	9.02795e-06	1.31924e-05	1.89904e-05	2.69377e-05	3.76698e-05	5.19583e-05	7.0726e-05	9.50624e-05	0.000126235	0.000165701	0.000215115	0.00027633	0.000351398	0.000442566	0.000552266	0.000683097	0.000837809	0.00101927	0.00123046	0.0014744	0.00175414	0.00207272	0.00243313	0.00283824	0.00329076	0.00379322	0.00434788	0.00495679	0.00562185	0.00634454	0.00712591	0.00796653	0.00886643	0.00982509	0.0108414	0.0119138	0.0130398	0.0142166	0.0154407	0.0167082	0.0180145	0.0193551	0.0207247	0.0221177	0.023528	0.0249495	0.0263755	0.0277993	0.029214	0.0306128	0.0319889	0.0333356	0.0346465	0.0359153	0.037136	0.0383029	0.0394104	0.0404527	0.0414235	0.0423155	0.0431191	0.0438214	0.0444037	0.0448385	0.0450855	
N2	1.27457e-07	1.57626e-07	2.21014e-07	3.3633e-07	5.34396e-07	8.6624e-07	1.40573e-06	2.26864e-06	3.61651e-06	5.68037e-06	8.77577e-06	1.33394e-05	1.99199e-05	2.92696e-05	4.23076e-05	6.01954e-05	8.43502e-05	0.000116536	0.000158697	0.000213325	0.000283108	0.000371148	0.000480908	0.000616398	0.000781383	0.000980734	0.00121891	0.0015007	0.00183104	0.00221542	0.0026575	0.00316326	0.00373642	0.00438081	0.0051	0.00589817	0.00677475	0.00773435	0.00877613	0.00989944	0.0111033	0.012388	0.0137446	0.0151748	0.0166701	0.018223	0.0198259	0.0214735	0.0231445	0.0248361	0.0265271	0.0281979	0.0298272	0.0313958	0.0328586	0.0341984	0.0353698	0.0363328	0.0370488	0.0374891	0.0375991	0.0373755	0.0367913	0.0358437	0.0345463	0.032939	0.0310374	0.0289249	0.0266506	0.0242837	0.0218949	0.0195645	0.0173195	0.0152404	0.013344	0.0116532	
N3	1.30067e-07	1.61923e-07	2.29532e-07	3.53832e-07	5.69855e-07	9.3609e-07	1.53881e-06	2.51391e-06	4.05399e-06	6.43639e-06	1.00439e-05	1.54077e-05	2.32042e-05	3.4357e-05	5.00065e-05	7.15918e-05	0.000100876	0.000140041	0.00019152	0.00025838	0.000343961	0.00045208	0.000586996	0.000753555	0.000956387	0.00120125	0.00149349	0.00183869	0.00224259	0.00271128	0.00324895	0.00386186	0.00455389	0.00532863	0.00618931	0.00713929	0.00817704	0.00930577	0.0105234	0.0118278	0.0132163	0.0146867	0.0162274	0.0178361	0.0195001	0.0212061	0.0229404	0.0246891	0.0264227	0.0281275	0.029772	0.031325	0.0327557	0.0340349	0.0351132	0.0359701	0.0365658	0.0368698	0.0368622	0.0365369	0.0358721	0.034895	0.0336155	0.0320619	0.0302767	0.028317	0.0262126	0.0240422	0.0218474	0.0196773	0.0175791	0.0156021	0.0137517	0.0120787	0.0105852	0.00927904	
N4	1.38806e-07	1.71573e-07	2.4104e-07	3.69501e-07	5.95289e-07	9.84278e-07	1.63696e-06	2.71597e-06	4.45931e-06	7.21942e-06	1.1496e-05	1.80005e-05	2.76625e-05	4.17774e-05	6.19791e-05	9.03702e-05	0.000129564	0.000182847	0.000253917	0.0003475	0.000468749	0.000623608	0.000818683	0.00106157	0.00135928	0.00172081	0.00215407	0.00266733	0.00326868	0.00396691	0.00476624	0.00567521	0.00669656	0.00783244	0.00908308	0.0104493	0.0119193	0.0134923	0.0151537	0.0168888	0.0186804	0.0205138	0.0223503	0.0241776	0.0259571	0.027656	0.0292409	0.0306901	0.0319458	0.0330061	0.0338302	0.0343985	0.0346966	0.0347366	0.03448	0.0339776	0.0332218	0.0322385	0.0310543	0.0297294	0.0282469	0.0267022	0.0250993	0.0234803	0.0218718	0.020335	0.0188264	0.0174318	0.0161191	0.0149059	0.013782	0.0127847	0.0118352	0.011002	0.0102267	0.00951862	
N5	1.63951e-07	2.0599e-07	2.9585e-07	4.62186e-07	7.54238e-07	1.25528e-06	2.09267e-06	3.46813e-06	5.67691e-06	9.14998e-06	1.4496e-05	2.25657e-05	3.44799e-05	5.17579e-05	7.63286e-05	0.000110634	0.000157705	0.000221265	0.000305591	0.000415909	0.000558037	0.000738516	0.000964628	0.00124441	0.0015857	0.00199759	0.00248856	0.00306688	0.00374075	0.00451803	0.00540334	0.006403	0.00751914	0.00875165	0.0100988	0.011557	0.0131136	0.014761	0.016482	0.0182573	0.0200662	0.0218875	0.0236841	0.0254357	0.0271062	0.0286609	0.0300699	0.0313097	0.0323352	0.0331422	0.0337037	0.0340051	0.0340452	0.0338384	0.0333652	0.0326734	0.0317696	0.0306781	0.0294332	0.0280865	0.026629	0.0251407	0.0236287	0.0221211	0.0206437	0.0192437	0.0178792	0.0166238	0.0154493	0.0143654	0.0133679	0.0124894	0.0116541	0.0109263	0.010246	0.00961166	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.97305e-06	2.42784e-06	3.36222e-06	5.01432e-06	7.7674e-06	1.22452e-05	1.93267e-05	3.0363e-05	4.71846e-05	7.23326e-05	0.000109159	0.000162137	0.000236568	0.000339441	0.000478658	0.000663516	0.00090436	0.00121308	0.00160033	0.00207939	0.00266089	0.00335495	0.00416962	0.00511281	0.00618217	0.0073816	0.0087025	0.0101346	0.0116629	0.0132749	0.0149344	0.016631	0.0183282	0.0199974	0.0216077	0.0231459	0.0245548	0.0258445	0.0269751	0.0279343	0.0287061	0.0293117	0.0296942	0.029915	0.0299438	0.0298009	0.0294875	0.0290625	0.0284619	0.027789	0.0270052	0.0261497	0.0252173	0.0242827	0.0232589	0.0222649	0.0212386	0.020225	0.0191979	0.0182343	0.0172292	0.0163014	0.0153719	0.0144896	0.0136127	0.0128169	0.0119958	0.01126	0.0105282	0.00985247	0.00918524	0.00859759	0.00799485	0.00747359	0.00695992	0.00650479	
N7	4.63378e-06	5.85313e-06	8.3429e-06	1.26339e-05	1.95516e-05	3.03774e-05	4.68335e-05	7.14259e-05	0.000107382	0.000158931	0.000231381	0.000331398	0.000466488	0.00064594	0.000879689	0.00117858	0.00155401	0.0020179	0.00257993	0.00325106	0.00403852	0.00494725	0.00597951	0.00713552	0.00840582	0.00978503	0.0112574	0.0128044	0.0144053	0.0160405	0.0176738	0.019289	0.0208533	0.0223383	0.0237197	0.0249839	0.0260902	0.0270457	0.0278277	0.0284286	0.0288475	0.0291028	0.0291636	0.0290777	0.0288345	0.0284484	0.0279322	0.027327	0.0265953	0.0258095	0.0249509	0.024042	0.0230889	0.0221403	0.0211393	0.0201683	0.0191893	0.0182273	0.0172721	0.0163754	0.0154628	0.0146212	0.0137962	0.0130184	0.0122624	0.011583	0.0108962	0.0102886	0.00969503	0.0091505	0.00861697	0.00814901	0.00766031	0.00723193	0.00679516	0.00638825	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
