NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.258777	0.229719	0.182875	0.131848	0.0868129	0.0525438	0.0293748	0.0152217	0.00733039	0.00328763	0.00137568	0.000537945	0.000196883	6.75385e-05	2.17447e-05	6.57904e-06	1.87276e-06	5.02061e-07	1.26873e-07	3.02438e-08	6.80441e-09	1.44543e-09	2.89965e-10	5.49382e-11	9.83021e-12	1.66094e-12	2.64948e-13	5.658e-17	2.13267e-17	7.80775e-18	2.77599e-18	9.58405e-19	3.21273e-19	1.04558e-19	3.30345e-20	1.01317e-20	3.0164e-21	8.71728e-22	2.44545e-22	6.65933e-23	1.76041e-23	4.51785e-24	1.12568e-24	2.7233e-25	6.39764e-26	1.4596e-26	3.23435e-27	6.96211e-28	1.45598e-28	2.95866e-29	5.84297e-30	1.12162e-30	2.0932e-31	3.79854e-32	6.70431e-33	1.15113e-33	1.92327e-34	3.12774e-35	4.95271e-36	7.63947e-37	1.1485e-37	1.68412e-38	2.41136e-39	3.37689e-40	4.63742e-41	6.27177e-42	8.41141e-43	1.13107e-43	1.55019e-44	2.22184e-45	3.93964e-46	
N2	0.235524	0.220997	0.183103	0.13853	0.0939798	0.059289	0.0338739	0.0183163	0.00900109	0.00427147	0.00183911	0.000786458	0.000302067	0.000120012	4.20625e-05	1.61289e-05	5.26243e-06	1.993e-06	6.15224e-07	2.3216e-07	6.7358e-08	2.46614e-08	6.71637e-09	2.37062e-09	5.94201e-10	1.96111e-10	4.57508e-11	1.44215e-11	3.06712e-12	8.94593e-13	1.78541e-13	5.04831e-14	9.14975e-15	2.37743e-15	4.10415e-16	1.053e-16	1.6441e-17	3.83286e-18	5.78843e-19	1.34846e-19	1.81945e-20	3.76546e-21	4.94607e-22	1.02708e-22	1.19616e-23	2.18173e-24	2.49333e-25	4.58668e-26	4.58777e-27	7.28377e-28	7.15857e-29	1.15324e-29	9.93954e-31	1.38767e-31	1.18991e-32	1.7037e-33	1.26539e-34	1.54308e-35	1.1421e-36	1.4434e-37	9.3564e-39	1.02432e-39	6.78007e-41	7.84905e-42	4.53923e-43	4.5738e-44	3.0167e-45	3.79583e-46	3.72474e-47	6.54077e-48	1.3625e-48	
N3	0.236365	0.221633	0.183365	0.138431	0.0936536	0.0589017	0.0335353	0.0180714	0.00884368	0.00418121	0.00178999	0.000762173	0.000290096	0.000114628	3.95417e-05	1.50551e-05	4.77637e-06	1.79388e-06	5.2972e-07	1.98893e-07	5.4176e-08	1.98644e-08	4.99542e-09	1.79047e-09	4.06791e-10	1.37737e-10	2.87533e-11	9.50146e-12	1.77093e-12	5.45524e-13	9.46183e-14	2.91336e-14	4.46592e-15	1.26032e-15	1.83904e-16	5.34251e-17	6.79774e-18	1.76003e-18	2.19235e-19	6.0069e-20	6.37349e-21	1.49016e-21	1.58561e-22	4.00886e-23	3.56884e-24	7.45194e-25	6.83024e-26	1.58025e-26	1.17978e-27	2.15925e-28	1.69107e-29	3.50815e-30	2.21848e-31	3.58244e-32	2.44567e-33	4.61732e-34	2.46303e-35	3.45351e-36	2.0207e-37	3.40773e-38	1.55776e-39	1.94912e-40	1.01588e-41	1.5879e-42	6.15022e-44	6.68471e-45	3.03603e-46	4.417e-47	2.26954e-48	4.32193e-49	1.25276e-49	
N4	0.216463	0.206659	0.176892	0.140051	0.10052	0.0676986	0.0416184	0.024376	0.013053	0.00678888	0.00321821	0.00152533	0.000651278	0.000290229	0.00011409	4.95887e-05	1.82367e-05	7.85405e-06	2.72653e-06	1.16395e-06	3.76494e-07	1.54494e-07	4.64553e-08	1.82485e-08	5.00371e-09	1.82594e-09	4.63122e-10	1.60937e-10	3.6961e-11	1.1808e-11	2.53601e-12	7.83251e-13	1.51652e-13	4.26169e-14	7.82726e-15	2.16157e-15	3.55533e-16	8.81078e-17	1.39333e-17	3.43279e-18	4.79293e-19	1.03593e-19	1.39897e-20	3.02554e-21	3.58044e-22	6.72434e-23	7.77253e-24	1.47203e-24	1.47089e-25	2.3728e-26	2.32088e-27	3.80202e-28	3.22076e-29	4.50954e-30	3.79281e-31	5.44888e-32	3.90947e-33	4.69642e-34	3.34507e-35	4.15835e-36	2.55302e-37	2.69677e-38	1.68139e-39	1.86369e-40	9.884e-42	9.2006e-43	5.40553e-44	6.04235e-45	5.00412e-46	7.61961e-47	1.82482e-47	
N5	0.20309	0.196163	0.171473	0.139922	0.104049	0.0732863	0.0471467	0.0293279	0.0165529	0.00935999	0.00470001	0.00253943	0.00114945	0.000641207	0.000266657	0.000170633	6.56032e-05	4.92164e-05	1.7846e-05	1.5425e-05	5.15262e-06	4.54208e-06	1.46217e-06	1.3649e-06	3.98385e-07	3.41816e-07	9.98504e-08	9.43816e-08	2.40693e-08	1.9355e-08	5.28495e-09	5.31796e-09	1.17148e-09	8.84131e-10	2.29348e-10	2.53343e-10	4.82151e-11	3.45293e-11	8.64158e-12	1.03846e-11	1.71429e-12	1.13556e-12	2.62417e-13	3.16772e-13	4.65874e-14	2.91544e-14	6.42849e-15	7.72348e-15	1.0084e-15	5.65041e-16	1.09284e-16	1.21217e-16	1.44483e-17	7.80966e-18	1.4877e-18	1.62624e-18	1.71749e-19	8.02231e-20	1.26636e-20	1.22874e-20	1.20269e-21	5.77446e-22	9.84349e-23	9.93556e-23	8.54411e-24	3.38034e-24	4.46636e-25	4.10403e-25	5.00659e-26	5.08193e-26	8.6213e-26	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.096397	0.100705	0.102193	0.102547	0.0988138	0.0933408	0.083957	0.0738547	0.0615778	0.0503778	0.0389839	0.0298323	0.021538	0.0155475	0.0105497	0.00725766	0.00465834	0.00307946	0.00188219	0.00120474	0.000703122	0.000436198	0.000243712	0.000146727	7.83067e-05	4.55395e-05	2.3259e-05	1.30856e-05	6.37103e-06	3.44485e-06	1.60206e-06	8.34215e-07	3.67648e-07	1.8236e-07	7.63108e-08	3.61728e-08	1.42189e-08	6.35354e-09	2.35707e-09	9.99772e-10	3.45681e-10	1.36993e-10	4.45303e-11	1.66842e-11	5.0282e-12	1.75036e-12	4.95156e-13	1.62745e-13	4.25226e-14	1.29342e-14	3.17213e-15	9.11579e-16	2.06255e-16	5.48056e-17	1.16633e-17	2.93534e-18	5.76049e-19	1.33989e-19	2.48269e-20	5.49669e-21	9.45297e-22	1.95203e-22	3.24199e-23	6.56605e-24	1.08091e-24	2.21692e-25	4.15593e-26	9.74025e-27	2.29443e-27	6.85548e-28	3.04636e-28	
N7	0.0796498	0.0839338	0.0866127	0.089059	0.0885443	0.0868773	0.0816188	0.0754406	0.0663423	0.0575895	0.047385	0.0388826	0.0301069	0.0236378	0.0173722	0.0132614	0.00931315	0.00702678	0.00475812	0.00362836	0.00238624	0.00186702	0.00120706	0.000984261	0.000626733	0.000528189	0.000334712	0.000292397	0.0001825	0.000160843	9.97582e-05	8.93434e-05	5.37634e-05	4.71668e-05	2.79779e-05	2.46724e-05	1.39595e-05	1.18222e-05	6.58938e-06	5.64052e-06	2.95599e-06	2.39391e-06	1.24506e-06	1.03529e-06	5.00431e-07	3.88681e-07	1.89044e-07	1.53738e-07	6.8422e-08	5.09046e-08	2.30943e-08	1.82914e-08	7.51645e-09	5.3649e-09	2.28351e-09	1.75853e-09	6.67592e-10	4.52486e-10	1.7952e-10	1.32636e-10	4.69436e-11	3.04754e-11	1.14895e-11	8.2676e-12	2.79364e-12	1.79142e-12	7.18335e-13	6.05963e-13	3.83506e-13	5.13505e-13	8.32561e-13	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
