NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.00127273	0.00144865	0.00169981	0.00199672	0.00232733	0.00268518	0.00306596	0.00346634	0.00388347	0.00431479	0.00475797	0.00521089	0.00567166	0.00613856	0.00660997	0.00708443	0.0075605	0.00803678	0.00851176	0.00898421	0.00945307	0.00991749	0.0103767	0.0108302	0.0112772	0.0117175	0.0121507	0.0125764	0.0129944	0.0134044	0.0138064	0.0142001	0.0145854	0.0149622	0.0153301	0.0156872	0.016032	0.016365	0.0166867	0.0169976	0.017298	0.0175883	0.0178688	0.01814	0.0184021	0.0186554	0.0189002	0.0191368	0.0193654	0.0195862	0.0197995	0.0200056	0.0202046	0.0203969	0.0205826	0.0207619	0.0209351	0.0211023	0.0212639	0.0214199	0.0215706	0.0217162	0.0218567	0.0219925	0.0221235	0.0222501	0.0223722	0.02249	0.0226037	0.0227134	0.022819	
N2	0.000508528	0.00095956	0.00142266	0.00194981	0.00240982	0.00297473	0.00347081	0.00411341	0.00465733	0.00536723	0.00595246	0.00671572	0.00732002	0.00811568	0.00873113	0.00954705	0.010153	0.0109726	0.0115664	0.012382	0.0129479	0.013749	0.0142892	0.0150718	0.0155742	0.0163306	0.016799	0.0175259	0.0179491	0.0186409	0.0190246	0.0196806	0.0200175	0.0206364	0.0209353	0.0215188	0.0217748	0.0223233	0.0225452	0.0230599	0.0232405	0.0237156	0.02385	0.0242615	0.0243	0.0245758	0.0244189	0.0244164	0.0238861	0.023424	0.0223736	0.0213733	0.0198362	0.0184784	0.0167751	0.0154614	0.0139988	0.013069	0.0120595	0.0115658	0.0109231	0.0107011	0.0102408	0.0101211	0.00971239	0.00961446	0.00921809	0.00912124	0.00872459	0.00862617	0.0082333	
N3	0.000431645	0.000848979	0.00132567	0.00189378	0.00242099	0.00304969	0.00362024	0.00433374	0.00496004	0.00575208	0.00642739	0.00728091	0.00798021	0.00887038	0.00958131	0.0104915	0.0111907	0.0121017	0.0127834	0.0136846	0.0143319	0.0152115	0.0158244	0.0166761	0.0172412	0.0180563	0.0185761	0.0193508	0.0198154	0.0205454	0.0209611	0.0216463	0.0220066	0.0226449	0.0229562	0.0235466	0.0238005	0.0243345	0.0245203	0.0249648	0.0250208	0.0252904	0.0251075	0.0250594	0.0244747	0.0239613	0.022878	0.0218768	0.0203746	0.019085	0.0174659	0.0162361	0.0148347	0.0139368	0.0129237	0.0124038	0.0117175	0.0114514	0.0109463	0.0107905	0.0103447	0.0102127	0.009772	0.00962521	0.00916284	0.00899503	0.00852801	0.00836845	0.0079274	0.00779935	0.00738961	
N4	0.000261507	0.000566055	0.00100092	0.00160212	0.00226235	0.00306349	0.00385489	0.00480594	0.00569416	0.00677445	0.00773939	0.00892206	0.00992422	0.0111696	0.0121814	0.0134588	0.0144437	0.0157208	0.0166631	0.0179179	0.0187881	0.0199971	0.0207902	0.0219396	0.0226315	0.0237	0.0242806	0.0252349	0.0256431	0.0264049	0.0265529	0.0269973	0.0267345	0.0267209	0.0259516	0.0254279	0.0241696	0.0232545	0.0217296	0.020695	0.0191869	0.0183031	0.017038	0.0164379	0.0154534	0.0151104	0.0143439	0.0141621	0.0135091	0.0134089	0.0128245	0.0127707	0.0122238	0.0121988	0.0116808	0.0116601	0.0111336	0.0110875	0.0105397	0.0104557	0.00987769	0.0097639	0.00918055	0.00905326	0.00847301	0.00834382	0.00778642	0.00766236	0.00712804	0.00701386	0.00651731	
N5	0.000254887	0.000553416	0.000990422	0.00160342	0.00230052	0.00314481	0.00400648	0.00501799	0.00599646	0.00714376	0.00820938	0.00945849	0.0105666	0.0118744	0.0129901	0.0143211	0.0154054	0.0167269	0.0177582	0.0190448	0.0199928	0.0212201	0.0220713	0.0232165	0.0239351	0.0249557	0.025493	0.0263084	0.0265506	0.0270287	0.0268432	0.02685	0.0261299	0.0256261	0.0244278	0.0235474	0.0220737	0.0210816	0.0196313	0.018792	0.017561	0.0169958	0.0160361	0.0157192	0.0149536	0.0147954	0.0141475	0.014075	0.0134816	0.0134531	0.0128928	0.0128801	0.0123173	0.0122917	0.011712	0.0116545	0.0110411	0.0109507	0.0103221	0.0102111	0.00957668	0.00946092	0.00885027	0.00875145	0.0081873	0.00813626	0.00765449	0.00764974	0.00720444	0.00717613	0.00671802	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.000225107	0.000540756	0.00111243	0.00207448	0.0034182	0.00524019	0.00736128	0.00986871	0.0124054	0.0151454	0.0175663	0.0200102	0.0217949	0.0235262	0.0243947	0.0253188	0.02535	0.0257089	0.0252544	0.0254059	0.0247694	0.0249184	0.0242299	0.0243888	0.0236033	0.0236934	0.0227799	0.0227582	0.0217039	0.0215777	0.020455	0.0202734	0.0191288	0.0189371	0.0178473	0.0176797	0.0166468	0.01651	0.0155679	0.0154659	0.014586	0.014508	0.0137038	0.0136422	0.0128764	0.0128206	0.0121086	0.0120553	0.0113664	0.0113115	0.0106677	0.0106125	0.00998917	0.00993335	0.00935428	0.00930049	0.00874375	0.00869251	0.00818085	0.00813413	0.00764618	0.00760406	0.00715935	0.0071226	0.00670045	0.00666858	0.00628574	0.00625864	0.00589531	0.00587219	0.00554249	
N7	0.000261617	0.000632724	0.00131429	0.00246719	0.00409049	0.0062757	0.00880214	0.0117023	0.0145432	0.01744	0.0198286	0.0220591	0.0234937	0.0248167	0.025306	0.0259424	0.0258187	0.0261274	0.0257101	0.0258953	0.0252873	0.0253638	0.0245721	0.0245128	0.0235358	0.0233528	0.0222669	0.0220213	0.0208947	0.0206444	0.0195591	0.0193443	0.0183156	0.0181434	0.0171956	0.0170595	0.016159	0.0160395	0.0151955	0.0150857	0.0142697	0.0141616	0.0133911	0.013285	0.0125381	0.0124329	0.0117321	0.0116314	0.0109578	0.0108621	0.0102375	0.0101489	0.0095523	0.00946839	0.00891651	0.00883617	0.00830715	0.00822941	0.00774201	0.00767169	0.00721215	0.00715426	0.00674128	0.00669726	0.00631119	0.00627677	0.00592652	0.00589771	0.00556393	0.00553849	0.00523208	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
