NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.324877	0.550318	0.116179	0.00829819	0.000320011	7.63567e-06	1.27991e-07	1.6408e-09	1.70329e-11	1.48514e-13	5.91287e-18	4.84723e-19	3.78889e-20	2.8459e-21	2.06506e-22	1.45076e-23	9.87601e-25	6.50961e-26	4.15156e-27	2.55914e-28	1.52409e-29	8.76668e-31	4.8716e-32	2.6164e-33	1.35907e-34	6.83347e-36	3.32895e-37	1.57274e-38	7.21296e-40	3.21442e-41	1.39328e-42	5.87926e-44	2.41741e-45	9.69395e-47	3.79438e-48	1.45086e-49	5.42375e-51	1.98377e-52	7.10431e-54	2.49287e-55	8.57672e-57	2.89517e-58	9.59478e-60	3.12369e-61	9.99608e-63	3.14605e-64	9.74345e-66	2.97096e-67	8.92354e-69	2.64145e-70	7.70925e-72	2.21942e-73	6.30538e-75	1.76849e-76	4.89873e-78	1.34066e-79	3.62631e-81	9.6978e-83	2.56501e-84	6.7121e-86	1.73829e-87	4.45689e-89	1.13178e-90	2.84798e-92	7.1076e-94	1.76201e-95	4.35458e-97	1.08261e-98	2.77597e-100	7.85336e-102	3.00137e-103	
N2	0.241885	0.597898	0.139928	0.0193763	0.000778174	0.000132936	1.76428e-06	3.15789e-07	5.75109e-09	2.57553e-10	3.73813e-12	7.50267e-13	5.17441e-15	1.74049e-16	4.07566e-18	4.89021e-19	3.69463e-21	2.27449e-22	1.79032e-24	1.24617e-25	9.92562e-28	2.79788e-29	6.0722e-31	7.39975e-32	3.73969e-34	6.26195e-36	6.75764e-38	1.84202e-39	1.23311e-41	5.58406e-43	6.33917e-45	4.09436e-46	1.93525e-48	2.73291e-50	2.41628e-52	1.27854e-53	5.24314e-56	6.92421e-58	6.88737e-60	2.53536e-61	1.1113e-63	1.59723e-65	7.77302e-68	2.02216e-69	1.46021e-71	3.25288e-73	4.70749e-75	2.10745e-76	7.8254e-79	7.31968e-81	3.48418e-83	5.54076e-85	2.56739e-87	5.35278e-89	2.62967e-91	5.41481e-93	2.40155e-95	2.63825e-97	2.1922e-99	6.39274e-101	2.82347e-103	4.39695e-105	4.5173e-107	1.26175e-108	4.63949e-111	4.34415e-113	1.8384e-115	3.03138e-117	2.71158e-119	9.00912e-121	4.52855e-122	
N3	0.221518	0.60748	0.147665	0.0222651	0.00092009	0.000149986	1.9737e-06	2.87934e-07	4.52916e-09	1.63356e-10	1.82184e-12	3.04311e-13	1.46701e-15	4.55015e-17	5.89167e-19	5.64978e-20	2.2626e-22	1.2282e-23	4.74482e-26	2.74794e-27	1.14408e-29	2.67885e-31	2.57731e-33	3.25309e-34	7.15221e-37	1.18126e-38	8.15077e-41	2.26256e-42	6.27697e-45	2.65225e-46	1.42692e-48	1.22797e-49	2.63341e-52	3.47573e-54	1.80569e-56	1.32841e-57	2.46282e-60	2.94564e-62	1.89561e-64	9.00214e-66	1.79614e-68	2.81614e-70	7.84227e-73	3.03296e-74	1.0258e-76	1.74625e-78	1.82239e-80	1.2467e-81	2.05677e-84	1.54191e-86	5.19772e-89	1.32949e-90	3.09155e-93	7.72867e-95	2.22299e-97	7.40349e-99	1.50985e-101	1.19622e-103	6.63712e-106	2.99357e-107	5.51126e-110	7.39496e-112	7.06702e-114	3.21004e-115	5.25304e-118	4.07441e-120	9.90118e-123	2.52946e-124	8.38099e-127	2.47646e-128	1.39785e-129	
N4	0.1269	0.603707	0.204112	0.0605672	0.00364359	0.00104639	1.93599e-05	4.78656e-06	9.51135e-08	4.1948e-09	6.75551e-11	1.5348e-11	1.05343e-13	3.47788e-15	7.27815e-17	9.1104e-18	5.9561e-20	3.24834e-21	2.07101e-23	1.13477e-24	7.76724e-27	1.9367e-28	3.8003e-30	4.04405e-31	1.66776e-33	2.29606e-35	2.02277e-37	4.50172e-39	2.25233e-41	7.69884e-43	7.36947e-45	4.08266e-46	1.44052e-48	1.57721e-50	1.07186e-52	4.4512e-54	1.35773e-56	1.27715e-58	8.80812e-61	2.31449e-62	7.34553e-65	8.30224e-67	2.94025e-69	5.84678e-71	3.08311e-73	5.39793e-75	5.83905e-77	1.93544e-78	5.06818e-81	3.37239e-83	1.12665e-85	1.29385e-87	4.21136e-90	6.28923e-92	2.17123e-94	3.16902e-96	9.41292e-99	6.77607e-101	3.57138e-103	7.27759e-105	2.18741e-107	2.56947e-109	1.90994e-111	3.90556e-113	9.51717e-116	5.98257e-118	1.67032e-120	1.8776e-122	1.04011e-124	2.01004e-126	5.51534e-128	
N5	0.116627	0.583182	0.214517	0.0761887	0.0058611	0.00336219	8.47712e-05	0.000166909	6.26734e-06	2.48479e-06	6.4868e-08	2.56687e-07	3.44931e-09	1.08476e-09	1.31856e-10	3.24375e-10	4.26183e-12	3.05557e-12	5.87358e-14	1.282e-13	2.19151e-15	3.86348e-16	5.90814e-17	2.16962e-16	2.31819e-18	2.40861e-19	1.68457e-20	7.42119e-21	1.10179e-22	9.64998e-23	5.24034e-24	1.12927e-23	1.04117e-25	8.28052e-27	3.08074e-28	5.10058e-28	4.51358e-30	3.9921e-31	3.5426e-32	4.61828e-32	4.1534e-34	4.57147e-35	5.15248e-37	2.7176e-37	8.35517e-39	2.08488e-39	3.1814e-40	3.99746e-40	3.26962e-42	1.71467e-43	2.29562e-45	6.74775e-46	8.37698e-48	4.26715e-48	7.84676e-50	4.73211e-50	4.53778e-52	2.9722e-53	1.61095e-54	1.36717e-54	1.2689e-56	2.40676e-57	2.73268e-58	2.29443e-58	1.81973e-60	9.0365e-62	8.70476e-64	2.67521e-64	5.07748e-66	2.62998e-66	3.36138e-66	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.014285	0.228887	0.283014	0.287159	0.090332	0.0738042	0.0126481	0.00783059	0.00153241	0.000394358	6.96538e-05	3.85776e-05	4.06092e-06	9.27149e-07	1.51294e-07	5.22121e-08	5.94702e-09	1.62671e-09	1.50312e-10	2.9972e-11	2.82124e-12	4.31872e-13	4.84841e-14	1.16562e-14	7.05292e-16	7.53311e-17	5.55403e-18	5.83096e-19	3.3562e-20	4.00256e-21	2.58195e-22	3.49684e-23	1.93054e-24	1.69902e-25	1.06284e-26	1.28354e-27	5.66041e-29	4.05062e-30	2.10329e-31	1.61301e-32	6.47423e-34	4.41882e-35	1.68924e-36	1.17559e-37	4.93327e-39	3.03281e-40	1.36735e-41	1.02949e-42	2.99781e-44	1.32465e-45	4.12067e-47	1.82245e-48	5.03745e-50	2.27487e-51	5.91511e-53	2.48776e-54	6.28363e-56	2.1485e-57	5.65845e-59	2.45095e-60	5.51461e-62	1.98103e-63	5.37875e-65	2.08851e-66	4.46463e-68	1.48896e-69	3.67379e-71	1.5148e-72	6.06201e-74	3.43522e-75	2.99129e-76	
N7	0.0103256	0.169817	0.244036	0.273337	0.10686	0.11145	0.0246324	0.0333043	0.00970159	0.00754353	0.00169156	0.00480884	0.000642599	0.000666522	0.000235472	0.000527975	9.60555e-05	0.000174258	3.38387e-05	6.85341e-05	1.47612e-05	9.83964e-06	4.55268e-06	1.52101e-05	1.85101e-06	8.91241e-07	3.06341e-07	3.45186e-07	5.0369e-08	5.10099e-08	1.37924e-08	2.91645e-08	4.01601e-09	1.85739e-09	5.67778e-10	1.17501e-09	1.42001e-10	5.93889e-11	1.82073e-11	2.54057e-11	3.10264e-12	1.68483e-12	2.15496e-13	1.64463e-13	2.83103e-14	1.62856e-14	6.39806e-15	8.93934e-15	7.82177e-16	1.87321e-16	2.14197e-17	1.05367e-17	1.22126e-18	7.99186e-19	1.1557e-19	8.09465e-20	7.16985e-21	1.6519e-21	2.42739e-22	1.76669e-22	1.47549e-23	5.20823e-24	1.25822e-24	8.95593e-25	6.58829e-26	1.39714e-26	1.184e-27	4.97883e-28	9.86286e-29	9.66902e-29	1.68802e-28	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
