NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	3.15289e-07	3.27022e-07	3.44987e-07	3.8097e-07	4.54881e-07	5.98577e-07	8.62702e-07	1.32334e-06	2.05794e-06	3.18238e-06	4.81213e-06	7.02686e-06	9.97411e-06	1.67847e-05	2.01881e-05	2.342e-05	2.6804e-05	3.06603e-05	3.51292e-05	3.97612e-05	3.82593e-05	3.72222e-05	3.72454e-05	3.86556e-05	4.14394e-05	4.49057e-05	4.2105e-05	4.01872e-05	3.9618e-05	4.06219e-05	4.31036e-05	4.62985e-05	4.30769e-05	4.08258e-05	3.99927e-05	4.07774e-05	4.30605e-05	4.60623e-05	4.26906e-05	4.03265e-05	3.93992e-05	4.00924e-05	4.2278e-05	4.51822e-05	4.18272e-05	3.94802e-05	3.85574e-05	3.92356e-05	4.13873e-05	4.42517e-05	4.09694e-05	3.868e-05	3.7793e-05	3.84833e-05	4.06276e-05	4.34787e-05	4.02749e-05	3.80494e-05	3.72085e-05	3.79291e-05	4.00945e-05	4.29721e-05	3.98696e-05	3.77473e-05	3.70177e-05	3.78725e-05	4.02192e-05	4.33595e-05	4.05955e-05	3.89115e-05	3.87804e-05	4.04962e-05	4.41267e-05	4.919e-05	4.86721e-05	5.04003e-05	5.59196e-05	6.77846e-05	9.0951e-05	0.00013562	0.000211523	0.000386241	0.000801908	0.00179607	0.00411287	0.0092261	0.0195611	0.0389007	0.071386	0.119522	0.181157	0.247284	0.302778	
N2	4.91994e-07	1.67929e-07	2.02728e-07	2.96517e-07	4.53636e-07	6.99358e-07	1.05861e-06	1.54259e-06	2.14525e-06	2.83679e-06	3.56544e-06	4.27619e-06	4.94869e-06	6.06052e-06	6.35579e-06	6.79331e-06	7.28345e-06	7.74416e-06	8.15266e-06	8.48545e-06	8.11502e-06	8.14587e-06	8.36954e-06	8.63629e-06	8.8927e-06	9.09892e-06	8.58094e-06	8.51384e-06	8.6617e-06	8.86094e-06	9.05444e-06	9.20232e-06	8.62339e-06	8.51335e-06	8.62676e-06	8.79622e-06	8.96392e-06	9.09057e-06	8.50026e-06	8.38168e-06	8.48823e-06	8.65262e-06	8.81721e-06	8.94311e-06	8.36135e-06	8.2484e-06	8.35952e-06	8.52876e-06	8.69892e-06	8.83158e-06	8.26243e-06	8.15969e-06	8.28078e-06	8.46119e-06	8.64466e-06	8.79386e-06	8.24588e-06	8.16841e-06	8.32233e-06	8.54694e-06	8.79087e-06	9.02282e-06	8.57525e-06	8.638e-06	8.99042e-06	9.49685e-06	1.01426e-05	1.0947e-05	1.12288e-05	1.23962e-05	1.44981e-05	1.79048e-05	2.36274e-05	3.38353e-05	5.15598e-05	9.05614e-05	0.000180191	0.000395437	0.000923574	0.00220534	0.00517227	0.0116321	0.0244216	0.0468477	0.0805981	0.122127	0.159951	0.176581	0.159989	0.114859	0.0624442	0.0243124	0.00661276	
N3	4.27872e-07	1.3563e-07	1.5538e-07	2.14354e-07	3.07009e-07	4.42741e-07	6.28791e-07	8.63761e-07	1.14051e-06	1.4425e-06	1.74966e-06	2.04349e-06	2.31595e-06	2.68482e-06	2.83879e-06	2.99281e-06	3.1509e-06	3.30897e-06	3.45957e-06	3.58128e-06	3.50962e-06	3.49935e-06	3.53968e-06	3.61216e-06	3.69808e-06	3.76775e-06	3.64572e-06	3.5964e-06	3.60477e-06	3.64987e-06	3.71181e-06	3.76061e-06	3.62134e-06	3.55839e-06	3.55558e-06	3.59139e-06	3.64582e-06	3.68911e-06	3.54913e-06	3.48571e-06	3.48251e-06	3.51819e-06	3.57298e-06	3.61749e-06	3.48231e-06	3.42278e-06	3.42292e-06	3.46183e-06	3.52013e-06	3.56891e-06	3.44049e-06	3.38762e-06	3.39506e-06	3.44283e-06	3.51257e-06	3.57656e-06	3.46717e-06	3.43951e-06	3.48179e-06	3.57847e-06	3.71696e-06	3.87616e-06	3.88076e-06	4.01624e-06	4.2948e-06	4.7349e-06	5.37459e-06	6.26692e-06	7.24107e-06	8.96101e-06	1.19797e-05	1.74376e-05	2.78359e-05	4.88601e-05	9.21044e-05	0.000194413	0.000446803	0.00107606	0.00261039	0.00615752	0.0137165	0.0282685	0.0527757	0.0876545	0.127405	0.159451	0.169172	0.148685	0.105957	0.0596244	0.025753	0.00839729	0.00222856	
N4	3.83266e-07	1.08071e-07	1.10732e-07	1.33027e-07	1.59984e-07	1.90085e-07	2.22183e-07	2.53924e-07	2.85276e-07	3.14617e-07	3.41032e-07	3.64077e-07	3.83946e-07	4.05301e-07	4.17044e-07	4.28465e-07	4.39308e-07	4.49038e-07	4.5744e-07	4.6302e-07	4.61389e-07	4.6249e-07	4.65155e-07	4.68242e-07	4.71175e-07	4.72238e-07	4.66767e-07	4.64839e-07	4.65102e-07	4.66287e-07	4.67734e-07	4.67675e-07	4.6139e-07	4.58897e-07	4.58779e-07	4.59729e-07	4.61063e-07	4.61015e-07	4.54862e-07	4.52567e-07	4.52705e-07	4.5398e-07	4.55717e-07	4.56177e-07	4.50631e-07	4.49058e-07	4.50064e-07	4.52402e-07	4.5547e-07	4.57635e-07	4.54189e-07	4.55424e-07	4.60221e-07	4.67716e-07	4.77852e-07	4.89753e-07	4.99218e-07	5.18887e-07	5.50224e-07	5.96379e-07	6.63954e-07	7.63448e-07	9.07143e-07	1.15273e-06	1.58295e-06	2.369e-06	3.87993e-06	6.93628e-06	1.33563e-05	2.78944e-05	6.23937e-05	0.000147281	0.000360092	0.000890885	0.00217406	0.00510888	0.0112959	0.0230425	0.0426828	0.0708753	0.104595	0.135298	0.152181	0.147545	0.122294	0.0860384	0.051242	0.0257384	0.011126	0.00437412	0.00173212	0.000752361	0.000357728	
N5	4.46158e-07	1.23346e-07	1.24484e-07	1.47007e-07	1.73139e-07	2.01018e-07	2.29487e-07	2.56511e-07	2.82447e-07	3.061e-07	3.27028e-07	3.45208e-07	3.6093e-07	3.75279e-07	3.85617e-07	3.94615e-07	4.02669e-07	4.09613e-07	4.15255e-07	4.18447e-07	4.18984e-07	4.20085e-07	4.2178e-07	4.23554e-07	4.24972e-07	4.24719e-07	4.22429e-07	4.21295e-07	4.21237e-07	4.21652e-07	4.22037e-07	4.21031e-07	4.18209e-07	4.16714e-07	4.16426e-07	4.1672e-07	4.17079e-07	4.16148e-07	4.13479e-07	4.12195e-07	4.12182e-07	4.12826e-07	4.13624e-07	4.13246e-07	4.11235e-07	4.10748e-07	4.11716e-07	4.13594e-07	4.15967e-07	4.17641e-07	4.18272e-07	4.21328e-07	4.27115e-07	4.35602e-07	4.47105e-07	4.61485e-07	4.79753e-07	5.08208e-07	5.51356e-07	6.16162e-07	7.15369e-07	8.72018e-07	1.13056e-06	1.59265e-06	2.46239e-06	4.18778e-06	7.7999e-06	1.57638e-05	3.40782e-05	7.79241e-05	0.000184995	0.000446424	0.00107166	0.00250683	0.00560784	0.0118018	0.0230439	0.0412216	0.0668193	0.0972099	0.125937	0.143648	0.143296	0.124087	0.0926667	0.0594197	0.0327655	0.0156303	0.00670209	0.00280817	0.00132847	0.000851975	0.000774802	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	9.83685e-07	1.4993e-07	9.94923e-08	9.84848e-08	1.0043e-07	1.0243e-07	1.04334e-07	1.04294e-07	1.05528e-07	1.06919e-07	1.08327e-07	1.09751e-07	1.11195e-07	1.10627e-07	1.11865e-07	1.13196e-07	1.14599e-07	1.16031e-07	1.17476e-07	1.17037e-07	1.18167e-07	1.1928e-07	1.20387e-07	1.2148e-07	1.22584e-07	1.21852e-07	1.2277e-07	1.23752e-07	1.24829e-07	1.26005e-07	1.27316e-07	1.2696e-07	1.28421e-07	1.30167e-07	1.32339e-07	1.35124e-07	1.38896e-07	1.42499e-07	1.50617e-07	1.63964e-07	1.8708e-07	2.28602e-07	3.05194e-07	4.46991e-07	7.19836e-07	1.2388e-06	2.22754e-06	4.1099e-06	7.69118e-06	1.45023e-05	2.75117e-05	5.22093e-05	9.89186e-05	0.000186496	0.000348581	0.000643444	0.00117062	0.00208364	0.00361821	0.00610795	0.00999104	0.0157854	0.024057	0.0350649	0.0487043	0.0641538	0.0797658	0.0932188	0.102244	0.104328	0.0988736	0.0868555	0.0706699	0.0533102	0.0374872	0.0245798	0.0152034	0.00900387	0.00520385	0.00299383	0.00174225	0.00102295	0.000601789	0.000349674	0.000197896	0.000107938	5.64402e-05	2.80432e-05	1.32177e-05	5.89278e-06	2.47729e-06	9.79201e-07	3.72106e-07	
N7	1.11528e-06	1.54801e-07	9.46037e-08	9.22693e-08	9.36012e-08	9.51576e-08	9.67471e-08	9.62404e-08	9.73223e-08	9.8666e-08	1.00098e-07	1.01617e-07	1.03246e-07	1.03032e-07	1.04357e-07	1.05781e-07	1.07293e-07	1.08894e-07	1.10584e-07	1.10055e-07	1.10961e-07	1.11981e-07	1.13142e-07	1.14466e-07	1.15966e-07	1.15361e-07	1.16318e-07	1.17526e-07	1.19052e-07	1.20983e-07	1.2344e-07	1.24392e-07	1.27793e-07	1.33084e-07	1.41737e-07	1.56501e-07	1.82616e-07	2.27926e-07	3.14715e-07	4.78062e-07	7.87542e-07	1.37522e-06	2.49127e-06	4.6045e-06	8.57832e-06	1.60169e-05	2.98578e-05	5.53628e-05	0.000101777	0.000184929	0.000330418	0.000580249	0.00100069	0.00169217	0.00280193	0.00453634	0.00715351	0.0109839	0.0164031	0.0237531	0.0332311	0.0447247	0.0575271	0.0704821	0.082055	0.0904534	0.0941125	0.0921578	0.084571	0.0726751	0.0586157	0.0444731	0.0318852	0.0217687	0.014304	0.00921309	0.00598021	0.00402467	0.00287234	0.00219275	0.00177896	0.00151053	0.00132441	0.00118341	0.00106742	0.000968233	0.000887418	0.000829093	0.000797217	0.000778641	0.000741193	0.000652009	0.000514549	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
