NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.227498	0.207918	0.174397	0.135037	0.097108	0.0652059	0.0410647	0.0243379	0.0136097	0.0071949	0.00360173	0.00170967	0.000770526	0.000330109	0.000134594	5.2285e-05	1.93718e-05	6.85256e-06	2.3166e-06	7.49156e-07	2.31957e-07	6.88206e-08	1.95815e-08	5.34687e-09	1.40202e-09	3.53227e-10	8.55455e-11	1.99229e-11	4.46321e-12	9.62008e-13	1.9953e-13	6.03029e-17	2.64298e-17	1.13637e-17	4.793e-18	1.98306e-18	8.04798e-19	3.20358e-19	1.25071e-19	4.7888e-20	1.79811e-20	6.62063e-21	2.39031e-21	8.46163e-22	2.93683e-22	9.99331e-23	3.33369e-23	1.09022e-23	3.49506e-24	1.09835e-24	3.38346e-25	1.02166e-25	3.02397e-26	8.77334e-27	2.49501e-27	6.95502e-28	1.90042e-28	5.09016e-29	1.33645e-29	3.43972e-30	8.6787e-31	2.14666e-31	5.20551e-32	1.23758e-32	2.8848e-33	6.5934e-34	1.47767e-34	3.24749e-35	6.99916e-36	1.47945e-36	3.0672e-37	6.2374e-38	1.24429e-38	2.43521e-39	4.67615e-40	8.81103e-41	1.62931e-41	2.95723e-42	5.26917e-43	9.21864e-44	1.58407e-44	2.6743e-45	4.43795e-46	7.24391e-47	1.16414e-47	1.84463e-48	2.8886e-49	4.48667e-50	6.95275e-51	1.08484e-51	1.728e-52	2.87881e-53	5.96004e-54	
N2	0.223407	0.205049	0.171768	0.135277	0.0978623	0.0672603	0.0426786	0.026025	0.0146786	0.00806669	0.00409903	0.00206761	0.000959685	0.000453385	0.000195462	8.86387e-05	3.60344e-05	1.5982e-05	6.21848e-06	2.73601e-06	1.02148e-06	4.43112e-07	1.5918e-07	6.79113e-08	2.32262e-08	9.57391e-09	3.13122e-09	1.25466e-09	3.87792e-10	1.48637e-10	4.40077e-11	1.64457e-11	4.59139e-12	1.63671e-12	4.40738e-13	1.54474e-13	3.91911e-14	1.30658e-14	3.22309e-15	1.06362e-15	2.45971e-16	7.64891e-17	1.72768e-17	5.32925e-18	1.12255e-18	3.23522e-19	6.67663e-20	1.90937e-20	3.64166e-21	9.61715e-22	1.79763e-22	4.71371e-23	8.12056e-24	1.96094e-24	3.32205e-25	7.98581e-26	1.23733e-26	2.71491e-27	4.14086e-28	9.0778e-29	1.26868e-29	2.54641e-30	3.52563e-31	7.10478e-32	8.93356e-33	1.63085e-33	2.03423e-34	3.74744e-35	4.26951e-36	7.17961e-37	8.19123e-38	1.39786e-38	1.43926e-39	2.2092e-40	2.27935e-41	3.56937e-42	3.35739e-43	4.78834e-44	4.56597e-45	6.67383e-46	5.70783e-47	7.4519e-48	6.46125e-49	8.71495e-50	6.94069e-51	8.64111e-52	7.37603e-53	1.00925e-53	9.49002e-55	1.47093e-55	2.23669e-56	4.63524e-57	1.08681e-57	
N3	0.225974	0.206983	0.172675	0.1352	0.0970756	0.0661823	0.0416137	0.0251639	0.0140587	0.00766725	0.00385756	0.00193302	0.000886982	0.000416645	0.000176978	7.98758e-05	3.17925e-05	1.40421e-05	5.30226e-06	2.32871e-06	8.34097e-07	3.62203e-07	1.2353e-07	5.31541e-08	1.70513e-08	7.12484e-09	2.16842e-09	8.91103e-10	2.53062e-10	9.98161e-11	2.70183e-11	1.055e-11	2.65095e-12	9.85867e-13	2.3859e-13	8.89869e-14	1.98781e-14	6.99226e-15	1.52448e-15	5.45457e-16	1.08488e-16	3.5944e-17	7.06226e-18	2.40816e-18	4.2675e-19	1.32499e-19	2.35015e-20	7.6012e-21	1.19532e-21	3.43765e-22	5.468e-23	1.65612e-23	2.31661e-24	6.16517e-25	8.8514e-26	2.51393e-26	3.11617e-27	7.58527e-28	9.7461e-29	2.56294e-29	2.83741e-30	6.37053e-31	7.4404e-32	1.83189e-32	1.79991e-33	3.67028e-34	3.83425e-35	8.69111e-36	7.67712e-37	1.4503e-37	1.39207e-38	2.9694e-39	2.33093e-40	3.98209e-41	3.41135e-42	6.67841e-43	4.74805e-44	7.58631e-45	6.04709e-46	1.12289e-46	7.08825e-48	1.01749e-48	7.1873e-50	1.21852e-50	7.01569e-52	9.52513e-53	6.35795e-54	1.03628e-54	5.60688e-56	7.74595e-57	8.48257e-58	2.16076e-58	6.97865e-59	
N4	0.217961	0.200792	0.169409	0.134833	0.0989143	0.0692151	0.0449025	0.0281373	0.0163881	0.00935629	0.0049638	0.00263141	0.0012893	0.000647388	0.00029763	0.000144856	6.32979e-05	3.03209e-05	1.27376e-05	6.06699e-06	2.44746e-06	1.14882e-06	4.45425e-07	2.05487e-07	7.5714e-08	3.37256e-08	1.1867e-08	5.13835e-09	1.70549e-09	7.05448e-10	2.23943e-10	9.01687e-11	2.69078e-11	1.02921e-11	2.95301e-12	1.10564e-12	2.97346e-13	1.05197e-13	2.73634e-14	9.52316e-15	2.30649e-15	7.5093e-16	1.76514e-16	5.66789e-17	1.23372e-17	3.67823e-18	7.79944e-19	2.2984e-19	4.47438e-20	1.21099e-20	2.30024e-21	6.16735e-22	1.07323e-22	2.63641e-23	4.49794e-24	1.09832e-24	1.70322e-25	3.77328e-26	5.74578e-27	1.26978e-27	1.76087e-28	3.53957e-29	4.85178e-30	9.76836e-31	1.20738e-31	2.18436e-32	2.67008e-33	4.85731e-34	5.38365e-35	8.86501e-36	9.80084e-37	1.62957e-37	1.61206e-38	2.38761e-39	2.35409e-40	3.53474e-41	3.14902e-42	4.26383e-43	3.82456e-44	5.26661e-45	4.19205e-46	5.09628e-47	4.07377e-48	5.06419e-49	3.66406e-50	4.13256e-51	3.14089e-52	3.80124e-53	3.06008e-54	4.01946e-55	5.04302e-56	8.82753e-57	2.27388e-57	
N5	0.20749	0.192671	0.164948	0.134131	0.100925	0.0729693	0.0489422	0.0320655	0.0194323	0.0117869	0.00654302	0.00378717	0.00194988	0.00112039	0.000543773	0.000328479	0.000151684	9.99129e-05	4.4608e-05	3.28802e-05	1.40246e-05	1.09999e-05	4.58391e-06	3.84829e-06	1.51378e-06	1.25207e-06	4.89443e-07	4.27412e-07	1.55172e-07	1.27216e-07	4.72818e-08	4.2522e-08	1.41982e-08	1.13853e-08	4.05729e-09	3.81798e-09	1.168e-09	9.22353e-10	3.19112e-10	3.2041e-10	8.91055e-11	6.86502e-11	2.27253e-11	2.37589e-11	6.06006e-12	4.58635e-12	1.47345e-12	1.5908e-12	3.70981e-13	2.66674e-13	7.98316e-14	8.45937e-14	1.84136e-14	1.2955e-14	3.78933e-15	4.01379e-15	8.03713e-16	5.22389e-16	1.38431e-16	1.38421e-16	2.62053e-17	1.6958e-17	4.51626e-18	4.53162e-18	7.83022e-19	4.53073e-19	1.04869e-19	9.67748e-20	1.59348e-20	9.53083e-21	2.32862e-21	2.21114e-21	3.27655e-22	1.67892e-22	3.36863e-23	2.87949e-23	4.10494e-24	2.30975e-24	5.25458e-25	4.7699e-25	6.02578e-26	2.72384e-26	4.69579e-27	3.74032e-27	4.59756e-28	2.45297e-28	5.23387e-29	4.60775e-29	5.24648e-30	2.36504e-30	6.7281e-31	9.07674e-31	1.31796e-30	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.134897	0.130708	0.121745	0.11176	0.098548	0.0857773	0.0716923	0.0593237	0.0471046	0.0371934	0.0281662	0.0213372	0.0154776	0.0113141	0.00790468	0.00561423	0.00379511	0.00263231	0.00172952	0.00117714	0.000752985	0.000503314	0.000313985	0.000206349	0.000125331	8.07542e-05	4.77905e-05	3.02083e-05	1.73782e-05	1.07419e-05	6.02013e-06	3.64724e-06	1.98596e-06	1.1747e-06	6.23173e-07	3.60843e-07	1.85604e-07	1.04541e-07	5.22464e-08	2.86878e-08	1.3826e-08	7.33488e-09	3.41728e-09	1.75698e-09	7.84323e-10	3.86927e-10	1.66146e-10	7.90322e-11	3.23302e-11	1.46708e-11	5.75238e-12	2.50857e-12	9.33588e-13	3.87038e-13	1.37813e-13	5.48219e-14	1.84806e-14	6.97196e-15	2.2475e-15	8.13397e-16	2.48056e-16	8.5089e-17	2.48307e-17	8.17696e-18	2.25614e-18	7.03756e-19	1.86032e-19	5.57791e-20	1.39538e-20	3.96656e-21	9.52426e-22	2.6068e-22	5.92519e-23	1.53758e-23	3.361e-24	8.41374e-25	1.74458e-25	4.14958e-26	8.30488e-27	1.91317e-27	3.65203e-28	8.05083e-29	1.50986e-29	3.29318e-30	6.16269e-31	1.3523e-31	2.71427e-32	6.34771e-33	1.41664e-33	3.5668e-34	9.08605e-35	2.70134e-35	1.18364e-35	
N7	0.114873	0.112482	0.106877	0.10094	0.092147	0.0835613	0.0729917	0.0634781	0.0529983	0.0442898	0.03542	0.0286095	0.0220046	0.0173217	0.0129035	0.010019	0.00727435	0.00563049	0.00401338	0.00313511	0.00220018	0.00174383	0.0012118	0.000982514	0.000674909	0.000557115	0.000380745	0.000321707	0.00021749	0.000185754	0.000125434	0.000109233	7.28345e-05	6.34529e-05	4.23287e-05	3.74526e-05	2.45175e-05	2.14588e-05	1.4036e-05	1.24449e-05	7.90461e-06	6.84862e-06	4.34105e-06	3.81304e-06	2.32542e-06	1.97799e-06	1.20663e-06	1.0452e-06	6.07322e-07	5.03981e-07	2.94017e-07	2.49894e-07	1.38011e-07	1.11608e-07	6.22901e-08	5.18986e-08	2.71598e-08	2.12706e-08	1.12997e-08	9.16124e-09	4.5511e-09	3.45407e-09	1.75405e-09	1.38349e-09	6.50592e-10	4.74188e-10	2.28486e-10	1.73674e-10	7.76144e-11	5.45786e-11	2.5165e-11	1.85085e-11	7.82891e-12	5.25536e-12	2.29421e-12	1.617e-12	6.51444e-13	4.22043e-13	1.76927e-13	1.20751e-13	4.60928e-14	2.84717e-14	1.13127e-14	7.42085e-15	2.72998e-15	1.66025e-15	6.62589e-16	4.51445e-16	1.95849e-16	1.55328e-16	1.24563e-16	1.6045e-16	2.3883e-16	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.119596	0.116905	0.110755	0.104131	0.094622	0.0852281	0.0740211	0.0637409	0.0528191	0.043478	0.034398	0.0271217	0.0205145	0.0155299	0.0112566	0.00821058	0.00571609	0.0040314	0.00270577	0.0018544	0.00120345	0.000804185	0.000506344	0.000331027	0.000202251	0.000129253	7.66315e-05	4.78368e-05	2.74043e-05	1.66177e-05	9.17493e-06	5.38899e-06	2.84911e-06	1.60927e-06	8.13203e-07	4.41055e-07	2.11756e-07	1.09574e-07	5.00229e-08	2.47331e-08	1.06842e-08	5.02079e-09	2.06039e-09	9.24727e-10	3.59139e-10	1.53277e-10	5.67315e-11	2.32104e-11	8.15996e-12	3.18727e-12	1.0748e-12	4.0515e-13	1.30567e-13	4.72608e-14	1.47123e-14	5.17122e-15	1.54428e-15	5.22372e-16	1.51079e-16	4.96705e-17	1.37576e-17	4.33866e-18	1.16036e-18	3.54251e-19	9.01731e-20	2.62306e-20	6.41673e-21	1.79875e-21	4.1666e-22	1.10757e-22	2.45835e-23	6.28103e-24	1.31507e-24	3.17471e-25	6.36195e-26	1.47504e-26	2.78536e-27	6.09705e-28	1.10299e-28	2.32188e-29	3.96326e-30	7.8987e-31	1.3062e-31	2.54304e-32	4.1148e-33	7.9425e-34	1.36574e-34	2.8173e-35	5.48169e-36	1.24121e-36	2.83739e-37	7.45436e-38	2.6021e-38	
Morelotia_affinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
