NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.367055	0.288555	0.182514	0.0956193	0.0424721	0.0162459	0.00541825	0.00158844	0.000412449	9.53916e-05	1.97608e-05	3.68332e-06	6.20497e-07	9.48321e-08	1.31968e-08	1.67745e-09	1.95346e-10	2.0896e-11	2.05824e-12	1.87073e-13	2.96425e-17	8.26923e-18	2.2216e-18	5.75149e-19	1.43566e-19	3.45671e-20	8.03131e-21	1.80112e-21	3.89978e-22	8.15363e-23	1.6464e-23	3.21091e-24	6.04866e-25	1.10062e-25	1.93456e-26	3.28467e-27	5.38741e-28	8.53602e-29	1.30657e-29	1.93213e-30	2.7605e-31	3.81087e-32	5.08376e-33	6.55418e-34	8.16729e-35	9.83836e-36	1.14583e-36	1.29043e-37	1.40556e-38	1.48094e-39	1.50969e-40	1.4893e-41	1.42205e-42	1.31454e-43	1.17668e-44	1.02015e-45	8.56821e-47	6.97327e-48	5.50056e-49	4.20633e-50	3.11911e-51	2.24333e-52	1.5653e-53	1.05987e-54	6.96558e-56	4.44452e-57	2.75397e-58	1.65755e-59	9.69291e-61	5.50843e-62	3.04293e-63	1.63438e-64	8.53716e-66	4.33789e-67	2.14463e-68	1.03189e-69	4.83314e-71	2.20413e-72	9.78946e-74	4.23541e-75	1.78546e-76	7.33542e-78	2.93787e-79	1.14735e-80	4.37079e-82	1.62493e-83	5.8998e-85	2.09483e-86	7.29424e-88	2.50745e-89	8.66581e-91	3.17371e-92	1.4942e-93	
N2	0.341622	0.286057	0.188434	0.104637	0.0483809	0.0204471	0.007078	0.0023864	0.000692029	0.000198899	4.85092e-05	1.39979e-05	2.92175e-06	7.90056e-07	1.61244e-07	4.06018e-08	7.14068e-09	1.84423e-09	2.79768e-10	6.63727e-11	9.89584e-12	2.03536e-12	2.73604e-13	6.26562e-14	6.90403e-15	1.31359e-15	1.58963e-16	2.87506e-17	2.81965e-18	5.0982e-19	4.5612e-20	7.87071e-21	6.75471e-22	9.12064e-23	7.42952e-24	1.22427e-24	7.57602e-26	9.23479e-27	6.67458e-28	8.30154e-29	4.62438e-30	5.29303e-31	2.71904e-32	3.05804e-33	1.53928e-34	1.30446e-35	6.48418e-37	7.17197e-38	2.53553e-39	1.89458e-40	8.06435e-42	6.34405e-43	2.11453e-44	1.6381e-45	5.20848e-47	3.9121e-48	1.14039e-49	6.05461e-51	1.81441e-52	1.30639e-53	2.80684e-55	1.42065e-56	4.10254e-58	2.23008e-59	4.41983e-61	2.11403e-62	4.10359e-64	2.02214e-65	3.80172e-67	1.42052e-68	3.00023e-70	1.57169e-71	2.09913e-73	6.61374e-75	1.14736e-76	4.13333e-78	5.49994e-80	1.93284e-81	2.70948e-83	1.01396e-84	1.25175e-86	2.97531e-88	3.89335e-90	1.36758e-91	1.2558e-93	2.97473e-95	3.8882e-97	1.09312e-98	1.03778e-100	2.8451e-102	5.13292e-104	2.55723e-105	1.54913e-106	
N3	0.345001	0.287649	0.187836	0.103113	0.0470167	0.0196154	0.00667746	0.00222279	0.00063158	0.000178906	4.21674e-05	1.20718e-05	2.37216e-06	6.39942e-07	1.21449e-07	3.07464e-08	4.85191e-09	1.30752e-09	1.71582e-10	4.33861e-11	5.58575e-12	1.20302e-12	1.34659e-13	3.46567e-14	2.97689e-15	6.18966e-16	6.1687e-17	1.23859e-17	9.04647e-19	1.86318e-19	1.23474e-20	2.56404e-21	1.61509e-22	2.33208e-23	1.4116e-24	3.01345e-25	1.21365e-26	1.65854e-27	9.2867e-29	1.44329e-29	5.18589e-31	7.02485e-32	2.48002e-33	3.74958e-34	1.26479e-35	1.12338e-36	4.03612e-38	6.46429e-39	1.33402e-40	1.09636e-41	3.56997e-43	3.7339e-44	7.39788e-46	6.9319e-47	1.46224e-48	1.59407e-49	2.77195e-51	1.51216e-52	3.26315e-54	3.56368e-55	4.12448e-57	2.23564e-58	5.09385e-60	3.93067e-61	4.16498e-63	2.33346e-64	2.90282e-66	2.09466e-67	2.24498e-69	8.46487e-71	1.33789e-72	1.15522e-73	7.53083e-76	2.35703e-77	3.01042e-79	1.56102e-80	1.09875e-82	4.67508e-84	4.31219e-86	2.58618e-87	1.65226e-89	3.61093e-91	3.25708e-93	1.88591e-94	8.27573e-97	2.0091e-98	2.04567e-100	9.04001e-102	3.83871e-104	1.06973e-105	7.95106e-108	4.60407e-109	2.87783e-110	
N4	0.328088	0.279243	0.18971	0.110135	0.053986	0.0245111	0.00925589	0.00344445	0.0011183	0.000363029	0.000101197	3.34241e-05	8.07293e-06	2.51755e-06	5.96545e-07	1.73735e-07	3.54763e-08	1.05989e-08	1.85766e-09	5.06733e-10	8.65487e-11	2.02648e-11	3.07699e-12	7.8887e-13	9.67607e-14	2.03208e-14	2.68446e-15	5.25945e-16	5.53506e-17	1.06683e-17	1.00503e-18	1.81681e-19	1.61606e-20	2.24824e-21	1.86522e-22	3.12447e-23	1.93337e-24	2.35298e-25	1.6786e-26	2.05225e-27	1.10757e-28	1.2275e-29	6.01777e-31	6.45984e-32	3.05157e-33	2.42184e-34	1.11231e-35	1.13752e-36	3.65603e-38	2.48508e-39	9.48942e-41	6.70886e-42	1.9707e-43	1.34562e-44	3.71685e-46	2.43232e-47	6.0591e-49	2.75522e-50	6.97186e-52	4.25537e-53	7.57612e-55	3.18613e-56	7.54585e-58	3.3715e-59	5.37904e-61	2.08346e-62	3.20944e-64	1.26318e-65	1.85749e-67	5.43453e-69	8.87571e-71	3.61741e-72	3.65024e-74	8.73265e-76	1.1354e-77	3.07542e-79	3.00929e-81	7.83958e-83	7.96937e-85	2.17734e-86	1.9145e-88	3.24576e-90	2.98753e-92	7.45204e-94	4.7116e-96	7.74815e-98	6.91962e-100	1.33213e-101	8.35582e-104	1.5037e-105	1.68942e-107	4.92753e-109	1.68041e-110	
N5	0.310174	0.269868	0.190597	0.116983	0.0610197	0.0304289	0.0123735	0.00535915	0.00193162	0.000808222	0.000248257	0.000139122	3.47014e-05	2.27917e-05	6.10174e-06	4.34433e-06	9.34899e-07	8.0957e-07	1.51899e-07	1.39488e-07	2.86063e-08	1.91018e-08	3.77865e-09	4.44065e-09	5.82247e-10	4.03616e-10	9.76835e-11	9.16505e-11	1.13086e-11	9.27782e-12	1.40288e-12	1.80471e-12	2.21596e-13	1.06713e-13	1.83957e-14	2.81298e-14	2.19224e-15	1.10178e-15	2.10926e-16	2.40603e-16	1.85399e-17	1.13144e-17	1.13595e-18	1.25671e-18	1.05347e-19	3.98195e-20	5.96696e-21	8.41214e-21	4.20475e-22	1.38624e-22	1.57359e-23	1.27863e-23	7.31851e-25	4.80294e-25	3.95106e-26	3.96098e-26	1.79537e-27	4.62983e-28	4.04986e-29	4.15681e-29	1.42752e-30	4.6129e-31	6.15296e-32	4.97822e-32	1.58364e-33	5.26156e-34	2.155e-35	1.30403e-35	4.91784e-37	1.42514e-37	1.59293e-38	1.52976e-38	3.37181e-40	5.36402e-41	2.62037e-42	1.22633e-42	3.25989e-44	1.42742e-44	8.53862e-46	6.17257e-46	1.39225e-47	1.75035e-48	7.14869e-50	4.51364e-50	7.35409e-52	1.36733e-52	9.68715e-54	5.32446e-54	8.55837e-56	1.67045e-56	4.8985e-58	3.12117e-58	2.34972e-58	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.183162	0.180003	0.160614	0.135865	0.10619	0.0811977	0.0558532	0.0381739	0.0242176	0.0150202	0.00864421	0.00518787	0.00273097	0.00153653	0.000789751	0.000419	0.000199679	0.000106408	4.67948e-05	2.34625e-05	1.01953e-05	4.75211e-06	1.90872e-06	8.97706e-07	3.27179e-07	1.41618e-07	5.1644e-08	2.07148e-08	6.84624e-09	2.74359e-09	8.29881e-10	3.07784e-10	9.18038e-11	3.08176e-11	8.47426e-12	2.90742e-12	7.10153e-13	2.17409e-13	5.36629e-14	1.51604e-14	3.32077e-15	9.17896e-16	1.80771e-16	4.54118e-17	8.69525e-18	1.90326e-18	3.27225e-19	7.22477e-20	1.06526e-20	2.0154e-21	2.95437e-22	5.0457e-23	6.40332e-24	1.05736e-24	1.18727e-25	1.74839e-26	1.8859e-27	2.38989e-28	2.32469e-29	2.98428e-30	2.46771e-31	2.70683e-32	2.27251e-33	2.25819e-34	1.62004e-35	1.55761e-36	1.00419e-37	8.72489e-39	5.44242e-40	4.08568e-41	2.33573e-42	1.81684e-43	8.74638e-45	5.727e-46	2.84013e-47	1.71735e-48	7.3843e-50	4.35939e-51	1.70097e-52	9.20678e-54	3.50487e-55	1.62155e-56	5.6695e-58	2.76766e-59	8.35499e-61	3.53764e-62	1.16788e-63	4.97489e-65	1.77132e-66	9.11781e-68	4.46802e-69	2.69752e-70	2.19079e-71	
N7	0.149859	0.151377	0.141916	0.128242	0.108065	0.0903218	0.067757	0.0514898	0.0361889	0.0254572	0.0163858	0.0117784	0.00698203	0.00495406	0.00301925	0.00215627	0.00123717	0.00100475	0.000539222	0.000443868	0.000253738	0.000201165	0.000109186	0.000100342	4.86267e-05	4.14113e-05	2.27256e-05	1.90856e-05	9.24968e-06	8.47225e-06	3.92291e-06	3.59445e-06	1.74534e-06	1.38099e-06	6.67554e-07	6.8706e-07	2.71613e-07	2.25444e-07	1.1198e-07	9.94158e-08	3.9899e-08	3.53511e-08	1.37354e-08	1.25927e-08	4.9755e-09	3.47455e-09	1.38664e-09	1.34083e-09	3.93099e-10	2.65864e-10	9.94007e-11	7.41642e-11	2.15007e-11	1.56131e-11	4.45284e-12	3.30585e-12	8.83719e-13	4.68627e-13	1.34471e-13	1.01758e-13	2.07356e-14	1.08186e-14	3.09432e-15	1.81996e-15	3.59826e-16	1.90873e-16	3.81268e-17	2.14706e-17	4.16746e-18	1.73382e-18	3.92263e-19	2.47363e-19	3.46301e-20	1.27215e-20	2.47817e-21	1.10537e-21	1.62973e-22	7.1476e-23	1.12698e-23	5.36124e-24	7.49722e-25	2.18508e-25	3.3703e-26	1.60715e-26	1.6806e-27	5.17284e-28	8.38766e-29	3.23947e-29	3.56258e-30	1.2739e-30	2.65705e-31	1.98063e-31	2.19478e-31	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.153611	0.155147	0.145562	0.131504	0.11099	0.0918204	0.0687497	0.0507372	0.0347869	0.0230567	0.0142014	0.00890004	0.00495657	0.00286031	0.00152183	0.000814466	0.000396923	0.000209143	9.3088e-05	4.56976e-05	1.98045e-05	8.97915e-06	3.55463e-06	1.60313e-06	5.7051e-07	2.35201e-07	8.21586e-08	3.09475e-08	9.6557e-09	3.57639e-09	9.98582e-10	3.34748e-10	8.98423e-11	2.66131e-11	6.36188e-12	1.86006e-12	3.8243e-13	9.69093e-14	1.94262e-14	4.39341e-15	7.6022e-16	1.64913e-16	2.50189e-17	4.83705e-18	7.04336e-19	1.17318e-19	1.51197e-20	2.52417e-21	2.76661e-22	3.93822e-23	4.27037e-24	5.44835e-25	5.07301e-26	6.25742e-27	5.11665e-28	5.60633e-29	4.41012e-30	4.15191e-31	2.94372e-32	2.83735e-33	1.71224e-34	1.41796e-35	8.83977e-37	6.71968e-38	3.61529e-39	2.7177e-40	1.33453e-41	9.22522e-43	4.4655e-44	2.69211e-45	1.21032e-46	7.73468e-48	2.93115e-49	1.57603e-50	6.24702e-52	3.12076e-53	1.066e-54	5.21796e-56	1.61444e-57	7.24155e-59	2.18776e-60	8.28505e-62	2.29018e-63	9.25151e-65	2.16596e-66	7.42443e-68	1.88687e-69	6.38337e-71	1.68176e-72	6.9448e-74	2.71604e-75	1.43611e-76	9.90022e-78	
Morelotia_affinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.150488	0.15251	0.143982	0.131042	0.111495	0.0928851	0.0700572	0.0520185	0.0358863	0.0239258	0.0148016	0.00934927	0.00521031	0.00303303	0.00161302	0.000871325	0.000420136	0.000226543	9.81488e-05	4.95467e-05	2.09202e-05	9.76141e-06	3.67926e-06	1.77796e-06	5.82433e-07	2.59748e-07	8.50108e-08	3.50121e-08	9.78451e-09	4.27093e-09	1.02331e-09	4.19248e-10	9.88159e-11	3.57483e-11	7.1346e-12	3.01448e-12	4.7193e-13	1.75098e-13	2.98765e-14	1.03874e-14	1.37019e-15	5.30611e-16	5.94027e-17	2.21999e-17	2.63178e-18	7.6361e-19	7.75632e-20	2.94916e-20	2.25907e-21	6.6088e-22	6.19462e-23	1.70173e-23	1.17015e-24	3.35805e-25	2.1024e-26	5.86676e-27	3.7381e-28	7.49035e-29	4.62546e-30	1.31461e-30	5.80113e-32	1.18215e-32	7.61232e-34	1.61893e-34	6.8566e-36	1.44618e-36	6.29633e-38	1.41724e-38	5.9612e-40	8.26737e-41	3.7182e-42	9.06989e-43	2.37015e-44	3.13983e-45	1.44151e-46	2.29283e-47	5.8325e-49	8.37364e-50	2.3378e-51	4.11505e-52	1.05911e-53	8.30131e-55	2.4977e-56	4.67774e-57	7.02609e-59	5.88648e-60	1.98302e-61	2.42035e-62	3.52901e-64	3.52234e-65	8.80545e-67	1.74854e-67	3.94035e-68	
N10	0.0964919	0.104221	0.109293	0.112506	0.108717	0.1031	0.0883092	0.0747602	0.0588002	0.0449455	0.0319567	0.0234749	0.0152789	0.0105335	0.00667864	0.00435261	0.0025671	0.00170791	0.000938364	0.000598159	0.000329828	0.000199113	0.000103183	6.55325e-05	3.18158e-05	1.9401e-05	9.82336e-06	5.70415e-06	2.64289e-06	1.56107e-06	6.59629e-07	3.61251e-07	1.51997e-07	7.5848e-08	2.99114e-08	1.59749e-08	5.69298e-09	2.76913e-09	1.04155e-09	4.78757e-10	1.59959e-10	7.34111e-11	2.21149e-11	9.33378e-12	2.79711e-12	1.03666e-12	2.89549e-13	1.18292e-13	2.99545e-14	1.13119e-14	3.26777e-15	1.26273e-15	3.45399e-16	1.42715e-16	3.71867e-17	1.45779e-17	3.82218e-18	1.30379e-18	3.19077e-19	1.17094e-19	2.41048e-20	7.46402e-21	1.64304e-21	4.73316e-22	8.75241e-23	2.47451e-23	4.18125e-24	1.09128e-24	1.80931e-25	4.01763e-26	6.27366e-27	1.53374e-27	1.95129e-28	3.86948e-29	5.34913e-30	1.01147e-30	1.19064e-31	2.23019e-32	2.42434e-33	4.25603e-34	4.55481e-35	6.60006e-36	6.62604e-37	1.08505e-37	9.05352e-39	1.22882e-39	1.16413e-40	1.59228e-41	1.49858e-42	2.53116e-43	4.01102e-44	1.00239e-44	3.36488e-45	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
