NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.395827	0.298101	0.174975	0.0830963	0.0328407	0.0109954	0.00316306	0.000789161	0.000172267	3.3125e-05	5.64756e-06	8.58367e-07	1.16906e-07	1.43308e-08	1.58781e-09	1.59583e-10	1.4599e-11	1.21922e-12	9.32074e-14	1.83932e-17	4.67091e-18	1.13834e-18	2.6644e-19	5.99295e-20	1.29605e-20	2.69593e-21	5.39562e-22	1.03923e-22	1.92665e-23	3.43837e-24	5.9074e-25	9.77117e-26	1.55604e-26	2.38572e-27	3.52176e-28	5.00554e-29	6.85041e-30	9.02785e-31	1.14575e-31	1.40051e-32	1.649e-33	1.87051e-34	2.04445e-35	2.15352e-36	2.18656e-37	2.14047e-38	2.02062e-39	1.8399e-40	1.61637e-41	1.37036e-42	1.12147e-43	8.86175e-45	6.76309e-46	4.98638e-47	3.55273e-48	2.44681e-49	1.62938e-50	1.04943e-51	6.53917e-53	3.94325e-54	2.30184e-55	1.30111e-56	7.12351e-58	3.77872e-59	1.94263e-60	9.68182e-62	4.67918e-63	2.19358e-64	9.97766e-66	4.40474e-67	1.88776e-68	7.85657e-70	3.1761e-71	1.24753e-72	4.76229e-74	1.76729e-75	6.37738e-77	2.23836e-78	7.64336e-80	2.53989e-81	8.21552e-83	2.58734e-84	7.93568e-86	2.37108e-87	6.90356e-89	1.95945e-90	5.42473e-92	1.46636e-93	3.87833e-95	1.00905e-96	2.62391e-98	7.18917e-100	2.56078e-101	
N2	0.36248	0.297633	0.184798	0.0946538	0.0392834	0.0148778	0.0044835	0.00134301	0.000336355	8.65227e-05	1.80919e-05	4.81087e-06	8.46787e-07	2.08781e-07	3.5809e-08	8.16973e-09	1.1783e-09	2.72961e-10	3.37225e-11	7.20351e-12	8.69548e-13	1.56321e-13	1.71198e-14	3.57463e-15	3.09032e-16	5.07234e-17	4.94395e-18	7.92229e-19	5.99573e-20	9.30521e-21	6.5048e-22	9.87282e-23	6.39342e-24	7.13476e-25	4.47181e-26	6.42427e-27	2.91995e-28	2.8992e-29	1.60205e-30	1.70139e-31	6.87922e-33	6.40039e-34	2.41182e-35	2.2674e-36	8.26433e-38	5.58841e-39	2.09651e-40	1.97976e-41	4.90916e-43	2.83982e-44	8.76642e-46	5.63618e-47	1.31748e-48	8.19859e-50	1.89424e-51	1.18105e-52	2.37327e-54	9.64274e-56	2.07026e-57	1.22543e-58	1.80265e-60	7.06263e-62	1.49204e-63	6.66831e-65	8.93334e-67	3.25362e-68	4.38107e-70	1.73101e-71	2.21759e-73	6.38458e-75	9.83269e-77	4.25101e-78	3.80035e-80	8.86657e-82	1.07234e-83	3.05707e-85	2.74323e-87	7.52417e-89	7.50636e-91	2.29815e-92	1.897e-94	3.34012e-96	3.05173e-98	8.61764e-100	5.24584e-102	9.28657e-104	8.61926e-106	1.94493e-107	1.20109e-109	2.44463e-111	2.96105e-113	1.15042e-114	5.47247e-116	
N3	0.365818	0.299005	0.183934	0.093088	0.0380754	0.0142266	0.00420875	0.001243	0.000303492	7.67436e-05	1.53346e-05	4.04511e-06	6.58038e-07	1.6277e-07	2.54234e-08	5.89074e-09	7.41069e-10	1.81615e-10	1.87878e-11	4.35477e-12	4.37745e-13	8.30668e-14	7.27134e-15	1.74074e-15	1.11336e-16	2.01661e-17	1.56091e-18	2.83411e-19	1.50463e-20	2.6916e-21	1.32939e-22	2.51579e-23	1.12942e-24	1.35121e-25	6.03755e-27	1.16753e-27	3.24585e-29	3.62787e-30	1.50762e-31	2.07373e-32	5.05754e-34	5.59981e-35	1.39398e-36	1.83251e-37	4.22666e-39	2.94921e-40	7.72242e-42	1.09631e-42	1.48239e-44	9.31673e-46	2.14831e-47	1.8956e-48	2.46269e-50	1.84593e-51	2.71995e-53	2.56525e-54	2.85483e-56	1.16136e-57	1.73854e-59	1.61413e-60	1.19353e-62	4.89058e-64	8.0147e-66	5.28392e-67	3.49525e-69	1.46593e-70	1.20939e-72	7.22044e-74	4.92866e-76	1.39126e-77	1.57585e-79	1.15837e-80	4.70087e-83	1.04871e-84	9.03222e-87	3.80834e-88	1.68636e-90	5.55699e-92	3.54726e-94	1.80105e-95	7.08084e-98	1.09819e-99	6.64735e-102	3.17618e-103	8.65369e-106	1.53328e-107	1.09809e-109	4.05409e-111	1.05349e-113	2.15005e-115	1.00499e-117	4.5686e-119	2.1222e-120	
N4	0.346777	0.290718	0.18767	0.101594	0.0453214	0.0187153	0.00626196	0.00210408	0.000600878	0.000177221	4.30755e-05	1.32609e-05	2.74059e-06	7.87538e-07	1.58645e-07	4.22105e-08	7.13037e-09	1.92083e-09	2.75293e-10	6.7569e-11	9.33447e-12	1.90228e-12	2.33809e-13	5.40684e-14	5.15616e-15	9.23302e-16	9.7004e-17	1.6583e-17	1.32659e-18	2.15986e-19	1.56177e-20	2.43794e-21	1.60598e-22	1.80925e-23	1.13098e-24	1.6148e-25	7.16958e-27	6.93151e-28	3.6817e-29	3.73952e-30	1.42374e-31	1.24406e-32	4.34213e-34	3.77424e-35	1.2479e-36	7.6311e-38	2.54921e-39	2.14344e-40	4.65369e-42	2.35613e-43	6.2721e-45	3.48116e-46	6.88001e-48	3.6157e-49	6.94013e-51	3.60464e-52	5.9142e-54	1.96336e-55	3.39524e-57	1.62563e-58	1.8844e-60	5.83238e-62	9.6083e-64	3.35177e-65	3.42791e-67	9.59134e-69	9.69705e-71	2.8958e-72	2.74204e-74	5.83867e-76	6.56469e-78	2.08209e-79	1.32408e-81	2.2062e-83	1.87839e-85	3.78684e-87	2.34363e-89	4.47018e-91	3.03433e-93	6.35523e-95	3.4926e-97	4.10115e-99	2.46043e-101	4.61035e-103	1.80423e-105	2.0732e-107	1.22798e-109	1.77566e-111	6.77059e-114	8.45299e-116	5.97691e-118	1.27976e-119	3.0724e-121	
N5	0.327095	0.28152	0.190162	0.109899	0.0526508	0.0243345	0.00884456	0.00361269	0.0011576	0.00048178	0.000128951	7.92748e-05	1.66017e-05	1.18907e-05	2.71754e-06	2.09056e-06	3.70692e-07	3.31459e-07	5.25144e-08	5.20225e-08	8.93774e-09	5.68203e-09	9.8447e-10	1.32276e-09	1.36716e-10	8.87166e-11	1.95134e-11	2.0204e-11	1.93647e-12	1.5152e-12	1.97037e-13	2.82536e-13	2.63493e-14	1.14569e-14	1.66973e-15	2.72359e-15	1.63417e-16	7.32339e-17	1.19007e-17	1.44892e-17	8.40352e-19	4.66952e-19	3.59599e-20	3.91364e-20	2.50512e-21	8.48089e-22	1.12079e-22	1.63952e-22	5.98018e-24	1.62877e-24	1.39897e-25	1.0847e-25	4.60708e-27	2.94178e-27	1.98021e-28	2.01801e-28	6.41201e-30	1.35315e-30	8.8286e-32	8.82027e-32	2.16011e-33	6.21586e-34	7.08925e-35	5.72315e-35	1.25603e-36	3.30882e-37	9.60729e-39	5.44765e-39	1.43977e-40	3.71057e-41	3.46694e-42	3.16288e-42	4.88764e-44	6.14347e-45	2.14467e-46	9.06807e-47	1.64154e-48	6.39971e-49	3.16217e-50	2.19418e-50	3.35349e-52	3.32123e-53	9.84047e-55	5.71966e-55	6.34302e-57	9.3245e-58	5.13432e-59	2.58517e-59	2.79969e-61	4.37246e-62	8.86536e-64	5.02157e-64	3.30969e-64	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.189376	0.18808	0.16676	0.13913	0.105745	0.0785255	0.0516989	0.0339543	0.0204561	0.0121209	0.0065749	0.00378272	0.00186376	0.00100285	0.000482387	0.000244289	0.000108059	5.50022e-05	2.2273e-05	1.06047e-05	4.22337e-06	1.85019e-06	6.75237e-07	2.98618e-07	9.74452e-08	3.90774e-08	1.27454e-08	4.7058e-09	1.36982e-09	5.02172e-10	1.32741e-10	4.4768e-11	1.15833e-11	3.48504e-12	8.27427e-13	2.55952e-13	5.30625e-14	1.43593e-14	3.01149e-15	7.48579e-16	1.36414e-16	3.26971e-17	5.29645e-18	1.14272e-18	1.77586e-19	3.2622e-20	4.5121e-21	8.38874e-22	9.70538e-23	1.50403e-23	1.73163e-24	2.41513e-25	2.36062e-26	3.14965e-27	2.70671e-28	3.20371e-29	2.61241e-30	2.60427e-31	1.91142e-32	1.94886e-33	1.19116e-34	1.01466e-35	6.35247e-37	4.91376e-38	2.57342e-39	1.90303e-40	8.94378e-42	5.97743e-43	2.69739e-44	1.5321e-45	6.3627e-47	3.80008e-48	1.29771e-49	6.34733e-51	2.25719e-52	1.02663e-53	3.11738e-55	1.37533e-56	3.80077e-58	1.54361e-59	4.12078e-61	1.39886e-62	3.44268e-64	1.2543e-65	2.60907e-67	8.03343e-69	1.83782e-70	5.67502e-72	1.36152e-73	5.07375e-75	1.78043e-76	8.00388e-78	4.67538e-79	
N7	0.153329	0.157311	0.147681	0.132846	0.109822	0.0901507	0.0652788	0.0483755	0.0326358	0.0224025	0.0137513	0.00985745	0.00553199	0.00396945	0.00231453	0.00169966	0.000924391	0.000784578	0.000397332	0.000342853	0.000184551	0.000150357	7.6812e-05	7.41965e-05	3.30134e-05	2.85879e-05	1.47926e-05	1.28749e-05	5.69022e-06	5.34013e-06	2.28556e-06	2.20543e-06	9.74939e-07	7.72234e-07	3.48619e-07	3.85114e-07	1.35445e-07	1.12371e-07	5.20853e-08	4.86625e-08	1.71355e-08	1.50706e-08	5.23525e-09	4.94265e-09	1.68955e-09	1.13249e-09	4.05388e-10	4.03438e-10	9.88706e-11	6.23224e-11	2.02531e-11	1.4967e-11	3.60968e-12	2.50138e-12	6.11278e-13	4.48961e-13	9.75843e-14	4.69312e-14	1.14331e-14	8.5064e-15	1.38759e-15	6.57631e-16	1.61759e-16	9.24645e-17	1.44496e-17	6.92307e-18	1.11602e-18	5.92979e-19	9.12242e-20	3.41284e-20	6.58013e-21	4.03907e-21	4.34607e-22	1.36667e-22	2.13693e-23	8.83365e-24	1.00646e-24	4.01792e-25	5.19609e-26	2.35457e-26	2.49366e-27	6.15071e-28	7.52345e-29	3.34409e-29	2.62505e-30	6.98098e-31	9.24167e-32	3.33955e-32	2.69201e-33	8.02783e-34	1.2365e-34	8.03903e-35	7.89015e-35	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
