NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.00140769	0.0016431	0.0021734	0.00312161	0.00467786	0.0070972	0.010683	0.0157462	0.0225351	0.0311379	0.0413752	0.0527155	0.0642537	0.0747868	0.0829975	0.087715	0.088184	0.0842604	0.0764622	0.0658539	0.0538015	0.0416764	0.0305992	0.0212874	0.0140288	0.0087564	0.00517573	0.00289678	0.00153507	0.000770182	0.000365857	0.000164547	7.00726e-05	2.82563e-05	1.07902e-05	3.9024e-06	1.33684e-06	4.33836e-07	1.33395e-07	3.88675e-08	1.07336e-08	2.80994e-09	6.97467e-10	1.64178e-10	3.66577e-11	7.76548e-12	1.56108e-12	2.60248e-16	1.10771e-16	4.59464e-17	1.85745e-17	7.31952e-18	2.81193e-18	1.05327e-18	3.84726e-19	1.37056e-19	4.76259e-20	1.61453e-20	5.34035e-21	1.72377e-21	5.43044e-22	1.66995e-22	5.01361e-23	1.46973e-23	4.20757e-24	1.17651e-24	3.21364e-25	8.5763e-26	2.23651e-26	5.69997e-27	1.41995e-27	3.4581e-28	8.23434e-29	1.91741e-29	4.36675e-30	9.72805e-31	2.12023e-31	4.52162e-32	9.43685e-33	1.92776e-33	3.85521e-34	7.5492e-35	1.44784e-35	2.72063e-36	5.01171e-37	9.05909e-38	1.60951e-38	2.81925e-39	4.89554e-40	8.50955e-41	1.505e-41	2.79492e-42	6.60894e-43	
N2	0.00117266	0.00139022	0.00187906	0.00276144	0.00423	0.00654984	0.0100451	0.0150588	0.0218769	0.0306211	0.0411275	0.0528487	0.0648278	0.0757817	0.0843045	0.0891541	0.089546	0.0853578	0.0771728	0.0661436	0.0537189	0.0413265	0.0301068	0.0207649	0.0135562	0.00837581	0.00489711	0.00270921	0.00141812	0.000702318	0.000329085	0.000145896	6.12008e-05	2.42928e-05	9.1251e-06	3.244e-06	1.09159e-06	3.47716e-07	1.04868e-07	2.99489e-08	8.10054e-09	2.07549e-09	5.03824e-10	1.15897e-10	2.52685e-11	5.22223e-12	1.02314e-12	1.90017e-13	3.34446e-14	5.57609e-15	8.79967e-16	1.31302e-16	1.84995e-17	2.45746e-18	3.07324e-19	3.6135e-20	3.99176e-21	4.14494e-22	4.05848e-23	3.78198e-24	3.4317e-25	3.18445e-26	3.27314e-27	3.99544e-28	5.74126e-29	9.03676e-30	1.4594e-30	2.33495e-31	3.64731e-32	5.53264e-33	8.13572e-34	1.15922e-34	1.6004e-35	2.14113e-36	2.7764e-37	3.49002e-38	4.2537e-39	5.02791e-40	5.76482e-41	6.41307e-42	6.92395e-43	7.25788e-44	7.39027e-45	7.31557e-46	7.04908e-47	6.62609e-48	6.09896e-49	5.53307e-50	5.00319e-51	4.59324e-52	4.40465e-53	4.59442e-54	6.12605e-55	
N3	0.00107478	0.00129344	0.00178893	0.00269227	0.00421041	0.00662828	0.0102929	0.0155666	0.0227424	0.0319246	0.042899	0.0550359	0.0672755	0.0782373	0.086455	0.0906895	0.0902326	0.0850973	0.0760268	0.0643142	0.0514943	0.0390096	0.0279523	0.0189404	0.0121338	0.00734795	0.00420571	0.00227493	0.00116285	0.000561664	0.000256342	0.000110547	4.50473e-05	1.7346e-05	6.31187e-06	2.1706e-06	7.05504e-07	2.16752e-07	6.29538e-08	1.72875e-08	4.48904e-09	1.10245e-09	2.56101e-10	5.62852e-11	1.17052e-11	2.30379e-12	4.29196e-13	7.56967e-14	1.264e-14	1.9984e-15	2.99128e-16	4.23838e-17	5.68312e-18	7.20843e-19	8.6444e-20	9.79511e-21	1.04808e-21	1.05839e-22	1.00838e-23	9.06538e-25	7.69914e-26	6.19786e-27	4.76674e-28	3.56342e-29	2.67814e-30	2.13516e-31	1.90832e-32	1.94149e-33	2.16592e-34	2.51154e-35	2.91244e-36	3.30926e-37	3.65069e-38	3.89549e-39	4.01504e-40	3.99552e-41	3.8388e-42	3.56124e-43	3.19053e-44	2.76101e-45	2.30844e-46	1.86525e-47	1.45709e-48	1.10101e-49	8.05386e-51	5.71073e-52	3.93404e-53	2.64378e-54	1.74685e-55	1.1533e-56	7.89329e-58	6.17425e-59	8.03694e-60	
N4	0.000580899	0.00069634	0.000965067	0.00147626	0.00238295	0.00391797	0.00640053	0.0102197	0.01578	0.0234012	0.0331798	0.0448425	0.0576446	0.0703729	0.0814923	0.0894315	0.0929399	0.091408	0.0850378	0.0747991	0.0621838	0.048845	0.0362417	0.025395	0.016802	0.0104951	0.00618824	0.00344407	0.00180915	0.000896933	0.000419684	0.000185339	7.72514e-05	3.03921e-05	1.12865e-05	3.95674e-06	1.30959e-06	4.09263e-07	1.20779e-07	3.36639e-08	8.86306e-09	2.20454e-09	5.18135e-10	1.15089e-10	2.41646e-11	4.79689e-12	9.00467e-13	1.5988e-13	2.68559e-14	4.26874e-15	6.4221e-16	9.14696e-17	1.23369e-17	1.57604e-18	1.90756e-19	2.18798e-20	2.37889e-21	2.45236e-22	2.39764e-23	2.22373e-24	1.95699e-25	1.6346e-26	1.29615e-27	9.75938e-29	6.97936e-30	4.74169e-31	3.06107e-32	1.87815e-33	1.09546e-34	6.07538e-36	3.20446e-37	1.60786e-38	7.67659e-40	3.4886e-41	1.50962e-42	6.22348e-44	2.44601e-45	9.17467e-47	3.28928e-48	1.12985e-49	3.73202e-51	1.19204e-52	3.71197e-54	1.13957e-55	3.49623e-57	1.08662e-58	3.45392e-60	1.12496e-61	3.73325e-63	1.25126e-64	4.2345e-66	1.55042e-67	1.08541e-68	
N5	0.00058205	0.000700273	0.000973945	0.00148931	0.00239098	0.00389394	0.00628712	0.00991733	0.0151422	0.0222458	0.0313233	0.042158	0.0541324	0.0662189	0.0770871	0.085326	0.0897382	0.0896229	0.0849569	0.0764084	0.0651782	0.0527184	0.0404224	0.0293767	0.0202322	0.0132038	0.00816462	0.00478343	0.00265523	0.00139646	0.000695887	0.00032859	0.000147032	6.23523e-05	2.50627e-05	9.54989e-06	3.45006e-06	1.18191e-06	3.84018e-07	1.18361e-07	3.46135e-08	9.60629e-09	2.53068e-09	6.32982e-10	1.50358e-10	3.39275e-11	7.27413e-12	1.48229e-12	2.8716e-13	5.2903e-14	9.27097e-15	1.54592e-15	2.45356e-16	3.70753e-17	5.33561e-18	7.31525e-19	9.55777e-20	1.19043e-20	1.41386e-21	1.60179e-22	1.73157e-23	1.78669e-24	1.76023e-25	1.65631e-26	1.48904e-27	1.27939e-28	1.0509e-29	8.25525e-31	6.20352e-32	4.46091e-33	3.07057e-34	2.02377e-35	1.27756e-36	7.72695e-38	4.47895e-39	2.48894e-40	1.32633e-41	6.77983e-43	3.32542e-44	1.56556e-45	7.07659e-47	3.07229e-48	1.2816e-49	5.13936e-51	1.98253e-52	7.36433e-54	2.63877e-55	9.14938e-57	3.08818e-58	1.02694e-59	3.45459e-61	1.26073e-62	6.62148e-64	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	5.08554e-05	6.26667e-05	9.07408e-05	0.000145963	0.000248789	0.000434675	0.000761669	0.00131965	0.00223959	0.00369964	0.00592322	0.00916331	0.0136681	0.0196264	0.0270987	0.035946	0.045778	0.0559426	0.0655741	0.0737031	0.0794133	0.0820099	0.0811587	0.0769564	0.069912	0.0608447	0.0507263	0.0405103	0.0309891	0.022707	0.0159374	0.0107148	0.00690037	0.0042569	0.00251572	0.0014243	0.000772555	0.00040149	0.000199925	9.53967e-05	4.36225e-05	1.91176e-05	8.03047e-06	3.2335e-06	1.24816e-06	4.61937e-07	1.63928e-07	5.57864e-08	1.8208e-08	5.7004e-09	1.71203e-09	4.93328e-10	1.36406e-10	3.61966e-11	9.21919e-12	2.25409e-12	5.29136e-13	1.19273e-13	2.58202e-14	5.36894e-15	1.07249e-15	2.05846e-16	3.79669e-17	6.73054e-18	1.14696e-18	1.87918e-19	2.96064e-20	4.48612e-21	6.5388e-22	9.16939e-23	1.23729e-23	1.60682e-24	2.00865e-25	2.41744e-26	2.80155e-27	3.12686e-28	3.36175e-29	3.48211e-30	3.47553e-31	3.34333e-32	3.10025e-33	2.77176e-34	2.3897e-35	1.98726e-36	1.59441e-37	1.23459e-38	9.23068e-40	6.66999e-41	4.66754e-42	3.18233e-43	2.16226e-44	1.62486e-45	2.25044e-46	
N7	7.82974e-05	9.50268e-05	0.000133672	0.000206596	0.000335762	0.000556971	0.000925347	0.00152143	0.00245651	0.00387499	0.00595078	0.00887438	0.0128283	0.0179505	0.024289	0.031756	0.0400918	0.0488526	0.0574323	0.0651222	0.0712039	0.075058	0.0762685	0.0746963	0.0705051	0.0641333	0.0562172	0.0474861	0.0386519	0.0303168	0.0229145	0.0166902	0.0117153	0.0079251	0.00516697	0.00324693	0.00196673	0.00114837	0.000646425	0.000350824	0.000183585	9.26399e-05	4.50836e-05	2.11614e-05	9.5812e-06	4.18501e-06	1.7637e-06	7.17228e-07	2.81481e-07	1.06624e-07	3.8988e-08	1.37638e-08	4.69177e-09	1.5445e-09	4.91079e-10	1.50832e-10	4.47588e-11	1.28343e-11	3.55664e-12	9.52685e-13	2.467e-13	6.17687e-14	1.4956e-14	3.50254e-15	7.93485e-16	1.73922e-16	3.68896e-17	7.57281e-18	1.50483e-18	2.89512e-19	5.39347e-20	9.73118e-21	1.70072e-21	2.87967e-22	4.72464e-23	7.51252e-24	1.1579e-24	1.73019e-25	2.50691e-26	3.52278e-27	4.802e-28	6.35119e-29	8.15299e-30	1.01625e-30	1.2309e-31	1.45054e-32	1.66711e-33	1.87738e-34	2.09082e-35	2.34539e-36	2.74487e-37	3.58573e-38	6.67392e-39	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
