NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.00955347	0.0100897	0.0107224	0.0113467	0.0119297	0.0124604	0.0129356	0.0133557	0.0137227	0.014039	0.0143076	0.0145315	0.0147138	0.0148578	0.0149667	0.0150435	0.015091	0.0151119	0.0151084	0.0150827	0.0150368	0.0149724	0.0148911	0.0147948	0.0146855	0.0145646	0.0144336	0.0142939	0.0141465	0.0139925	0.0138329	0.0136685	0.0135003	0.0133289	0.013155	0.0129792	0.012802	0.0126239	0.0124452	0.0122663	0.0120874	0.0119088	0.0117307	0.0115532	0.0113766	0.0112011	0.0110287	0.0108606	0.0106967	0.0105367	0.0103804	0.0102278	0.0100787	0.00993292	0.00979037	0.00965092	0.00951449	0.00938097	0.00925027	0.00912232	0.00899704	0.00887437	0.00875425	0.00863663	0.00852146	0.00840871	0.00829833	0.00819029	0.00808455	0.00798108	0.00787983	0.00778077	0.00768386	0.00758905	0.0074963	0.00740557	0.00731679	0.00722993	0.00714494	0.00706175	0.00698033	0.00690061	0.00682256	0.00674611	0.00667123	0.00659786	0.00652596	0.00645549	0.00638639	0.00631864	0.00625219	0.00618717	0.00612654	
N2	0.00378484	0.00718619	0.00976522	0.0120902	0.0131912	0.0145939	0.0150923	0.0161831	0.0163922	0.0172568	0.0173083	0.0180042	0.0178943	0.0184235	0.0182237	0.0186274	0.018322	0.0186061	0.018252	0.0184476	0.0180291	0.0181428	0.0177027	0.0177573	0.0172829	0.0172861	0.0168125	0.0167811	0.0162954	0.0162338	0.0157605	0.0156793	0.0152061	0.015108	0.0146539	0.0145465	0.0141002	0.0139849	0.0135604	0.0134416	0.0130284	0.0129063	0.012515	0.0123924	0.0120134	0.0118903	0.0115332	0.0114149	0.0110746	0.0109615	0.0106443	0.0105373	0.0102353	0.0101331	0.00984973	0.00975045	0.00947531	0.00937216	0.00910056	0.00898184	0.00869282	0.00853965	0.00821683	0.00801052	0.00763442	0.00736749	0.00694513	0.00663471	0.00619176	0.0058774	0.00546169	0.00518791	0.00483339	0.00462569	0.00434661	0.0042036	0.00398469	0.00388724	0.00370912	0.00363683	0.00347953	0.00341893	0.00327494	0.00322006	0.00308339	0.00303201	0.00290314	0.00285472	0.00273128	0.00268546	0.00256875	0.00252551	0.00241464	
N3	0.003218	0.00642278	0.00925038	0.0119387	0.0134548	0.0151153	0.015834	0.0170511	0.017379	0.0183177	0.0184316	0.0191655	0.019084	0.0196257	0.0194271	0.019821	0.0195	0.0197588	0.0193754	0.0195334	0.0190784	0.0191471	0.0186648	0.0186694	0.0181524	0.0181041	0.0175876	0.0175045	0.0169784	0.0168666	0.0163547	0.0162254	0.0157177	0.0155745	0.0150887	0.0149387	0.0144644	0.0143089	0.0138584	0.0137013	0.0132648	0.0131064	0.012693	0.0125355	0.0121366	0.0119802	0.0116049	0.0114561	0.0110998	0.010956	0.0106187	0.0104735	0.0101387	0.009979	0.00963542	0.00944447	0.00906866	0.0088297	0.00841325	0.00812186	0.0076647	0.007336	0.006867	0.0065354	0.00608904	0.00579247	0.00540467	0.0051679	0.00484888	0.00467439	0.00441962	0.00429401	0.00408327	0.00398829	0.00380689	0.00372866	0.00356305	0.00349337	0.00333959	0.00327452	0.00312721	0.00306398	0.00292242	0.00285941	0.00272099	0.00265911	0.00252796	0.00247126	0.00234958	0.00230044	0.00218967	0.00214642	0.00204344	
N4	0.00197099	0.00440869	0.00729069	0.0105696	0.0131232	0.01568	0.0171971	0.0190006	0.019753	0.0210686	0.0213614	0.022349	0.0222836	0.0229906	0.0226976	0.0231924	0.0226987	0.0230094	0.0224125	0.0225924	0.0218938	0.0219624	0.0212335	0.0212279	0.0204583	0.0203911	0.0196346	0.0195301	0.0187683	0.0186313	0.0179011	0.0177455	0.0170249	0.0168498	0.0161634	0.0159725	0.0152918	0.015074	0.0144059	0.0141512	0.0134613	0.0131542	0.0124479	0.0120878	0.0113532	0.0109533	0.0102276	0.00982423	0.00913099	0.00875903	0.00814004	0.00782656	0.0072866	0.00703831	0.00658421	0.00639394	0.00600247	0.00585386	0.00551601	0.00539543	0.00509071	0.00498877	0.00471708	0.00463134	0.00438442	0.00431427	0.00409687	0.00404173	0.00384509	0.00380018	0.00362236	0.00358102	0.00340981	0.00336555	0.00320007	0.00315079	0.00298635	0.00293328	0.00277556	0.00272198	0.00257031	0.00251859	0.00237768	0.00232936	0.00219694	0.00215237	0.00203107	0.00199056	0.00187778	0.00184119	0.00173897	0.00170642	0.00161307	
N5	0.00185219	0.00418161	0.00703281	0.0103481	0.013061	0.015753	0.0174502	0.0193367	0.0202041	0.0215428	0.021889	0.0228639	0.0228114	0.0234918	0.0231791	0.0236427	0.0231097	0.0233942	0.0227424	0.0229042	0.0221423	0.0222041	0.0214068	0.0214068	0.0205648	0.020514	0.0196837	0.0196051	0.0187653	0.0186603	0.0178502	0.0177294	0.0169192	0.016774	0.0159868	0.0158133	0.0150081	0.0147875	0.0139761	0.0137034	0.0128568	0.012533	0.0116884	0.0113418	0.0105083	0.0101726	0.00940584	0.00911645	0.00842177	0.00819389	0.00759702	0.00743266	0.00690752	0.00679232	0.00633872	0.00625929	0.00584716	0.00579061	0.00542483	0.0053868	0.0050488	0.00502529	0.00472417	0.00471341	0.00443237	0.00442825	0.0041719	0.00416907	0.00391987	0.0039125	0.00367625	0.00366343	0.00343007	0.0034124	0.00319267	0.00317333	0.00296071	0.00294139	0.0027456	0.00272925	0.00254597	0.00253813	0.00238466	0.0024019	0.00229239	0.00235626	0.00230954	0.00241183	0.00238391	0.00246389	0.00239852	0.00242037	0.002314	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.00100284	0.00254595	0.0049849	0.00846873	0.0122418	0.0163518	0.0196969	0.0229201	0.0248353	0.0267994	0.0273882	0.0284062	0.0280437	0.0284391	0.0274855	0.0274975	0.026157	0.0259333	0.0244355	0.0241233	0.0225795	0.0222636	0.0208148	0.0205553	0.0191949	0.0189831	0.0177566	0.0175865	0.0164334	0.0162773	0.0152297	0.015087	0.0140941	0.0139527	0.013053	0.01292	0.0120701	0.0119398	0.0111753	0.0110564	0.01034	0.0102299	0.00959351	0.00949883	0.00890675	0.00882308	0.00829921	0.00822888	0.00773988	0.00767737	0.00724305	0.00718912	0.00678009	0.00673029	0.00636375	0.00631913	0.00597132	0.00592907	0.00561619	0.00557768	0.00527978	0.00524311	0.00497402	0.00494038	0.00468363	0.0046516	0.00441952	0.00439013	0.00416848	0.00414058	0.00393964	0.00391404	0.00372196	0.00369779	0.00352371	0.00350165	0.00333522	0.00331455	0.00316334	0.00314454	0.00299984	0.0029823	0.0028508	0.00283486	0.00270887	0.00269398	0.00257901	0.0025654	0.00245495	0.00244216	0.00234118	0.00232939	0.00223227	
N7	0.000993853	0.00253414	0.00500348	0.00855957	0.0124749	0.0167365	0.0202517	0.0235595	0.025531	0.0274235	0.0279248	0.0287468	0.0282191	0.0283818	0.0272659	0.0270925	0.025668	0.0253594	0.0238709	0.0235627	0.0220913	0.0218187	0.0204454	0.0202188	0.0189085	0.018702	0.017492	0.0173053	0.0161515	0.0159719	0.0149169	0.0147548	0.0137595	0.0136104	0.0127165	0.0125907	0.0117573	0.0116491	0.0109089	0.0108228	0.0101333	0.0100608	0.00944856	0.00939088	0.00881592	0.0087653	0.00825055	0.0082074	0.00771859	0.00767794	0.00723837	0.00720273	0.00678403	0.00675014	0.00637266	0.00634273	0.00598246	0.00595407	0.00562948	0.00560455	0.00529463	0.0052713	0.00499176	0.0049717	0.00470496	0.00468715	0.00444797	0.00443476	0.00420887	0.00420086	0.00400204	0.00400209	0.00381824	0.00382561	0.00366609	0.00367869	0.00352731	0.00353912	0.00339955	0.00340681	0.00326617	0.00326725	0.00313434	0.00313167	0.003	0.00299545	0.00287388	0.00286932	0.00275117	0.00274665	0.00263844	0.00263442	0.00252911	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
