NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.000189334	0.000283758	0.000410322	0.000566037	0.000750053	0.000961436	0.00119864	0.00146005	0.00174354	0.00204711	0.00236838	0.00270521	0.0030552	0.00341629	0.00378621	0.00416302	0.00454467	0.00492947	0.00531563	0.00570167	0.00608605	0.00646752	0.0068448	0.00721691	0.00758288	0.00794194	0.00829334	0.0086365	0.00897082	0.00929586	0.00961118	0.00991652	0.0102116	0.0104964	0.0107707	0.0110345	0.0112878	0.0115306	0.0117629	0.0119849	0.0121966	0.0123981	0.0125895	0.0127711	0.0129429	0.0131052	0.0132585	0.0134033	0.0135399	0.0136687	0.0137898	0.0139035	0.0140101	0.0141099	0.014203	0.0142898	0.0143703	0.0144449	0.0145136	0.0145768	0.0146347	0.0146873	0.0147352	0.0147787	0.014818	0.0148532	0.0148845	0.0149122	0.0149364	0.0149572	0.0149749	0.0149896	0.0150015	0.0150107	0.0150173	0.0150215	0.0150234	0.0150231	0.0150207	0.0150164	0.0150101	0.0150022	0.0149925	0.0149812	0.0149683	0.0149541	0.0149384	0.0149214	0.0149031	0.0148837	0.0148631	0.0148415	0.0148188	
N2	6.01087e-05	0.000191085	0.00035027	0.000547246	0.000767093	0.00108111	0.00136836	0.0017648	0.00216755	0.00261438	0.00306517	0.00363253	0.00408055	0.00467728	0.00521958	0.00579037	0.00632545	0.00698561	0.00744709	0.00809044	0.00862337	0.00917653	0.00966929	0.0102935	0.010667	0.0112488	0.0116866	0.0121441	0.0125273	0.0130516	0.0132995	0.0137733	0.0140831	0.0144225	0.0146825	0.0150883	0.0152085	0.015568	0.0157593	0.0159859	0.0161319	0.0164278	0.0164462	0.0167037	0.0167932	0.0169256	0.0169831	0.0171899	0.0171304	0.0173084	0.0173267	0.0173939	0.0173876	0.0175264	0.017412	0.0175212	0.0174682	0.0174515	0.0173428	0.0173387	0.0170518	0.0169193	0.0165668	0.016179	0.0156352	0.0151383	0.0143513	0.013721	0.0129375	0.0122226	0.0114922	0.010956	0.0102979	0.00991697	0.00948693	0.00917267	0.00885062	0.00868358	0.0083534	0.00821892	0.0079756	0.00778865	0.00755258	0.00743114	0.00713792	0.0070165	0.00678747	0.00660962	0.00638301	0.00626381	0.00598635	0.00586936	0.0056519	
N3	4.60466e-05	0.000165261	0.000329174	0.00053846	0.000779731	0.00111953	0.00144414	0.00188337	0.00233924	0.00284384	0.00336022	0.0039973	0.00451821	0.00519069	0.0058116	0.00645771	0.00707004	0.00780615	0.00833805	0.00905097	0.00965102	0.0102626	0.0108126	0.0114895	0.0119073	0.0125308	0.0130066	0.0134919	0.0139024	0.0144483	0.0147104	0.0151952	0.0155142	0.0158531	0.0161137	0.0165147	0.0166268	0.0169743	0.0171542	0.017361	0.0174903	0.0177634	0.0177587	0.0179882	0.018052	0.0181503	0.018177	0.0183457	0.0182481	0.018376	0.0183381	0.0183255	0.0182195	0.0182171	0.0179207	0.0177847	0.0174285	0.0170365	0.0164988	0.0160166	0.015243	0.0146366	0.0138773	0.0131756	0.0124523	0.0119131	0.0112336	0.0108249	0.0103585	0.0100019	0.00964129	0.00943908	0.00907097	0.00890814	0.00863979	0.00842646	0.0081672	0.00802452	0.00770669	0.00756243	0.00730729	0.00709758	0.00683771	0.00668038	0.00635888	0.00619895	0.00594115	0.00574076	0.00550324	0.00537488	0.00511111	0.00500015	0.00479861	
N4	1.98869e-05	9.60329e-05	0.000240706	0.000457503	0.000736168	0.00113159	0.0015441	0.00209626	0.00269268	0.00336079	0.00405567	0.0049139	0.00562478	0.0065424	0.00738682	0.00826779	0.00909061	0.0100967	0.0107846	0.0117485	0.0125231	0.0133223	0.0140068	0.0148999	0.0153642	0.0161699	0.0167172	0.0173004	0.0177403	0.0184197	0.0186199	0.0192041	0.0194906	0.0198367	0.0200203	0.0204444	0.0203556	0.0206462	0.020594	0.0205681	0.0203221	0.020267	0.0196707	0.0194097	0.0187956	0.0182349	0.0175093	0.0170421	0.0161608	0.0157138	0.015049	0.0145493	0.0139737	0.0137018	0.0130828	0.0128714	0.0124393	0.0121384	0.0117297	0.0115614	0.0110483	0.0108804	0.0104943	0.0102282	0.00985788	0.00971251	0.00927371	0.00914862	0.00882928	0.00863624	0.00833714	0.00823229	0.00786346	0.00775696	0.00746572	0.00728891	0.00700071	0.0068867	0.00655109	0.00644246	0.00617505	0.0060215	0.00576986	0.00567339	0.00538858	0.00529888	0.0050744	0.00495011	0.00473919	0.00466134	0.00442763	0.00435688	0.00417409	
N5	1.90339e-05	9.39959e-05	0.000242049	0.000469386	0.000770556	0.0011897	0.00164603	0.00223573	0.00288581	0.00360349	0.00436421	0.0052623	0.00605056	0.00700655	0.00791318	0.00883214	0.00971394	0.0107325	0.0114812	0.012448	0.0132588	0.0140604	0.0147717	0.015645	0.0161371	0.0169168	0.0174708	0.0180284	0.0184662	0.0191056	0.0192935	0.0198245	0.0200717	0.0203379	0.020438	0.0207352	0.0205	0.0206036	0.0203455	0.020083	0.0196046	0.0193318	0.0185353	0.0181394	0.0174426	0.0168651	0.0161804	0.0158238	0.0150524	0.0147709	0.0142465	0.0138879	0.0134168	0.0132567	0.0126723	0.0125273	0.0121052	0.0118294	0.0114149	0.0112845	0.0107552	0.0106382	0.0102582	0.0100389	0.00967642	0.00958449	0.00913071	0.00904345	0.00869839	0.00851726	0.00817944	0.0080873	0.00767046	0.00758167	0.0072603	0.00710207	0.00679315	0.0067131	0.00635459	0.00628333	0.00600813	0.00588965	0.00564749	0.00562144	0.00537925	0.00541267	0.00529823	0.00532832	0.00523592	0.00528546	0.00509811	0.00508349	0.00490337	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.54301e-05	0.000100217	0.000334314	0.000794487	0.00151573	0.0025608	0.00377773	0.005268	0.00687379	0.0085303	0.0101529	0.011942	0.0132507	0.0147743	0.0159444	0.0169534	0.0176642	0.0186162	0.0187305	0.0193848	0.0195539	0.0197697	0.0197109	0.0201208	0.0196282	0.0198991	0.0196138	0.0195148	0.0191081	0.0192481	0.0185156	0.0185816	0.0180885	0.0178702	0.0173428	0.0173464	0.0165662	0.0165317	0.015997	0.0157367	0.0151906	0.0151277	0.0144131	0.014339	0.0138296	0.0135805	0.0130904	0.0130114	0.0123806	0.0122949	0.0118447	0.0116236	0.0111858	0.0110994	0.010561	0.010475	0.0100796	0.00988547	0.00951197	0.00942914	0.00897299	0.00889362	0.00856037	0.00839555	0.00807654	0.00800346	0.00762514	0.00755518	0.00727034	0.00713331	0.00686745	0.00680343	0.00648391	0.00642377	0.00618728	0.00607218	0.00584589	0.00579056	0.00552707	0.00547556	0.00527423	0.00517789	0.00499045	0.0049439	0.0047214	0.00467778	0.00451041	0.00443079	0.00427122	0.00423181	0.00404678	0.00401031	0.0038678	
N7	1.97809e-05	0.000128699	0.000430364	0.00102213	0.00194465	0.00325105	0.00475474	0.00652586	0.0083777	0.0101991	0.0119025	0.0136755	0.0148798	0.0162313	0.0172108	0.0180073	0.0185425	0.0193274	0.0193243	0.0198504	0.0199247	0.0200297	0.0198822	0.0201663	0.0196112	0.0197658	0.019416	0.0192338	0.0187831	0.0188332	0.0180876	0.018075	0.0175637	0.0172946	0.0167607	0.0167145	0.0159555	0.0158873	0.0153687	0.015098	0.0145745	0.0144986	0.0138155	0.013733	0.0132457	0.0129987	0.0125287	0.0124474	0.0118416	0.011757	0.0113254	0.0111129	0.0106948	0.0106166	0.0101006	0.0100256	0.00964941	0.00946985	0.00911435	0.00904528	0.00860717	0.0085421	0.0082239	0.0080736	0.00776866	0.00771053	0.00734578	0.00729299	0.0070244	0.00690848	0.00666369	0.00662825	0.00633535	0.0063105	0.00610584	0.00602749	0.005832	0.00581082	0.00557008	0.00554498	0.00535902	0.00528017	0.00510164	0.00506936	0.00485088	0.00481959	0.00465631	0.00458676	0.00443055	0.00440217	0.0042185	0.00419272	0.00405265	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
