NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.00033163	0.000477863	0.000661733	0.000877948	0.00112375	0.00139665	0.00169373	0.00201225	0.00234918	0.00270181	0.00306723	0.00344291	0.00382625	0.00421504	0.00460702	0.00500032	0.00539305	0.00578369	0.00617071	0.00655287	0.00692895	0.00729795	0.00765894	0.00801122	0.00835416	0.00868734	0.00901031	0.00932279	0.00962448	0.0099152	0.0101948	0.0104632	0.0107205	0.0109666	0.0112017	0.011426	0.0116395	0.0118425	0.0120351	0.0122175	0.0123899	0.0125526	0.0127057	0.0128495	0.0129842	0.01311	0.0132277	0.0133379	0.0134409	0.013537	0.0136266	0.0137098	0.0137869	0.0138582	0.0139239	0.0139843	0.0140395	0.0140897	0.0141352	0.014176	0.0142125	0.0142447	0.0142731	0.0142979	0.0143193	0.0143374	0.0143524	0.0143644	0.0143737	0.0143803	0.0143843	0.014386	0.0143854	0.0143828	0.0143781	0.0143715	0.0143631	0.014353	0.0143413	0.0143281	0.0143134	0.0142974	0.0142801	0.0142616	0.0142419	0.0142212	0.0141994	0.0141765	0.0141528	0.0141282	0.0141027	0.0140764	0.0140494	
N2	0.000109103	0.000331625	0.000574584	0.000869992	0.00116488	0.00158504	0.00194177	0.00244209	0.00290222	0.00344219	0.00393461	0.00457816	0.00504741	0.00570268	0.00624173	0.00685838	0.00736993	0.00804817	0.0084797	0.00912785	0.00960022	0.0101575	0.0105818	0.0111822	0.0114926	0.0120446	0.0123942	0.0128356	0.0131285	0.0136093	0.0137879	0.0142192	0.0144341	0.0147534	0.0149235	0.0152834	0.0153408	0.0156581	0.0157627	0.0159751	0.0160401	0.0162962	0.0162648	0.0164871	0.0165023	0.0166294	0.0166196	0.0167955	0.0166999	0.0168522	0.0168115	0.0168825	0.0168226	0.0169407	0.0168042	0.0168971	0.0167985	0.0167952	0.0166482	0.016636	0.0163426	0.0162098	0.0158343	0.0154793	0.0149228	0.0144423	0.013676	0.0130695	0.0122878	0.0116223	0.0108962	0.0103851	0.00975204	0.00939398	0.0089646	0.00869271	0.00837074	0.00822323	0.00791445	0.00779968	0.0075572	0.00741053	0.00717679	0.00707543	0.00680478	0.00670403	0.00647903	0.00634065	0.00611863	0.00602022	0.00576611	0.00566964	0.00545721	
N3	8.43703e-05	0.000288931	0.000543575	0.000859787	0.00118829	0.00164447	0.00205056	0.00260383	0.00312766	0.00373375	0.00429911	0.00501732	0.00556305	0.00629536	0.00691225	0.00760191	0.0081866	0.00893482	0.00943015	0.0101395	0.0106696	0.011276	0.0117469	0.0123887	0.0127335	0.0133159	0.0136924	0.0141517	0.0144618	0.0149538	0.0151387	0.015572	0.0157883	0.0161003	0.0162646	0.0166132	0.0166583	0.0169585	0.0170479	0.0172373	0.0172832	0.0175137	0.0174585	0.0176509	0.0176399	0.0177324	0.0176923	0.01783	0.0176983	0.0178016	0.0177078	0.0177022	0.017548	0.0175306	0.0172213	0.0170793	0.0166915	0.0163283	0.0157712	0.0153001	0.0145409	0.0139536	0.0131895	0.0125344	0.0118094	0.0112921	0.0106354	0.0102484	0.00978024	0.00946701	0.00910574	0.00892359	0.00857735	0.00843521	0.00816762	0.00799657	0.00773956	0.00761835	0.00732439	0.00720235	0.00695159	0.0067841	0.00653006	0.00639564	0.00609884	0.00596163	0.00571025	0.00554835	0.00531573	0.00520701	0.0049624	0.00486831	0.00466823	
N4	3.75581e-05	0.000172384	0.000407369	0.000744394	0.00114038	0.00168224	0.0022109	0.00291218	0.00360728	0.00440997	0.00517323	0.00613776	0.00687899	0.00787182	0.00870045	0.00963323	0.0104034	0.0114149	0.0120375	0.012986	0.0136446	0.0144317	0.0149897	0.015827	0.0161809	0.0169264	0.017324	0.0178788	0.0181712	0.0187788	0.0188756	0.0193952	0.0195377	0.0198641	0.0199168	0.0202797	0.0201124	0.0203517	0.0201834	0.0201592	0.019811	0.019718	0.0190781	0.018791	0.0180967	0.0175648	0.0167749	0.0162975	0.0154067	0.01496	0.014251	0.0138007	0.0131906	0.0129301	0.0123272	0.0121339	0.0116813	0.0114425	0.0110224	0.0108809	0.0103983	0.0102614	0.00987437	0.00967634	0.00930814	0.00919737	0.00879494	0.00870426	0.00838991	0.00825711	0.00796205	0.00788685	0.00754448	0.00746317	0.00717121	0.0070376	0.0067453	0.00664936	0.00632724	0.00623325	0.00595845	0.00583489	0.00557542	0.00549026	0.00521297	0.00513361	0.00490222	0.00480159	0.00458394	0.00451577	0.00428952	0.00422796	0.00404047	
N5	3.56839e-05	0.000167515	0.000407444	0.00075861	0.00118619	0.00175745	0.002341	0.00308265	0.00384178	0.00469198	0.00552766	0.00652624	0.00734712	0.00836827	0.00926017	0.0102157	0.0110435	0.0120554	0.0127321	0.0136707	0.0143634	0.0151382	0.0157197	0.0165291	0.0169046	0.0176183	0.0180209	0.0185429	0.0188319	0.0193987	0.0194787	0.019946	0.020048	0.0202956	0.0202636	0.0205041	0.0201885	0.0202472	0.0198721	0.0196194	0.0190383	0.0187358	0.0178965	0.0174838	0.0167057	0.0161692	0.0154191	0.0150618	0.0142828	0.0140116	0.0134417	0.013147	0.0126404	0.0125027	0.0119388	0.0118231	0.0113807	0.011183	0.010757	0.0106641	0.0101681	0.0100902	0.00970645	0.00956507	0.0091989	0.00914469	0.00872231	0.00866927	0.00831851	0.00819791	0.00785187	0.00778537	0.00738532	0.00731743	0.00698362	0.00686823	0.00654506	0.00648091	0.00613112	0.00607365	0.00578472	0.00569982	0.00544516	0.00543129	0.00519612	0.005241	0.00511692	0.00517482	0.00507317	0.00513361	0.00495461	0.0049501	0.00476338	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	2.60106e-05	0.000161195	0.000510667	0.0011647	0.00212515	0.00344923	0.00490825	0.00664091	0.00838564	0.0101909	0.0118263	0.0136456	0.0148634	0.0163417	0.0173017	0.0182466	0.0187059	0.0195235	0.0194336	0.0199816	0.019895	0.0201031	0.0198394	0.0201959	0.0196009	0.0198502	0.0194029	0.019374	0.0188245	0.0189495	0.0181671	0.0182279	0.0176106	0.0174632	0.0168325	0.0168344	0.0160351	0.0160078	0.0153962	0.0152142	0.0146052	0.0145588	0.0138536	0.0138004	0.0132457	0.0130743	0.0125491	0.0124925	0.011879	0.0118173	0.0113411	0.0111872	0.0107247	0.0106609	0.0101434	0.0100795	0.00966353	0.00952668	0.0091373	0.0090751	0.00863499	0.00857493	0.00822835	0.00811145	0.00777881	0.00772319	0.00736036	0.00730718	0.00701142	0.00691335	0.00663849	0.0065897	0.00628253	0.00623651	0.00599255	0.00591001	0.00567605	0.00563393	0.00538121	0.00534188	0.00513394	0.00506476	0.00487168	0.00483614	0.00462172	0.00458841	0.00441616	0.00435866	0.00419354	0.00416339	0.00398527	0.00395723	0.00380958	
N7	3.18628e-05	0.000198186	0.000631758	0.00144345	0.00263482	0.00424308	0.00599932	0.0080039	0.00996798	0.0118953	0.0135586	0.0152992	0.0163564	0.0176101	0.0183429	0.0190559	0.0193425	0.020009	0.0198326	0.0202869	0.0201442	0.0202677	0.0199401	0.0201834	0.01953	0.0196614	0.0191504	0.0190272	0.018436	0.0184716	0.0176782	0.017668	0.0170477	0.0168567	0.0162368	0.016204	0.0154363	0.0153891	0.0148061	0.01462	0.0140416	0.0139903	0.0133167	0.0132607	0.0127292	0.0125608	0.0120547	0.0119981	0.0114049	0.0113455	0.0108845	0.0107378	0.0102913	0.0102355	0.00973514	0.00968136	0.00928116	0.00915695	0.00878217	0.00873283	0.00830704	0.00826047	0.00792639	0.00782306	0.00750237	0.00746141	0.0071101	0.00707396	0.00679281	0.00671579	0.00646045	0.00644028	0.0061583	0.00614764	0.00593403	0.00588853	0.00568381	0.00567586	0.00544456	0.00543152	0.00523717	0.00518563	0.00499964	0.00497808	0.00476621	0.00474491	0.00457498	0.00452771	0.00436417	0.00434481	0.00416693	0.00414934	0.00400255	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
