NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.00929795	0.00996633	0.0113152	0.0133871	0.0162302	0.0198712	0.0242879	0.0293869	0.0349909	0.0408382	0.046598	0.0518986	0.0563673	0.0596733	0.0615671	0.0619109	0.0606925	0.0580226	0.0541167	0.0492647	0.0437949	0.0380379	0.0322954	0.0268179	0.021792	0.0173374	0.0135117	0.0103203	0.00772951	0.00567928	0.00409567	0.00290031	0.00201766	0.00137951	0.000927372	0.00061322	0.000399009	0.000255576	0.000161209	0.000100172	6.13401e-05	3.70278e-05	2.20414e-05	1.29425e-05	7.49882e-06	4.28842e-06	2.42134e-06	1.35017e-06	7.43734e-07	4.04813e-07	2.17778e-07	1.15825e-07	6.09161e-08	3.16886e-08	1.63087e-08	8.30586e-09	4.18692e-09	2.08954e-09	1.03265e-09	5.05468e-10	2.45119e-10	1.17787e-10	5.60994e-11	2.64887e-11	1.24025e-11	5.75988e-12	2.6539e-12	1.21351e-12	5.50817e-13	2.75146e-16	1.84101e-16	1.2279e-16	8.16519e-17	5.41439e-17	3.58101e-17	2.36285e-17	1.55577e-17	1.02248e-17	6.70944e-18	4.39717e-18	2.8791e-18	1.88404e-18	1.23265e-18	8.06662e-19	5.2829e-19	3.46498e-19	2.27875e-19	1.50604e-19	1.00488e-19	6.83405e-20	4.82846e-20	3.66637e-20	3.13528e-20	
N2	0.00981043	0.0102156	0.0114643	0.0135541	0.0165106	0.020345	0.0250183	0.0304137	0.0363225	0.0424451	0.0484107	0.0538114	0.0582484	0.0613801	0.0629647	0.0628895	0.0611811	0.057997	0.0535992	0.0483185	0.0425124	0.0365273	0.030667	0.0251728	0.0202138	0.0158878	0.0122298	0.00922466	0.00682156	0.00494813	0.00352237	0.00246193	0.00169029	0.00114048	0.000756554	0.00049363	0.000316918	0.000200283	0.00012464	7.64088e-05	4.61589e-05	2.74878e-05	1.61414e-05	9.34963e-06	5.34361e-06	3.01433e-06	1.67876e-06	9.23309e-07	5.01633e-07	2.6929e-07	1.42876e-07	7.49397e-08	3.88673e-08	1.99379e-08	1.0118e-08	5.08084e-09	2.52518e-09	1.2424e-09	6.05251e-10	2.92016e-10	1.39562e-10	6.60849e-11	3.10101e-11	1.4423e-11	6.65037e-12	3.04059e-12	1.37872e-12	6.20128e-13	2.76729e-13	1.22538e-13	5.38528e-14	2.34929e-14	1.01748e-14	4.37566e-15	1.86874e-15	7.9269e-16	3.34012e-16	1.39823e-16	5.81577e-17	2.40379e-17	9.87421e-18	4.03165e-18	1.63648e-18	6.60509e-19	2.6518e-19	1.05968e-19	4.22035e-20	1.68013e-20	6.73231e-21	2.76043e-21	1.20353e-21	6.05221e-22	4.0192e-22	
N3	0.00963898	0.010083	0.0114031	0.0136041	0.0167192	0.0207636	0.0256937	0.0313775	0.0375799	0.0439664	0.0501279	0.0556222	0.0600261	0.0629896	0.0642805	0.0638119	0.0616488	0.0579926	0.0531488	0.0474843	0.0413819	0.0352003	0.0292433	0.0237421	0.0188488	0.0146413	0.011134	0.00829362	0.00605467	0.00433429	0.00304401	0.00209838	0.0014205	0.000944737	0.00061757	0.000396962	0.000251003	0.000156187	9.56783e-05	5.77224e-05	3.43076e-05	2.00956e-05	1.16044e-05	6.60829e-06	3.71226e-06	2.05778e-06	1.12589e-06	6.08211e-07	3.24481e-07	1.71007e-07	8.90521e-08	4.58335e-08	2.33205e-08	1.1733e-08	5.83842e-09	2.87405e-09	1.39991e-09	6.7484e-10	3.22025e-10	1.52144e-10	7.11832e-11	3.29872e-11	1.51439e-11	6.88874e-12	3.10546e-12	1.38764e-12	6.14708e-13	2.70008e-13	1.17619e-13	5.0821e-14	2.17845e-14	9.26544e-15	3.91085e-15	1.63847e-15	6.81468e-16	2.81433e-16	1.15429e-16	4.70294e-17	1.90394e-17	7.66144e-18	3.06568e-18	1.22052e-18	4.8384e-19	1.91196e-19	7.54369e-20	2.9793e-20	1.18261e-20	4.75092e-21	1.95584e-21	8.44342e-22	3.9875e-22	2.21179e-22	1.58411e-22	
N4	0.00738851	0.00772783	0.00875702	0.0105171	0.0130889	0.0165535	0.020952	0.0262475	0.0322968	0.0388383	0.0455012	0.0518382	0.0573759	0.0616749	0.0643881	0.0653059	0.0643801	0.0617237	0.0575877	0.0523207	0.0463214	0.0399898	0.0336879	0.0277103	0.0222708	0.0174998	0.0134523	0.0101224	0.00746007	0.00538786	0.00381535	0.00265044	0.00180711	0.00120987	0.000795762	0.000514407	0.00032696	0.000204422	0.000125769	7.61731e-05	4.54329e-05	2.66953e-05	1.54576e-05	8.82347e-06	4.96663e-06	2.75769e-06	1.51085e-06	8.16978e-07	4.36152e-07	2.29943e-07	1.19749e-07	6.16175e-08	3.13345e-08	1.57519e-08	7.8295e-09	3.84881e-09	1.87157e-09	9.00462e-10	4.28743e-10	2.02065e-10	9.4283e-11	4.35625e-11	1.99349e-11	9.0369e-12	4.05896e-12	1.80669e-12	7.97093e-13	3.48638e-13	1.51205e-13	6.50387e-14	2.77511e-14	1.17485e-14	4.93601e-15	2.05857e-15	8.52432e-16	3.50573e-16	1.43237e-16	5.81618e-17	2.34803e-17	9.42883e-18	3.7684e-18	1.50013e-18	5.95398e-19	2.3594e-19	9.35396e-20	3.72168e-20	1.49341e-20	6.0936e-21	2.56393e-21	1.13983e-21	5.58071e-22	3.21116e-22	2.35692e-22	
N5	0.00743506	0.00777354	0.00879732	0.0105356	0.0130526	0.0164102	0.020632	0.025672	0.0313918	0.037552	0.0438219	0.0498065	0.0550885	0.0592778	0.0620594	0.0632322	0.0627303	0.0606261	0.0571142	0.0524812	0.047067	0.0412251	0.035287	0.0295358	0.0241896	0.019396	0.0152352	0.0117296	0.00885617	0.00656094	0.00477156	0.00340832	0.00239225	0.00165065	0.00112014	0.000747897	0.000491515	0.000318073	0.000202755	0.000127359	7.88589e-05	4.81482e-05	2.89974e-05	1.72315e-05	1.01066e-05	5.85228e-06	3.34666e-06	1.89052e-06	1.05524e-06	5.82138e-07	3.17482e-07	1.71211e-07	9.13205e-08	4.81864e-08	2.51592e-08	1.30011e-08	6.65066e-09	3.36853e-09	1.68964e-09	8.39482e-10	4.13217e-10	2.01548e-10	9.74304e-11	4.66885e-11	2.21824e-11	1.04514e-11	4.88418e-12	2.26438e-12	1.04168e-12	4.75603e-13	2.15562e-13	9.7012e-14	4.33622e-14	1.92553e-14	8.49713e-15	3.72753e-15	1.62614e-15	7.05774e-16	3.04899e-16	1.31182e-16	5.62496e-17	2.40575e-17	1.02734e-17	4.38614e-18	1.87533e-18	8.04727e-19	3.47564e-19	1.51669e-19	6.72344e-20	3.05518e-20	1.45141e-20	7.60392e-21	5.01925e-21	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.00264094	0.00276719	0.00314664	0.00380038	0.00477292	0.00612361	0.00791754	0.010215	0.0130593	0.0164649	0.0204056	0.0248067	0.0295424	0.0344387	0.039284	0.0438444	0.047884	0.0511864	0.0535741	0.054925	0.0551816	0.0543544	0.0525174	0.0497982	0.0463639	0.0424046	0.0381172	0.0336903	0.029293	0.0250662	0.0211185	0.0175255	0.0143311	0.0115521	0.00918276	0.0072007	0.00557203	0.00425633	0.00321054	0.00239209	0.00176102	0.00128132	0.000921693	0.000655633	0.000461313	0.000321144	0.000221246	0.000150879	0.000101872	6.8116e-05	4.51134e-05	2.96014e-05	1.92468e-05	1.2403e-05	7.92325e-06	5.01841e-06	3.15207e-06	1.96368e-06	1.21357e-06	7.44145e-07	4.52815e-07	2.73482e-07	1.63967e-07	9.76068e-08	5.76995e-08	3.38774e-08	1.97593e-08	1.14508e-08	6.59463e-09	3.77502e-09	2.14841e-09	1.21586e-09	6.84425e-10	3.83321e-10	2.13661e-10	1.18566e-10	6.553e-11	3.60874e-11	1.98125e-11	1.0851e-11	5.9332e-12	3.24215e-12	1.77286e-12	9.71815e-13	5.35368e-13	2.97482e-13	1.67633e-13	9.65822e-14	5.75959e-14	3.61878e-14	2.45386e-14	1.84785e-14	1.58785e-14	
N7	0.00310104	0.00322184	0.00360732	0.00426809	0.00523446	0.00654762	0.00825126	0.0103829	0.0129654	0.0159985	0.0194521	0.023262	0.0273287	0.0315207	0.035681	0.0396377	0.0432164	0.046254	0.048611	0.050183	0.0509075	0.0507674	0.0497907	0.0480459	0.0456343	0.0426812	0.0393252	0.0357082	0.0319668	0.0282247	0.0245878	0.0211411	0.0179473	0.0150482	0.0124658	0.0102056	0.00825996	0.00661086	0.00523361	0.00409943	0.0031779	0.00243869	0.00185302	0.00139447	0.00103955	0.000767857	0.000562092	0.000407863	0.000293419	0.00020932	0.000148103	0.000103951	7.23897e-05	5.00252e-05	3.43112e-05	2.33611e-05	1.57917e-05	1.06002e-05	7.06679e-06	4.67972e-06	3.07878e-06	2.01266e-06	1.30757e-06	8.44379e-07	5.42081e-07	3.46038e-07	2.19683e-07	1.38731e-07	8.71658e-08	5.45021e-08	3.39222e-08	2.1022e-08	1.29753e-08	7.97903e-09	4.89029e-09	2.98846e-09	1.82173e-09	1.10832e-09	6.7334e-10	4.08763e-10	2.48132e-10	1.50733e-10	9.17142e-11	5.59491e-11	3.42591e-11	2.10858e-11	1.30692e-11	8.18132e-12	5.19961e-12	3.38912e-12	2.31086e-12	1.70744e-12	1.43611e-12	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
