NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	1.74364e-06	2.94356e-06	5.75846e-06	1.12002e-05	2.07511e-05	3.63133e-05	6.01772e-05	9.49301e-05	0.000143369	0.000208373	0.000292794	0.000399337	0.000530455	0.000688272	0.000874483	0.00109034	0.00133659	0.00161349	0.00192076	0.00225766	0.002623	0.00301522	0.00343243	0.00387252	0.00433313	0.00481174	0.00530562	0.00581199	0.00632794	0.00685063	0.00737722	0.00790502	0.00843138	0.00895379	0.00946979	0.00997707	0.0104734	0.0109569	0.0114254	0.0118775	0.0123115	0.0127263	0.013121	0.0134948	0.0138477	0.0141802	0.0144933	0.0147876	0.0150633	0.0153204	0.0155591	0.0157797	0.0159822	0.016167	0.0163343	0.0164844	0.0166177	0.0167344	0.0168351	0.0169205	0.0169914	0.0170491	0.0170948	0.0171289	0.0171521	0.0171646	0.017167	0.0171595	0.0171427	0.0171168	0.0170823	0.0170395	0.0169888	0.0169305	0.016865	0.0167926	0.0167137	0.0166285	0.0165375	0.0164409	0.016339	0.0162323	0.016121	0.0160054	0.015886	0.0157631	0.0156372	0.0155091	0.01538	0.0152524	0.0151307	0.0150241	0.0149514	
N2	4.47218e-07	1.05269e-06	2.53211e-06	5.80185e-06	1.2257e-05	2.4284e-05	4.42702e-05	7.64923e-05	0.000124844	0.000194077	0.000288752	0.00041633	0.000576297	0.000778991	0.00102427	0.00131481	0.00165093	0.0020433	0.0024698	0.00295362	0.00347737	0.00403939	0.00463273	0.00527796	0.00591667	0.00660373	0.00729627	0.00799573	0.00869011	0.00942102	0.0100874	0.0107927	0.0114644	0.012117	0.0127334	0.0133819	0.0139182	0.0144982	0.0150181	0.0155088	0.0159455	0.0164221	0.0167578	0.017152	0.0174728	0.0177684	0.0180049	0.0182953	0.0184306	0.0186391	0.0187658	0.0188715	0.0189092	0.0190038	0.01893	0.0189314	0.0188398	0.0187272	0.0185396	0.0184102	0.0181131	0.0178981	0.0175973	0.0172923	0.0169277	0.0166406	0.0162129	0.015889	0.0155042	0.0151431	0.0147466	0.0144456	0.0140304	0.0137298	0.0133827	0.0130696	0.0127273	0.0124774	0.0121232	0.011874	0.0115779	0.0113121	0.0110149	0.0107992	0.0104855	0.010265	0.00999874	0.00976116	0.00949316	0.0093002	0.0090224	0.00883523	0.00861851	
N3	2.93894e-07	7.57982e-07	2.01207e-06	5.00618e-06	1.13355e-05	2.37352e-05	4.5452e-05	8.17226e-05	0.000138115	0.000221143	0.000337666	0.000497024	0.000701371	0.000962265	0.00128184	0.00166282	0.00210678	0.00262337	0.00319019	0.00382836	0.00452015	0.0052586	0.00603632	0.00686919	0.00769469	0.00856576	0.00943912	0.0103091	0.0111673	0.0120514	0.0128558	0.0136846	0.0144655	0.0152048	0.0158926	0.0165937	0.0171615	0.0177539	0.0182695	0.0187299	0.0191194	0.0195249	0.0197655	0.0200377	0.0202129	0.0203262	0.0203515	0.0203943	0.020257	0.0201647	0.0199781	0.0197519	0.0194583	0.0192146	0.0188183	0.0185015	0.0181185	0.017732	0.0173061	0.0169574	0.0164863	0.0161147	0.0156958	0.0152932	0.014864	0.0145186	0.0140675	0.0137152	0.0133206	0.0129465	0.0125462	0.0122221	0.0118015	0.0114701	0.0110985	0.0107494	0.0103766	0.0100758	0.00969484	0.00939872	0.00907124	0.008773	0.00845802	0.00821213	0.00790081	0.00766697	0.00740623	0.00717459	0.00692666	0.00673965	0.00649803	0.00632955	0.00615151	
N4	1.63004e-07	4.21371e-07	1.1338e-06	2.88145e-06	6.67723e-06	1.43295e-05	2.80685e-05	5.16262e-05	8.91059e-05	0.000145541	0.000226308	0.000339205	0.000486065	0.000677289	0.000914822	0.00120225	0.00154096	0.00194242	0.00238426	0.00289127	0.00344468	0.00404262	0.00467579	0.00537026	0.0060519	0.00679242	0.00753464	0.00828487	0.0090225	0.00981237	0.0105051	0.0112573	0.0119533	0.0126276	0.0132391	0.0139097	0.014398	0.0149689	0.0154341	0.0158721	0.0162104	0.0166372	0.0168184	0.0171249	0.0172906	0.017445	0.0174746	0.0176315	0.0175016	0.017549	0.017442	0.0173654	0.0171666	0.0171487	0.0168385	0.0167562	0.016517	0.016345	0.0160485	0.0159605	0.0155755	0.0154383	0.0151343	0.0149164	0.0145667	0.0144374	0.0140208	0.0138641	0.0135493	0.0133516	0.01304	0.0129719	0.0126588	0.0126327	0.0124877	0.0125011	0.0124317	0.0126201	0.0125969	0.0128419	0.0129539	0.0131875	0.0132923	0.0135763	0.013601	0.0138062	0.013828	0.0139176	0.0138492	0.0139222	0.0137511	0.013734	0.0135303	
N5	4.33712e-08	1.31004e-07	4.10057e-07	1.17426e-06	2.99277e-06	6.92724e-06	1.44539e-05	2.79953e-05	5.04829e-05	8.55603e-05	0.000137337	0.000211395	0.00031015	0.000440799	0.000605854	0.000808279	0.00104993	0.00133838	0.00166012	0.00203071	0.00243857	0.00288124	0.00335275	0.00386894	0.00437988	0.00493216	0.00548767	0.00604818	0.00660092	0.00718885	0.00770951	0.00827054	0.00879417	0.00930231	0.00977055	0.010284	0.0106755	0.0111327	0.0115267	0.0119115	0.012241	0.0126488	0.0128986	0.0132565	0.0135347	0.0138234	0.0140444	0.0143771	0.0145243	0.0148191	0.015023	0.0152648	0.0154352	0.0157485	0.0158601	0.0161421	0.016314	0.0165308	0.0166533	0.0169173	0.0169526	0.0171519	0.0172136	0.017315	0.0173025	0.01743	0.0173252	0.0173897	0.0173203	0.0173081	0.0171925	0.0172293	0.0170523	0.0170554	0.0169392	0.0168925	0.0167523	0.0167671	0.0165834	0.016576	0.0164552	0.0164027	0.0162616	0.0162672	0.0160823	0.0160632	0.0159354	0.0158699	0.0157171	0.0156972	0.0154885	0.0154156	0.0151989	
Cyperus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	4.86155e-09	1.55061e-08	5.4088e-08	1.75987e-07	5.09429e-07	1.3293e-06	3.09732e-06	6.63544e-06	1.31159e-05	2.41668e-05	4.18603e-05	6.9078e-05	0.000108005	0.000162734	0.000235987	0.000330752	0.000449608	0.000597776	0.000770804	0.000977603	0.00121412	0.00148048	0.00177464	0.00210684	0.0024501	0.00283223	0.00323195	0.00365147	0.00408318	0.00455608	0.00500455	0.00550025	0.00599186	0.00649553	0.00699319	0.00754593	0.00803357	0.00859057	0.00912114	0.0096644	0.0101815	0.0107722	0.0112521	0.0118222	0.0123329	0.0128512	0.0133101	0.0138499	0.0142272	0.014709	0.0151	0.0155021	0.0158268	0.0162528	0.0164902	0.0168566	0.0171184	0.0174033	0.0176017	0.0179179	0.0180268	0.0182789	0.018412	0.0185717	0.0186343	0.0188227	0.0187931	0.0189177	0.0189205	0.0189611	0.0189073	0.018991	0.0188602	0.0188969	0.0188182	0.0187893	0.0186712	0.0186989	0.0185208	0.0185145	0.0183952	0.0183312	0.0181801	0.0181739	0.0179663	0.0179272	0.017776	0.0176809	0.0174963	0.0174485	0.0171984	0.0170916	0.0168338	
N7	6.65181e-09	2.11407e-08	7.25305e-08	2.30555e-07	6.53427e-07	1.66901e-06	3.83399e-06	8.09812e-06	1.58343e-05	2.89102e-05	4.97277e-05	8.1397e-05	0.000126724	0.000189807	0.000274008	0.000382447	0.000518319	0.000685816	0.000883135	0.00111614	0.00138345	0.00168399	0.00201806	0.00239073	0.00278615	0.00321976	0.00368086	0.00416598	0.0046746	0.0052196	0.00576296	0.00634332	0.00693437	0.0075342	0.00814003	0.00877768	0.00937784	0.0100119	0.0106307	0.0112386	0.011828	0.012443	0.0129808	0.0135517	0.0140823	0.0145892	0.0150594	0.0155578	0.0159501	0.0163848	0.0167645	0.0171193	0.0174284	0.0177756	0.0179984	0.0182775	0.0184938	0.0186905	0.0188387	0.0190381	0.0191043	0.0192424	0.019315	0.019376	0.0193868	0.0194574	0.0193858	0.0193902	0.0193173	0.0192281	0.0190729	0.0189687	0.0187039	0.018508	0.0182225	0.0179222	0.0175571	0.0172582	0.01682	0.0164814	0.016086	0.0157187	0.0153246	0.0150343	0.0146394	0.0143685	0.0140578	0.0137876	0.0134909	0.0132915	0.0129826	0.0127815	0.0125248	
N8	2.31615e-07	5.88076e-07	1.55084e-06	3.86455e-06	8.81829e-06	1.86207e-05	3.61058e-05	6.56478e-05	0.000112258	0.000181762	0.00028058	0.000416769	0.000593941	0.00082149	0.001103	0.00144131	0.00183919	0.00230384	0.00282005	0.00340237	0.00403882	0.0047219	0.00544726	0.00622521	0.00700722	0.00783197	0.00866591	0.00949898	0.0103257	0.0111733	0.0119534	0.0127508	0.013506	0.0142176	0.0148799	0.0155458	0.0160838	0.016634	0.0171067	0.0175163	0.0178534	0.018199	0.0183831	0.0185972	0.0187229	0.0187958	0.0187994	0.0188408	0.0187197	0.0186663	0.0185372	0.0183868	0.0181844	0.0180532	0.0177719	0.0175897	0.0173432	0.0171004	0.0168151	0.0166191	0.0162824	0.0160583	0.0157739	0.0155072	0.0152003	0.0149881	0.0146431	0.0144121	0.0141208	0.0138552	0.0135484	0.0133347	0.0129969	0.0127691	0.0124826	0.0122264	0.0119292	0.0117206	0.0113995	0.011181	0.010907	0.0106658	0.0103855	0.0101874	0.0098888	0.00968394	0.00942837	0.00920633	0.00894865	0.00876695	0.0085004	0.00832421	0.00811577	
Cyperus_longus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
