NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	1.04919e-05	1.63807e-05	3.37988e-05	7.82375e-05	0.000185317	0.000430562	0.000962335	0.00204813	0.00412439	0.00782207	0.0139209	0.0231799	0.0360244	0.05215	0.0702049	0.0877716	0.101798	0.109431	0.108957	0.100426	0.0856489	0.0675696	0.0492988	0.0332595	0.0207472	0.0119665	0.006382	0.00314759	0.0014358	0.000605886	0.000236576	8.54966e-05	2.86063e-05	8.86449e-06	2.54499e-06	6.77218e-07	1.67096e-07	3.82463e-08	8.12462e-09	1.60257e-09	2.93662e-10	5.00176e-11	7.92273e-12	1.16773e-12	1.71199e-16	6.12089e-17	2.11279e-17	7.04294e-18	2.26796e-18	7.05719e-19	2.12262e-19	6.1729e-20	1.73626e-20	4.72478e-21	1.24429e-21	3.17224e-22	7.83157e-23	1.87284e-23	4.33966e-24	9.74635e-25	2.12222e-25	4.48162e-26	9.18134e-27	1.82532e-27	3.52269e-28	6.60198e-29	1.20206e-29	2.1276e-30	3.66406e-31	6.14924e-32	1.00855e-32	1.62515e-33	2.59833e-34	4.19479e-35	7.07149e-36	1.50622e-36	
N2	7.87261e-06	1.27081e-05	2.73573e-05	6.59197e-05	0.000161929	0.000388692	0.000893872	0.0019489	0.00400279	0.00771061	0.0138853	0.0233176	0.0364433	0.0529265	0.0713343	0.0891333	0.103164	0.110525	0.109543	0.100392	0.0850452	0.0665746	0.0481488	0.0321677	0.0198508	0.0113149	0.00595741	0.00289756	0.00130208	0.000540687	0.00020752	7.36359e-05	2.41639e-05	7.33564e-06	2.06092e-06	5.36059e-07	1.29144e-07	2.88301e-08	5.96668e-09	1.14539e-09	2.04046e-10	3.37502e-11	5.18571e-12	7.40439e-13	9.82678e-14	1.21209e-14	1.38881e-15	1.47675e-16	1.45519e-17	1.32659e-18	1.11692e-19	8.67409e-21	6.21287e-22	4.11533e-23	2.54579e-24	1.51233e-25	9.22886e-27	6.49768e-28	5.75111e-29	6.10138e-30	6.95447e-31	7.93269e-32	8.79544e-33	9.38902e-34	9.62472e-35	9.47206e-36	8.95483e-37	8.14257e-38	7.13616e-39	6.04961e-40	4.99217e-41	4.05466e-42	3.3032e-43	2.78221e-44	2.53287e-45	2.91473e-46	
N3	6.76754e-06	1.14315e-05	2.59476e-05	6.52253e-05	0.000165205	0.000405138	0.000945225	0.00207963	0.00429229	0.00828168	0.0148985	0.0249385	0.0387782	0.0559371	0.0747664	0.0925099	0.105873	0.111995	0.109438	0.0987365	0.0822154	0.0631611	0.0447563	0.0292471	0.0176229	0.00979047	0.00501482	0.00236835	0.00103135	0.000414183	0.000153418	5.24258e-05	1.65313e-05	4.81153e-06	1.29303e-06	3.20949e-07	7.36078e-08	1.56044e-08	3.05907e-09	5.54814e-10	9.31368e-11	1.44784e-11	2.08523e-12	2.78374e-13	3.44615e-14	3.9576e-15	4.21733e-16	4.17065e-17	3.82739e-18	3.25857e-19	2.57273e-20	1.8827e-21	1.27634e-22	8.01359e-24	4.66116e-25	2.51601e-26	1.2667e-27	6.02515e-29	2.79069e-30	1.33722e-31	7.21642e-33	4.60748e-34	3.3493e-35	2.56463e-36	1.95613e-37	1.447e-38	1.02751e-39	6.98282e-41	4.54189e-42	2.8332e-43	1.70209e-44	9.92788e-46	5.71338e-47	3.3611e-48	2.22084e-49	2.42648e-50	
N4	2.28668e-06	3.7019e-06	8.31266e-06	2.17872e-05	5.94844e-05	0.000159446	0.000407908	0.000982612	0.00221354	0.0046449	0.00905613	0.0163751	0.0274201	0.0424699	0.0607839	0.0803201	0.0979222	0.110078	0.114042	0.108843	0.0956682	0.0774202	0.0576743	0.0395456	0.0249559	0.0144944	0.0077481	0.00381236	0.00172682	0.000720158	0.000276581	9.78434e-05	3.18914e-05	9.58024e-06	2.65328e-06	6.77719e-07	1.59713e-07	3.47399e-08	6.97753e-09	1.29465e-09	2.22018e-10	3.52056e-11	5.16469e-12	7.01306e-13	8.81924e-14	1.02766e-14	1.1102e-15	1.11257e-16	1.03484e-17	8.93909e-19	7.17517e-20	5.3548e-21	3.71775e-22	2.40266e-23	1.44622e-24	8.11249e-26	4.24326e-27	2.07069e-28	9.4328e-30	4.01343e-31	1.59579e-32	5.93267e-34	2.06334e-35	6.71685e-37	2.04771e-38	5.84956e-40	1.56671e-41	3.93698e-43	9.29001e-45	2.06087e-46	4.3056e-48	8.49658e-50	1.59267e-51	2.87597e-53	5.3397e-55	1.77125e-56	
N5	2.68164e-06	4.49e-06	1.02834e-05	2.66748e-05	7.06833e-05	0.000182473	0.00044921	0.00104381	0.00227691	0.00464706	0.00885368	0.015719	0.0259697	0.0398791	0.0568638	0.0752281	0.0922743	0.10488	0.110412	0.107621	0.0970989	0.0810749	0.0626411	0.0447828	0.0296242	0.0181339	0.0102731	0.00538698	0.00261529	0.00117581	0.000489699	0.00018899	6.76128e-05	2.24324e-05	6.90509e-06	1.97292e-06	5.23492e-07	1.2906e-07	2.95796e-08	6.30589e-09	1.25114e-09	2.31167e-10	3.97986e-11	6.38851e-12	9.56736e-13	1.33759e-13	1.7469e-14	2.13262e-15	2.43524e-16	2.60279e-17	2.60551e-18	2.4445e-19	2.15089e-20	1.7761e-21	1.37729e-22	1.00363e-23	6.87705e-25	4.43396e-26	2.69168e-27	1.53949e-28	8.30092e-30	4.22231e-31	2.0273e-32	9.19399e-34	3.94077e-35	1.59746e-36	6.12852e-38	2.22694e-39	7.6727e-41	2.51059e-42	7.82366e-44	2.33462e-45	6.74759e-47	1.93934e-48	5.95475e-50	2.59883e-51	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	2.00146e-07	3.21926e-07	7.07559e-07	1.80815e-06	4.86817e-06	1.31088e-05	3.437e-05	8.65201e-05	0.000207518	0.000472178	0.00101654	0.00206721	0.00396639	0.00717478	0.0122284	0.0196286	0.0296631	0.0421925	0.056475	0.0711229	0.0842638	0.09391	0.0984453	0.0970676	0.0900209	0.0785247	0.064428	0.0497243	0.0361007	0.0246576	0.0158458	0.00958207	0.00545303	0.00292087	0.00147283	0.000699244	0.000312624	0.000131649	5.22283e-05	1.95245e-05	6.87924e-06	2.28503e-06	7.15716e-07	2.11447e-07	5.89374e-08	1.55035e-08	3.8498e-09	9.02705e-10	1.99932e-10	4.18388e-11	8.2751e-12	1.5474e-12	2.73655e-13	4.57849e-14	7.24939e-15	1.08664e-15	1.5425e-16	2.07427e-17	2.64337e-18	3.1934e-19	3.65852e-20	3.9762e-21	4.10107e-22	4.01561e-23	3.73418e-24	3.29914e-25	2.77048e-26	2.21244e-27	1.68119e-28	1.21664e-29	8.397e-31	5.54259e-32	3.52344e-33	2.20717e-34	1.50507e-35	1.86046e-36	
N7	5.62725e-07	8.98557e-07	1.87631e-06	4.36876e-06	1.04982e-05	2.51176e-05	5.87467e-05	0.00013294	0.000289259	0.000602749	0.00119961	0.00227611	0.00411165	0.00706461	0.0115371	0.0178983	0.0263664	0.0368708	0.0489331	0.0616218	0.0736244	0.0834497	0.089726	0.0915144	0.0885393	0.081258	0.0707453	0.0584328	0.0457906	0.0340486	0.0240256	0.0160901	0.0102285	0.00617315	0.00353767	0.00192542	0.000995448	0.000488976	0.000228261	0.000101286	4.27319e-05	1.71454e-05	6.54415e-06	2.37676e-06	8.21612e-07	2.7041e-07	8.47585e-08	2.53091e-08	7.20175e-09	1.95345e-09	5.0525e-10	1.2465e-10	2.93424e-11	6.59272e-12	1.41429e-12	2.89777e-13	5.67265e-14	1.06133e-14	1.89847e-15	3.24783e-16	5.31582e-17	8.32694e-18	1.24881e-18	1.79377e-19	2.46876e-20	3.25719e-21	4.12224e-22	5.00883e-23	5.85155e-24	6.58883e-25	7.1835e-26	7.65041e-27	8.09843e-28	8.81647e-29	1.05632e-29	1.77966e-30	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
