NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	0.160712	0.153121	0.139643	0.122358	0.103315	0.0842604	0.0664946	0.0508458	0.0377133	0.0271563	0.0189969	0.0129179	0.00854355	0.00549872	0.00344589	0.0021038	0.00125205	0.000726806	0.00041177	0.000227823	0.000123172	6.51123e-05	3.3675e-05	1.70492e-05	8.45466e-06	4.10894e-06	1.95812e-06	9.15483e-07	4.20133e-07	1.89348e-07	8.38449e-08	3.64952e-08	1.56217e-08	6.57873e-09	2.72679e-09	1.11283e-09	4.47338e-10	1.77184e-10	6.91732e-11	2.66261e-11	1.01081e-11	3.78576e-12	1.39924e-12	5.10524e-13	1.55613e-16	9.28306e-17	5.50466e-17	3.24511e-17	1.90221e-17	1.10889e-17	6.42972e-18	3.70892e-18	2.12879e-18	1.21601e-18	6.91424e-19	3.91431e-19	2.20685e-19	1.23939e-19	6.93561e-20	3.86842e-20	2.1513e-20	1.19328e-20	6.60428e-21	3.6487e-21	2.01315e-21	1.10981e-21	6.11619e-22	3.37136e-22	1.85986e-22	1.02758e-22	5.69233e-23	3.16892e-23	1.78379e-23	1.03327e-23	6.45904e-24	4.82076e-24	
N2	0.156826	0.149921	0.136984	0.121403	0.103217	0.0853525	0.0678378	0.0525602	0.0391843	0.028547	0.0200273	0.0137706	0.00912115	0.00594273	0.00373029	0.00231383	0.00138203	0.000820457	0.000468579	0.000267969	0.000147125	8.16306e-05	4.33633e-05	2.35401e-05	1.21782e-05	6.51913e-06	3.30761e-06	1.75918e-06	8.79782e-07	4.66634e-07	2.3096e-07	1.22402e-07	5.99714e-08	3.16652e-08	1.53607e-08	8.06465e-09	3.8623e-09	2.00623e-09	9.48361e-10	4.86995e-10	2.26576e-10	1.14589e-10	5.25485e-11	2.62256e-11	1.183e-11	5.81136e-12	2.58684e-12	1.25602e-12	5.5071e-13	2.63652e-13	1.14394e-13	5.43139e-14	2.32707e-14	1.0925e-14	4.64908e-15	2.17339e-15	9.15933e-16	4.24618e-16	1.78454e-16	8.27196e-17	3.45477e-17	1.59353e-17	6.67365e-18	3.09627e-18	1.29899e-18	6.05511e-19	2.59364e-19	1.24223e-19	5.52935e-20	2.76957e-20	1.33807e-20	7.26278e-21	3.9039e-21	2.33921e-21	1.49604e-21	1.24482e-21	
N3	0.156164	0.149476	0.136861	0.121575	0.103579	0.0857736	0.0682163	0.0528338	0.0393397	0.0285953	0.0200004	0.0136972	0.00903041	0.00585109	0.0036503	0.00224857	0.00133302	0.000784906	0.000444339	0.000251733	0.000136801	7.50976e-05	3.94164e-05	2.11379e-05	1.0779e-05	5.68894e-06	2.83586e-06	1.48366e-06	7.26016e-07	3.77903e-07	1.82174e-07	9.45782e-08	4.49201e-08	2.32102e-08	1.08682e-08	5.58482e-09	2.57185e-09	1.30853e-09	5.93013e-10	2.9884e-10	1.32918e-10	6.60796e-11	2.89149e-11	1.42245e-11	6.10804e-12	2.9627e-12	1.25382e-12	6.02951e-13	2.5072e-13	1.19005e-13	4.89205e-14	2.30953e-14	9.34597e-15	4.36136e-15	1.75108e-15	8.1551e-16	3.22856e-16	1.48736e-16	5.86291e-17	2.70325e-17	1.05244e-17	4.80268e-18	1.86943e-18	8.56672e-19	3.30626e-19	1.50477e-19	5.87625e-20	2.72336e-20	1.08625e-20	5.19798e-21	2.27556e-21	1.21955e-21	6.41857e-22	4.19279e-22	3.0522e-22	3.02071e-22	
N4	0.133699	0.130282	0.123181	0.114189	0.102182	0.0892478	0.0749438	0.061344	0.0481915	0.0369646	0.0272049	0.0196221	0.0135784	0.00925748	0.00605374	0.00392748	0.00244084	0.00151819	0.000902714	0.000543101	0.000311108	0.000182637	0.000101561	5.8704e-05	3.18847e-05	1.82516e-05	9.73538e-06	5.54176e-06	2.9078e-06	1.64385e-06	8.49672e-07	4.76614e-07	2.42136e-07	1.34096e-07	6.69904e-08	3.66115e-08	1.79355e-08	9.631e-09	4.63628e-09	2.45205e-09	1.15715e-09	6.00663e-10	2.78971e-10	1.42832e-10	6.51245e-11	3.2769e-11	1.47477e-11	7.34198e-12	3.25061e-12	1.59349e-12	6.98671e-13	3.40003e-13	1.46969e-13	7.05561e-14	3.02969e-14	1.44808e-14	6.14003e-15	2.89846e-15	1.22413e-15	5.76704e-16	2.40991e-16	1.12349e-16	4.69524e-17	2.19455e-17	9.13586e-18	4.26301e-18	1.80593e-18	8.63818e-19	3.79393e-19	1.9024e-19	9.20278e-20	5.15386e-20	2.93452e-20	1.98345e-20	1.51615e-20	1.50625e-20	
N5	0.127869	0.124925	0.118718	0.110896	0.100236	0.0886636	0.0755563	0.0629418	0.0503953	0.039537	0.0297753	0.0220897	0.0157017	0.0110884	0.00747637	0.00507378	0.00326337	0.00215462	0.00133144	0.000870307	0.000520623	0.000343683	0.000200983	0.000137116	7.89239e-05	5.62986e-05	3.21605e-05	2.41313e-05	1.36587e-05	1.06004e-05	5.97634e-06	4.76826e-06	2.6541e-06	2.12196e-06	1.17719e-06	9.49192e-07	5.17933e-07	4.10754e-07	2.24227e-07	1.78955e-07	9.57642e-08	7.45075e-08	4.01493e-08	3.17035e-08	1.66829e-08	1.27742e-08	6.83361e-09	5.39068e-09	2.79825e-09	2.12477e-09	1.13374e-09	9.02182e-10	4.6388e-10	3.52497e-10	1.88672e-10	1.52722e-10	7.80076e-11	5.95396e-11	3.19848e-11	2.63086e-11	1.34223e-11	1.03394e-11	5.60761e-12	4.69596e-12	2.40547e-12	1.87067e-12	1.027e-12	8.7588e-13	4.60317e-13	3.72168e-13	2.21368e-13	2.11491e-13	1.49409e-13	1.74671e-13	2.12444e-13	3.49613e-13	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0533932	0.0548794	0.0572268	0.0605754	0.0635763	0.0663987	0.0677349	0.0680917	0.066435	0.0637143	0.059217	0.0541605	0.0480215	0.042014	0.0356685	0.0299833	0.0244763	0.0198608	0.0156606	0.0123265	0.00942976	0.00723279	0.00539172	0.00404826	0.00295192	0.00217749	0.00155852	0.00113304	0.000797891	0.000572689	0.000397543	0.000282089	0.00019316	0.000135504	9.15888e-05	6.35361e-05	4.238e-05	2.90513e-05	1.91296e-05	1.29603e-05	8.42112e-06	5.63488e-06	3.61517e-06	2.39073e-06	1.51419e-06	9.89268e-07	6.19217e-07	4.0015e-07	2.47543e-07	1.58209e-07	9.68775e-08	6.13372e-08	3.71884e-08	2.33297e-08	1.40343e-08	8.74378e-09	5.2237e-09	3.2353e-09	1.92618e-09	1.19067e-09	7.08602e-10	4.3871e-10	2.62865e-10	1.64329e-10	9.99693e-11	6.36833e-11	3.98898e-11	2.62702e-11	1.72001e-11	1.18857e-11	8.29214e-12	6.14287e-12	4.69551e-12	3.89202e-12	3.48624e-12	3.55028e-12	
N7	0.0475613	0.0487201	0.0505804	0.0533679	0.0560441	0.0588066	0.0606126	0.061818	0.0615245	0.0603709	0.0576783	0.0543344	0.0498228	0.04514	0.0398296	0.034838	0.0296876	0.0251834	0.0208136	0.0172122	0.0138571	0.0112326	0.0088504	0.00707522	0.00548127	0.00434759	0.00332795	0.00263573	0.00200193	0.0015913	0.0012042	0.000965103	0.000729355	0.000590345	0.000446478	0.000365348	0.000276417	0.00022811	0.000172702	0.000143537	0.000108502	9.04269e-05	6.82603e-05	5.69993e-05	4.28583e-05	3.57122e-05	2.67802e-05	2.22909e-05	1.66302e-05	1.37798e-05	1.02542e-05	8.48401e-06	6.28216e-06	5.17348e-06	3.82697e-06	3.15231e-06	2.32352e-06	1.90805e-06	1.40919e-06	1.16168e-06	8.57482e-07	7.07354e-07	5.26091e-07	4.38747e-07	3.2876e-07	2.77326e-07	2.13241e-07	1.86295e-07	1.50123e-07	1.39281e-07	1.24573e-07	1.29352e-07	1.34016e-07	1.57728e-07	1.89031e-07	2.45142e-07	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
