NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	0.15647	0.149036	0.136056	0.119642	0.101699	0.0837836	0.0670337	0.0521679	0.0395438	0.0292273	0.0210853	0.0148599	0.0102393	0.00690316	0.00455699	0.00294737	0.00186903	0.00116272	0.000710043	0.000425879	0.000251033	0.000145494	8.29599e-05	4.65599e-05	2.57333e-05	1.40128e-05	7.52141e-06	3.9812e-06	2.07902e-06	1.07156e-06	5.45335e-07	2.74142e-07	1.36183e-07	6.68749e-08	3.24758e-08	1.56014e-08	7.4169e-09	3.49042e-09	1.62655e-09	7.50785e-10	3.43362e-10	1.55634e-10	6.99362e-11	3.11654e-11	1.37768e-11	6.0431e-12	2.63113e-12	1.13743e-12	4.88363e-13	2.0831e-13	1.10597e-16	7.17843e-17	4.64539e-17	2.99749e-17	1.92872e-17	1.23765e-17	7.92093e-18	5.05649e-18	3.22001e-18	2.04572e-18	1.29677e-18	8.20279e-19	5.17844e-19	3.26316e-19	2.05283e-19	1.28952e-19	8.09032e-20	5.07092e-20	3.17658e-20	1.98995e-20	1.24796e-20	7.85343e-21	4.98806e-21	3.24557e-21	2.24443e-21	1.77862e-21	
N2	0.135395	0.138688	0.133107	0.121067	0.105669	0.0893056	0.0721809	0.0568461	0.0435191	0.0322072	0.023242	0.0164788	0.0112632	0.00758962	0.00501197	0.00322159	0.00203391	0.00127639	0.000772371	0.000466793	0.000278208	0.000162357	9.36086e-05	5.44944e-05	3.04244e-05	1.72747e-05	9.70476e-06	5.37443e-06	2.94735e-06	1.66389e-06	8.89688e-07	4.93596e-07	2.69674e-07	1.46535e-07	7.84522e-08	4.39366e-08	2.29237e-08	1.26054e-08	6.76124e-09	3.63857e-09	1.90955e-09	1.05841e-09	5.41126e-10	2.94392e-10	1.54769e-10	8.21873e-11	4.22738e-11	2.31487e-11	1.16141e-11	6.23517e-12	3.21661e-12	1.68916e-12	8.54718e-13	4.62707e-13	2.28468e-13	1.21296e-13	6.17038e-14	3.20672e-14	1.60252e-14	8.58947e-15	4.19482e-15	2.20987e-15	1.11674e-15	5.78068e-16	2.8838e-16	1.55378e-16	7.71978e-17	4.17979e-17	2.21086e-17	1.22768e-17	6.83612e-18	4.17028e-18	2.50998e-18	1.66908e-18	1.19335e-18	1.03947e-18	
N3	0.133294	0.137019	0.132268	0.121107	0.106362	0.0903198	0.0732354	0.0577423	0.0441755	0.0326222	0.0234579	0.0165495	0.0112493	0.00753016	0.00493696	0.00314906	0.00197211	0.00122678	0.00073599	0.000440699	0.000260211	0.000150397	8.58711e-05	4.94742e-05	2.73393e-05	1.53527e-05	8.52845e-06	4.66659e-06	2.52737e-06	1.40806e-06	7.42226e-07	4.05704e-07	2.18197e-07	1.16574e-07	6.12897e-08	3.37328e-08	1.72334e-08	9.2949e-09	4.88073e-09	2.57048e-09	1.31688e-09	7.15642e-10	3.55924e-10	1.89512e-10	9.71014e-11	5.03288e-11	2.51434e-11	1.34915e-11	6.54689e-12	3.43562e-12	1.71946e-12	8.7971e-13	4.30218e-13	2.28031e-13	1.08295e-13	5.61243e-14	2.75768e-14	1.39398e-14	6.70372e-15	3.51405e-15	1.64354e-15	8.44269e-16	4.10801e-16	2.06587e-16	9.88216e-17	5.19792e-17	2.4636e-17	1.29566e-17	6.55676e-18	3.52348e-18	1.88596e-18	1.13845e-18	6.80767e-19	4.70424e-19	3.5922e-19	3.39188e-19	
N4	0.109751	0.115415	0.115959	0.111751	0.103936	0.0936998	0.0805693	0.0672408	0.0542832	0.0421309	0.0317308	0.0234079	0.0165516	0.0115251	0.00784728	0.0051877	0.00336458	0.00217706	0.00134996	0.000841202	0.000516776	0.000311099	0.000184957	0.00011214	6.45085e-05	3.82035e-05	2.22986e-05	1.28681e-05	7.31662e-06	4.33452e-06	2.39319e-06	1.38886e-06	7.85525e-07	4.44141e-07	2.44964e-07	1.42938e-07	7.63492e-08	4.34965e-08	2.38953e-08	1.32567e-08	7.09373e-09	4.05297e-09	2.10307e-09	1.17472e-09	6.27507e-10	3.4053e-10	1.77355e-10	9.94181e-11	5.02938e-11	2.75218e-11	1.4344e-11	7.6503e-12	3.89804e-12	2.14692e-12	1.06333e-12	5.72262e-13	2.92548e-13	1.53532e-13	7.69007e-14	4.17107e-14	2.03311e-14	1.07975e-14	5.45798e-15	2.83996e-15	1.41226e-15	7.65812e-16	3.78376e-16	2.05897e-16	1.08724e-16	6.08506e-17	3.41916e-17	2.14984e-17	1.34973e-17	9.71204e-18	7.72438e-18	7.45926e-18	
N5	0.103798	0.109528	0.110759	0.107723	0.10137	0.0926996	0.0809887	0.0688372	0.0567089	0.0449628	0.0346483	0.0262575	0.0190259	0.0136528	0.00960062	0.00655634	0.00439898	0.00299331	0.00191686	0.00126525	0.000822564	0.000527261	0.000331655	0.000225537	0.000135806	9.16781e-05	5.90824e-05	3.90363e-05	2.42122e-05	1.79158e-05	1.05526e-05	7.73612e-06	4.96269e-06	3.5169e-06	2.16664e-06	1.73017e-06	9.98326e-07	7.70903e-07	4.89205e-07	3.64667e-07	2.21152e-07	1.8055e-07	1.03554e-07	8.22336e-08	5.16523e-08	3.87245e-08	2.33755e-08	1.95684e-08	1.11288e-08	8.82163e-09	5.53729e-09	4.24533e-09	2.5548e-09	2.15367e-09	1.22748e-09	9.91978e-10	6.2059e-10	4.73702e-10	2.90721e-10	2.51071e-10	1.41819e-10	1.14114e-10	7.376e-11	5.79107e-11	3.49513e-11	3.00605e-11	1.76044e-11	1.48295e-11	9.4551e-12	7.53062e-12	5.00295e-12	4.92204e-12	3.59816e-12	4.14699e-12	5.09611e-12	7.89598e-12	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0378475	0.0422241	0.0471797	0.0523928	0.0576228	0.0625602	0.0657449	0.067702	0.0679673	0.0660746	0.062661	0.0583382	0.0524673	0.0464868	0.0404053	0.0342544	0.0285753	0.0236798	0.0190452	0.0152802	0.0121243	0.00945322	0.00730496	0.00567196	0.00427684	0.00325348	0.00245705	0.00183216	0.00135786	0.00102002	0.000741687	0.000548441	0.0004023	0.000292458	0.000211147	0.000155374	0.000110182	7.98862e-05	5.73465e-05	4.092e-05	2.89348e-05	2.09251e-05	1.45502e-05	1.03806e-05	7.31807e-06	5.13989e-06	3.57326e-06	2.54817e-06	1.74482e-06	1.22861e-06	8.53932e-07	5.93079e-07	4.07352e-07	2.87553e-07	1.94814e-07	1.36006e-07	9.37265e-08	6.47086e-08	4.42155e-08	3.11157e-08	2.10929e-08	1.47815e-08	1.027e-08	7.19142e-09	5.02008e-09	3.62967e-09	2.56582e-09	1.88694e-09	1.39486e-09	1.05393e-09	8.08713e-10	6.48256e-10	5.26534e-10	4.54132e-10	4.1434e-10	4.11986e-10	
N7	0.033341	0.0370516	0.0411827	0.0455697	0.0501181	0.0546406	0.0579955	0.0605687	0.0619354	0.0615911	0.059946	0.0573994	0.0532946	0.0488103	0.0439501	0.038672	0.0335407	0.0289321	0.0242655	0.0203289	0.0168794	0.0137822	0.0111749	0.00914375	0.00725064	0.00583621	0.00467657	0.00370349	0.00292158	0.00236619	0.0018351	0.00147169	0.00117116	0.000927302	0.000728589	0.000598187	0.000461678	0.000375478	0.000300245	0.000241026	0.000190045	0.000158887	0.000122926	0.000101758	8.18347e-05	6.66452e-05	5.27854e-05	4.48758e-05	3.48766e-05	2.92872e-05	2.36549e-05	1.9548e-05	1.55704e-05	1.34126e-05	1.04712e-05	8.89548e-06	7.22187e-06	6.03509e-06	4.83371e-06	4.20365e-06	3.30244e-06	2.83596e-06	2.32317e-06	1.96641e-06	1.59416e-06	1.41473e-06	1.14368e-06	1.02254e-06	8.87017e-07	8.18065e-07	7.55416e-07	7.80537e-07	7.92075e-07	8.92355e-07	1.0284e-06	1.24662e-06	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0252939	0.0287032	0.0330506	0.0381775	0.0439419	0.0500917	0.055452	0.0601652	0.0636349	0.0651817	0.0650413	0.0634958	0.0599195	0.0554469	0.0501907	0.0442372	0.0382425	0.0326196	0.0270557	0.0222108	0.0179737	0.0142586	0.0111743	0.00871767	0.00663528	0.00504232	0.0037972	0.00281598	0.00207243	0.00152967	0.00110133	0.000797285	0.000573188	0.000407046	0.000287362	0.000204606	0.000141743	9.92821e-05	6.90599e-05	4.75562e-05	3.25434e-05	2.25523e-05	1.51656e-05	1.03549e-05	7.013e-06	4.71113e-06	3.14251e-06	2.13041e-06	1.39833e-06	9.35052e-07	6.19468e-07	4.08176e-07	2.66819e-07	1.7778e-07	1.1451e-07	7.53773e-08	4.9142e-08	3.19604e-08	2.06312e-08	1.36215e-08	8.71761e-09	5.72885e-09	3.74409e-09	2.45866e-09	1.61425e-09	1.09217e-09	7.26341e-10	5.00235e-10	3.47312e-10	2.46083e-10	1.7752e-10	1.33552e-10	1.02357e-10	8.34711e-11	7.26912e-11	6.995e-11	
Morelotia_affinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.0241688	0.0274872	0.031772	0.0368842	0.0426897	0.0489314	0.0544916	0.0594444	0.0631956	0.0650628	0.0652298	0.0639281	0.0605894	0.0562595	0.0510867	0.0451638	0.039149	0.033458	0.0278139	0.0228671	0.0185302	0.0147142	0.0115399	0.00900762	0.00685557	0.00520914	0.00392264	0.00290614	0.00213644	0.00157722	0.00113257	0.000819336	0.00058857	0.000417067	0.000293675	0.000209477	0.00014433	0.000101136	7.02892e-05	4.8308e-05	3.29312e-05	2.29468e-05	1.5302e-05	1.04848e-05	7.09718e-06	4.76608e-06	3.16278e-06	2.16836e-06	1.40669e-06	9.48227e-07	6.27683e-07	4.14719e-07	2.69239e-07	1.82668e-07	1.15809e-07	7.72592e-08	5.02869e-08	3.29106e-08	2.10351e-08	1.42155e-08	8.89931e-09	5.93939e-09	3.85175e-09	2.5357e-09	1.62863e-09	1.11995e-09	7.16426e-10	4.94852e-10	3.35581e-10	2.37148e-10	1.69154e-10	1.33669e-10	1.06923e-10	9.75235e-11	9.63257e-11	1.0678e-10	
