NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	0.000231141	0.000301903	0.000473632	0.000813462	0.00143327	0.0024974	0.00422361	0.00686985	0.0107007	0.0159319	0.0226594	0.0307887	0.0399854	0.0496699	0.0590673	0.0673107	0.073579	0.0772361	0.0779393	0.0756893	0.0708151	0.0638989	0.0556663	0.0468669	0.0381722	0.030106	0.0230138	0.0170666	0.0122887	0.00859861	0.00585147	0.00387574	0.00250047	0.00157246	0.000964557	0.000577509	0.000337715	0.000193007	0.000107866	5.89848e-05	3.15775e-05	1.6559e-05	8.51014e-06	4.28852e-06	2.12013e-06	1.02875e-06	4.90187e-07	2.29466e-07	1.0558e-07	4.77702e-08	2.12638e-08	9.31623e-09	4.0194e-09	1.70851e-09	7.15859e-10	2.95818e-10	1.20629e-10	4.857e-11	1.9322e-11	7.59985e-12	2.95769e-12	1.13986e-12	4.35404e-13	2.06446e-16	1.26655e-16	7.74834e-17	4.72971e-17	2.88276e-17	1.75586e-17	1.06992e-17	6.53382e-18	4.0132e-18	2.49967e-18	1.60974e-18	1.11804e-18	9.00057e-19	
N2	0.0002261	0.000294008	0.000470018	0.000826145	0.00148512	0.00262844	0.00449631	0.00737047	0.0115328	0.0171998	0.0244418	0.0331075	0.0427794	0.0527818	0.0622529	0.070271	0.076009	0.078879	0.0786317	0.0753873	0.0695945	0.0619335	0.0531904	0.0441331	0.0354135	0.0275093	0.0207068	0.0151171	0.0107135	0.00737684	0.00493903	0.00321799	0.00204186	0.00126265	0.000761472	0.000448159	0.000257571	0.00014465	7.94249e-05	4.2664e-05	2.24324e-05	1.15513e-05	5.82855e-06	2.88323e-06	1.39895e-06	6.66098e-07	3.1138e-07	1.42975e-07	6.45117e-08	2.86168e-08	1.24853e-08	5.35992e-09	2.2651e-09	9.42705e-10	3.86555e-10	1.56237e-10	6.22707e-11	2.44854e-11	9.50281e-12	3.6418e-12	1.3788e-12	5.15957e-13	1.90921e-13	6.98921e-14	2.53243e-14	9.08621e-15	3.22975e-15	1.13793e-15	3.97648e-16	1.3796e-16	4.76183e-17	1.64334e-17	5.74551e-18	2.10825e-18	8.88031e-19	5.15998e-19	
N3	0.000211317	0.000280398	0.000460657	0.00083017	0.00152242	0.00273503	0.0047285	0.00780498	0.0122599	0.0183074	0.0259926	0.0351131	0.0451788	0.0554331	0.0649431	0.0727448	0.0780107	0.0801977	0.0791382	0.0750538	0.0684938	0.0602191	0.0510641	0.0418091	0.0330869	0.0253344	0.018787	0.0135052	0.00941952	0.00637991	0.00419967	0.00268891	0.00167582	0.00101738	0.000602074	0.000347553	0.00019583	0.000107769	5.79597e-05	3.0481e-05	1.56836e-05	7.8997e-06	3.89717e-06	1.884e-06	8.92935e-07	4.15116e-07	1.89379e-07	8.48201e-08	3.73131e-08	1.61288e-08	6.8534e-09	2.86382e-09	1.17733e-09	4.76356e-10	1.89766e-10	7.44603e-11	2.87885e-11	1.09716e-11	4.12332e-12	1.5287e-12	5.5934e-13	2.02067e-13	7.21078e-14	2.54311e-14	8.8698e-15	3.06167e-15	1.04699e-15	3.55216e-16	1.19829e-16	4.03378e-17	1.36348e-17	4.68197e-18	1.67121e-18	6.49658e-19	3.00854e-19	1.90959e-19	
N4	0.000120481	0.000155966	0.000252094	0.000459149	0.000871347	0.00164236	0.00299604	0.0052222	0.00864725	0.0135741	0.0201954	0.0284987	0.03819	0.048668	0.0590693	0.0683869	0.0756371	0.0800372	0.0811461	0.078934	0.0737667	0.0663151	0.0574186	0.0479394	0.0386385	0.0300957	0.0226774	0.0165469	0.0117027	0.00802955	0.00534949	0.00346346	0.00218087	0.00133661	0.000797909	0.00046428	0.000263499	0.000145959	7.89605e-05	4.17421e-05	2.15763e-05	1.09108e-05	5.40072e-06	2.61809e-06	1.24357e-06	5.79063e-07	2.64454e-07	1.18507e-07	5.21312e-08	2.25217e-08	9.5596e-09	3.98834e-09	1.6362e-09	6.60315e-10	2.62247e-10	1.0254e-10	3.9489e-11	1.49846e-11	5.60517e-12	2.0678e-12	7.52694e-13	2.7049e-13	9.60213e-14	3.36952e-14	1.1698e-14	4.022e-15	1.37132e-15	4.64515e-16	1.56746e-16	5.29135e-17	1.79965e-17	6.24572e-18	2.2657e-18	9.00102e-19	4.26883e-19	2.75544e-19	
N5	0.000133686	0.00017543	0.000286417	0.000519913	0.000971928	0.00179311	0.00319515	0.00544319	0.00882646	0.013604	0.0199305	0.0277779	0.0368743	0.046686	0.0564562	0.0653024	0.0723538	0.0768981	0.0785022	0.0770778	0.0728795	0.066441	0.0584691	0.0497234	0.0409075	0.0325909	0.025169	0.0188591	0.013723	0.00970563	0.00667735	0.00447231	0.00291834	0.00185665	0.00115244	0.000698373	0.000413445	0.000239264	0.000135432	7.50232e-05	4.0695e-05	2.16265e-05	1.12655e-05	5.75505e-06	2.88461e-06	1.41927e-06	6.85769e-07	3.25546e-07	1.51899e-07	6.96919e-08	3.14539e-08	1.39703e-08	6.10871e-09	2.63075e-09	1.11628e-09	4.66878e-10	1.92557e-10	7.83485e-11	3.14645e-11	1.24781e-11	4.88931e-12	1.89403e-12	7.25881e-13	2.75443e-13	1.03586e-13	3.86529e-14	1.4332e-14	5.29039e-15	1.94894e-15	7.18904e-16	2.66724e-16	1.00162e-16	3.84367e-17	1.53565e-17	6.73635e-18	3.83542e-18	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	4.98917e-05	6.23656e-05	9.51274e-05	0.000162539	0.00029171	0.000528049	0.000941565	0.00163205	0.00273048	0.00439368	0.00678974	0.0100736	0.0143546	0.0196614	0.0259114	0.0328933	0.040269	0.0475989	0.0543863	0.0601376	0.0644236	0.0669343	0.067515	0.0661796	0.0630996	0.0585725	0.0529782	0.0467293	0.040226	0.0338198	0.0277901	0.0223335	0.0175652	0.0135284	0.0102092	0.00755333	0.00548178	0.00390453	0.00273084	0.00187635	0.00126714	0.000841437	0.00054966	0.000353366	0.00022366	0.000139431	8.5645e-05	5.1854e-05	3.0957e-05	1.82303e-05	1.05935e-05	6.07649e-06	3.44185e-06	1.92581e-06	1.06483e-06	5.82044e-07	3.1464e-07	1.68281e-07	8.90869e-08	4.67048e-08	2.4261e-08	1.24945e-08	6.38403e-09	3.23882e-09	1.63315e-09	8.19499e-10	4.09882e-10	2.04795e-10	1.02547e-10	5.17133e-11	2.64692e-11	1.39275e-11	7.69125e-12	4.60278e-12	3.11932e-12	2.5118e-12	
N7	8.70825e-05	0.000108667	0.00016253	0.00026601	0.000449772	0.000761257	0.00126804	0.0020595	0.00324495	0.00494671	0.00728719	0.0103704	0.01426	0.018957	0.0243823	0.030368	0.0366605	0.0429383	0.0488397	0.0540008	0.0580939	0.0608636	0.0621529	0.0619165	0.06022	0.0572271	0.053175	0.0483464	0.0430394	0.0375397	0.0321	0.0269257	0.0221675	0.0179222	0.0142369	0.0111173	0.00853794	0.00645168	0.00479898	0.00351533	0.00253688	0.00180436	0.00126532	0.000875167	0.000597248	0.000402294	0.000267553	0.000175751	0.000114067	7.31705e-05	4.64064e-05	2.91093e-05	1.80654e-05	1.10964e-05	6.74839e-06	4.06505e-06	2.4264e-06	1.43576e-06	8.42621e-07	4.90736e-07	2.8378e-07	1.6305e-07	9.31508e-08	5.29599e-08	2.9993e-08	1.69389e-08	9.55196e-09	5.38614e-09	3.04221e-09	1.72486e-09	9.84566e-10	5.68521e-10	3.35236e-10	2.06059e-10	1.37916e-10	1.08244e-10	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
