NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.137272	0.134486	0.128727	0.119817	0.107886	0.0935272	0.0777527	0.0617878	0.0468112	0.0337341	0.0230776	0.01496	0.00917429	0.00531414	0.00290307	0.00149348	0.000722483	0.000328194	0.000139808	5.57827e-05	2.08238e-05	7.26607e-06	2.36787e-06	7.20159e-07	2.04292e-07	5.40262e-08	1.33135e-08	3.05596e-09	6.53158e-10	1.29948e-10	2.40591e-11	4.14416e-12	6.63954e-13	1.13671e-16	4.23071e-17	1.51818e-17	5.25233e-18	1.75176e-18	5.63207e-19	1.74551e-19	5.21468e-20	1.50171e-20	4.16869e-21	1.11553e-21	2.87774e-22	7.15703e-23	1.71615e-23	3.96788e-24	8.84673e-25	1.90229e-25	3.94542e-26	7.89389e-27	1.52382e-27	2.83849e-28	5.103e-29	8.85569e-30	1.48374e-30	2.40056e-31	3.75123e-32	5.66277e-33	8.25977e-34	1.16435e-34	1.58662e-35	2.0904e-36	2.66349e-37	3.28277e-38	3.91468e-39	4.51773e-40	5.04679e-41	5.45865e-42	5.71785e-43	5.8018e-44	5.70401e-45	5.43488e-46	5.01991e-47	4.49577e-48	3.90498e-49	3.29037e-50	2.69021e-51	2.13476e-52	1.6445e-53	1.23012e-54	8.93692e-56	6.30757e-57	4.32584e-58	2.88347e-59	1.86853e-60	1.17744e-61	7.21721e-63	4.30636e-64	2.51038e-65	1.47415e-66	1.21862e-67	
N2	0.130025	0.12943	0.124976	0.118727	0.107857	0.0952566	0.0796095	0.064332	0.048905	0.0359292	0.0247327	0.0164892	0.0102493	0.0062001	0.00347797	0.00191726	0.000973346	0.000493559	0.000228767	0.000108445	4.64137e-05	2.0883e-05	8.35195e-06	3.60375e-06	1.34935e-06	5.54922e-07	1.93923e-07	7.52936e-08	2.42572e-08	8.74323e-09	2.58435e-09	8.61234e-10	2.3122e-10	7.0506e-11	1.72505e-11	4.84626e-12	1.07276e-12	2.75459e-13	5.57405e-14	1.32738e-14	2.43438e-15	5.31425e-16	8.98321e-17	1.83588e-17	2.82286e-18	5.29736e-19	7.57567e-20	1.33942e-20	1.74294e-21	2.81771e-22	3.4272e-23	5.22618e-24	5.77115e-25	8.00199e-26	8.27537e-27	1.08185e-27	1.01137e-28	1.19539e-29	1.04733e-30	1.16834e-31	9.24378e-33	9.31649e-34	6.92568e-35	6.60849e-36	4.42815e-37	3.81114e-38	2.40606e-39	1.96942e-40	1.12318e-41	8.31652e-43	4.49128e-44	3.18049e-45	1.54959e-46	9.9111e-48	4.59138e-49	2.82552e-50	1.18537e-51	6.61813e-53	2.65831e-54	1.43742e-55	5.21515e-57	2.54972e-58	8.90715e-60	4.25368e-61	1.36145e-62	6.00456e-64	1.96032e-65	9.06066e-67	3.27352e-68	1.67348e-69	8.20948e-71	4.82557e-72	3.67239e-73	
N3	0.153159	0.148754	0.137503	0.123588	0.105822	0.0881719	0.0699566	0.0540216	0.039657	0.0283535	0.0192308	0.0127282	0.00796673	0.00488544	0.0028228	0.00160989	0.000860611	0.000459792	0.00022886	0.000116038	5.42741e-05	2.65036e-05	1.17847e-05	5.6204e-06	2.39014e-06	1.11558e-06	4.54481e-07	2.06771e-07	8.00877e-08	3.50427e-08	1.28547e-08	5.37952e-09	1.85302e-09	7.34084e-10	2.37902e-10	8.95412e-11	2.71364e-11	9.63619e-12	2.75238e-12	9.32155e-13	2.49235e-13	7.9807e-14	2.02398e-14	6.23253e-15	1.48397e-15	4.33294e-16	9.86625e-17	2.79355e-17	5.97962e-18	1.60405e-18	3.30547e-19	8.64185e-20	1.67255e-20	4.12758e-21	7.72301e-22	1.86089e-22	3.25759e-23	7.36255e-24	1.2483e-24	2.75629e-25	4.3613e-26	8.99944e-27	1.38183e-27	2.78855e-28	3.98205e-29	7.47694e-30	1.03753e-30	1.90885e-31	2.46306e-32	4.21543e-33	5.3004e-34	8.9126e-35	1.03923e-35	1.6203e-36	1.84464e-37	2.83503e-38	2.99754e-39	4.27963e-40	4.43585e-41	6.26634e-42	6.01156e-43	7.85763e-44	7.41306e-45	9.64358e-46	8.50631e-47	1.04085e-47	9.47547e-49	1.22923e-49	1.24807e-50	1.82479e-51	2.59927e-52	4.74231e-53	1.27245e-53	
N4	0.15977	0.15443	0.141402	0.125434	0.105643	0.0864759	0.0673031	0.0510562	0.0368203	0.0259525	0.0173715	0.0113994	0.007086	0.00433506	0.00250443	0.00143187	0.000769604	0.000412528	0.000206931	0.000104588	4.91404e-05	2.35421e-05	1.04127e-05	4.75535e-06	1.98442e-06	8.64642e-07	3.41097e-07	1.41862e-07	5.27681e-08	2.08482e-08	7.30974e-09	2.74093e-09	9.02158e-10	3.19424e-10	9.8852e-11	3.31232e-11	9.60717e-12	3.03503e-12	8.28658e-13	2.48164e-13	6.35819e-14	1.79767e-14	4.35094e-15	1.1705e-15	2.66494e-16	6.78206e-17	1.46468e-17	3.55951e-18	7.24412e-19	1.66657e-19	3.22789e-20	7.10811e-21	1.29859e-21	2.70645e-22	4.7164e-23	9.42127e-24	1.54801e-24	2.92269e-25	4.58724e-26	8.30861e-27	1.22939e-27	2.1035e-28	2.97732e-29	4.89291e-30	6.52497e-31	1.01212e-31	1.29297e-32	1.92942e-33	2.32374e-34	3.27527e-35	3.78636e-36	5.14487e-37	5.60688e-38	7.19487e-39	7.54138e-40	9.35082e-41	9.25321e-42	1.08529e-42	1.03592e-43	1.17768e-44	1.06297e-45	1.14588e-46	1.007e-47	1.06576e-48	9.11938e-50	9.50998e-51	8.60987e-52	9.59582e-53	9.84971e-54	1.20225e-54	1.44253e-55	1.95563e-56	3.90193e-57	
N5	0.0415026	0.0479162	0.0583413	0.0714878	0.0831455	0.0925208	0.0959898	0.0953088	0.08863	0.079515	0.0669434	0.0544787	0.0413763	0.0303461	0.0206393	0.0135716	0.00822877	0.0048428	0.00261715	0.00138157	0.000666751	0.000316816	0.000137199	5.9032e-05	2.30524e-05	9.02634e-06	3.20017e-06	1.14789e-06	3.71195e-07	1.22386e-07	3.62935e-08	1.10464e-08	3.00648e-09	8.43862e-10	2.11164e-10	5.47138e-11	1.25485e-11	2.98921e-12	6.28743e-13	1.37837e-13	2.64911e-14	5.32298e-15	9.37148e-16	1.73157e-16	2.78465e-17	4.71526e-18	6.95822e-19	1.0854e-19	1.46567e-20	2.09866e-21	2.60937e-22	3.45436e-23	3.94839e-24	4.83635e-25	5.19269e-26	6.18956e-27	6.98487e-28	1.04514e-28	1.83746e-29	4.53603e-30	1.10889e-30	3.11587e-31	7.76041e-32	2.12647e-32	5.03563e-33	1.30782e-33	2.9504e-34	7.31754e-35	1.56065e-35	3.66595e-36	7.45907e-37	1.67636e-37	3.22784e-38	6.87736e-39	1.26608e-39	2.58677e-40	4.51677e-41	8.77093e-42	1.47059e-42	2.75226e-43	4.41113e-44	7.92401e-45	1.2449e-45	2.20832e-46	3.47417e-47	6.21455e-48	1.03726e-48	1.95097e-49	3.52891e-50	6.94996e-51	1.3591e-51	2.97508e-52	9.8574e-53	
N6	0.00917127	0.011602	0.01679	0.0258675	0.0387727	0.0557613	0.0736655	0.0911568	0.102347	0.108242	0.104403	0.0962849	0.0807327	0.0649495	0.0466144	0.0321332	0.01933	0.0113264	0.00571351	0.00290388	0.00126105	0.000580424	0.00022828	0.000100443	3.7089e-05	1.58086e-05	5.48067e-06	2.21682e-06	6.95812e-07	2.55522e-07	7.11041e-08	2.33171e-08	5.61004e-09	1.60034e-09	3.33806e-10	8.34953e-11	1.48501e-11	3.19283e-12	4.91855e-13	9.29731e-14	1.21765e-14	1.9762e-15	2.26853e-16	3.37272e-17	4.01774e-18	1.19543e-18	5.74084e-19	4.90863e-19	2.97395e-19	2.45979e-19	1.44144e-19	1.17593e-19	6.38045e-20	4.86405e-20	2.605e-20	1.99898e-20	9.96843e-21	7.13865e-21	3.54891e-21	2.57542e-21	1.19264e-21	8.05837e-22	3.74268e-22	2.57063e-22	1.10509e-22	7.0044e-23	3.02617e-23	1.95568e-23	7.83521e-24	4.68142e-24	1.89559e-24	1.15893e-24	4.32133e-25	2.42126e-25	9.13496e-26	5.25934e-26	1.83616e-26	9.74788e-27	3.46824e-27	1.90035e-27	6.19572e-28	3.09375e-28	1.02831e-28	5.32988e-29	1.64079e-29	7.87436e-30	2.55445e-30	1.32609e-30	4.57556e-31	2.61933e-31	1.43217e-31	1.11348e-31	1.03964e-31	
N7	0.00912481	0.0115352	0.0166899	0.0257136	0.0386011	0.0555609	0.0735558	0.0910658	0.102473	0.108367	0.104732	0.0964468	0.0809912	0.0649702	0.04671	0.0320674	0.0193386	0.0112691	0.0057027	0.00287662	0.00125353	0.000571309	0.000225337	9.79138e-05	3.62385e-05	1.52162e-05	5.28842e-06	2.10119e-06	6.61958e-07	2.38217e-07	6.65907e-08	2.13364e-08	5.16115e-09	1.43583e-09	3.00982e-10	7.32325e-11	1.3088e-11	2.73474e-12	4.22525e-13	7.75051e-14	1.01668e-14	1.60241e-15	1.82646e-16	2.5664e-17	2.47876e-18	3.02212e-19	2.54848e-20	2.85868e-21	2.01303e-22	2.02073e-23	1.22118e-24	1.235e-25	5.81759e-27	6.03668e-28	2.18872e-29	3.07405e-30	6.86732e-32	1.41656e-32	2.12987e-34	1.09868e-34	1.4595e-36	2.22375e-36	3.61809e-38	1.11024e-37	1.43308e-39	4.64226e-39	6.02005e-41	2.24976e-40	2.4473e-42	7.88689e-42	9.02516e-44	3.13766e-43	3.01512e-45	8.65308e-45	8.76293e-47	2.70473e-46	2.31218e-48	5.88645e-48	5.34618e-50	1.48861e-49	1.14772e-51	2.68634e-51	2.39527e-53	7.23685e-53	7.06767e-55	2.42214e-54	3.49915e-56	1.69634e-55	2.35254e-57	9.80482e-57	1.57382e-58	8.20439e-58	6.80434e-58	
N8	0.00683385	0.00881347	0.0132331	0.0213287	0.03372	0.0508365	0.070529	0.0905058	0.105944	0.114777	0.113644	0.104233	0.0870276	0.0671231	0.0467819	0.0300815	0.0173663	0.00931393	0.0044811	0.00204687	0.000842066	0.000341438	0.000124684	4.69659e-05	1.56167e-05	5.5791e-06	1.68712e-06	5.65022e-07	1.51687e-07	4.61523e-08	1.07605e-08	2.90799e-09	5.79418e-10	1.36729e-10	2.3251e-11	4.78159e-12	6.91061e-13	1.229e-13	1.5224e-14	2.36158e-15	2.49897e-16	3.36029e-17	3.09039e-18	3.68948e-19	2.98975e-20	3.47572e-21	3.96744e-22	1.27752e-22	4.47567e-23	2.52265e-23	1.02332e-23	6.07246e-24	2.41722e-24	1.41876e-24	5.81958e-25	3.59371e-25	1.44137e-25	8.75025e-26	3.63993e-26	2.33245e-26	9.29496e-27	5.71378e-27	2.33848e-27	1.50347e-27	5.7357e-28	3.44087e-28	1.33853e-28	8.3664e-29	2.98807e-29	1.71509e-29	6.25913e-30	3.74945e-30	1.24314e-30	6.74597e-31	2.29596e-31	1.3095e-31	4.06932e-32	2.1285e-32	7.10777e-33	4.28249e-33	1.54554e-33	1.12759e-33	6.21217e-34	6.89489e-34	4.42853e-34	5.10619e-34	3.75528e-34	4.94452e-34	3.80985e-34	5.4798e-34	7.29986e-34	1.48605e-33	2.88251e-33	
N9	3.94318e-21	7.14201e-17	1.43054e-13	8.22e-10	4.08499e-08	8.21018e-08	1.34737e-06	0.000155829	0.000196826	0.00021429	0.00708585	0.00874727	0.00657174	0.00304452	0.0369123	0.125994	0.235657	0.272792	0.193907	0.0858089	0.0203947	0.000146617	0.000357602	0.000587687	0.000628807	0.000472679	0.000230336	7.50224e-05	1.36273e-05	1.14452e-06	1.09055e-08	6.28668e-08	2.073e-07	4.73325e-07	7.0608e-07	7.90211e-07	5.93216e-07	3.35513e-07	1.2285e-07	3.15538e-08	4.4555e-09	3.0211e-10	4.62043e-14	3.43671e-18	1.41667e-22	4.25955e-27	8.46614e-32	1.36195e-36	1.53263e-41	1.45827e-46	9.96178e-52	5.86288e-57	2.48174e-62	9.06697e-68	2.36675e-73	5.25731e-79	8.0788e-85	1.0156e-90	8.31565e-97	5.04816e-103	1.66036e-109	2.71245e-116	2.06122e-50	2.6416e-53	2.70649e-56	2.70428e-59	2.12911e-62	1.60029e-65	9.11167e-69	4.74848e-72	1.76511e-75	5.44948e-79	9.97565e-83	1.02074e-86	5.35551e-18	5.38145e-18	4.80456e-18	4.82165e-18	4.32669e-18	4.38296e-18	3.94574e-18	4.03115e-18	3.72456e-18	3.93987e-18	3.83033e-18	4.29889e-18	4.64616e-18	5.7427e-18	7.01652e-18	9.43396e-18	1.26836e-17	1.78848e-17	2.50672e-17	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
