NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	8.75707e-09	1.78201e-08	5.72215e-08	2.23908e-07	9.15505e-07	3.63282e-06	1.35359e-05	4.66678e-05	0.000147877	0.000429222	0.00113909	0.00276077	0.00610579	0.0123147	0.0226392	0.03792	0.0578488	0.0803554	0.101608	0.116939	0.122474	0.11672	0.101216	0.0798639	0.0573416	0.0374664	0.0222802	0.0120606	0.00594397	0.00266771	0.00109061	0.000406251	0.000137929	4.2698e-05	1.20563e-05	3.10633e-06	7.30637e-07	1.56954e-07	3.08081e-08	5.52837e-09	9.07392e-10	1.36298e-10	1.87467e-11	2.36235e-12	2.72899e-13	6.87678e-17	2.14459e-17	6.40941e-18	1.8363e-18	5.04499e-19	1.32956e-19	3.36222e-20	8.1613e-21	1.90218e-21	4.25839e-22	9.15984e-23	1.89376e-23	3.76444e-24	7.1972e-25	1.32391e-25	2.34387e-26	3.99514e-27	6.55846e-28	1.03726e-28	1.58101e-29	2.32321e-30	3.29223e-31	4.50074e-32	5.93761e-33	7.56162e-34	9.29893e-35	1.1046e-35	1.26786e-36	1.40659e-37	1.50879e-38	1.56528e-39	1.57105e-40	1.52599e-41	1.43487e-42	1.30648e-43	1.15225e-44	9.84633e-46	8.15476e-47	6.5476e-48	5.09812e-49	3.8505e-50	2.82178e-51	2.00701e-52	1.38589e-53	9.29662e-55	6.0784e-56	3.99607e-57	3.7135e-58	
N2	8.40065e-08	1.84169e-07	5.81095e-07	1.99839e-06	6.77677e-06	2.19339e-05	6.68891e-05	0.000190858	0.000507155	0.00125064	0.00285443	0.00601723	0.0116963	0.020937	0.034478	0.0521884	0.0725644	0.0926317	0.108518	0.11663	0.114968	0.103927	0.0861426	0.0654672	0.0456191	0.0291481	0.0170788	0.00917808	0.00452452	0.00204653	0.000849581	0.000323788	0.000113326	3.64397e-05	1.07687e-05	2.92608e-06	7.31368e-07	1.68238e-07	3.56342e-08	6.95339e-09	1.25069e-09	2.07478e-10	3.17628e-11	4.49006e-12	5.86461e-13	7.08196e-14	7.91174e-15	8.18233e-16	7.83882e-17	6.96109e-18	5.73373e-19	4.38338e-20	3.11216e-21	2.05333e-22	1.25965e-23	7.18904e-25	3.81903e-26	1.88936e-27	8.70906e-29	3.74245e-30	1.50018e-31	5.61444e-33	1.96439e-34	6.44057e-36	1.98743e-37	5.82041e-39	1.64327e-40	4.59534e-42	1.32351e-43	4.08113e-45	1.36669e-46	4.86825e-48	1.77599e-49	6.42096e-51	2.2537e-52	7.59684e-54	2.44683e-55	7.51418e-57	2.19858e-58	6.1284e-60	1.62771e-61	4.12068e-63	9.94681e-65	2.29028e-66	5.03219e-68	1.0555e-69	2.1143e-71	4.04639e-73	7.403e-75	1.29674e-76	2.19109e-78	3.75785e-80	1.06351e-81	
N3	5.57225e-05	8.89236e-05	0.000174727	0.000361053	0.000742459	0.00148802	0.00287444	0.00531148	0.00933625	0.0155456	0.0244431	0.0362075	0.0504394	0.0659922	0.0810085	0.0932295	0.100533	0.101532	0.0960057	0.0849732	0.0703855	0.0545572	0.0395697	0.0268539	0.0170529	0.0101335	0.00563557	0.0029335	0.00142947	0.000652209	0.000278686	0.000111549	4.18363e-05	1.47064e-05	4.84685e-06	1.49816e-06	4.34464e-07	1.18253e-07	3.02202e-08	7.25415e-09	1.6363e-09	3.46987e-10	6.92039e-11	1.29871e-11	2.29435e-12	3.81751e-13	5.98523e-14	8.84653e-15	1.23331e-15	1.62253e-16	2.01537e-17	2.36469e-18	2.62224e-19	2.7496e-20	2.72764e-21	2.56122e-22	2.27754e-23	1.91896e-24	1.53274e-25	1.16116e-26	8.34737e-28	5.69721e-29	3.69355e-30	2.27566e-31	1.33311e-32	7.429e-34	3.9401e-35	1.98978e-36	9.57253e-38	4.38911e-39	1.91891e-40	8.00308e-42	3.18555e-43	1.21067e-44	4.3952e-46	1.52486e-47	5.05783e-49	1.60461e-50	4.8711e-52	1.41553e-53	3.93932e-55	1.05029e-56	2.68386e-58	6.57568e-60	1.54533e-61	3.48474e-63	7.54313e-65	1.56795e-66	3.1312e-68	6.01385e-70	1.11761e-71	2.11586e-73	6.81594e-75	
N4	0.00402225	0.00488968	0.00678695	0.01004	0.0150457	0.0221545	0.0315131	0.0429016	0.0556168	0.068465	0.0799051	0.0883345	0.0924495	0.0915714	0.0858252	0.0761061	0.0638481	0.0506743	0.0380485	0.0270276	0.018164	0.0115497	0.00694894	0.00395627	0.00213165	0.00108706	0.00052475	0.000239811	0.000103769	4.25223e-05	1.6504e-05	6.06822e-06	2.11407e-06	6.97993e-07	2.18448e-07	6.48198e-08	1.82402e-08	4.8688e-09	1.23308e-09	2.96382e-10	6.76267e-11	1.46525e-11	3.01547e-12	5.8962e-13	1.09571e-13	1.93575e-14	3.25217e-15	5.19759e-16	7.90444e-17	1.14425e-17	1.57723e-18	2.07078e-19	2.5905e-20	3.08878e-21	3.51151e-22	3.80758e-23	3.93916e-24	3.88959e-25	3.66692e-26	3.30175e-27	2.84043e-28	2.33545e-29	1.83592e-30	1.38033e-31	9.92917e-33	6.83579e-34	4.5057e-35	2.84434e-36	1.72027e-37	9.97134e-39	5.54117e-40	2.95316e-41	1.50993e-42	7.40893e-44	3.49001e-45	1.57876e-46	6.86061e-48	2.86491e-49	1.15001e-50	4.43886e-52	1.64802e-53	5.8872e-55	2.02417e-56	6.70062e-58	2.13621e-59	6.56093e-61	1.94184e-62	5.54015e-64	1.5242e-65	4.04713e-67	1.04304e-68	2.75973e-70	1.30519e-71	
N5	4.40916e-05	8.48308e-05	0.000195547	0.000448583	0.000987229	0.00206639	0.00409589	0.00766165	0.013484	0.0222683	0.0344303	0.0497435	0.0670441	0.0841801	0.0983503	0.106815	0.107752	0.100893	0.0876401	0.0705933	0.0527113	0.0364777	0.0233926	0.0139009	0.00765484	0.00390674	0.00184826	0.000810775	0.000329891	0.000124551	4.36543e-05	1.42112e-05	4.29928e-06	1.20944e-06	3.1657e-07	7.71512e-08	1.75189e-08	3.70916e-09	7.32778e-10	1.35185e-10	2.33066e-11	3.75808e-12	5.67199e-13	8.01925e-14	1.06294e-14	1.32194e-15	1.54378e-16	1.69427e-17	1.7488e-18	1.69905e-19	1.55495e-20	1.34155e-21	1.09197e-22	8.39167e-24	6.09324e-25	4.1834e-26	2.71777e-27	1.67197e-28	9.74896e-30	5.39425e-31	2.83896e-32	1.42935e-33	6.99452e-35	3.4732e-36	1.92655e-37	1.35259e-38	1.22733e-39	1.28876e-40	1.40842e-41	1.52264e-42	1.5991e-43	1.62225e-44	1.5874e-45	1.49791e-46	1.36329e-47	1.19705e-48	1.01432e-49	8.29649e-51	6.55223e-52	4.99774e-53	3.68263e-54	2.62213e-55	1.80456e-56	1.20066e-57	7.7251e-59	4.80768e-60	2.89484e-61	1.68695e-62	9.51993e-64	5.21537e-65	2.81374e-66	1.6402e-67	1.79021e-68	
N6	9.1914e-09	2.5949e-08	1.08846e-07	4.89855e-07	2.14138e-06	8.78975e-06	3.33635e-05	0.00011609	0.000368196	0.00106015	0.00276275	0.00650085	0.0137855	0.0263037	0.045101	0.0694157	0.0958165	0.118526	0.131318	0.130247	0.115613	0.091821	0.0652423	0.0414731	0.0235882	0.0120059	0.00546993	0.00223159	0.000815601	0.000267172	7.84877e-05	2.06912e-05	4.89824e-06	1.04205e-06	1.99377e-07	3.43367e-08	5.32744e-09	7.45328e-10	9.41132e-11	1.07361e-11	1.10754e-12	1.03425e-13	8.75167e-15	6.71736e-16	4.68168e-17	2.96593e-18	1.7099e-19	8.98772e-21	4.34558e-22	2.07463e-23	1.49523e-24	2.87564e-25	8.47499e-26	2.50802e-26	6.9816e-27	1.82445e-27	4.49825e-28	1.05209e-28	2.34573e-29	5.00583e-30	1.02563e-30	2.02202e-31	3.84164e-32	7.0406e-33	1.24553e-33	2.12789e-34	3.51202e-35	5.60162e-36	8.63675e-37	1.28763e-37	1.85678e-38	2.59047e-39	3.49762e-40	4.57153e-41	5.78586e-42	7.09272e-43	8.42396e-44	9.69613e-45	1.08188e-45	1.17051e-46	1.22829e-47	1.25049e-48	1.23545e-49	1.18481e-50	1.10323e-51	9.97678e-53	8.76462e-54	7.48188e-55	6.20835e-56	5.01232e-57	3.95814e-58	3.17953e-59	3.6562e-60	
N7	8.8911e-09	2.50394e-08	1.04992e-07	4.73462e-07	2.07692e-06	8.56062e-06	3.26338e-05	0.000114024	0.000363032	0.00104889	0.00274172	0.00646826	0.0137466	0.0262762	0.0451159	0.0695067	0.0959988	0.118776	0.13157	0.130425	0.115661	0.0917375	0.0650717	0.0412781	0.023419	0.0118855	0.00539742	0.00219393	0.000798569	0.000260419	7.61288e-05	1.99624e-05	4.6985e-06	9.93368e-07	1.888e-07	3.22847e-08	4.97127e-09	6.89928e-10	8.63791e-11	9.76555e-12	9.97911e-13	9.22628e-14	7.72575e-15	5.86514e-16	4.04101e-17	2.52947e-18	1.43996e-19	7.46292e-21	3.52505e-22	1.51908e-23	5.97884e-25	2.15159e-26	7.08832e-28	2.14139e-29	5.95044e-31	1.53261e-32	3.74114e-34	9.22082e-36	2.64607e-37	1.06615e-38	7.09253e-40	9.17667e-41	1.93511e-41	4.74028e-42	1.17142e-42	2.82578e-43	6.61435e-44	1.50143e-44	3.30633e-45	7.06633e-46	1.46628e-46	2.95506e-47	5.78593e-48	1.10096e-48	2.03654e-49	3.66346e-50	6.41158e-51	1.09249e-51	1.81462e-52	2.94545e-53	4.69682e-54	7.44111e-55	1.19862e-55	2.04642e-56	3.91744e-57	8.7534e-58	2.25817e-58	6.39874e-59	1.89645e-59	5.70352e-60	1.7174e-60	5.24213e-61	1.95519e-61	
N8	5.66736e-10	1.81401e-09	9.74186e-09	5.77619e-08	3.27549e-07	1.70357e-06	8.01798e-06	3.39558e-05	0.000128952	0.000438031	0.00132813	0.00358816	0.00862464	0.0184201	0.0349179	0.0586967	0.0874297	0.115323	0.134642	0.139088	0.127098	0.102722	0.0734253	0.0464198	0.0259594	0.0128443	0.00562444	0.00218051	0.000748746	0.000227838	6.14717e-05	1.47147e-05	3.12717e-06	5.90455e-07	9.91282e-08	1.48095e-08	1.97056e-09	2.33744e-10	2.474e-11	2.33879e-12	1.97675e-13	1.49531e-14	1.01343e-15	6.16093e-17	3.36503e-18	1.65805e-19	7.5123e-21	3.47323e-22	2.40377e-23	3.39256e-24	6.58174e-25	1.30649e-25	2.48807e-26	4.50405e-27	7.74473e-28	1.26547e-28	1.96602e-29	2.90583e-30	4.0884e-31	5.4789e-32	6.99751e-33	8.52232e-34	9.90348e-35	1.09871e-35	1.16437e-36	1.1794e-37	1.14246e-38	1.05894e-39	9.39754e-41	7.99e-42	6.51356e-43	5.0976e-44	3.83916e-45	2.79799e-46	2.00076e-47	1.45158e-48	1.14606e-49	1.08794e-50	1.31417e-51	1.95725e-52	3.4565e-53	7.33068e-54	1.90068e-54	5.80377e-55	1.94452e-55	6.76217e-56	2.37014e-56	8.26765e-57	2.85653e-57	9.76319e-58	3.30857e-58	1.13906e-58	4.8252e-59	
N9	3.37484e-68	8.74256e-65	1.89143e-61	3.48403e-58	5.50844e-55	7.51228e-52	8.87763e-49	9.13309e-46	8.21608e-43	1.15484e-108	7.83999e-102	2.35111e-95	4.14374e-89	4.81781e-83	3.93136e-77	2.338e-71	1.03835e-65	3.49956e-60	9.04234e-55	1.80144e-49	2.77226e-44	3.28954e-39	2.9927e-34	2.06632e-29	1.06557e-24	4.00526e-20	1.05674e-15	1.83946e-11	1.88196e-07	0.000850945	0.00912678	0.0429408	0.116943	0.205115	0.243975	0.201749	0.116862	0.0470693	0.0128615	0.00226466	0.00023099	1.03449e-05	1.10018e-09	5.17767e-14	1.43431e-18	2.62573e-23	3.38014e-28	3.17792e-33	2.23632e-38	1.1971e-43	4.92522e-49	1.56653e-54	3.8594e-60	7.35241e-66	1.07708e-71	1.20116e-77	1.0036e-83	6.13163e-90	2.63815e-96	7.5134e-103	1.26176e-109	9.38912e-117	4.00537e-51	2.27046e-54	1.12533e-57	4.84029e-61	1.7888e-64	5.60507e-68	1.46239e-71	3.09673e-75	5.12354e-79	6.22796e-83	4.961e-87	1.95022e-91	4.91063e-23	1.84381e-23	6.83265e-24	2.49924e-24	9.02445e-25	3.21719e-25	1.13247e-25	3.93653e-26	1.35142e-26	4.58246e-27	1.53493e-27	5.07933e-28	1.66072e-28	5.36541e-29	1.71308e-29	5.4068e-30	1.69019e-30	5.34044e-31	2.06326e-31	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
