NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	9.45169e-17	1.38278e-16	2.53936e-16	5.08297e-16	2.00611e-12	7.84075e-12	2.85288e-11	9.58007e-11	2.97285e-10	8.55193e-10	2.29355e-09	5.76353e-09	1.3648e-08	3.05985e-08	6.5264e-08	1.3296e-07	2.59739e-07	4.88135e-07	8.85283e-07	1.55352e-06	2.64439e-06	4.37569e-06	7.05264e-06	1.10921e-05	1.70512e-05	2.56578e-05	3.78448e-05	5.47841e-05	7.79214e-05	0.000109008	0.00015013	0.00020373	0.000272626	0.000360015	0.000469469	0.000604918	0.000770608	0.000971056	0.00121096	0.00149514	0.00182837	0.0022153	0.00266027	0.00316714	0.00373916	0.00437874	0.00508733	0.00586553	0.00671287	0.0076277	0.00860708	0.00964678	0.0107413	0.0118837	0.0130661	0.0142793	0.0155132	0.0167568	0.0179986	0.0192265	0.0204285	0.0215929	0.0227083	0.0237638	0.0247489	0.025654	0.0264701	0.0271894	0.0278052	0.028312	0.0287057	0.0289836	0.0291445	0.0291885	0.0291171	0.0289332	0.028641	0.0282458	0.0277539	0.0271725	0.0265096	0.0257738	0.0249742	0.0241202	0.0232218	0.0222896	0.0213351	0.020372	0.0194176	0.0184969	0.017649	0.0169391	0.0164814	
N2	8.72644e-13	2.09438e-12	7.15803e-12	2.59671e-11	9.12533e-11	3.02724e-10	9.40165e-10	2.73724e-09	7.48885e-09	1.92834e-08	4.69625e-08	1.08543e-07	2.38737e-07	5.01724e-07	1.01067e-06	1.9556e-06	3.64691e-06	6.57037e-06	1.14548e-05	1.93751e-05	3.18533e-05	5.09637e-05	7.95155e-05	0.000121162	0.000180456	0.000263152	0.000376112	0.000527185	0.000725613	0.000981568	0.00130541	0.00170892	0.00220352	0.00279942	0.00350753	0.00433684	0.00529172	0.00637823	0.00759688	0.0089418	0.0104092	0.0119892	0.013661	0.015413	0.0172228	0.0190582	0.0209002	0.0227241	0.0244897	0.0261859	0.0277835	0.0292442	0.030559	0.031709	0.0326517	0.0333982	0.0339303	0.0342197	0.034284	0.0341239	0.0337088	0.0330813	0.0322414	0.0311811	0.0299451	0.0285558	0.0269998	0.0253449	0.0236071	0.0217944	0.0199651	0.0181522	0.0163502	0.0146269	0.0129926	0.0114491	0.0100329	0.0087545	0.00758836	0.00656651	0.00567191	0.00488412	0.00420888	0.00363617	0.00313298	0.00271189	0.00235314	0.00204033	0.00177584	0.0015554	0.00136216	0.00121253	0.00110695	
N3	7.59891e-09	1.40335e-08	3.14083e-08	7.17305e-08	1.60864e-07	3.51354e-07	7.43242e-07	1.52342e-06	3.02247e-06	5.80021e-06	1.07771e-05	1.94053e-05	3.38647e-05	5.73773e-05	9.4478e-05	0.000151304	0.000236019	0.000359033	0.000532958	0.000773135	0.00109705	0.00152373	0.00207396	0.00276877	0.0036273	0.00466822	0.00590591	0.00734827	0.00899963	0.0108562	0.0129025	0.0151205	0.0174809	0.0199421	0.0224638	0.0249971	0.0274805	0.0298659	0.0320969	0.0341116	0.0358694	0.0373284	0.0384401	0.0391924	0.0395674	0.0395479	0.0391531	0.0383986	0.037292	0.0358848	0.0342136	0.0323105	0.0302401	0.0280533	0.0257829	0.0234965	0.0212339	0.0190219	0.0169076	0.014917	0.0130548	0.0113505	0.00980619	0.00841342	0.00717891	0.00609503	0.00514201	0.00432039	0.00361478	0.00300793	0.00249437	0.00206246	0.00169573	0.00139145	0.00113874	0.000927512	0.000754249	0.000612921	0.000495447	0.000400845	0.000324126	0.000261167	0.000210621	0.000170237	0.000136877	0.000110495	8.92759e-05	7.19501e-05	5.81885e-05	4.74272e-05	3.87429e-05	3.24838e-05	2.84529e-05	
N4	3.13673e-05	4.45233e-05	7.44359e-05	0.000130094	0.000226323	0.000385715	0.000637137	0.00102136	0.00158623	0.00238456	0.00347594	0.00492028	0.00675821	0.00903351	0.0117595	0.0149137	0.0184612	0.0223347	0.0264007	0.0305572	0.0346516	0.0385027	0.0419812	0.0449578	0.0472632	0.0488648	0.0497002	0.0497199	0.0489868	0.0475676	0.0454844	0.0429087	0.0399401	0.0366652	0.0332425	0.0297878	0.0263451	0.0230521	0.0199542	0.0170739	0.0144674	0.0121508	0.0100928	0.00832001	0.00680415	0.00551352	0.00443804	0.00355351	0.00281949	0.00222911	0.00175406	0.00137131	0.00106877	0.000832162	0.000643166	0.000497669	0.00038446	0.000295842	0.000227619	0.000175612	0.000134523	0.000103514	7.95757e-05	6.09768e-05	4.67105e-05	3.59053e-05	2.73383e-05	2.09102e-05	1.59386e-05	1.20974e-05	9.15617e-06	6.94807e-06	5.20944e-06	3.92208e-06	2.93656e-06	2.18974e-06	1.62582e-06	1.21101e-06	8.90571e-07	6.58419e-07	4.83851e-07	3.54746e-07	2.5893e-07	1.89978e-07	1.3764e-07	1.00478e-07	7.29464e-08	5.29968e-08	3.84203e-08	2.81988e-08	2.06937e-08	1.58044e-08	1.29046e-08	
N5	0.000187947	0.000277446	0.000491149	0.000906337	0.00164037	0.00285253	0.00468066	0.00730468	0.0108176	0.0152163	0.0204364	0.0263677	0.0325322	0.03881	0.0447472	0.0499083	0.0540816	0.0572415	0.058764	0.0591759	0.0582903	0.056143	0.053047	0.0494408	0.0449582	0.0404548	0.0358162	0.0311844	0.0267706	0.0228261	0.019023	0.0157937	0.0129353	0.0104594	0.00835709	0.00666467	0.00519126	0.00404756	0.00311365	0.0023709	0.00178403	0.00134426	0.000988136	0.000729509	0.000531042	0.000383552	0.000273702	0.000196103	0.000136991	9.63667e-05	6.68228e-05	4.60854e-05	3.13996e-05	2.15231e-05	1.43855e-05	9.69984e-06	6.44717e-06	4.26929e-06	2.79314e-06	1.8404e-06	1.18307e-06	7.6785e-07	4.91336e-07	3.1354e-07	1.9771e-07	1.25611e-07	7.79205e-08	4.88075e-08	3.01471e-08	1.85844e-08	1.13239e-08	6.95156e-09	4.17028e-09	2.52586e-09	1.5094e-09	9.00572e-10	5.31249e-10	3.15669e-10	1.83531e-10	1.07694e-10	6.23801e-11	3.60876e-11	2.0655e-11	1.19067e-11	6.72403e-12	3.83211e-12	2.15833e-12	1.21564e-12	6.79143e-13	3.84138e-13	2.16425e-13	1.28908e-13	8.72984e-14	
N6	1.88552e-05	2.78778e-05	5.25207e-05	0.000110518	0.000238638	0.000506444	0.00101911	0.00194515	0.00348968	0.00587352	0.00930986	0.0139974	0.0198055	0.0267721	0.0344975	0.0424339	0.0500603	0.0571303	0.0622737	0.0660764	0.0678061	0.0673618	0.0649876	0.0616355	0.056159	0.0506232	0.0444712	0.0382087	0.0320851	0.026885	0.0215968	0.0174383	0.0137345	0.0106782	0.00811653	0.00624393	0.00456779	0.00341099	0.00247353	0.0017876	0.00125718	0.000906325	0.000615782	0.000432771	0.000293273	0.000199911	0.000131834	9.00569e-05	5.7495e-05	3.83306e-05	2.44704e-05	1.58367e-05	9.84862e-06	6.38615e-06	3.84564e-06	2.43323e-06	1.46595e-06	8.9991e-07	5.28413e-07	3.24824e-07	1.84703e-07	1.10778e-07	6.30718e-08	3.67e-08	2.03562e-08	1.18567e-08	6.37461e-09	3.62185e-09	1.94694e-09	1.07298e-09	5.63187e-10	3.1104e-10	1.58352e-10	8.54699e-11	4.37645e-11	2.30504e-11	1.15911e-11	6.14711e-12	3.03536e-12	1.58865e-12	7.94432e-13	4.08736e-13	2.02946e-13	1.05319e-13	5.16279e-14	2.64209e-14	1.30584e-14	6.57083e-15	3.21725e-15	1.62355e-15	7.98087e-16	4.20363e-16	2.53989e-16	
N7	1.86909e-05	2.76369e-05	5.20884e-05	0.000109703	0.000237159	0.000503748	0.00101527	0.00193997	0.00348442	0.0058713	0.00931764	0.014014	0.0198521	0.0268423	0.0345993	0.0425682	0.0502407	0.057288	0.0624882	0.0662535	0.0679653	0.0674819	0.0651117	0.0616239	0.0561963	0.0505614	0.0443917	0.0380869	0.0319936	0.0267076	0.0214905	0.0172931	0.0136164	0.0105586	0.0080343	0.00614462	0.00450885	0.00334899	0.00242988	0.00174857	0.0012324	0.000881438	0.000601503	0.000419635	0.000284812	0.000192981	0.000127667	8.63539e-05	5.54257e-05	3.66155e-05	2.34293e-05	1.50463e-05	9.3926e-06	6.02159e-06	3.64711e-06	2.28343e-06	1.37937e-06	8.39186e-07	4.9469e-07	3.0035e-07	1.71771e-07	1.01854e-07	5.81385e-08	3.34962e-08	1.86481e-08	1.07233e-08	5.79461e-09	3.25347e-09	1.75301e-09	9.56295e-10	5.03414e-10	2.74612e-10	1.4037e-10	7.493e-11	3.84293e-11	2.0046e-11	1.00965e-11	5.3016e-12	2.62073e-12	1.3593e-12	6.79512e-13	3.46781e-13	1.71804e-13	8.85718e-14	4.32322e-14	2.19874e-14	1.08222e-14	5.41225e-15	2.63495e-15	1.32837e-15	6.51146e-16	3.49876e-16	2.30585e-16	
N8	1.47492e-05	2.27103e-05	4.58881e-05	0.000104589	0.000243259	0.000548602	0.00116326	0.00230934	0.0042735	0.00736668	0.0118791	0.0180035	0.0256261	0.0345304	0.0441396	0.0536093	0.0621624	0.0691214	0.0735008	0.0753543	0.0744993	0.0710154	0.0655551	0.0588737	0.0510764	0.0433069	0.0357933	0.0288037	0.0226703	0.0175755	0.0132214	0.00984498	0.00719462	0.00515708	0.00363701	0.00255661	0.00174004	0.00118747	0.000796272	0.000526881	0.000343122	0.000225384	0.000142078	9.10359e-05	5.70222e-05	3.54778e-05	2.16095e-05	1.3443e-05	7.91832e-06	4.80711e-06	2.82473e-06	1.66327e-06	9.49772e-07	5.60588e-07	3.08977e-07	1.77778e-07	9.79209e-08	5.45563e-08	2.91816e-08	1.62927e-08	8.40774e-09	4.57233e-09	2.35874e-09	1.2407e-09	6.2156e-10	3.27397e-10	1.58388e-10	8.12236e-11	3.92549e-11	1.94809e-11	9.16255e-12	4.5524e-12	2.07036e-12	1.00309e-12	4.57516e-13	2.15565e-13	9.62664e-14	4.56688e-14	1.99843e-14	9.36603e-15	4.16915e-15	1.92939e-15	8.58208e-16	4.04174e-16	1.79061e-16	8.37663e-17	3.77532e-17	1.74646e-17	7.86958e-18	3.69934e-18	1.7202e-18	8.92177e-19	5.55723e-19	
N9	3.61031e-33	5.95552e-29	4.50614e-25	6.14112e-22	2.77075e-18	6.82271e-18	2.80114e-14	1.89675e-15	3.2243e-13	2.48784e-10	1.27323e-11	8.51464e-13	1.86714e-09	1.5246e-06	1.65719e-06	1.76003e-09	1.13239e-10	1.00198e-08	6.82617e-06	0.00259133	0.00508708	9.57829e-06	8.38268e-09	5.73326e-12	1.10573e-10	3.01339e-07	0.000477408	0.232787	0.51589	0.242242	0.000904373	1.40561e-06	1.259e-09	8.25213e-13	1.54518e-13	2.54428e-13	3.03484e-13	2.70883e-13	1.71461e-13	7.39403e-14	1.93154e-14	2.38068e-15	4.18585e-18	3.62681e-21	1.99728e-24	8.0189e-28	2.4762e-31	6.32654e-35	1.3139e-38	2.38903e-42	3.72929e-46	5.16849e-50	6.32372e-54	7.11914e-58	7.07029e-62	6.57854e-66	5.54789e-70	4.35485e-74	3.13709e-78	2.15116e-82	1.3403e-86	8.0258e-91	4.45424e-95	2.34783e-99	1.15558e-103	5.4968e-108	2.4118e-112	1.02867e-116	4.11183e-121	1.57698e-125	5.69982e-130	2.0042e-134	6.55563e-139	2.09446e-143	6.31183e-148	1.83317e-152	5.04052e-157	1.35097e-161	3.38745e-166	8.29988e-171	1.9238e-175	4.30166e-180	9.12729e-185	1.8855e-189	3.65317e-194	6.90027e-199	1.23408e-203	2.12573e-208	3.47275e-213	5.50321e-218	8.18307e-223	1.1806e-227	1.61642e-232	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
