NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	0.00212068	0.00223127	0.00246474	0.00284573	0.0034129	0.00422093	0.00534207	0.00686636	0.00889896	0.0115531	0.0149371	0.0191343	0.0241768	0.0300164	0.0364972	0.0433378	0.0502982	0.0569264	0.0627066	0.0671203	0.069721	0.0702076	0.0682439	0.0639899	0.057848	0.0503973	0.0422992	0.0341964	0.0266269	0.0199704	0.0144307	0.0100136	0.00667202	0.0042685	0.00262206	0.00154665	0.000876188	0.000476853	0.000249441	0.000125513	6.05765e-05	2.80442e-05	1.24547e-05	5.30664e-06	2.16947e-06	8.51189e-07	3.20616e-07	1.16007e-07	4.03622e-08	1.34693e-08	4.31168e-09	1.32412e-09	3.90168e-10	1.10328e-10	2.9945e-11	7.80392e-12	1.95391e-12	4.70552e-13	1.7809e-16	8.3873e-17	3.87004e-17	1.74967e-17	7.75159e-18	3.36579e-18	1.43267e-18	5.98058e-19	2.45049e-19	9.85027e-20	3.88809e-20	1.50962e-20	5.78385e-21	2.19976e-21	8.40227e-22	3.30545e-22	1.42974e-22	8.13366e-23	
N2	0.00199343	0.00209851	0.0023217	0.00268579	0.00322663	0.00399476	0.00505666	0.00649477	0.00840513	0.0108913	0.0140488	0.0179552	0.0226458	0.0280889	0.0341623	0.0406382	0.0472951	0.0537403	0.0595176	0.0641441	0.0671948	0.0683567	0.0673078	0.0641124	0.059049	0.052569	0.045228	0.0376035	0.0302073	0.0234515	0.0176044	0.0127523	0.00891902	0.0060281	0.00394235	0.00249991	0.00154184	0.000927108	0.000546092	0.000317093	0.000182389	0.000104746	6.05435e-05	3.54585e-05	2.11341e-05	1.28358e-05	7.83933e-06	4.7912e-06	2.91785e-06	1.76011e-06	1.04896e-06	6.16762e-07	3.57657e-07	2.04651e-07	1.15676e-07	6.38243e-08	3.44367e-08	1.8202e-08	9.41404e-09	4.76744e-09	2.36508e-09	1.14972e-09	5.47778e-10	2.55834e-10	1.17172e-10	5.26819e-11	2.33115e-11	1.01722e-11	4.40891e-12	1.92025e-12	8.54e-13	3.9515e-13	1.94164e-13	1.04482e-13	6.58925e-14	5.56074e-14	
N3	0.00339067	0.00352485	0.00381223	0.00428606	0.0050008	0.00603612	0.00749917	0.00952241	0.0122542	0.0158399	0.0203846	0.0259272	0.032395	0.0395707	0.0470772	0.0543904	0.0610381	0.0664128	0.0699697	0.0713003	0.0702348	0.0668595	0.0613414	0.0542358	0.0462108	0.0379431	0.0300257	0.0229035	0.016842	0.0119443	0.00817489	0.00538889	0.00342275	0.00209558	0.00123744	0.000705239	0.000388256	0.000206613	0.00010642	5.31477e-05	2.57152e-05	1.20717e-05	5.50723e-06	2.44605e-06	1.05979e-06	4.48839e-07	1.85981e-07	7.55338e-08	3.01266e-08	1.17882e-08	4.52771e-09	1.70749e-09	6.32245e-10	2.29817e-10	8.19853e-11	2.86386e-11	9.79382e-12	3.28019e-12	1.07381e-12	3.43613e-13	1.07506e-13	3.29009e-14	9.85524e-15	2.89165e-15	8.31824e-16	2.3485e-16	6.51734e-17	1.77607e-17	4.75609e-18	1.25218e-18	3.24281e-19	8.27074e-20	2.0875e-20	5.31975e-21	1.48639e-21	6.14112e-22	
N4	1.2221e-05	1.29367e-05	1.45745e-05	1.75799e-05	2.28172e-05	3.19024e-05	4.78157e-05	7.60776e-05	0.000127078	0.000220768	0.00039567	0.000726189	0.00135148	0.00251736	0.00462348	0.0082507	0.014154	0.023093	0.0355527	0.0513078	0.06913	0.08672	0.100854	0.108638	0.108336	0.100011	0.0855038	0.067763	0.0497199	0.0338113	0.0213439	0.0124985	0.0068027	0.00345049	0.00163651	0.000728816	0.000306295	0.00012091	4.49398e-05	1.57694e-05	5.22405e-06	1.63661e-06	4.85636e-07	1.36694e-07	3.65484e-08	9.29416e-09	2.21091e-09	4.92423e-10	1.02864e-10	2.01504e-11	3.70833e-12	6.42438e-13	1.04999e-13	1.62258e-14	2.37591e-15	3.24237e-16	4.13345e-17	4.93465e-18	5.51849e-19	5.79049e-20	5.70965e-21	5.29863e-22	4.63515e-23	3.8289e-24	2.99292e-25	2.21977e-26	1.56811e-27	1.05815e-28	6.85421e-30	4.28458e-31	2.59755e-32	1.53307e-33	8.82561e-35	4.96422e-36	2.79038e-37	2.13227e-38	
N5	1.27757e-06	1.47237e-06	1.90242e-06	2.65635e-06	3.89676e-06	5.90979e-06	9.19773e-06	1.46457e-05	2.38145e-05	3.94576e-05	6.64655e-05	0.000113731	0.000198016	0.000352074	0.000640903	0.00119102	0.00224018	0.00419153	0.00765817	0.0134423	0.0223873	0.0350653	0.0512305	0.0695664	0.0875848	0.102072	0.109995	0.109546	0.100811	0.0857568	0.0674978	0.0491014	0.0330787	0.0206987	0.0120831	0.00662252	0.00343813	0.00170984	0.000825341	0.000391672	0.000183863	8.55374e-05	3.92648e-05	1.76405e-05	7.68853e-06	3.2268e-06	1.29603e-06	4.96554e-07	1.81237e-07	6.28427e-08	2.06978e-08	6.47706e-09	1.92687e-09	5.45291e-10	1.46896e-10	3.76649e-11	9.19947e-12	2.14307e-12	4.75693e-13	1.00683e-13	2.03364e-14	3.92325e-15	7.23533e-16	1.27692e-16	2.15964e-17	3.50806e-18	5.49414e-19	8.32456e-20	1.2286e-20	1.78068e-21	2.55453e-22	3.64587e-23	5.17976e-24	7.32453e-25	1.07133e-25	2.33996e-26	
N6	4.48734e-08	5.50827e-08	7.66435e-08	1.11705e-07	1.63205e-07	2.36443e-07	3.43086e-07	5.07145e-07	7.70466e-07	1.19355e-06	1.8484e-06	2.80807e-06	4.15613e-06	6.08098e-06	9.21249e-06	1.55789e-05	3.11951e-05	7.24669e-05	0.000181491	0.000459214	0.00112961	0.00264606	0.00581767	0.0119023	0.0224837	0.0389294	0.0613652	0.0875381	0.112436	0.129513	0.133396	0.122314	0.0997379	0.0723081	0.0466364	0.0268027	0.0137649	0.0063439	0.00263991	0.0010003	0.000347811	0.000112198	3.39415e-05	9.71193e-06	2.64049e-06	6.82107e-07	1.66794e-07	3.84077e-08	8.28905e-09	1.6668e-09	3.11451e-10	5.40036e-11	8.6862e-12	1.29648e-12	1.79716e-13	2.31573e-14	2.77737e-15	3.10573e-16	3.23718e-17	3.1493e-18	2.86355e-19	2.43721e-20	1.945e-21	1.45834e-22	1.02994e-23	6.8745e-25	4.35747e-26	2.63429e-27	1.52934e-28	8.58756e-30	4.69178e-31	2.50122e-32	1.29993e-33	6.57922e-35	3.32176e-36	2.19099e-37	
N7	3.51556e-08	4.04172e-08	5.18514e-08	7.15371e-08	1.03578e-07	1.55979e-07	2.44844e-07	4.03928e-07	7.06461e-07	1.31475e-06	2.59037e-06	5.33006e-06	1.12434e-05	2.38555e-05	5.00793e-05	0.000102694	0.000204256	0.000391533	0.000720967	0.00127468	0.00216832	0.00356444	0.00568429	0.0088538	0.0135321	0.0203022	0.0297577	0.042238	0.0574447	0.0740991	0.0898918	0.101663	0.106726	0.103702	0.0931069	0.0771891	0.0591093	0.0418737	0.0275304	0.0168994	0.00975838	0.00538613	0.00291075	0.00158725	0.000896807	0.000529782	0.000323183	0.000198972	0.000121164	7.18944e-05	4.13138e-05	2.29274e-05	1.22621e-05	6.30457e-06	3.10796e-06	1.4662e-06	6.61717e-07	2.86222e-07	1.18718e-07	4.73546e-08	1.82018e-08	6.74434e-09	2.40609e-09	8.24927e-10	2.71477e-10	8.58317e-11	2.61818e-11	7.74576e-12	2.24616e-12	6.47027e-13	1.87706e-13	5.54006e-14	1.67078e-14	5.19732e-15	1.78944e-15	9.17052e-16	
Carex_microglochin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	4.15174e-08	5.79759e-08	9.68642e-08	1.71641e-07	3.06559e-07	5.41865e-07	9.41128e-07	1.60084e-06	2.66225e-06	4.32516e-06	6.86242e-06	1.06328e-05	1.60869e-05	2.37585e-05	3.42375e-05	4.8121e-05	6.61064e-05	8.87771e-05	0.000116699	0.000150564	0.000191545	0.000241998	0.000306041	0.000392854	0.000520264	0.000722003	0.00106109	0.00165367	0.00270728	0.00457146	0.00778266	0.0130329	0.0210724	0.032426	0.0469995	0.0637184	0.0804373	0.0943082	0.102587	0.103578	0.0969995	0.0845309	0.0688912	0.052879	0.0385857	0.0270659	0.0184589	0.0123518	0.00814556	0.00527296	0.00333055	0.0020367	0.001197	0.000672219	0.000359299	0.000182352	8.77869e-05	4.00937e-05	1.73389e-05	7.10355e-06	2.75903e-06	1.01688e-06	3.56077e-07	1.18656e-07	3.7715e-08	1.1473e-08	3.35671e-09	9.47995e-10	2.60027e-10	6.96757e-11	1.83144e-11	4.72921e-12	1.19992e-12	3.0205e-13	8.10971e-14	3.24834e-14	
Carex_baldensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_curvula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	1.70799e-09	2.09716e-09	2.84598e-09	3.96697e-09	5.52356e-09	7.75353e-09	1.12808e-08	1.7348e-08	2.79624e-08	4.58884e-08	7.46466e-08	1.19284e-07	1.9028e-07	3.18288e-07	6.07561e-07	1.42834e-06	4.10991e-06	1.33027e-05	4.4506e-05	0.000145753	0.000452651	0.00130723	0.0034574	0.00829714	0.0179267	0.0346374	0.0594989	0.0904014	0.12096	0.14201	0.145849	0.130402	0.101346	0.0684119	0.0401121	0.0204461	0.00907619	0.00351869	0.0011962	0.000358613	9.52284e-05	2.25655e-05	4.8115e-06	9.31189e-07	1.64909e-07	2.6902e-08	4.06146e-09	5.69117e-10	7.41869e-11	8.9987e-12	1.01892e-12	1.08261e-13	1.08709e-14	1.03972e-15	9.53249e-17	8.40269e-18	7.11272e-19	5.75845e-20	4.42823e-21	3.22085e-22	2.21093e-23	1.43175e-24	8.75092e-26	5.05045e-27	2.75196e-28	1.41495e-29	6.86288e-31	3.13592e-32	1.35238e-33	5.53348e-35	2.17829e-36	8.54496e-38	3.58138e-39	1.73445e-40	9.96764e-42	7.40193e-43	
N10	7.52094e-11	9.21139e-11	1.27824e-10	1.87271e-10	2.79854e-10	4.25921e-10	6.72507e-10	1.12768e-09	2.03518e-09	3.93944e-09	8.05574e-09	1.714e-08	3.77949e-08	8.78621e-08	2.24426e-07	6.5778e-07	2.21612e-06	8.12508e-06	3.02876e-05	0.000109105	0.000368002	0.00113972	0.00319349	0.00802671	0.0179715	0.03563	0.0622251	0.0952813	0.127389	0.148157	0.149407	0.129954	0.0972985	0.0626276	0.0346369	0.0164642	0.00673369	0.00237452	0.000724255	0.000191964	4.43497e-05	8.98411e-06	1.60712e-06	2.55933e-07	3.66082e-08	4.74835e-09	5.64248e-10	6.21318e-11	6.42483e-12	6.31581e-13	5.98198e-14	5.51949e-15	4.99345e-16	4.43449e-17	3.85113e-18	3.24486e-19	2.62409e-20	2.01381e-21	1.44996e-22	9.73674e-24	6.09217e-25	3.56375e-26	1.96068e-27	1.02048e-28	5.03999e-30	2.36003e-31	1.0441e-32	4.33926e-34	1.69025e-35	6.17884e-37	2.1313e-38	7.0265e-40	2.31388e-41	8.89911e-43	5.1157e-44	4.97007e-45	
N11	8.17098e-11	1.33836e-10	2.70697e-10	5.78482e-10	1.25767e-09	2.78048e-09	6.30374e-09	1.47801e-08	3.60228e-08	9.13177e-08	2.39949e-07	6.4974e-07	1.80138e-06	5.08064e-06	1.44704e-05	4.12042e-05	0.000115942	0.000317031	0.00082855	0.00203944	0.00467207	0.0098713	0.0190694	0.0335435	0.0535613	0.0774626	0.101307	0.119679	0.127625	0.122818	0.106667	0.0834143	0.0587528	0.0372893	0.0213383	0.0110175	0.00513802	0.00216711	0.000828256	0.000287669	9.08846e-05	2.62218e-05	6.94725e-06	1.7035e-06	3.90794e-07	8.50584e-08	1.78514e-08	3.66824e-09	7.45723e-10	1.4992e-10	2.96205e-11	5.69543e-12	1.05563e-12	1.87222e-13	3.16193e-14	5.07068e-15	7.71104e-16	1.11207e-16	1.5191e-17	1.96716e-18	2.41793e-19	2.8253e-20	3.1439e-21	3.33831e-22	3.39076e-23	3.30482e-24	3.10471e-25	2.82134e-26	2.49364e-27	2.15446e-28	1.82557e-29	1.51787e-30	1.23568e-31	9.83447e-33	7.84946e-34	8.72852e-35	
N12	1.20718e-10	1.999e-10	4.19345e-10	9.57881e-10	2.28992e-09	5.69399e-09	1.47003e-08	3.91539e-08	1.06266e-07	2.89369e-07	7.78694e-07	2.04447e-06	5.18615e-06	1.26355e-05	2.95641e-05	6.69632e-05	0.000149585	0.000335937	0.000766376	0.00176025	0.00396949	0.00853738	0.0170675	0.0312259	0.0517688	0.077303	0.103582	0.124265	0.13329	0.127743	0.109378	0.0834795	0.0568114	0.0344915	0.0186942	0.00905362	0.00392299	0.00152359	0.000531778	0.000167507	4.77809e-05	1.24436e-05	2.99719e-06	6.80858e-07	1.49789e-07	3.28385e-08	7.31649e-09	1.65907e-09	3.77525e-10	8.43828e-11	1.82333e-11	3.77048e-12	7.4188e-13	1.38414e-13	2.44343e-14	4.07664e-15	6.42867e-16	9.59842e-17	1.35761e-17	1.82351e-18	2.33077e-19	2.83847e-20	3.29434e-21	3.64251e-22	3.83583e-23	3.84926e-24	3.68938e-25	3.38554e-26	2.99493e-27	2.58557e-28	2.22378e-29	1.95996e-30	1.81277e-31	1.76083e-32	1.78884e-33	2.61287e-34	
Carex_pauciflora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
