NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	3.14303e-06	3.59949e-06	4.46477e-06	5.78387e-06	7.65738e-06	1.0232e-05	1.37008e-05	1.83078e-05	2.43538e-05	3.22042e-05	4.22965e-05	5.51483e-05	7.1365e-05	9.16471e-05	0.000116797	0.000147724	0.000185451	0.000231117	0.00028598	0.000351423	0.000428948	0.000520178	0.000626847	0.00075079	0.000893925	0.00105824	0.00124577	0.00145857	0.00169868	0.0019681	0.00226875	0.00260242	0.00297077	0.00337525	0.00381707	0.00429723	0.00481647	0.0053754	0.00597474	0.00661553	0.0072987	0.00802495	0.00879482	0.00960863	0.0104665	0.0113683	0.0123136	0.0133017	0.0143319	0.0154028	0.0165129	0.0176605	0.0188435	0.0200593	0.0213053	0.0225783	0.023875	0.0251917	0.0265243	0.0278684	0.0292194	0.0305724	0.031922	0.0332626	0.0345881	0.0358921	0.0371674	0.0384062	0.0395992	0.0407358	0.0418027	0.0427832	0.0436553	0.0443894	0.0449444	0.0452628	
N2	1.33391e-06	1.90721e-06	2.74197e-06	3.93804e-06	5.61908e-06	7.97183e-06	1.12237e-05	1.56995e-05	2.17784e-05	2.99792e-05	4.08859e-05	5.5276e-05	7.39989e-05	9.81639e-05	0.000128946	0.000167858	0.000216449	0.000276694	0.000350544	0.000440477	0.00054884	0.000678622	0.000832513	0.00101397	0.00122592	0.0014722	0.00175577	0.00208072	0.00244984	0.00286725	0.00333529	0.00385794	0.00443675	0.00507532	0.00577412	0.00653618	0.00736068	0.00825016	0.00920286	0.0102218	0.0113044	0.0124534	0.0136649	0.0149412	0.0162765	0.0176726	0.0191213	0.0206232	0.0221671	0.023751	0.025359	0.0269846	0.0286041	0.0302041	0.0317499	0.033218	0.0345613	0.035746	0.0367143	0.0374275	0.0378256	0.0378769	0.0375336	0.0367872	0.0356179	0.0340538	0.0321125	0.0298619	0.0273533	0.0246836	0.0219211	0.0191703	0.0164928	0.0139778	0.0116602	0.00959879	
N3	1.43317e-06	2.50801e-06	4.7989e-06	9.31484e-06	1.77252e-05	3.27135e-05	5.82977e-05	0.000100379	0.000167071	0.000269376	0.000421252	0.000640282	0.000947038	0.00136559	0.00192162	0.00264272	0.00355475	0.00468236	0.00604344	0.00765087	0.00950557	0.0116011	0.0139157	0.016421	0.0190726	0.0218236	0.0246125	0.0273816	0.0300607	0.0325913	0.0349037	0.0369475	0.0386624	0.0400142	0.0409591	0.0414853	0.0415702	0.0412272	0.0404545	0.0392892	0.0377516	0.0359045	0.0337866	0.0314764	0.0290194	0.0264968	0.0239495	0.0214498	0.0190251	0.0167318	0.01458	0.0126079	0.0108092	0.0092054	0.00777774	0.00653539	0.00545224	0.00452968	0.0037392	0.00307839	0.00252002	0.00206067	0.00167654	0.00136476	0.00110585	0.00089805	0.000726182	0.000589594	0.000476887	0.000388257	0.000315373	0.000258994	0.000213159	0.000179024	0.000152438	0.000135017	
N4	6.04775e-11	1.75659e-10	6.46657e-10	2.4317e-09	8.72346e-09	2.93283e-08	9.18511e-08	2.68283e-07	7.31679e-07	1.87046e-06	4.49472e-06	1.0199e-05	2.19213e-05	4.48145e-05	8.73456e-05	0.000162802	0.000290591	0.000497848	0.000819417	0.00129844	0.00198266	0.00292416	0.0041704	0.00576666	0.0077409	0.0101162	0.0128857	0.0160438	0.0195414	0.0233442	0.0273525	0.031503	0.0356335	0.0396561	0.0433455	0.046617	0.0492092	0.0510972	0.0520303	0.0521038	0.0511304	0.049375	0.0467233	0.0435741	0.0398426	0.0359843	0.031891	0.0279964	0.0241406	0.0206855	0.0174247	0.0146335	0.0120867	0.00998137	0.00810529	0.00659438	0.00527078	0.00422565	0.0033232	0.00262217	0.00202598	0.00157017	0.00118959	0.000903671	0.000670179	0.000498261	0.00036141	0.000262921	0.000186681	0.000133197	9.30221e-05	6.56793e-05	4.58593e-05	3.30271e-05	2.43877e-05	1.98037e-05	
N5	3.24306e-12	1.0721e-11	4.662e-11	2.06246e-10	8.5886e-10	3.30537e-09	1.17218e-08	3.84082e-08	1.16669e-07	3.3006e-07	8.73719e-07	2.17585e-06	5.12125e-06	1.14386e-05	2.43056e-05	4.9215e-05	9.50235e-05	0.000175067	0.000307932	0.000517728	0.000833219	0.00128646	0.00191017	0.0027364	0.00379443	0.00511302	0.00672012	0.00864909	0.0109349	0.0136194	0.0167332	0.0202986	0.0242935	0.0286648	0.0332795	0.037977	0.042506	0.0466403	0.0500759	0.0526281	0.0540568	0.0543566	0.0534269	0.0514792	0.0485281	0.0449511	0.0407903	0.0364931	0.0320369	0.0278535	0.0238075	0.0202698	0.0169997	0.0143007	0.0118694	0.00995538	0.00824338	0.00694258	0.00576577	0.0048894	0.0040759	0.00347125	0.00289354	0.00245867	0.00203592	0.00171249	0.00139921	0.00115759	0.000929084	0.000754109	0.000595042	0.000476527	0.000374487	0.000303215	0.000247295	0.00021596	
N6	8.73401e-18	8.08223e-17	9.37536e-16	1.00089e-14	9.21358e-14	7.28639e-13	4.95112e-12	2.84547e-11	1.37847e-10	5.78817e-10	2.22192e-09	8.2048e-09	2.95024e-08	1.0092e-07	3.19257e-07	9.19035e-07	2.39354e-06	5.64097e-06	1.20667e-05	2.35646e-05	4.23838e-05	7.11785e-05	0.000113784	0.000177482	0.000277	0.000440149	0.000713717	0.00116883	0.00190328	0.00304137	0.00472675	0.00711303	0.0103409	0.0145206	0.01969	0.0258054	0.0326857	0.0400494	0.0474504	0.0544128	0.0603499	0.0648366	0.0674136	0.0679912	0.0664354	0.0631037	0.0581585	0.0522634	0.0456614	0.0390557	0.0325551	0.0267015	0.021396	0.0169676	0.0131736	0.0101803	0.00770988	0.00583856	0.00433002	0.0032193	0.00233843	0.00170348	0.0012083	0.000858499	0.0005919	0.000408045	0.000272241	0.000181344	0.000116739	7.50006e-05	4.65893e-05	2.89528e-05	1.75039e-05	1.07635e-05	6.73644e-06	4.83006e-06	
N7	3.31921e-14	1.30185e-13	6.59298e-13	3.32794e-12	1.57252e-11	6.85177e-11	2.74527e-10	1.0132e-09	3.45553e-09	1.09361e-08	3.22723e-08	8.93088e-08	2.3322e-07	5.78471e-07	1.3712e-06	3.12249e-06	6.85702e-06	1.45545e-05	2.98821e-05	5.93216e-05	0.00011374	0.000210352	0.000374796	0.000642859	0.00106116	0.0016862	0.00258142	0.00381253	0.00544173	0.00752231	0.0100939	0.0131795	0.0167824	0.0208832	0.0254332	0.030348	0.0354957	0.0406929	0.0456978	0.0502281	0.0539897	0.0567214	0.0582157	0.058363	0.057144	0.0546599	0.0510815	0.0466723	0.0416992	0.0364738	0.0312372	0.0262443	0.021629	0.0175435	0.0139981	0.0110544	0.00863035	0.00673714	0.00524558	0.0041544	0.00332374	0.00276164	0.00233821	0.00207707	0.00186707	0.00174507	0.0016213	0.0015407	0.00143455	0.00135069	0.00123902	0.00114579	0.00103553	0.000949937	0.000863718	0.00081392	
Carex_microglochin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.8246e-13	5.901e-13	2.54384e-12	1.13248e-11	4.80202e-11	1.89988e-10	6.98398e-10	2.38858e-09	7.61834e-09	2.27365e-08	6.37196e-08	1.6837e-07	4.20998e-07	9.99215e-07	2.25534e-06	4.84529e-06	9.90729e-06	1.92741e-05	3.56656e-05	6.27959e-05	0.000105319	0.000168648	0.000258716	0.000382011	0.000546024	0.000760535	0.00103953	0.00140402	0.00188502	0.00252705	0.00339038	0.00455307	0.00610804	0.00815864	0.0108036	0.0141234	0.0181506	0.0228571	0.0281181	0.033726	0.0393732	0.0447289	0.049406	0.0531065	0.0555271	0.0565759	0.0561489	0.054437	0.051521	0.0478147	0.0434571	0.0389449	0.0343295	0.0300653	0.0260376	0.0226049	0.0194984	0.0169927	0.0147364	0.0129579	0.0113021	0.00997983	0.00868593	0.00762006	0.00654712	0.00564593	0.00474704	0.00399582	0.00327333	0.00268518	0.00214754	0.00172896	0.00136939	0.0011098	0.000907218	0.000788578	
Carex_baldensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
