NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	
N1	1.69777e-08	2.05762e-08	2.83314e-08	4.20374e-08	6.49065e-08	1.02083e-07	1.61527e-07	2.5523e-07	4.01e-07	6.24715e-07	9.63522e-07	1.46965e-06	2.21572e-06	3.30064e-06	4.85779e-06	7.06353e-06	1.01488e-05	1.44106e-05	2.02272e-05	2.80728e-05	3.85362e-05	5.23371e-05	7.03477e-05	9.36093e-05	0.000123356	0.000161029	0.000208302	0.000267092	0.000339576	0.000428192	0.00053565	0.000664915	0.000819206	0.00100197	0.00121684	0.00146764	0.00175829	0.00209284	0.00247548	0.00291073	0.00340315	0.00395725	0.00457741	0.00526783	0.00603231	0.00687423	0.00779632	0.00880059	0.0098881	0.0110591	0.0123132	0.0136503	0.0150707	0.0165742	0.0181598	0.019826	0.0215706	0.0233906	0.0252824	0.0272416	0.0292632	0.031341	0.0334685	0.0356379	0.0378407	0.040067	0.0423056	0.0445433	0.046764	0.0489475	0.0510672	0.0530867	0.0549542	0.0565937	0.0578911	0.0586726	
N2	1.01888e-08	1.4127e-08	2.12595e-08	3.36979e-08	5.50788e-08	9.14361e-08	1.52216e-07	2.52756e-07	4.16518e-07	6.78569e-07	1.09176e-06	1.73324e-06	2.71087e-06	4.18034e-06	6.35487e-06	9.51996e-06	1.40649e-05	2.0502e-05	2.94768e-05	4.18441e-05	5.86653e-05	8.12307e-05	0.000111171	0.00015045	0.000201309	0.000266551	0.000349355	0.000453242	0.000582458	0.0007417	0.000935766	0.00117057	0.00145213	0.00178637	0.00218043	0.00264138	0.00317515	0.00378982	0.0044923	0.00528827	0.00618584	0.00719179	0.00830907	0.00954563	0.0109052	0.0123875	0.0139971	0.0157348	0.0175916	0.0195696	0.0216604	0.0238475	0.0261247	0.0284744	0.030858	0.0332529	0.0356102	0.0378588	0.0399397	0.0417722	0.0432454	0.0442892	0.0448133	0.0447288	0.0440102	0.0426481	0.0406384	0.0380819	0.0350752	0.0317243	0.0282064	0.0246756	0.0212287	0.0180283	0.0151473	0.0126006	
N3	1.30829e-07	2.21892e-07	4.4199e-07	9.25851e-07	1.93626e-06	3.95701e-06	7.8282e-06	1.49747e-05	2.76929e-05	4.95133e-05	8.57486e-05	0.000144035	0.000234804	0.000372186	0.000574291	0.000863176	0.00126564	0.00181217	0.00253479	0.00346819	0.00464511	0.00609216	0.00783215	0.00987695	0.0122199	0.0148475	0.0177258	0.0207966	0.0239988	0.0272546	0.0304599	0.0335333	0.0363785	0.038889	0.0409997	0.0426482	0.0437571	0.0443267	0.0443434	0.043791	0.0427275	0.0412072	0.0392523	0.0369821	0.0344685	0.0317625	0.0289776	0.026191	0.0234217	0.0207723	0.0182721	0.0159239	0.013777	0.0118439	0.0100898	0.00855097	0.00720602	0.00602619	0.00501628	0.00416174	0.0034235	0.00281039	0.0022983	0.00186648	0.00151122	0.00122235	0.000979159	0.000784778	0.000627077	0.000498034	0.000395291	0.000315256	0.000250193	0.000201763	0.000165864	0.000140931	
N4	6.09273e-13	1.85255e-12	7.88501e-12	3.55375e-11	1.55537e-10	6.42101e-10	2.47296e-09	8.86256e-09	2.95704e-08	9.18252e-08	2.66472e-07	7.24438e-07	1.8498e-06	4.45381e-06	1.01467e-05	2.19158e-05	4.50523e-05	8.838e-05	0.000165689	0.000297817	0.000514238	0.000853828	0.00136679	0.00211335	0.00315686	0.00456915	0.00641531	0.00874078	0.0115841	0.0149577	0.0187989	0.0230715	0.0276604	0.0323727	0.0370699	0.0415906	0.0455848	0.0490234	0.0516976	0.0533601	0.0540599	0.0538679	0.0524861	0.050388	0.0475689	0.0440479	0.0401669	0.0362054	0.0319183	0.027884	0.024018	0.0203418	0.0170074	0.0141224	0.01145	0.00924141	0.00735094	0.00575626	0.00444549	0.00341648	0.0025553	0.00190553	0.00139611	0.0010075	0.000714936	0.000505077	0.000346473	0.000237196	0.000159263	0.000105671	6.90115e-05	4.51897e-05	2.9049e-05	1.91259e-05	1.30027e-05	9.78894e-06	
N5	5.61158e-14	1.8957e-13	9.27699e-13	4.77087e-12	2.33832e-11	1.06365e-10	4.46471e-10	1.73073e-09	6.21446e-09	2.07143e-08	6.43724e-08	1.87116e-07	5.10559e-07	1.31235e-06	3.18876e-06	7.34119e-06	1.60604e-05	3.34567e-05	6.64767e-05	0.00012623	0.000229467	0.000399855	0.000669349	0.00107848	0.00167544	0.00251593	0.00366001	0.00516634	0.00709308	0.00948879	0.0123779	0.0157745	0.0196567	0.0239498	0.0285665	0.033375	0.0381487	0.0427293	0.0468914	0.0503385	0.0529454	0.0545963	0.0550236	0.0544115	0.0527842	0.0500939	0.0467054	0.0428872	0.038502	0.0341514	0.0298875	0.0256737	0.0218211	0.0184553	0.0152592	0.0126187	0.010355	0.00837816	0.00674504	0.00546071	0.0043079	0.00343467	0.00271439	0.00212357	0.00164828	0.00128896	0.000977043	0.000747477	0.000561774	0.000418226	0.000306542	0.000226285	0.000163121	0.00012077	9.13353e-05	7.4548e-05	
N6	6.23454e-20	6.16146e-19	8.35351e-18	1.07389e-16	1.21353e-15	1.17712e-14	9.8427e-14	7.07002e-13	4.38789e-12	2.36274e-11	1.13578e-10	4.98148e-10	2.03001e-09	7.69987e-09	2.72072e-08	8.91058e-08	2.69143e-07	7.4483e-07	1.88594e-06	4.38118e-06	9.4264e-06	1.89972e-05	3.6436e-05	6.73787e-05	0.000121462	0.00021464	0.000372633	0.000635079	0.00106208	0.00174194	0.00279637	0.0043888	0.00671457	0.0099764	0.0143594	0.0199737	0.0267645	0.0345527	0.0429446	0.0513073	0.0590267	0.0654642	0.0698505	0.0720108	0.071779	0.0690618	0.0644309	0.0584472	0.0512615	0.043883	0.0366417	0.0297143	0.0235717	0.018374	0.0138736	0.0103354	0.00755052	0.00537775	0.00376406	0.00260894	0.00174736	0.00116327	0.00075869	0.000483705	0.000302395	0.000187531	0.000111914	6.63909e-05	3.83482e-05	2.1683e-05	1.19578e-05	6.54644e-06	3.46062e-06	1.84354e-06	9.97759e-07	6.19793e-07	
N7	1.07778e-15	4.15681e-15	2.23382e-14	1.23731e-13	6.54182e-13	3.22885e-12	1.47809e-11	6.2695e-11	2.46832e-10	9.03859e-10	3.08984e-09	9.89467e-09	2.9802e-08	8.47616e-08	2.28615e-07	5.86842e-07	1.43897e-06	3.38013e-06	7.62395e-06	1.65403e-05	3.45591e-05	6.95809e-05	0.000135062	0.000252773	0.0004561	0.000793453	0.00133091	0.00215267	0.00335908	0.00505968	0.00736172	0.0103557	0.014097	0.0185854	0.0237548	0.0294608	0.0354757	0.0415139	0.0472378	0.0522758	0.0563053	0.0590638	0.0603489	0.0601333	0.0584801	0.055501	0.0514957	0.0467727	0.0415488	0.0362286	0.0310683	0.0261507	0.0217463	0.0179443	0.0145994	0.0118837	0.00970958	0.00787681	0.00646235	0.00539323	0.0044485	0.00375201	0.00320277	0.00270509	0.00231243	0.00200848	0.00169891	0.00146253	0.0012523	0.00105671	0.00088725	0.000749858	0.000617236	0.000518047	0.000438072	0.00038438	
Carex_microglochin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	9.41342e-15	2.90929e-14	1.29979e-13	6.22774e-13	2.896e-12	1.2693e-11	5.20353e-11	1.99427e-10	7.15663e-10	2.40786e-09	7.61691e-09	2.27037e-08	6.39208e-08	1.70425e-07	4.31417e-07	1.03885e-06	2.38489e-06	5.22786e-06	1.09553e-05	2.19716e-05	4.2213e-05	7.77428e-05	0.000137431	0.000233509	0.000381968	0.000602878	0.000920404	0.00136222	0.00196016	0.00274928	0.00376645	0.00505286	0.00665068	0.00859867	0.0109379	0.0137019	0.0168961	0.0205242	0.0245459	0.0288475	0.0333155	0.0377824	0.0419528	0.0456761	0.0487325	0.0508139	0.0519365	0.0521187	0.0511028	0.0493457	0.0469437	0.0437974	0.0403975	0.0369866	0.0331686	0.029645	0.0262765	0.022903	0.0198182	0.0171115	0.0143902	0.0121004	0.0100395	0.00817742	0.00657339	0.00526267	0.00408005	0.00315804	0.00239588	0.00178926	0.00131376	0.000965549	0.00069401	0.000509912	0.000383051	0.000309752	
Carex_baldensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_curvula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	3.92888e-23	6.67672e-22	1.48489e-20	3.04783e-19	5.37138e-18	7.85516e-17	9.61867e-16	9.6911e-15	8.06836e-14	5.61207e-13	3.4491e-12	1.92514e-11	9.91842e-11	4.69146e-10	2.03473e-09	8.01085e-09	2.84539e-08	9.06972e-08	2.6114e-07	6.86228e-07	1.67929e-06	3.89596e-06	8.73281e-06	1.90762e-05	4.07596e-05	8.50314e-05	0.000172769	0.000341264	0.00065409	0.00121448	0.00217808	0.00376263	0.00624194	0.00991708	0.015063	0.0218459	0.0302254	0.0398987	0.0502608	0.0604287	0.0694152	0.0762567	0.0801497	0.0807388	0.0780457	0.0724279	0.0646679	0.0556354	0.0461155	0.0369345	0.0286167	0.0214351	0.0155689	0.0109799	0.0075005	0.00498509	0.00322382	0.00202284	0.00123654	0.000737184	0.000425956	0.000240287	0.000132073	7.04044e-05	3.65892e-05	1.85762e-05	9.1207e-06	4.38769e-06	2.06174e-06	9.44014e-07	4.24821e-07	1.89453e-07	8.27523e-08	3.6369e-08	1.63702e-08	8.57965e-09	
N10	2.95309e-24	5.29896e-23	1.29287e-21	2.87278e-20	5.45237e-19	8.6447e-18	1.1497e-16	1.2764e-15	1.19682e-14	9.60737e-14	6.82295e-13	4.35752e-12	2.53061e-11	1.33406e-10	6.37855e-10	2.75341e-09	1.0717e-08	3.7609e-08	1.1982e-07	3.49841e-07	9.50139e-07	2.4336e-06	5.96065e-06	1.40771e-05	3.2204e-05	7.14002e-05	0.000153221	0.000317692	0.000635049	0.0012214	0.00225458	0.00398508	0.00672937	0.0108351	0.0166119	0.0242289	0.033601	0.0443092	0.0555761	0.0663308	0.0753967	0.0816956	0.0844521	0.0833994	0.0787737	0.0712305	0.06176	0.0514148	0.0411259	0.0316651	0.0234969	0.0168079	0.0116123	0.00775681	0.0050062	0.00312911	0.00189524	0.00111058	0.000631272	0.000348291	0.000185857	9.63461e-05	4.85016e-05	2.3612e-05	1.11745e-05	5.14953e-06	2.29274e-06	9.97772e-07	4.24392e-07	1.75532e-07	7.15979e-08	2.91279e-08	1.17538e-08	4.92833e-09	2.23698e-09	1.25807e-09	
N11	7.95411e-16	3.86897e-15	2.7533e-14	1.98841e-13	1.34174e-12	8.28456e-12	4.6621e-11	2.39165e-10	1.12227e-09	4.82933e-09	1.91401e-08	7.00852e-08	2.37975e-07	7.51763e-07	2.21772e-06	6.12949e-06	1.59318e-05	3.9069e-05	9.06532e-05	0.000199523	0.000417321	0.000830595	0.00157464	0.00284541	0.0049022	0.00805485	0.0126228	0.0188639	0.0268831	0.0365318	0.0473288	0.0584674	0.0688809	0.0773939	0.0829781	0.0849342	0.0830196	0.0775646	0.0693206	0.059285	0.0485831	0.0381907	0.0288054	0.0208889	0.014584	0.00980456	0.00636596	0.00400098	0.00243257	0.00143856	0.000829718	0.000466268	0.000257252	0.000140006	7.47433e-05	3.96545e-05	2.09194e-05	1.08896e-05	5.65274e-06	2.93206e-06	1.49113e-06	7.57596e-07	3.81162e-07	1.8789e-07	9.15555e-08	4.42397e-08	2.07236e-08	9.63871e-09	4.39654e-09	1.96133e-09	8.59632e-10	3.74059e-10	1.58534e-10	6.82125e-11	3.07085e-11	1.6822e-11	
N12	1.26098e-15	6.5615e-15	5.03034e-14	3.8818e-13	2.77226e-12	1.79767e-11	1.05559e-10	5.61906e-10	2.72152e-09	1.20302e-08	4.87502e-08	1.8168e-07	6.24637e-07	1.98602e-06	5.85428e-06	1.60335e-05	4.09274e-05	9.76956e-05	0.000218978	0.000462787	0.000925989	0.0017598	0.00318481	0.00549731	0.0090557	0.0142382	0.0213552	0.0305256	0.041544	0.0537765	0.0661326	0.0772189	0.0855669	0.089941	0.0897037	0.0849242	0.0763217	0.0651915	0.0529773	0.0409686	0.0302106	0.0212786	0.0143105	0.00922386	0.00571039	0.0033917	0.00194455	0.00108102	0.000579575	0.000303832	0.000156352	7.82523e-05	3.8808e-05	1.92621e-05	9.26664e-06	4.50684e-06	2.19197e-06	1.03671e-06	4.9071e-07	2.35802e-07	1.06901e-07	4.96869e-08	2.27267e-08	1.01273e-08	4.47029e-09	2.03331e-09	8.7006e-10	3.90717e-10	1.71931e-10	7.63272e-11	3.33179e-11	1.49967e-11	6.42805e-12	2.86961e-12	1.31645e-12	7.56186e-13	
Carex_pauciflora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	1.09302e-17	8.08974e-17	9.03548e-16	9.69816e-15	9.26068e-14	7.75934e-13	5.71119e-12	3.7002e-11	2.12822e-10	1.09399e-09	5.07037e-09	2.12756e-08	8.09312e-08	2.77981e-07	8.57963e-07	2.37552e-06	5.94961e-06	1.36722e-05	2.93973e-05	6.01544e-05	0.000119025	0.000230818	0.0004452	0.000865415	0.00170261	0.0033682	0.00657732	0.0123881	0.0220402	0.0364513	0.0554045	0.0769873	0.0975322	0.112457	0.118247	0.113641	0.0998141	0.080584	0.0600044	0.041219	0.0263323	0.0157492	0.00877834	0.00463542	0.00232706	0.00110473	0.000503704	0.00022284	9.31202e-05	3.80751e-05	1.50356e-05	5.66303e-06	2.0615e-06	7.36242e-07	2.45439e-07	8.08577e-08	2.54961e-08	7.73097e-09	2.25181e-09	6.50624e-10	1.75385e-10	4.73938e-11	1.2224e-11	3.09861e-12	7.53089e-13	1.84126e-13	4.22951e-14	9.82928e-15	2.17987e-15	4.81312e-16	1.0176e-16	2.16641e-17	4.36605e-18	8.91764e-19	1.82207e-19	5.01097e-20	
N14	2.67635e-29	3.42704e-27	4.67974e-25	4.69986e-23	3.28951e-21	1.70028e-19	6.42946e-18	1.34379e-16	1.59872e-15	1.30448e-14	1.17262e-13	1.31251e-12	1.0679e-11	1.55784e-10	2.13159e-09	1.26747e-08	3.57849e-08	1.17404e-07	3.36528e-07	5.77009e-07	1.27913e-06	3.15657e-06	4.82555e-06	7.12409e-06	2.25052e-05	6.25153e-05	0.00011274	0.000183926	0.00091431	0.00717092	0.0381097	0.120785	0.231354	0.273768	0.202034	0.0928542	0.0267612	0.00509658	0.000680327	6.68709e-05	5.05779e-06	3.0505e-07	1.50237e-08	6.23358e-10	2.22992e-11	6.94779e-13	1.94086e-14	4.96275e-16	1.14548e-17	2.48399e-19	5.05713e-21	9.45768e-23	1.67233e-24	2.82681e-26	4.32656e-28	6.40258e-30	8.91499e-32	1.15681e-33	1.42382e-35	1.71195e-37	1.87622e-39	2.04512e-41	2.10297e-43	2.09765e-45	1.98883e-47	1.89444e-49	1.66971e-51	1.49309e-53	1.25913e-55	1.05709e-57	8.3957e-60	6.71333e-62	5.00958e-64	3.76067e-66	2.66591e-68	2.07986e-70	
Carex_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
