NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.302869	0.257589	0.188501	0.120643	0.0685245	0.0349443	0.0161466	0.00680123	0.00262401	0.000929719	0.000303182	9.10781e-05	2.52269e-05	6.44342e-06	1.51809e-06	3.29895e-07	6.61298e-08	1.22277e-08	2.08585e-09	3.28283e-10	4.76805e-11	6.39231e-12	7.91287e-13	7.86875e-17	2.5575e-17	7.99148e-18	2.40115e-18	6.93854e-19	1.92863e-19	5.15741e-20	1.32703e-20	3.28594e-21	7.83106e-22	1.79645e-22	3.96723e-23	8.4349e-24	1.72676e-24	3.40389e-25	6.46168e-26	1.18134e-26	2.08013e-27	3.528e-28	5.76392e-29	9.07177e-30	1.37558e-30	2.00972e-31	2.8293e-32	3.8385e-33	5.0191e-34	6.32588e-35	7.68598e-36	9.00359e-37	1.01702e-37	1.1079e-38	1.16412e-39	1.18003e-40	1.15412e-41	1.08932e-42	9.92385e-44	8.72791e-45	7.4119e-46	6.07891e-47	4.81602e-48	3.68647e-49	2.72701e-50	1.9499e-51	1.34799e-52	9.0117e-54	5.82743e-55	3.64585e-56	2.20737e-57	1.29363e-58	7.34025e-60	4.03349e-61	2.14698e-62	1.10728e-63	5.53452e-65	2.68163e-66	1.25987e-67	5.74065e-69	2.53757e-70	1.08844e-71	4.53128e-73	1.83138e-74	7.1876e-76	2.73994e-77	1.01475e-78	3.65216e-80	1.27777e-81	4.34828e-83	1.44263e-84	4.7625e-86	2.11496e-87	
N2	0.257097	0.235086	0.186458	0.133342	0.0852076	0.0509991	0.0270473	0.0137387	0.00635538	0.00280981	0.00113181	0.000465931	0.000165998	6.28462e-05	2.12045e-05	7.46216e-06	2.27417e-06	7.91297e-07	2.16015e-07	6.93933e-08	1.81252e-08	5.27651e-09	1.23605e-09	3.55825e-10	7.32344e-11	1.89015e-11	3.80093e-12	8.9245e-13	1.577e-13	3.61195e-14	5.70265e-15	1.1878e-15	1.79616e-16	3.26897e-17	4.457e-18	8.22001e-19	9.56787e-20	1.51172e-20	1.75601e-21	2.53958e-22	2.52781e-23	3.47961e-24	3.08865e-25	3.87246e-26	3.27861e-27	3.49574e-28	2.67822e-29	2.94955e-30	1.89509e-31	1.74227e-32	1.13537e-33	9.66042e-35	5.37302e-36	4.38525e-37	2.19732e-38	1.63718e-39	7.80389e-41	4.89609e-42	2.15586e-43	1.42763e-44	5.24284e-46	2.8951e-47	1.11931e-48	5.7911e-50	1.87181e-51	9.23355e-53	2.73964e-54	1.25614e-55	3.58619e-57	1.39553e-58	3.77481e-60	1.5954e-61	3.52285e-63	1.20492e-64	2.83943e-66	9.327e-68	1.87472e-69	5.95983e-71	1.12033e-72	3.3775e-74	6.07446e-76	1.51227e-77	2.57855e-79	7.10945e-81	1.01441e-82	2.32787e-84	3.69538e-86	8.56831e-88	1.32412e-89	3.52136e-91	8.35752e-93	2.86404e-94	1.21589e-95	
N3	0.236038	0.219565	0.18019	0.135519	0.0925962	0.0601444	0.0352377	0.0200335	0.0105574	0.0053813	0.00254689	0.00123693	0.000533391	0.000244096	0.000102132	4.45932e-05	1.73742e-05	7.7017e-06	2.77452e-06	1.17136e-06	4.15333e-07	1.63915e-07	5.3541e-08	2.13692e-08	6.30394e-09	2.31947e-09	6.81316e-10	2.33326e-10	6.18617e-11	2.11667e-11	5.1361e-12	1.63844e-12	3.90929e-13	1.12542e-13	2.48515e-14	7.42573e-15	1.44761e-15	3.84121e-16	7.677e-17	1.9175e-17	3.40029e-18	8.37648e-19	1.36524e-19	3.15581e-20	5.07342e-21	1.03416e-21	1.54944e-22	3.35265e-23	4.37001e-24	8.20374e-25	1.11515e-25	1.99505e-26	2.39499e-27	4.24302e-28	4.72788e-29	7.88023e-30	8.6219e-31	1.25407e-31	1.30363e-32	2.05191e-33	1.83944e-34	2.49778e-35	2.41529e-36	3.15543e-37	2.63534e-38	3.38655e-39	2.66594e-40	3.26879e-41	2.54656e-42	2.72718e-43	2.06102e-44	2.45449e-45	1.55984e-46	1.54938e-47	1.07606e-48	1.04962e-49	6.37744e-51	6.18133e-52	3.58671e-53	3.36487e-54	1.91852e-55	1.52509e-56	8.40874e-58	7.55917e-59	3.56673e-60	2.72954e-61	1.46013e-62	1.14873e-63	6.10633e-65	5.64769e-66	4.72869e-67	5.94538e-68	1.0859e-68	
N4	0.211056	0.200307	0.170983	0.136042	0.0999453	0.0705277	0.0455918	0.0286716	0.0168982	0.0096024	0.00512225	0.00273097	0.00132754	0.000654025	0.000301132	0.000137897	5.85111e-05	2.59715e-05	1.01362e-05	4.19794e-06	1.57417e-06	6.04421e-07	2.08201e-07	7.78896e-08	2.44279e-08	8.42044e-09	2.54968e-09	8.09825e-10	2.23139e-10	6.88835e-11	1.73257e-11	4.93169e-12	1.19637e-12	3.11182e-13	6.92921e-14	1.77537e-14	3.57561e-15	8.34186e-16	1.64811e-16	3.55548e-17	6.38419e-18	1.34371e-18	2.21016e-19	4.30288e-20	6.90058e-21	1.22173e-21	1.80563e-22	3.19352e-23	4.26718e-24	6.84485e-25	9.08393e-26	1.35527e-26	1.6369e-27	2.40168e-28	2.67187e-29	3.63568e-30	3.96567e-31	4.91341e-32	4.98984e-33	6.24427e-34	5.73006e-35	6.50709e-36	6.03325e-37	6.4106e-38	5.39103e-39	5.65814e-40	4.42909e-41	4.3477e-42	3.35571e-43	3.0021e-44	2.17893e-45	1.99976e-46	1.30679e-47	1.08081e-48	7.21893e-50	5.64728e-51	3.44113e-52	2.67161e-53	1.52395e-54	1.11559e-55	6.31971e-57	4.2008e-58	2.24811e-59	1.55543e-60	7.65004e-62	4.90708e-63	2.64226e-64	1.76469e-65	1.07162e-66	8.59342e-68	6.73439e-69	6.25605e-70	8.34655e-71	
N5	0.0602703	0.0716051	0.0868505	0.102108	0.110797	0.113684	0.105398	0.0933607	0.0766471	0.0596877	0.0432014	0.030403	0.0194126	0.0121003	0.00697011	0.00384193	0.00194608	0.000973171	0.00043186	0.000190311	7.6221e-05	2.95139e-05	1.03429e-05	3.64787e-06	1.116e-06	3.46354e-07	9.65438e-08	2.64386e-08	6.47604e-09	1.63367e-09	3.5335e-10	7.93195e-11	1.58377e-11	3.16496e-12	5.63684e-13	1.05578e-13	1.67205e-14	2.80041e-15	4.16052e-16	6.26986e-17	8.32767e-18	1.17894e-18	1.40274e-19	1.78827e-20	1.99783e-21	2.27999e-22	2.28893e-23	2.48259e-24	2.2421e-25	2.23551e-26	2.08125e-27	2.38426e-28	3.29936e-29	7.02869e-30	1.51201e-30	3.86135e-31	8.80292e-32	2.11922e-32	4.49155e-33	1.05743e-33	2.04907e-34	4.42631e-35	8.38913e-36	1.67972e-36	2.92153e-37	5.69667e-38	9.17596e-39	1.66167e-39	2.60425e-40	4.34654e-41	6.34475e-42	1.04713e-42	1.40276e-43	2.12908e-44	2.81981e-45	4.00351e-46	4.89962e-47	6.82114e-48	7.78516e-49	1.01542e-49	1.14148e-50	1.38351e-51	1.47327e-52	1.81186e-53	1.85846e-54	2.23589e-55	2.52312e-56	3.22273e-57	4.07218e-58	5.82798e-59	8.27599e-60	1.31202e-60	3.16413e-61	
N6	0.0127771	0.0176765	0.0277973	0.0444684	0.0658353	0.0905577	0.108606	0.120793	0.119542	0.109023	0.0889668	0.0703029	0.0481823	0.0327338	0.0197824	0.0116006	0.00591299	0.00313414	0.00133105	0.000608266	0.000231064	9.15938e-05	2.982e-05	1.12837e-05	3.15331e-06	1.06003e-06	2.82476e-07	8.53754e-08	1.98974e-08	5.82494e-09	1.18997e-09	3.08963e-10	5.8402e-11	1.28323e-11	2.06131e-12	4.27064e-13	5.52777e-14	9.28129e-15	1.10531e-15	1.57348e-16	1.55433e-17	2.60215e-18	6.59907e-19	5.31906e-19	3.52709e-19	3.01152e-19	1.8433e-19	1.64953e-19	8.63919e-20	6.66516e-20	3.66139e-20	2.7009e-20	1.31286e-20	9.75099e-21	4.43883e-21	3.14333e-21	1.4284e-21	8.91923e-22	3.90186e-22	2.69701e-22	1.0243e-22	6.15509e-23	2.5715e-23	1.51308e-23	5.49928e-24	3.22384e-24	1.12316e-24	6.40627e-25	2.22767e-25	1.11529e-25	3.82958e-26	2.18635e-26	6.35554e-27	3.04403e-27	9.90754e-28	4.77075e-28	1.36586e-28	6.60122e-29	1.83603e-29	8.76716e-30	2.43183e-30	9.86874e-31	2.69983e-31	1.2841e-31	3.00555e-32	1.21234e-32	3.30251e-33	1.38983e-33	3.6754e-34	1.82767e-34	8.03043e-35	5.75521e-35	5.08958e-35	
N7	0.012688	0.0175418	0.0275907	0.0441792	0.0655695	0.0902892	0.108597	0.120831	0.119805	0.109246	0.0893344	0.0704345	0.048397	0.0327707	0.0198305	0.0115792	0.00591451	0.00311157	0.00132605	0.000600732	0.000228635	8.98244e-05	2.92951e-05	1.09596e-05	3.06764e-06	1.01918e-06	2.71401e-07	8.10081e-08	1.88461e-08	5.43824e-09	1.10773e-09	2.82977e-10	5.32405e-11	1.15036e-11	1.83822e-12	3.73156e-13	4.80395e-14	7.91254e-15	9.31643e-16	1.2992e-16	1.21899e-17	1.53093e-18	1.17012e-19	1.25447e-20	8.51823e-22	7.42992e-23	4.09053e-24	3.80563e-25	1.57917e-26	1.38248e-27	6.98154e-29	1.00009e-29	6.08394e-31	2.29028e-31	1.16514e-32	6.67982e-33	4.131e-34	1.88035e-34	6.27042e-36	6.98218e-36	1.26596e-37	1.43467e-37	4.91741e-39	3.69016e-39	5.18177e-41	7.12055e-41	7.63695e-43	1.28781e-42	1.68033e-44	1.69888e-44	1.43651e-46	2.76203e-46	1.50739e-48	2.54777e-48	1.87828e-50	2.90008e-50	1.34696e-52	2.25846e-52	1.00195e-54	1.9332e-54	8.27932e-57	1.06893e-56	4.19105e-59	7.56552e-59	2.30158e-61	3.08971e-61	1.24119e-63	1.67655e-63	4.561e-66	5.71404e-66	1.6563e-68	2.49969e-68	5.91879e-69	
N8	0.00778247	0.0111851	0.0188589	0.0328212	0.0533007	0.0792746	0.103189	0.121247	0.126901	0.120217	0.102679	0.0815659	0.0574854	0.0378755	0.0224536	0.0122817	0.0060225	0.00288042	0.00118946	0.000497356	0.000186584	7.0174e-05	2.32882e-05	8.63788e-06	2.53432e-06	8.6743e-07	2.43697e-07	7.51095e-08	1.80603e-08	5.33517e-09	1.07315e-09	2.70725e-10	4.8648e-11	1.01247e-11	1.48308e-12	2.81173e-13	3.26501e-14	4.9929e-15	5.18562e-16	6.62145e-17	5.87375e-18	9.64846e-19	2.09531e-19	1.22328e-19	5.66132e-20	3.55906e-20	1.57172e-20	1.073e-20	4.17226e-21	2.51985e-21	1.05001e-21	6.08453e-22	2.23926e-22	1.33681e-22	4.57199e-23	2.59662e-23	9.00789e-24	4.47162e-24	1.48829e-24	8.44495e-25	2.38811e-25	1.15657e-25	3.70255e-26	1.77091e-26	4.81915e-27	2.31176e-27	6.06961e-28	2.86908e-28	7.4653e-29	3.01683e-29	7.82966e-30	3.73216e-30	8.02656e-31	3.13654e-31	7.76233e-32	3.12615e-32	6.62233e-33	2.61598e-33	5.46788e-34	2.18677e-34	4.50169e-35	1.48907e-35	3.08058e-36	1.23678e-36	2.13173e-37	7.00528e-38	1.43318e-38	5.00099e-39	9.33968e-40	3.66292e-40	1.16808e-40	7.02642e-41	5.08773e-41	
N9	1.78278e-30	5.94775e-26	3.98025e-22	2.92745e-19	2.33275e-15	9.23397e-16	8.16974e-12	1.30695e-13	1.32271e-11	1.94707e-08	3.12121e-10	3.62819e-12	2.02056e-08	4.06816e-05	3.07862e-05	5.7231e-09	8.36707e-11	9.24217e-09	1.91044e-05	0.0207483	0.0278623	6.98478e-06	8.03041e-10	6.26777e-14	1.67278e-12	2.13816e-08	0.000149353	0.342958	0.462215	0.145919	5.05568e-05	7.24347e-09	5.18512e-13	2.4912e-17	3.51106e-18	4.19662e-18	3.00173e-18	1.52329e-18	4.63495e-19	8.84852e-20	8.46709e-21	3.54324e-22	1.67755e-26	3.20215e-31	2.46573e-36	7.33244e-42	1.58845e-20	9.44396e-23	4.0382e-25	1.57156e-27	4.66978e-30	1.2092e-32	2.34781e-35	4.05935e-38	4.7678e-41	4.59144e-44	2.66948e-47	8.32218e-51	2.41304e-27	2.45221e-27	2.16542e-27	2.16271e-27	1.98273e-27	1.95629e-27	1.758e-27	1.79546e-27	1.58961e-27	1.60326e-27	1.465e-27	1.45006e-27	1.30872e-27	1.35222e-27	1.19131e-27	1.20387e-27	1.10532e-27	1.10484e-27	9.93567e-28	1.02833e-27	9.10984e-28	9.32523e-28	8.57972e-28	8.63879e-28	7.94096e-28	8.52732e-28	7.99695e-28	8.90579e-28	9.65792e-28	1.20266e-27	1.52859e-27	2.21803e-27	3.24059e-27	5.04882e-27	7.88818e-27	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
