NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	
N1	0.00247522	0.00270377	0.00318389	0.00396925	0.00513975	0.00679496	0.00904316	0.0119851	0.0156927	0.0201858	0.0254101	0.0312223	0.0373874	0.04359	0.0494608	0.0546146	0.0586946	0.0614143	0.0625913	0.0621666	0.0602064	0.0568893	0.0524787	0.0472899	0.0416533	0.0358829	0.0302509	0.0249719	0.0201961	0.0160112	0.0124493	0.00949843	0.00711469	0.00523435	0.00378415	0.00268945	0.00187988	0.00129284	0.000875147	0.000583309	0.000382963	0.000247747	0.00015798	9.93291e-05	6.15985e-05	3.76891e-05	2.27583e-05	1.35665e-05	7.98576e-06	4.64304e-06	2.66708e-06	1.514e-06	8.49526e-07	4.71291e-07	2.58559e-07	1.40309e-07	7.53283e-08	4.0019e-08	2.10424e-08	1.09529e-08	5.64487e-09	2.881e-09	1.45639e-09	7.29345e-10	3.61894e-10	1.77949e-10	8.67255e-11	4.18992e-11	2.00698e-11	9.53297e-12	4.49091e-12	2.09864e-12	9.7301e-13	3.78666e-16	2.55894e-16	1.72306e-16	1.15625e-16	7.73386e-17	5.15758e-17	3.43041e-17	2.27664e-17	1.50854e-17	9.98861e-18	6.61714e-18	4.39346e-18	2.931e-18	1.97203e-18	1.34558e-18	9.38843e-19	6.77993e-19	5.15413e-19	4.21291e-19	3.78271e-19	
N2	0.00311773	0.00334467	0.00396118	0.00501426	0.00658382	0.00876251	0.0116348	0.0152554	0.0196278	0.0246868	0.0302885	0.0362093	0.0421588	0.0478027	0.052795	0.0568149	0.0596017	0.0609827	0.0608901	0.0593648	0.0565467	0.0526546	0.0479586	0.0427512	0.0373183	0.0319173	0.0267603	0.0220061	0.0177581	0.0140691	0.0109484	0.00837247	0.0062945	0.00465436	0.00338632	0.00242513	0.00171021	0.00118804	0.00081327	0.000548794	0.000365175	0.000239689	0.000155233	9.923e-05	6.26251e-05	3.90322e-05	2.40317e-05	1.462e-05	8.79064e-06	5.22532e-06	3.07134e-06	1.78552e-06	1.02689e-06	5.84378e-07	3.29133e-07	1.83503e-07	1.01297e-07	5.53752e-08	2.99833e-08	1.60831e-08	8.54799e-09	4.50231e-09	2.35049e-09	1.21648e-09	6.24224e-10	3.17642e-10	1.6031e-10	8.02559e-11	3.98609e-11	1.96442e-11	9.60729e-12	4.66344e-12	2.24703e-12	1.07491e-12	5.10563e-13	2.40827e-13	1.12825e-13	5.25065e-14	2.4278e-14	1.11559e-14	5.0959e-15	2.31507e-15	1.04676e-15	4.71607e-16	2.12144e-16	9.56043e-17	4.34158e-17	2.00645e-17	9.59224e-18	4.86814e-18	2.72422e-18	1.76497e-18	1.3915e-18	
N3	0.0145593	0.0151589	0.0169099	0.0196114	0.0230808	0.0271337	0.0315714	0.0361766	0.040717	0.0449549	0.0486622	0.051636	0.0537151	0.0547919	0.0548203	0.0538174	0.0518589	0.04907	0.0456119	0.0416667	0.0374221	0.033058	0.0287349	0.0245869	0.0207172	0.0171972	0.0140687	0.0113468	0.00902556	0.00708289	0.00548565	0.0041944	0.00316719	0.00236252	0.00174142	0.00126877	0.000913984	0.000651155	0.000458917	0.000320037	0.000220895	0.000150937	0.000102124	6.84348e-05	4.54296e-05	2.98814e-05	1.94783e-05	1.25856e-05	8.0621e-06	5.12099e-06	3.22602e-06	2.01587e-06	1.24971e-06	7.68735e-07	4.69282e-07	2.84344e-07	1.71029e-07	1.02135e-07	6.05643e-08	3.56658e-08	2.08611e-08	1.21207e-08	6.99642e-09	4.01266e-09	2.28691e-09	1.29531e-09	7.29212e-10	4.08074e-10	2.27025e-10	1.25577e-10	6.90698e-11	3.77801e-11	2.05534e-11	1.11226e-11	5.98817e-12	3.20787e-12	1.71027e-12	9.07699e-13	4.79726e-13	2.52586e-13	1.32573e-13	6.9422e-14	3.63139e-14	1.90091e-14	9.98416e-15	5.28243e-15	2.83197e-15	1.55208e-15	8.81056e-16	5.27982e-16	3.42848e-16	2.49136e-16	2.09229e-16	
N4	0.0487311	0.0475294	0.0474713	0.0482387	0.0495208	0.0510181	0.0524504	0.0535686	0.0541676	0.0540981	0.0532743	0.051675	0.0493401	0.0463599	0.0428627	0.0389989	0.0349263	0.0307969	0.0267462	0.0228865	0.0193032	0.016054	0.0131709	0.0106634	0.00852302	0.00672773	0.00524663	0.00404374	0.00308122	0.00232188	0.00173091	0.00127689	0.000932404	0.000674136	0.000482723	0.000342427	0.000240692	0.000167681	0.000115806	7.93044e-05	5.3861e-05	3.62867e-05	2.4255e-05	1.60886e-05	1.05918e-05	6.9221e-06	4.49148e-06	2.89398e-06	1.85193e-06	1.17716e-06	7.43355e-07	4.66406e-07	2.90802e-07	1.80199e-07	1.1099e-07	6.79585e-08	4.13696e-08	2.50408e-08	1.50727e-08	9.02306e-09	5.3726e-09	3.18218e-09	1.87507e-09	1.09926e-09	6.4124e-10	3.7223e-10	2.15037e-10	1.23641e-10	7.07615e-11	4.0314e-11	2.28653e-11	1.29122e-11	7.26048e-12	4.06559e-12	2.26739e-12	1.25962e-12	6.97184e-13	3.84549e-13	2.11446e-13	1.15955e-13	6.34606e-14	3.46941e-14	1.89733e-14	1.04001e-14	5.73111e-15	3.18889e-15	1.80308e-15	1.04559e-15	6.29932e-16	4.01234e-16	2.76189e-16	2.10558e-16	1.81796e-16	
N5	0.00732557	0.00838677	0.0107164	0.0141934	0.0187072	0.0241109	0.0301918	0.0366614	0.043166	0.0493124	0.0547058	0.0589911	0.0618919	0.0632383	0.062982	0.0611952	0.0580552	0.0538181	0.0487872	0.0432798	0.037598	0.0320057	0.0267145	0.0218767	0.0175866	0.0138863	0.0107752	0.00822077	0.00616966	0.00455692	0.00331388	0.00237378	0.00167557	0.00116593	0.000800079	0.00054163	0.000361853	0.000238654	0.000155435	0.000100003	6.35746e-05	3.99477e-05	2.48173e-05	1.52472e-05	9.26633e-06	5.57209e-06	3.31607e-06	1.95356e-06	1.13952e-06	6.58271e-07	3.76674e-07	2.13547e-07	1.19969e-07	6.68006e-08	3.68725e-08	2.01797e-08	1.09519e-08	5.8952e-09	3.14785e-09	1.66764e-09	8.7666e-10	4.57365e-10	2.36842e-10	1.21754e-10	6.21425e-11	3.14947e-11	1.5852e-11	7.92471e-12	3.93542e-12	1.9416e-12	9.51797e-13	4.63661e-13	2.24484e-13	1.08034e-13	5.16888e-14	2.45904e-14	1.16349e-14	5.4765e-15	2.56525e-15	1.19629e-15	5.55762e-16	2.57422e-16	1.19019e-16	5.50205e-17	2.54913e-17	1.18765e-17	5.59185e-18	2.68001e-18	1.32202e-18	6.83196e-19	3.81026e-19	2.40932e-19	1.85145e-19	
N6	0.000536043	0.000662378	0.000979297	0.00158075	0.00261719	0.00429094	0.00683975	0.0105028	0.0154685	0.0218115	0.0294337	0.0380265	0.0470716	0.0558875	0.0637181	0.0698452	0.0737014	0.0749577	0.0735669	0.0697562	0.0639749	0.0568111	0.0488998	0.040838	0.0331221	0.0261135	0.0200301	0.01496	0.0108882	0.0077284	0.00535355	0.00362173	0.00239442	0.001548	0.00097924	0.000606472	0.000367941	0.000218787	0.000127576	7.29841e-05	4.09836e-05	2.26002e-05	1.2244e-05	6.51967e-06	3.41348e-06	1.75796e-06	8.90889e-07	4.44425e-07	2.18316e-07	1.05641e-07	5.03712e-08	2.36739e-08	1.09705e-08	5.01402e-09	2.26082e-09	1.00598e-09	4.41846e-10	1.91613e-10	8.20648e-11	3.47197e-11	1.45138e-11	5.99619e-12	2.4488e-12	9.88803e-13	3.94854e-13	1.55963e-13	6.09475e-14	2.35681e-14	9.0201e-15	3.41746e-15	1.282e-15	4.76263e-16	1.75257e-16	6.38951e-17	2.30847e-17	8.2673e-18	2.93572e-18	1.03404e-18	3.61425e-19	1.25431e-19	4.32527e-20	1.48343e-20	5.06694e-21	1.72687e-21	5.88791e-22	2.01615e-22	6.973e-23	2.45708e-23	8.942e-24	3.43726e-24	1.45157e-24	7.23604e-25	4.79252e-25	
N7	0.000530326	0.000655404	0.000969247	0.00156526	0.00259344	0.00425603	0.00679166	0.0104414	0.0153968	0.0217359	0.0293639	0.0379739	0.0470472	0.0558997	0.0637701	0.0699341	0.0738187	0.0750905	0.0737007	0.0698773	0.0640724	0.0568789	0.0489361	0.0408453	0.0331058	0.0260803	0.019987	0.0149132	0.0108425	0.00768695	0.00531814	0.00359294	0.002372	0.00153119	0.000967068	0.000597937	0.000362132	0.000214943	0.000125098	7.14273e-05	4.00285e-05	2.20275e-05	1.19081e-05	6.32684e-06	3.30502e-06	1.69814e-06	8.58522e-07	4.27233e-07	2.09347e-07	1.01043e-07	4.80534e-08	2.25247e-08	1.04098e-08	4.74463e-09	2.13337e-09	9.46565e-10	4.14547e-10	1.79246e-10	7.65393e-11	3.22839e-11	1.34542e-11	5.54113e-12	2.25582e-12	9.07972e-13	3.61403e-13	1.42283e-13	5.54176e-14	2.13579e-14	8.14649e-15	3.07589e-15	1.14986e-15	4.25676e-16	1.56086e-16	5.67012e-17	2.04111e-17	7.28285e-18	2.57648e-18	9.04059e-19	3.14776e-19	1.08814e-19	3.73738e-20	1.27665e-20	4.34306e-21	1.47425e-21	5.0072e-22	1.70854e-22	5.89229e-23	2.0729e-23	7.54803e-24	2.91369e-24	1.24252e-24	6.29112e-25	4.22751e-25	
N8	0.000225366	0.000282039	0.00043214	0.000741045	0.00132548	0.00236481	0.00410353	0.00683493	0.0108586	0.0164115	0.0235829	0.0322347	0.0419544	0.0520625	0.0616869	0.0698914	0.0758333	0.07891	0.0788588	0.0757884	0.0701382	0.0625817	0.0539011	0.0448641	0.0361264	0.0281724	0.0212974	0.0156223	0.0111293	0.00770678	0.00519179	0.0034052	0.00217609	0.00135591	0.00082435	0.000489329	0.000283776	0.00016088	8.92139e-05	4.84185e-05	2.57319e-05	1.3398e-05	6.83805e-06	3.4226e-06	1.68078e-06	8.10203e-07	3.83519e-07	1.78349e-07	8.15111e-08	3.66264e-08	1.61868e-08	7.03845e-09	3.01224e-09	1.26924e-09	5.26721e-10	2.15345e-10	8.67642e-11	3.44605e-11	1.3496e-11	5.21322e-12	1.98675e-12	7.47183e-13	2.77376e-13	1.01665e-13	3.67994e-14	1.31575e-14	4.64805e-15	1.62265e-15	5.59927e-16	1.91021e-16	6.4441e-17	2.15015e-17	7.09722e-18	2.31801e-18	7.49283e-19	2.39764e-19	7.59707e-20	2.38432e-20	7.41491e-21	2.28603e-21	6.99188e-22	2.12363e-22	6.41535e-23	1.93259e-23	5.83092e-24	1.77541e-24	5.52703e-25	1.79773e-25	6.31319e-26	2.49756e-26	1.16462e-26	6.68942e-27	4.96176e-27	
N9	3.18691e-125	5.24061e-120	7.46162e-115	9.16219e-110	9.70265e-105	8.85734e-100	6.96471e-95	4.71272e-90	2.74113e-85	1.36877e-80	5.85931e-76	2.1466e-71	6.71704e-67	1.79103e-62	4.0578e-58	7.7852e-54	1.25971e-49	1.71069e-45	1.93829e-41	1.81939e-37	1.40261e-33	8.78697e-30	4.41448e-26	1.7488e-22	5.34398e-19	1.22259e-15	2.00636e-12	2.20964e-09	1.44992e-06	0.000427911	0.0046428	0.0233127	0.070923	0.145321	0.211165	0.223104	0.172702	0.0972346	0.038851	0.010469	0.00171388	0.000131009	5.79676e-07	1.25215e-09	1.74143e-12	1.75565e-15	1.37187e-18	8.67702e-22	4.58028e-25	2.06438e-28	8.08669e-32	2.7926e-35	8.60145e-39	2.38614e-42	6.01144e-46	1.38521e-49	2.9376e-53	5.76463e-57	1.05181e-60	1.79203e-64	2.86194e-68	4.29909e-72	6.09322e-76	8.1715e-80	1.03958e-83	1.25761e-87	1.44979e-91	1.59586e-95	1.68043e-99	1.69557e-103	1.64198e-107	1.52831e-111	1.36912e-115	1.18198e-119	9.84553e-124	7.92167e-128	6.16324e-132	4.64152e-136	3.38692e-140	2.39701e-144	1.64701e-148	1.09989e-152	7.14733e-157	4.52571e-161	2.79715e-165	1.69113e-169	1.00298e-173	5.85694e-178	3.38355e-182	1.9451e-186	1.12017e-190	6.50664e-195	3.89373e-199	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
