NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	1.443e-09	1.51149e-09	1.67004e-09	1.94692e-09	2.38233e-09	3.0331e-09	3.97531e-09	5.30632e-09	7.14896e-09	9.662e-09	1.30632e-08	1.76716e-08	2.39669e-08	3.2502e-08	4.40271e-08	8.07874e-08	1.40705e-07	2.38945e-07	3.9485e-07	6.29631e-07	9.66189e-07	1.43211e-06	2.06333e-06	2.90267e-06	3.98727e-06	5.32553e-06	6.87499e-06	8.54146e-06	1.0204e-05	1.09201e-05	1.1515e-05	1.21527e-05	1.32295e-05	1.54037e-05	1.97384e-05	2.80677e-05	4.36013e-05	7.16422e-05	0.000120128	0.000199758	0.000324207	0.000512397	0.000796836	0.00124452	0.00200044	0.00327524	0.00566526	0.010088	0.017805	0.0299922	0.0468453	0.0667093	0.0861241	0.101129	0.108991	0.10908	0.102503	0.0911287	0.076821	0.0611778	0.0456085	0.0315885	
N2	3.01747e-09	1.03377e-09	1.15859e-09	1.35142e-09	1.61137e-09	1.96064e-09	2.43279e-09	3.08031e-09	3.99204e-09	5.33187e-09	7.4148e-09	1.0825e-08	1.65217e-08	2.56197e-08	3.96893e-08	1.11389e-07	2.33822e-07	4.24036e-07	7.01198e-07	1.0893e-06	1.62072e-06	2.33387e-06	3.25988e-06	4.39972e-06	5.70323e-06	7.06815e-06	8.37642e-06	9.57619e-06	1.07852e-05	1.19177e-05	1.37718e-05	1.72446e-05	2.38174e-05	3.60611e-05	5.83008e-05	9.73356e-05	0.000163236	0.000270837	0.000443721	0.000724128	0.00119459	0.00202026	0.00352317	0.00629067	0.011274	0.0191607	0.0307716	0.0459764	0.0632619	0.0798929	0.092858	0.100092	0.101114	0.0967282	0.0882489	0.0768944	0.063587	0.0490362	0.0340505	0.0200326	0.00910901	0.00296697	
N3	1.66609e-06	4.39267e-07	5.08344e-07	5.63764e-07	5.70617e-07	5.16551e-07	4.1482e-07	3.59652e-07	1.12051e-06	6.99487e-06	3.10902e-05	9.46644e-05	0.000232511	0.000705334	0.00304965	0.0120908	0.0362439	0.0805341	0.1356	0.177352	0.184145	0.154598	0.106583	0.0611385	0.0295093	0.012101	0.00425152	0.00128913	0.000339512	7.83312e-05	1.58105e-05	2.81254e-06	4.42752e-07	6.19087e-08	7.71682e-09	8.60578e-10	8.61991e-11	7.79011e-12	6.38769e-13	4.78668e-14	3.30879e-15	2.13451e-16	1.30219e-17	7.61013e-19	4.30112e-20	2.36346e-21	1.25347e-22	6.40114e-24	3.12747e-25	1.4549e-26	6.42961e-28	2.69922e-29	1.0781e-30	4.10589e-32	1.49408e-33	5.20146e-35	1.73292e-36	5.52107e-38	1.67985e-39	4.87384e-41	1.347e-42	3.55925e-44	
N4	1.67321e-10	2.36811e-11	7.9937e-12	2.34013e-12	4.9985e-12	3.25138e-09	1.19581e-06	9.0356e-05	0.00199862	0.0175959	0.0751674	0.177539	0.25382	0.234555	0.147201	0.0649836	0.0209391	0.00503749	0.000923724	0.000131383	1.47139e-05	1.31458e-06	9.47765e-08	5.57077e-09	2.69432e-10	1.08154e-11	3.6342e-13	1.03227e-14	2.51424e-16	5.39947e-18	1.07108e-19	2.15141e-21	4.71644e-23	1.11153e-24	2.59427e-26	5.5908e-28	1.07429e-29	1.81742e-31	2.70115e-33	3.54032e-35	4.13681e-37	4.42149e-39	4.56909e-41	4.9957e-43	6.20271e-45	8.51585e-47	1.17816e-48	1.53418e-50	1.81711e-52	1.93271e-54	1.84192e-56	1.57909e-58	1.23109e-60	8.91864e-63	6.22117e-65	4.35481e-67	3.12157e-69	2.24211e-71	1.54013e-73	9.72894e-76	5.56144e-78	2.90015e-80	
Carex_lingii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.69756e-14	1.23816e-14	6.83196e-15	2.83934e-14	2.87742e-10	1.50057e-06	0.000260694	0.00719651	0.0591239	0.195153	0.307619	0.258994	0.125977	0.037524	0.00716016	0.000905381	7.87639e-05	4.81844e-06	2.11812e-07	6.81843e-09	1.63577e-10	2.99052e-12	4.46469e-14	7.43443e-16	2.28712e-17	9.55585e-19	3.50767e-20	1.02025e-21	2.32675e-23	4.18119e-25	5.93382e-27	6.70529e-29	6.08153e-31	4.4481e-33	2.64671e-35	1.3183e-37	6.45333e-40	5.27401e-42	8.10555e-44	1.33461e-45	1.87459e-47	2.16382e-49	2.04327e-51	1.57943e-53	1.0015e-55	5.22783e-58	2.24653e-60	7.99159e-63	2.36623e-65	5.84406e-68	1.20846e-70	2.10046e-73	3.08491e-76	3.90617e-79	5.11916e-82	1.69626e-84	1.52693e-86	1.46825e-88	1.18973e-90	7.64803e-93	3.70298e-95	1.26541e-97	
N6	1.99607e-15	4.65868e-15	9.19559e-15	4.79964e-12	3.38981e-08	6.01853e-05	0.00316644	0.0376885	0.161121	0.305189	0.289576	0.1495	0.0446294	0.0080773	0.000920739	6.79946e-05	3.38017e-06	1.15356e-07	2.76076e-09	4.79426e-11	9.38596e-13	1.17994e-13	2.54563e-14	4.02238e-15	4.44608e-16	3.44049e-17	1.87549e-18	7.26634e-20	2.02176e-21	4.09131e-23	6.06822e-25	6.67141e-27	5.5283e-29	3.49576e-31	2.01944e-33	5.25232e-35	4.85545e-36	3.86415e-37	2.31574e-38	1.02695e-39	3.34374e-41	7.97978e-43	1.39978e-44	1.81539e-46	1.75405e-48	1.27505e-50	7.01497e-53	2.94816e-55	9.60513e-58	2.43898e-60	4.8686e-63	7.82036e-66	1.55543e-68	2.16542e-70	5.60887e-72	1.14799e-73	1.78155e-75	2.20295e-77	2.73754e-79	5.05104e-81	1.15963e-82	2.08632e-84	
Carex_grandiligulata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_pachygyna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_siderosticta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
