NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	3.36323e-30	1.61129e-29	3.19651e-27	1.17871e-25	6.34702e-24	1.06896e-22	6.73142e-22	3.44578e-21	2.45331e-20	1.73262e-19	8.14107e-19	2.48613e-18	6.05899e-18	1.32073e-17	2.59385e-17	5.30971e-17	1.27182e-16	7.34037e-13	4.68563e-12	2.57739e-11	1.11587e-10	3.6924e-10	9.75336e-10	2.27934e-09	5.26041e-09	1.23283e-08	2.74023e-08	5.37116e-08	9.21301e-08	1.46203e-07	2.32338e-07	4.08682e-07	7.92159e-07	1.62195e-06	3.38667e-06	7.09377e-06	1.47853e-05	3.0346e-05	6.03967e-05	0.000114632	0.000204766	0.000342141	0.000536195	0.000798146	0.00115438	0.00167253	0.00250317	0.00394185	0.00650636	0.0109826	0.0183272	0.0293118	0.0439576	0.0610962	0.0784933	0.0936377	0.104728	0.111174	0.113338	0.111815	0.106833	0.0984113	
N2	1.58173e-33	2.7752e-32	4.09263e-30	5.16658e-28	6.53376e-26	3.26413e-24	7.93443e-23	2.27115e-21	6.21286e-20	1.18447e-18	1.53403e-17	1.32236e-16	7.96533e-16	3.8564e-15	1.97791e-14	1.17744e-13	6.38801e-13	3.05617e-12	1.33392e-11	5.37481e-11	1.97719e-10	6.52786e-10	1.90625e-09	4.88785e-09	1.10487e-08	2.24417e-08	4.26133e-08	8.0639e-08	1.64198e-07	3.76763e-07	9.45433e-07	2.19662e-06	4.84864e-06	1.03369e-05	2.14568e-05	4.32969e-05	8.41894e-05	0.000156163	0.000274782	0.000459846	0.000740786	0.00117225	0.00186453	0.00302904	0.00502878	0.00840561	0.0138343	0.0219485	0.0330309	0.0466732	0.0616245	0.0760287	0.0880224	0.0963575	0.100615	0.100825	0.0967235	0.0872561	0.0711316	0.0490026	0.0259161	0.00971044	
N3	8.21389e-17	1.09993e-15	1.74812e-13	1.01791e-11	2.47711e-10	4.82259e-09	5.24837e-08	3.77531e-07	2.13945e-06	8.974e-06	3.58542e-05	0.000154501	0.000570508	0.00165753	0.00415291	0.0102169	0.0249032	0.0545952	0.0994817	0.146601	0.174433	0.169161	0.135127	0.0899556	0.0503825	0.023972	0.00976038	0.00342731	0.00104356	0.000277315	6.45713e-05	1.32501e-05	2.40292e-06	3.8737e-07	5.56214e-08	7.16416e-09	8.29009e-10	8.71052e-11	8.32295e-12	7.36371e-13	6.03742e-14	4.72278e-15	3.50132e-16	2.55352e-17	1.78024e-18	1.2341e-19	8.06407e-21	5.20606e-22	3.10827e-23	1.82337e-24	9.77249e-26	5.14809e-27	2.45991e-28	1.15982e-29	4.92891e-31	2.07865e-32	7.84075e-34	2.95743e-35	9.87321e-37	3.33223e-38	9.80868e-40	2.98742e-41	
N4	2.23062e-16	4.10538e-14	1.34628e-11	1.25501e-09	9.13014e-08	1.06784e-06	6.06325e-06	7.03555e-05	0.00116048	0.0104117	0.0491701	0.133347	0.223631	0.245688	0.184883	0.0987769	0.0385635	0.0112711	0.00251589	0.000436416	5.96858e-05	6.52159e-06	5.75443e-07	4.14515e-08	2.45651e-09	1.21034e-10	4.97919e-12	1.73692e-13	5.12403e-15	1.33375e-16	2.9899e-18	6.78033e-20	1.37179e-21	3.76788e-23	8.30238e-25	2.68483e-26	5.66275e-28	1.6581e-29	3.02881e-31	7.47207e-33	1.16522e-34	2.41691e-36	3.22927e-38	5.67575e-40	6.53288e-42	9.80965e-44	9.77931e-46	1.26419e-47	1.0969e-49	1.22955e-51	9.33735e-54	9.1491e-56	6.13692e-58	5.32527e-60	3.2326e-62	2.5425e-64	1.45289e-66	1.04685e-68	5.68521e-71	3.66061e-73	1.87517e-75	1.14115e-77	
Carex_lingii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.34891e-17	3.17631e-14	1.59866e-11	8.39212e-09	2.8071e-07	4.34765e-06	0.00017531	0.00423923	0.0379806	0.145797	0.275495	0.283428	0.170851	0.0638102	0.0154185	0.00249796	0.000279108	2.20992e-05	1.2623e-06	5.38588e-08	1.71707e-09	4.75408e-11	1.03334e-12	3.75724e-14	8.45943e-16	4.65039e-17	8.79459e-19	4.04202e-20	5.67035e-22	2.01246e-23	2.10474e-25	5.86846e-27	4.64005e-29	1.03686e-30	6.28178e-33	1.14513e-34	5.37333e-37	8.11399e-39	2.98819e-41	3.79596e-43	1.10206e-45	1.19376e-47	2.82838e-50	2.69462e-52	5.03802e-55	4.36555e-57	8.49811e-60	7.71841e-62	1.04407e-64	1.05476e-66	3.00679e-69	2.92483e-71	3.22897e-74	3.37599e-76	9.57844e-79	7.71732e-81	6.95069e-84	6.19034e-86	1.90548e-88	1.39235e-90	4.39766e-93	2.60323e-95	
N6	8.04008e-16	3.55822e-13	3.66477e-10	4.65377e-08	1.15502e-06	6.2258e-05	0.0021124	0.0251965	0.120241	0.266044	0.303294	0.192212	0.0716968	0.0164723	0.00241682	0.000234676	1.5411e-05	7.77226e-07	2.8516e-08	2.95185e-09	1.20051e-10	3.0804e-11	8.88925e-13	1.85399e-13	3.49328e-15	5.71209e-16	7.18602e-18	9.44534e-19	8.10971e-21	8.74985e-22	5.24027e-24	4.72367e-25	2.0055e-27	1.53188e-28	4.8218e-31	3.21474e-32	7.24766e-35	4.31727e-36	1.41827e-38	9.8396e-40	1.35573e-42	1.0643e-43	1.26728e-45	8.50161e-47	7.89553e-50	5.84949e-51	6.66915e-53	3.60067e-54	2.24617e-57	1.34515e-58	1.26939e-60	5.61369e-62	2.41101e-65	1.1806e-66	9.33431e-69	3.44679e-70	1.04478e-73	4.23776e-75	2.8946e-77	9.18288e-79	1.37864e-81	4.16955e-83	
Carex_grandiligulata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_pachygyna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_siderosticta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
