NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	1.34596e-31	1.23225e-29	3.12292e-27	1.14822e-25	5.9185e-24	9.99423e-23	6.36552e-22	3.27097e-21	2.2974e-20	1.60434e-19	7.55303e-19	2.3284e-18	5.72136e-18	1.25452e-17	2.48013e-17	5.08126e-17	1.20753e-16	6.58441e-13	4.1585e-12	2.28026e-11	9.91573e-11	3.31336e-10	8.85594e-10	2.08953e-09	4.84472e-09	1.13804e-08	2.54276e-08	5.03362e-08	8.74364e-08	1.40448e-07	2.25078e-07	3.95171e-07	7.59383e-07	1.53873e-06	3.18264e-06	6.61454e-06	1.37037e-05	2.80157e-05	5.56767e-05	0.000105792	0.000189639	0.000318574	0.00050251	0.000752927	0.00109477	0.0015903	0.00237784	0.00372951	0.0061246	0.0102992	0.0171727	0.0275393	0.0415478	0.0582528	0.0756511	0.0913514	0.103504	0.111354	0.11508	0.115138	0.111653	0.10456	
N2	2.05559e-33	3.66243e-32	4.4162e-30	5.20905e-28	6.29702e-26	3.09916e-24	7.5744e-23	2.14531e-21	5.78475e-20	1.09231e-18	1.40599e-17	1.20972e-16	7.29781e-16	3.54463e-15	1.81581e-14	1.07401e-13	5.8133e-13	2.78271e-12	1.21634e-11	4.9109e-11	1.8112e-10	5.99921e-10	1.75917e-09	4.5346e-09	1.03152e-08	2.10939e-08	4.02915e-08	7.6487e-08	1.55581e-07	3.5536e-07	8.86042e-07	2.05025e-06	4.51232e-06	9.59779e-06	1.98885e-05	4.01029e-05	7.80367e-05	0.000145103	0.000256329	0.000431055	0.000697788	0.00110831	0.0017657	0.00286683	0.00475096	0.0079292	0.0130492	0.0207424	0.0313408	0.04455	0.0592759	0.0738025	0.0863202	0.0955201	0.100837	0.102127	0.0989593	0.0901027	0.0740808	0.0514488	0.0274236	0.0103129	
N3	1.54241e-16	1.50707e-15	1.88598e-13	1.05061e-11	2.53104e-10	4.79819e-09	5.19474e-08	3.7546e-07	2.12122e-06	8.91381e-06	3.55311e-05	0.000151379	0.000555546	0.00161737	0.00407739	0.0100639	0.0244911	0.0535893	0.0977233	0.14455	0.173062	0.169196	0.13645	0.0918099	0.0520181	0.0250555	0.0103334	0.00367724	0.00113517	0.000305956	7.22799e-05	1.50535e-05	2.77168e-06	4.53803e-07	6.62021e-08	8.66681e-09	1.01973e-09	1.08994e-10	1.05985e-11	9.54687e-13	7.97128e-14	6.35134e-15	4.79553e-16	3.56097e-17	2.52678e-18	1.78218e-19	1.18469e-20	7.77961e-22	4.72503e-23	2.81956e-24	1.53743e-25	8.23899e-27	4.00542e-28	1.92103e-29	8.30597e-31	3.56286e-32	1.36728e-33	5.2451e-35	1.78149e-36	6.11476e-38	1.83138e-39	5.68093e-41	
N4	4.18296e-16	5.40352e-14	1.49661e-11	1.34455e-09	9.22999e-08	1.09426e-06	6.36576e-06	7.29598e-05	0.00115868	0.010222	0.0480789	0.130779	0.22094	0.245247	0.186871	0.101266	0.040156	0.0119348	0.00271175	0.000479243	6.68295e-05	7.45088e-06	6.71277e-07	4.94028e-08	2.99291e-09	1.50826e-10	6.34966e-12	2.26744e-13	6.85075e-15	1.82482e-16	4.18657e-18	9.65368e-20	1.98569e-21	5.47693e-23	1.22321e-24	3.99206e-26	8.57834e-28	2.54951e-29	4.75446e-31	1.19236e-32	1.89939e-34	4.00699e-36	5.47071e-38	9.78237e-40	1.15089e-41	1.7586e-43	1.79248e-45	2.35845e-47	2.09286e-49	2.38817e-51	1.85545e-53	1.85117e-55	1.27098e-57	1.12335e-59	6.9836e-62	5.59484e-64	3.27173e-66	2.39786e-68	1.32781e-70	8.67533e-73	4.50893e-75	2.77996e-77	
Carex_lingii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	2.58549e-17	3.91282e-14	1.87681e-11	8.63164e-09	2.94778e-07	4.7379e-06	0.000181874	0.00422026	0.03728	0.14307	0.272369	0.283698	0.173739	0.0660971	0.0163034	0.00270122	0.000309157	2.51081e-05	1.473e-06	6.45862e-08	2.11804e-09	5.99225e-11	1.33046e-12	4.79661e-14	1.09606e-15	6.05383e-17	1.1743e-18	5.47282e-20	7.8973e-22	2.84365e-23	3.06403e-25	8.66446e-27	7.06896e-29	1.60121e-30	1.00255e-32	1.85141e-34	8.99269e-37	1.37465e-38	5.2484e-41	6.74327e-43	2.0332e-45	2.22517e-47	5.47612e-50	5.25989e-52	1.02422e-54	8.91383e-57	1.77717e-59	1.61077e-61	2.26211e-64	2.26711e-66	6.50562e-69	6.38406e-71	7.32633e-74	7.69433e-76	2.22095e-78	1.81494e-80	1.70655e-83	1.53092e-85	4.82142e-88	3.57976e-90	1.165e-92	7.00062e-95	
N6	1.79893e-15	4.98857e-13	4.01999e-10	4.83387e-08	1.29755e-06	6.665e-05	0.00213614	0.0249046	0.118239	0.262787	0.302779	0.194798	0.0740226	0.017376	0.00261143	0.000260285	1.75806e-05	9.0711e-07	3.40102e-08	3.38728e-09	1.39762e-10	3.58235e-11	1.06362e-12	2.23322e-13	4.34586e-15	7.14799e-16	9.31932e-18	1.2306e-18	1.09877e-20	1.18921e-21	7.43227e-24	6.70891e-25	2.98337e-27	2.27738e-28	7.52117e-31	4.99533e-32	1.18812e-34	7.01502e-36	2.30916e-38	1.58057e-39	2.29084e-42	1.75901e-43	2.08793e-45	1.41189e-46	1.38573e-49	1.01836e-50	1.17603e-52	6.40804e-54	4.25525e-57	2.5195e-58	2.40718e-60	1.07434e-61	4.94946e-65	2.38549e-66	1.90742e-68	7.10789e-70	2.33003e-73	9.25648e-75	6.38946e-77	2.04638e-78	3.22061e-81	9.79818e-83	
Carex_grandiligulata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_pachygyna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_siderosticta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
