NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	1.11293e-06	3.71784e-06	1.93665e-05	0.000101023	0.000455553	0.00170847	0.00532296	0.0139115	0.0307784	0.0580115	0.0933936	0.128543	0.151306	0.152592	0.132369	0.0992956	0.0647485	0.0368312	0.0183051	0.00794516	0.00300543	0.000987009	0.000279894	6.80769e-05	1.40973e-05	2.46733e-06	3.62574e-07	4.44848e-08	4.53691e-09	3.83396e-10	2.67895e-11	1.54609e-12	9.76725e-17	1.93813e-17	3.49779e-18	5.74614e-19	8.60194e-20	1.17488e-20	1.46613e-21	1.67408e-22	1.75182e-23	1.68272e-24	1.48616e-25	1.20886e-26	9.07147e-28	6.29064e-29	4.03786e-30	2.40304e-31	1.32808e-32	6.82697e-34	3.26927e-35	1.46066e-36	6.09772e-38	2.38194e-39	8.71863e-41	2.99443e-42	9.66297e-44	2.9337e-45	8.39242e-47	2.26975e-48	5.94085e-50	2.02412e-51	
N2	1.77839e-06	6.67985e-06	3.35023e-05	0.000156909	0.000633582	0.00216951	0.00628502	0.015517	0.0328689	0.0599063	0.0939895	0.126855	0.146956	0.146905	0.127682	0.0972847	0.0655048	0.0393676	0.0209261	0.0100204	0.00431632	0.0016842	0.000591605	0.000223262	6.84279e-05	2.89129e-05	1.00689e-05	4.56881e-06	1.3006e-06	6.54801e-07	1.43415e-07	6.1412e-08	1.16961e-08	4.13022e-09	6.15788e-10	1.92891e-10	2.28644e-11	5.90663e-12	5.89233e-13	1.2513e-13	1.01201e-14	1.85108e-15	1.21926e-16	1.85731e-17	1.10352e-18	1.35018e-19	6.71724e-21	8.75126e-22	3.4613e-23	3.48671e-24	1.7314e-25	1.61881e-26	5.79287e-28	6.24552e-29	1.97915e-30	1.99875e-31	6.63258e-33	4.18365e-34	1.39756e-35	1.63657e-36	9.04069e-38	2.0713e-38	
N3	0.000411053	0.00118554	0.00441162	0.0149067	0.0408474	0.0881969	0.147921	0.193439	0.196044	0.153631	0.0930807	0.0438623	0.0161012	0.00466019	0.00107105	0.000197375	2.94552e-05	3.60834e-06	3.64154e-07	3.07824e-08	2.1931e-09	1.32939e-10	6.91112e-12	3.1363e-13	1.23327e-14	4.31959e-16	1.34458e-17	3.76888e-19	9.51195e-21	2.23987e-22	4.71277e-24	9.40995e-26	1.71593e-27	2.94382e-29	4.59445e-31	6.98298e-33	9.36552e-35	1.2347e-36	1.46614e-38	1.68453e-40	1.73476e-42	1.79045e-44	1.60887e-46	1.46321e-48	1.18301e-50	9.53002e-53	6.80372e-55	5.00989e-57	3.1784e-59	2.09806e-61	1.22354e-63	7.30141e-66	3.8553e-68	2.17174e-70	1.06628e-72	5.71818e-75	2.87133e-77	1.58501e-79	8.7211e-82	5.33383e-84	3.22794e-86	2.34604e-88	
N4	0.000128295	0.000918012	0.00743989	0.0416796	0.142289	0.275277	0.29034	0.170144	0.0579466	0.0120712	0.00161278	0.000144175	8.89599e-06	3.91554e-07	1.25971e-08	3.02617e-10	5.53969e-12	7.97251e-14	8.98434e-16	8.41216e-18	6.60732e-20	4.61356e-22	2.82146e-24	1.93188e-26	1.01138e-28	6.5294e-31	3.15179e-33	1.73908e-35	6.55926e-38	3.25593e-40	9.66616e-43	3.96877e-45	9.90776e-48	3.37203e-50	6.84563e-53	2.04081e-55	3.39355e-58	8.53682e-61	1.2443e-63	2.69065e-66	3.31472e-69	6.69356e-72	7.09631e-75	1.27613e-77	1.33957e-80	2.08067e-83	1.98091e-86	3.50466e-89	2.79456e-92	4.04116e-95	3.65587e-98	5.03718e-101	3.63489e-104	4.99581e-107	3.28827e-110	4.3127e-113	2.68322e-116	2.82788e-119	1.87147e-122	2.74074e-125	2.93672e-128	5.99452e-131	
Carex_lingii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	2.76543e-05	0.000377415	0.00545241	0.0455117	0.190596	0.358943	0.284	0.0978393	0.0158731	0.00131848	6.04096e-05	1.66088e-06	2.79937e-08	3.35729e-10	2.86926e-12	2.43889e-14	1.40453e-16	1.6309e-18	6.24895e-21	6.28132e-23	1.7584e-25	1.24984e-27	2.31713e-30	1.29001e-32	1.65466e-35	6.75308e-38	7.01104e-41	2.15139e-43	1.61936e-46	4.55614e-49	2.79003e-52	7.33798e-55	4.84967e-58	7.64329e-61	4.7328e-64	1.61898e-66	5.32221e-70	7.79159e-73	4.64646e-76	1.08549e-78	2.75739e-82	3.48995e-85	1.14736e-88	2.63927e-91	5.20856e-95	4.26257e-98	1.1422e-101	2.25229e-104	3.0801e-108	2.05813e-111	4.29961e-115	6.3919e-118	7.11105e-122	4.38258e-125	6.32548e-129	7.77439e-132	7.19102e-136	3.05475e-139	4.19061e-143	4.97841e-146	7.33525e-150	1.03687e-152	
N6	2.35452e-05	0.000354252	0.00554528	0.0485102	0.20604	0.376174	0.271111	0.0806272	0.0108567	0.000730791	2.68181e-05	7.10011e-07	1.06748e-08	4.2763e-10	5.4161e-12	3.02235e-13	1.95004e-15	9.73529e-17	3.66524e-19	1.24377e-20	3.41337e-23	7.25534e-25	1.40906e-27	2.67048e-29	3.58897e-32	4.25461e-34	1.26286e-36	1.80737e-38	1.74953e-41	2.45575e-43	3.33327e-46	1.01399e-47	7.99395e-51	3.97297e-53	5.55478e-56	1.65027e-57	6.66977e-61	2.86635e-63	3.00925e-66	6.59463e-68	2.08402e-71	7.53403e-74	4.53361e-77	8.19516e-79	2.17097e-82	5.2966e-85	2.83623e-88	4.6446e-90	8.76605e-94	1.74775e-96	8.10901e-100	7.13466e-102	1.45862e-105	9.1582e-108	2.51016e-111	2.49295e-113	3.8533e-117	5.31763e-120	2.08005e-123	2.49433e-125	8.90344e-129	1.1505e-130	
Carex_grandiligulata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_pachygyna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_siderosticta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
