NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	2.09276e-20	5.55571e-18	1.40977e-16	5.53259e-12	5.10765e-11	1.24454e-09	2.25913e-08	1.32904e-07	3.25868e-07	5.6638e-07	1.25196e-06	4.54438e-06	2.10678e-05	8.9177e-05	0.000290156	0.000691947	0.00122647	0.00169379	0.00193851	0.00197152	0.00192342	0.00194702	0.00218694	0.00282899	0.00420195	0.00690898	0.0119327	0.0205616	0.033932	0.052157	0.0734579	0.0931535	0.106541	0.110513	0.104834	0.0918579	0.0751444	0.0580116	0.0427076	0.0302822	0.0208761	0.0141175	0.00944454	0.00630118	0.00422499	0.002868	0.00198456	0.00140854	0.00103077	0.00078077	0.000613501	0.000500215	0.000422482	0.000368327	0.000329802	0.000301471	0.000279494	0.000261092	0.000244243	0.000227535	0.000210094	0.000191573	
N2	2.14797e-19	8.82904e-16	3.22089e-13	1.12067e-11	2.27223e-10	4.79005e-09	3.93883e-08	1.41619e-07	3.6414e-07	1.19313e-06	5.76578e-06	2.97667e-05	0.000124335	0.000381094	0.000848742	0.00141084	0.00184414	0.00203969	0.00208686	0.0021883	0.00258955	0.00364298	0.00597236	0.0106581	0.0192043	0.0330548	0.0524533	0.0753508	0.0971136	0.112228	0.116636	0.109514	0.0941337	0.0751282	0.0563133	0.0401701	0.0275386	0.0183725	0.0120249	0.00781801	0.00508071	0.0033456	0.00224065	0.00155064	0.00110698	0.000830516	0.000646022	0.000532817	0.000451072	0.00040425	0.000363356	0.000343415	0.000317074	0.000306475	0.000282931	0.000272418	0.000244547	0.0002264	0.000189773	0.000162919	0.000124208	9.91573e-05	
N3	6.00137e-13	4.39483e-09	3.97598e-06	4.15337e-05	4.34884e-05	0.00547336	0.0749368	0.226954	0.277415	0.182409	0.0765512	0.0463875	0.0471032	0.035432	0.0179267	0.00668362	0.00197996	0.000508599	0.00011782	2.62122e-05	5.44313e-06	1.09081e-06	1.98372e-07	3.43246e-08	5.32335e-09	7.91126e-10	1.059e-10	1.38477e-11	1.64767e-12	1.95995e-13	2.14385e-14	2.39573e-15	2.4836e-16	2.67428e-17	2.69095e-18	2.83886e-19	2.81165e-20	2.92803e-21	2.86775e-22	2.94626e-23	2.83871e-24	2.86109e-25	2.69363e-26	2.64782e-27	2.41691e-28	2.3087e-29	2.03946e-30	1.89187e-31	1.6141e-32	1.45612e-33	1.20483e-34	1.06027e-35	8.51874e-37	7.3399e-38	5.76859e-39	4.88644e-40	3.76358e-41	3.14604e-42	2.39504e-43	1.98303e-44	1.49462e-45	1.23509e-46	
N4	3.99769e-15	2.40148e-10	1.29798e-05	2.35903e-05	7.18875e-06	0.149117	0.474283	0.281547	0.0771386	0.0152352	0.00235137	0.000262695	2.06747e-05	1.18716e-06	5.22875e-08	1.87906e-09	5.76097e-11	1.57922e-12	3.89424e-14	8.95291e-16	1.87094e-17	3.96356e-19	7.84889e-21	1.94921e-22	4.2317e-24	1.28658e-25	2.78775e-27	8.44701e-29	1.66392e-30	4.64984e-32	8.33198e-34	2.15237e-35	3.59221e-37	8.70499e-39	1.38299e-40	3.17477e-42	4.83342e-44	1.05518e-45	1.54468e-47	3.21724e-49	4.50556e-51	9.01499e-53	1.22676e-54	2.40167e-56	3.19043e-58	6.29151e-60	8.73422e-62	1.81149e-63	2.60862e-65	5.82108e-67	9.67227e-69	2.28156e-70	3.91626e-72	9.33952e-74	1.74875e-75	3.98462e-77	7.06272e-79	1.51429e-80	2.69028e-82	5.41443e-84	8.94797e-86	1.72405e-87	
Carex_lingii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	3.65302e-17	9.77529e-12	4.01341e-06	3.89398e-06	1.28902e-06	0.324902	0.538299	0.125115	0.0110713	0.000582985	2.01653e-05	4.70322e-07	7.10398e-09	1.10925e-10	9.62112e-13	3.10749e-14	2.20355e-16	1.01559e-17	6.64557e-20	2.6499e-21	1.55395e-23	5.15755e-25	2.52338e-27	7.13403e-29	2.75978e-31	6.82412e-33	2.49282e-35	5.82323e-37	1.50116e-39	3.46655e-41	2.10461e-43	5.21078e-45	1.05765e-47	3.06768e-49	3.3013e-51	7.74151e-53	1.68166e-55	4.65453e-57	4.97121e-59	1.04041e-60	2.39896e-63	5.88001e-65	5.77268e-67	1.08048e-68	2.39752e-71	5.25562e-73	4.7564e-75	8.05851e-77	1.60961e-79	3.19741e-81	2.69888e-83	4.21345e-85	8.38461e-88	1.55766e-89	1.24983e-91	1.86895e-93	3.35827e-96	6.26624e-98	6.75752e-100	1.1755e-101	1.24743e-103	2.1384e-105	
N6	8.41934e-17	1.45423e-11	3.16019e-06	5.00981e-06	5.96316e-06	0.421154	0.498343	0.0762549	0.00410684	0.000124585	2.50357e-06	1.25701e-07	1.79497e-09	5.55873e-10	3.11639e-12	8.06045e-13	2.69082e-15	5.48865e-16	1.45447e-18	2.44257e-19	5.32498e-22	7.68564e-23	2.64741e-25	4.21277e-26	5.24758e-29	9.41708e-30	3.43664e-31	5.17437e-32	2.91838e-35	5.20178e-36	2.19004e-37	2.73944e-38	1.16694e-41	1.73604e-42	6.69961e-44	7.18179e-45	2.95445e-48	3.79019e-49	1.35376e-50	1.27308e-51	5.07165e-55	5.72999e-56	1.91453e-57	1.61678e-58	9.18208e-62	1.03374e-62	3.39895e-64	2.98706e-65	7.27123e-69	7.52529e-70	2.49338e-71	2.37934e-72	1.90015e-74	2.11585e-75	6.70234e-77	5.70861e-78	7.4372e-82	7.52936e-83	3.89514e-84	4.10991e-85	2.11179e-86	1.6828e-87	
Carex_grandiligulata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_pachygyna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_siderosticta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
