NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	7.85575e-11	0.000368	0.101881	0.6635	0.230771	0.00347948	8.1889e-21	2.20538e-30	3.36131e-40	1.0427e-41	7.34137e-43	2.51637e-44	3.98684e-46	3.05863e-48	2.72375e-50	4.25092e-52	2.49235e-60	8.67725e-69	1.53364e-70	3.12399e-70	4.67315e-70	5.59874e-70	6.15897e-70	6.85025e-70	7.93069e-70	9.35326e-70	1.07919e-69	1.18184e-69	1.23235e-69	1.26277e-69	1.32491e-69	5.12606e-59	4.20189e-56	9.30241e-53	2.35349e-48	3.0277e-46	3.17661e-46	6.73994e-45	7.74881e-44	4.84722e-43	1.95502e-42	6.62477e-42	2.23166e-41	6.35915e-41	1.34521e-40	2.08295e-40	2.51847e-40	2.6534e-40	2.67256e-40	2.67347e-40	2.67347e-40	2.67347e-40	2.67347e-40	2.67347e-40	2.67347e-40	2.67347e-40	2.67347e-40	2.67347e-40	2.67347e-40	2.67347e-40	2.67347e-40	2.67347e-40	
N2	3.8195e-12	0.000161561	0.0720555	0.588479	0.317699	0.0216053	7.95869e-12	1.40828e-21	1.52049e-31	2.01051e-32	3.37887e-33	9.54195e-34	6.68697e-35	6.17795e-36	1.64051e-37	5.34168e-39	3.34995e-41	1.72014e-43	1.03536e-52	1.89208e-61	2.31764e-64	2.58165e-64	1.17409e-64	2.17291e-64	1.02369e-64	9.90748e-65	4.46e-65	5.90465e-65	2.57748e-65	2.67635e-65	1.20613e-65	1.96356e-65	8.8071e-61	1.39973e-54	2.14788e-47	1.18777e-43	8.65793e-43	8.81285e-41	1.07151e-39	1.85911e-38	2.88315e-38	7.57805e-38	6.92677e-38	1.27124e-37	7.6836e-38	7.1577e-38	3.42112e-38	7.81392e-38	4.30304e-38	4.64612e-38	2.51729e-38	3.22903e-38	1.68547e-38	1.60833e-38	8.03889e-39	1.29064e-38	6.9485e-39	6.87327e-39	3.52924e-39	5.20259e-39	2.83319e-39	1.99343e-38	
N3	9.15558e-18	6.91813e-08	0.000449116	0.0385753	0.366132	0.594843	3.60986e-10	8.31035e-20	9.30495e-30	4.37512e-34	2.63791e-34	7.02371e-35	1.19788e-43	1.34016e-52	1.00548e-61	4.86424e-71	1.53563e-80	3.523e-90	6.64111e-100	1.18333e-109	2.0071e-119	3.18169e-129	4.54825e-139	6.2013e-149	8.30394e-159	1.23447e-168	2.05443e-178	3.75684e-188	6.7291e-198	1.1624e-207	1.77123e-217	2.48177e-227	3.00119e-231	6.42239e-237	7.80017e-245	2.28495e-253	2.12897e-262	3.61375e-272	3.33152e-282	3.12252e-292	2.81193e-302	2.60851e-312	2.2727e-322	0	8.71245e-32	7.91992e-32	6.96945e-32	6.39155e-32	5.63507e-32	5.1544e-32	4.57988e-32	4.19992e-32	3.72204e-32	3.441e-32	3.05598e-32	2.82008e-32	2.52458e-32	2.33438e-32	2.08497e-32	1.94486e-32	1.74109e-32	2.2449e-31	
N4	7.9035e-23	1.12116e-10	9.54848e-06	0.00529432	0.253736	0.740961	5.03448e-20	8.289e-40	5.83518e-60	2.31922e-74	2.49873e-84	2.83649e-94	2.15957e-104	1.11101e-114	8.35138e-125	1.16816e-134	1.67351e-144	2.25992e-154	1.48325e-164	9.17368e-175	4.33578e-185	2.89437e-195	1.48597e-205	1.10082e-215	5.22895e-226	2.84887e-236	1.08009e-246	5.19942e-257	1.8693e-267	9.64368e-278	1.63117e-281	3.74829e-287	1.32349e-297	1.43006e-305	2.26026e-314	1.97626e-323	0	1.91545e-34	1.42755e-34	1.50814e-34	1.10992e-34	1.17527e-34	8.60084e-35	9.48035e-35	7.18153e-35	7.3257e-35	5.40072e-35	5.89082e-35	4.32878e-35	4.31803e-35	3.16239e-35	3.23881e-35	2.32959e-35	2.25391e-35	1.59482e-35	1.56881e-35	1.11228e-35	1.02755e-35	7.12136e-36	6.96274e-36	4.82506e-36	3.18502e-35	
Carex_lingii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.53013e-27	3.45332e-13	3.77039e-07	0.00105006	0.184524	0.814425	2.31472e-21	1.35663e-42	5.32109e-64	9.45244e-79	2.21929e-89	8.72994e-99	3.57378e-109	1.63407e-119	2.60809e-130	1.78043e-140	1.27289e-150	5.01326e-160	2.57216e-170	1.29484e-180	2.71873e-191	8.965e-202	1.40551e-212	8.50155e-222	2.26989e-232	1.06168e-242	1.65243e-253	1.13536e-263	1.70474e-274	1.7789e-276	3.50738e-283	2.13205e-293	3.18779e-302	2.14545e-311	2.99898e-321	0	0	3.6277e-39	1.84616e-39	2.56468e-39	1.06582e-39	1.33153e-39	5.29818e-40	6.52457e-40	2.96406e-40	2.26471e-40	8.47377e-41	1.85077e-39	9.85777e-40	1.08331e-39	4.98486e-40	7.07172e-40	3.09661e-40	2.78248e-40	1.13192e-40	2.76562e-40	1.27018e-40	1.22089e-40	5.13715e-41	7.35085e-41	3.0832e-41	1.46442e-40	
N6	1.95394e-29	2.29637e-14	1.00947e-07	0.000520056	0.155043	0.844437	5.41883e-21	7.1414e-42	1.51426e-62	3.22782e-83	2.73255e-104	1.19792e-123	5.99352e-145	1.04684e-165	3.33716e-187	4.19515e-208	1.03142e-229	9.91718e-250	3.48762e-271	9.72962e-292	4.8004e-313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6053e-40	5.92567e-41	1.59134e-40	3.72137e-41	5.08824e-41	1.08837e-41	1.98461e-41	5.18674e-42	3.34838e-42	6.75837e-43	2.85457e-40	8.12599e-41	6.44389e-41	1.50812e-41	3.14624e-41	7.42494e-42	6.05849e-42	1.33902e-42	1.25068e-41	3.24444e-42	2.48202e-42	5.58889e-43	1.35556e-42	3.19306e-43	2.59564e-42	
Carex_grandiligulata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_pachygyna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_siderosticta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_scaposa	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.30528e-17	3.24472e-08	8.9032e-05	0.00314469	0.0222001	0.0732463	0.143643	0.210753	0.226543	0.1842	0.0928443	0.0351903	0.00706653	0.00100776	6.90916e-05	2.88871e-06	4.47057e-08	2.81806e-10	1.01134e-19	1.96915e-29	5.12805e-36	1.29843e-36	1.9648e-37	2.97744e-38	2.66676e-39	2.32005e-40	1.1766e-41	4.7257e-43	6.94073e-45	2.7061e-53	1.02354e-61	8.20398e-63	2.10565e-59	9.0284e-57	4.21418e-56	1.7245e-52	9.06548e-50	3.20474e-47	1.17524e-45	1.35141e-44	8.79628e-44	1.79497e-43	2.92464e-42	3.70502e-41	1.89159e-40	8.38257e-40	1.5087e-39	2.30087e-39	3.04737e-39	6.11077e-39	1.2727e-38	3.71174e-38	8.03598e-38	1.9462e-37	3.61106e-37	8.48522e-37	1.63218e-36	3.43562e-36	4.8141e-36	6.60332e-36	5.91035e-36	5.26361e-35	
N8	4.88809e-34	1.27636e-21	1.791e-16	8.70578e-14	1.45786e-11	3.23407e-10	1.95329e-09	2.62468e-08	3.67205e-07	3.14751e-06	1.4586e-05	5.81636e-05	9.56133e-05	8.8447e-05	0.000177551	0.000433279	0.00122329	0.00348991	0.0080909	0.0162552	0.0316124	0.0638471	0.128327	0.220598	0.256493	0.183019	0.0709367	0.01407	0.00116643	1.93838e-12	1.9244e-21	5.17622e-23	5.61971e-24	2.18715e-24	1.60312e-24	7.72001e-25	1.63254e-25	1.01892e-33	2.80136e-42	4.66337e-51	4.76458e-60	3.43987e-69	1.63253e-78	5.80996e-88	1.49066e-97	3.35421e-107	9.12975e-117	4.93435e-126	9.45342e-136	5.60689e-145	2.34802e-154	7.49703e-164	1.8454e-173	4.40367e-183	9.79709e-193	2.14043e-202	3.82915e-212	6.08403e-222	8.30865e-232	1.14465e-241	1.44803e-251	6.95884e-260	
N9	7.021e-38	2.72058e-27	3.80509e-21	8.85011e-18	4.03926e-15	2.97699e-13	6.97112e-12	1.48375e-10	3.1657e-09	4.69382e-08	3.26171e-07	1.79398e-06	5.84922e-06	1.16753e-05	3.5072e-05	0.000116335	0.000403014	0.00151327	0.00484515	0.0116086	0.0221617	0.0388106	0.0751561	0.160303	0.262248	0.255512	0.130652	0.0329611	0.00365518	6.82981e-12	6.84384e-21	5.76153e-30	3.93501e-28	1.31946e-26	1.63946e-25	1.27178e-24	4.82602e-24	3.53558e-24	2.34665e-23	7.71044e-23	2.37344e-22	1.05313e-21	1.53821e-21	2.5823e-21	2.50605e-21	2.81347e-21	1.16244e-21	1.00696e-21	2.11297e-22	1.38624e-22	1.9781e-23	4.23039e-24	1.1021e-32	4.37328e-41	3.7215e-50	6.98214e-59	3.21529e-68	2.841e-77	7.18708e-87	3.7268e-96	6.93786e-106	3.944e-113	
N10	2.83779e-34	7.19416e-30	1.06764e-24	9.97971e-21	8.68072e-18	1.6181e-15	1.00798e-13	3.43525e-12	7.44445e-11	1.50862e-09	1.68123e-08	1.37587e-07	7.9999e-07	3.20545e-06	1.27589e-05	3.93951e-05	0.00010224	0.000315714	0.00130789	0.00470083	0.0111623	0.0190498	0.0333479	0.0789636	0.18439	0.290025	0.252627	0.106792	0.0171601	2.52663e-11	1.80358e-20	8.17374e-30	2.39671e-39	4.42938e-49	5.06545e-59	3.56634e-69	1.50586e-79	3.58066e-90	4.01651e-101	9.10891e-120	1.0574e-138	8.26258e-158	4.53349e-177	1.83195e-196	5.61695e-216	1.34929e-235	2.5844e-255	4.67822e-275	6.86411e-295	1.12665e-314	0	0	0	0	0	0	0	0	0	0	0	1.11459e-240	
Trichophorum_alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Trichophorum_uniflorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
