NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	2.00385e-17	6.24963e-08	0.000214756	0.021815	0.239203	0.472108	0.230377	0.0344252	0.00181844	3.77062e-05	3.35776e-07	1.39264e-09	2.90028e-12	1.17051e-17	2.96348e-19	5.8365e-21	9.16711e-23	1.1739e-24	1.24976e-26	1.12538e-28	8.70266e-31	5.85736e-33	3.47211e-35	1.83181e-37	8.68163e-40	3.72695e-42	1.45998e-44	5.2535e-47	1.7468e-49	5.39569e-52	1.55583e-54	4.20614e-57	1.07038e-59	2.57335e-62	5.86405e-65	1.27042e-67	2.62393e-70	5.1799e-73	9.79658e-76	1.77891e-78	3.10765e-81	5.23259e-84	8.50669e-87	1.3374e-89	2.03643e-92	3.00742e-95	4.31324e-98	6.0149e-101	8.16525e-104	1.08017e-106	1.39393e-109	1.75642e-112	2.16295e-115	2.60531e-118	3.07199e-121	3.54858e-124	4.01863e-127	4.46477e-130	4.87245e-133	5.27811e-136	6.61865e-139	3.01395e-141	
N2	2.10641e-11	5.6881e-07	0.00030644	0.0186111	0.1918	0.422652	0.27989	0.0752206	0.0106132	0.000852749	4.99521e-05	2.81356e-06	9.3961e-08	3.13121e-09	9.08973e-11	1.44143e-12	2.43286e-14	4.708e-16	4.62133e-18	5.11539e-20	6.53208e-22	4.77775e-24	4.17833e-26	3.33809e-28	1.62485e-30	9.78883e-33	8.62527e-35	3.50388e-37	1.69082e-39	9.90092e-42	3.83845e-44	1.86069e-46	9.44541e-49	3.0178e-51	1.18051e-53	5.91823e-56	1.50974e-58	4.60633e-61	1.83685e-63	5.51816e-66	2.01462e-68	7.3831e-71	1.68972e-73	4.633e-76	1.86445e-78	4.03227e-81	1.05386e-83	3.91226e-86	9.15653e-89	2.50232e-91	7.56707e-94	1.51075e-96	3.59274e-99	1.33066e-101	2.40967e-104	5.03793e-107	1.30968e-109	2.4669e-112	5.54468e-115	1.61135e-117	3.87372e-120	2.09783e-121	
N3	1.55036e-11	3.02787e-07	0.000138152	0.00830655	0.130712	0.500591	0.284325	0.0671827	0.00818643	0.000538335	1.9762e-05	4.15038e-07	5.10254e-09	4.09041e-11	2.3485e-13	1.01665e-15	3.5049e-18	1.00472e-20	2.4246e-23	5.07897e-26	9.47814e-29	1.57017e-31	2.36245e-34	3.29243e-37	4.19508e-40	4.98923e-43	5.63548e-46	5.92396e-49	5.91754e-52	5.70923e-55	5.18466e-58	4.52948e-61	3.86827e-64	3.13109e-67	2.45933e-70	1.90553e-73	1.40576e-76	1.01269e-79	7.24138e-83	4.94845e-86	3.31788e-89	2.21942e-92	1.42177e-95	8.96927e-99	5.67088e-102	3.43937e-105	2.06014e-108	1.24011e-111	7.17605e-115	4.11079e-118	2.37271e-121	1.31747e-124	7.25532e-128	4.03729e-131	2.16273e-134	1.15072e-137	6.19293e-141	3.21446e-144	1.6632e-147	9.00633e-151	6.87639e-154	3.85726e-156	
N4	6.81308e-15	1.95746e-09	7.64765e-06	0.00236051	0.130668	0.827556	0.0389677	0.000438194	1.9738e-06	4.43001e-09	5.69123e-12	4.66415e-15	2.61536e-18	1.07683e-21	3.56576e-25	9.54197e-29	2.25145e-32	5.39492e-36	1.1134e-39	2.27635e-43	4.90239e-47	8.4178e-51	1.42873e-54	2.49646e-58	3.47544e-62	4.92936e-66	7.8481e-70	1.00973e-73	1.37486e-77	2.12642e-81	2.68052e-85	3.56703e-89	5.21752e-93	5.98278e-97	7.15854e-101	9.80858e-105	1.02904e-108	1.12994e-112	1.38552e-116	1.39965e-120	1.51804e-124	1.86335e-128	1.83734e-132	1.93956e-136	2.49183e-140	2.45924e-144	2.5665e-148	3.109e-152	3.05607e-156	3.16558e-160	3.66293e-164	3.36538e-168	3.24804e-172	3.76451e-176	3.3395e-180	3.10704e-184	3.28119e-188	2.85322e-192	2.62171e-196	2.74287e-200	2.80016e-204	1.70393e-207	
Carex_lingii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.12283e-17	2.35925e-11	5.52287e-07	0.000697333	0.100691	0.891001	0.00760043	9.83674e-06	4.66811e-09	1.07195e-12	1.95277e-16	3.75109e-20	3.67954e-24	4.57285e-28	4.95794e-32	2.92631e-36	2.44252e-40	2.75791e-44	1.27717e-48	8.29939e-53	7.4418e-57	3.35426e-61	2.21982e-65	1.26174e-69	4.48138e-74	2.48047e-78	2.39008e-82	7.5179e-87	3.26765e-91	1.91462e-95	7.37402e-100	4.09855e-104	2.15521e-108	6.90892e-113	3.15707e-117	1.8329e-121	4.63325e-126	1.64197e-130	9.12137e-135	3.76542e-139	1.92141e-143	8.17162e-148	2.05309e-152	7.11885e-157	4.17523e-161	1.09132e-165	3.96385e-170	2.38441e-174	7.20146e-179	2.76199e-183	1.13782e-187	2.96899e-192	1.0382e-196	6.19341e-201	1.37484e-205	3.92119e-210	1.52686e-214	4.31897e-219	1.58757e-223	8.16676e-228	2.62318e-232	4.87094e-236	
N6	1.10421e-17	1.81016e-11	3.7384e-07	0.000545577	0.0903312	0.902469	0.00664566	7.86645e-06	7.97003e-09	3.23595e-12	2.9795e-15	1.1715e-18	2.14692e-22	1.02468e-25	2.61932e-29	5.37769e-33	2.75041e-36	8.2867e-40	7.13924e-44	1.5387e-47	6.45981e-51	6.62271e-55	1.73214e-58	3.99609e-62	6.82507e-66	2.15559e-69	6.63185e-73	4.05819e-77	5.58333e-81	1.2837e-84	2.02268e-88	5.33936e-92	7.38591e-96	7.32101e-100	1.55344e-103	4.5721e-107	4.11156e-111	7.79684e-115	3.04005e-118	3.96065e-122	8.12315e-126	7.9606e-130	5.0715e-134	7.31068e-138	2.14723e-141	1.8764e-145	3.22742e-149	1.11709e-152	8.81117e-157	1.3147e-160	1.91527e-164	1.86578e-168	3.2332e-172	1.27555e-175	8.52759e-180	1.09691e-183	2.78479e-187	4.81596e-191	9.23688e-195	1.74674e-198	1.8074e-202	9.96823e-206	
Carex_grandiligulata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_pachygyna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_siderosticta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_scaposa	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.5432e-15	7.23751e-11	7.31441e-08	9.07746e-06	0.000299625	0.00342707	0.0189852	0.0613418	0.132872	0.195525	0.211663	0.180944	0.113026	0.0544989	0.0207418	0.00539958	0.00107347	0.000171841	1.87843e-05	1.64378e-06	1.21591e-07	6.4098e-09	2.85884e-10	1.131e-11	3.27009e-13	8.31257e-15	1.99081e-16	3.54115e-18	5.71422e-20	8.84295e-22	1.06368e-23	1.19519e-25	1.31706e-27	1.1426e-29	9.44407e-32	8.02819e-34	5.3806e-36	3.48292e-38	2.30963e-40	1.26011e-42	6.73204e-45	3.70574e-47	1.67327e-49	7.4516e-52	3.54599e-54	1.37888e-56	5.31899e-59	2.17007e-61	7.48365e-64	2.57661e-66	9.35227e-69	2.8547e-71	8.72541e-74	2.91334e-76	8.09221e-79	2.25351e-81	6.70762e-84	1.71843e-86	4.44376e-89	1.29325e-91	5.97962e-94	5.80232e-95	
