NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	1.04501e-32	0.00664097	0.579428	0.407643	0.00628644	1.76369e-06	3.87355e-23	2.31301e-33	2.36095e-43	5.00512e-45	5.90351e-47	2.7152e-49	4.4913e-52	2.36142e-55	3.2174e-59	7.69348e-64	4.86602e-73	1.13217e-78	1.03207e-77	8.4145e-77	6.15076e-76	4.04904e-75	2.40663e-74	1.29297e-73	6.27998e-73	2.75599e-72	1.09169e-71	3.89762e-71	1.25208e-70	3.61192e-70	9.33699e-70	2.15842e-69	8.85913e-56	6.68234e-55	9.09911e-50	3.40978e-47	2.50507e-45	6.9796e-44	9.31276e-43	6.7405e-42	2.87277e-41	7.70795e-41	1.39764e-40	1.87568e-40	2.08608e-40	2.13743e-40	2.1439e-40	2.14427e-40	2.14427e-40	2.14427e-40	2.14427e-40	2.14427e-40	2.14427e-40	2.14427e-40	2.14427e-40	2.14427e-40	2.14427e-40	2.14427e-40	2.14427e-40	2.14427e-40	2.14427e-40	2.14427e-40	
N2	3.00759e-34	0.00347516	0.464003	0.489355	0.0426434	0.000523866	6.73307e-14	2.91981e-24	4.91826e-34	2.59452e-35	8.40847e-37	1.4715e-38	1.36771e-40	6.54844e-43	1.53697e-45	1.63055e-48	6.75924e-52	7.85029e-56	1.5583e-65	1.06506e-73	4.37883e-74	1.68056e-74	5.95546e-75	1.95506e-75	5.96173e-76	1.69279e-76	4.48571e-77	1.11174e-77	2.58263e-78	5.63608e-79	1.15819e-79	2.2469e-80	4.12705e-81	4.41739e-74	7.33563e-65	1.50429e-61	1.02491e-59	6.56093e-59	8.81236e-59	6.6132e-58	7.00761e-57	3.92078e-56	1.35387e-55	3.40408e-55	6.9282e-55	1.20416e-54	1.84241e-54	2.53942e-54	3.21583e-54	3.8069e-54	4.27717e-54	4.62102e-54	4.85394e-54	5.0011e-54	5.08834e-54	5.13712e-54	5.16296e-54	5.17598e-54	5.18225e-54	5.18514e-54	5.18641e-54	4.98147e-53	
N3	1.1922e-37	1.00486e-06	0.0035857	0.120685	0.5905	0.285228	1.1208e-10	1.63828e-20	1.17578e-30	4.68417e-41	6.53237e-42	7.14737e-42	4.95026e-50	1.60486e-58	3.25608e-67	4.65947e-76	5.02177e-85	4.2482e-94	2.90156e-103	1.63282e-112	7.68554e-122	3.06071e-131	1.04051e-140	3.04083e-150	7.68263e-160	1.68597e-169	3.22739e-179	5.41215e-189	7.99001e-199	1.04513e-208	1.22212e-218	1.29345e-228	1.25936e-238	2.35046e-238	4.86564e-246	1.24516e-254	5.52527e-264	5.57054e-274	4.49357e-284	3.57852e-294	2.81548e-304	2.18992e-314	0	0	2.22423e-32	1.80833e-32	1.46816e-32	1.1904e-32	9.63951e-33	7.79618e-33	6.29785e-33	5.08165e-33	4.09577e-33	3.29762e-33	2.65226e-33	2.13106e-33	1.71062e-33	1.37184e-33	1.09914e-33	8.79879e-34	7.0375e-34	2.76107e-33	
N4	5.33734e-42	1.25904e-09	9.95424e-05	0.0286222	0.554353	0.416925	2.01846e-20	2.43486e-40	1.32979e-60	4.2211e-81	2.4918e-101	3.01247e-110	4.16015e-119	4.36513e-128	3.58206e-137	2.35174e-146	1.25783e-155	5.56061e-165	2.05559e-174	6.41353e-184	1.70138e-193	3.85948e-203	7.51842e-213	1.26148e-222	1.82622e-232	2.28238e-242	2.46113e-252	2.2857e-262	1.82272e-272	1.24256e-282	7.19887e-293	1.00415e-292	9.85108e-301	1.66952e-311	1.80334e-320	0	0	1.14989e-41	3.44487e-42	1.0238e-42	3.01975e-43	8.84324e-44	2.57214e-44	7.43305e-45	2.13485e-45	6.09568e-46	1.73097e-46	4.89484e-47	1.39238e-47	4.27991e-48	1.94422e-48	1.83031e-48	2.49639e-48	3.49065e-48	4.61037e-48	5.71102e-48	6.67229e-48	7.40377e-48	7.85401e-48	8.01228e-48	7.90237e-48	6.35958e-47	
Carex_lingii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.34774e-45	2.55789e-12	4.11707e-06	0.00834869	0.474999	0.516648	1.77262e-21	1.27732e-42	4.11019e-64	7.94789e-86	1.07708e-107	2.44278e-124	1.27446e-133	5.27951e-143	1.77956e-152	4.97164e-162	1.16763e-171	2.33078e-181	3.98835e-191	5.88897e-201	7.54043e-211	8.40274e-221	8.16843e-231	6.93557e-241	5.1441e-251	3.32965e-261	1.87681e-271	9.1811e-282	3.87878e-292	1.40584e-302	1.33348e-299	5.4908e-311	5.36358e-320	0	0	0	0	3.89677e-58	1.30294e-57	2.25298e-57	2.68434e-57	2.47971e-57	1.89511e-57	1.24879e-57	7.30297e-58	3.87239e-58	1.89321e-58	8.65034e-59	3.7357e-59	1.53942e-59	6.10297e-60	2.34421e-60	8.77836e-61	3.22354e-61	1.16947e-61	4.25961e-62	1.63305e-62	7.44435e-63	4.7642e-63	4.26112e-63	4.47878e-63	8.30962e-62	
N6	6.70969e-47	1.0951e-13	9.32659e-07	0.00468756	0.421122	0.574189	4.49331e-21	7.15098e-42	5.03685e-63	2.12401e-84	6.26514e-106	1.41776e-127	2.61328e-149	4.08899e-171	5.59522e-193	6.84607e-215	7.61892e-237	7.81604e-259	7.4709e-281	6.71172e-303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88453e-72	5.16345e-73	1.04816e-72	1.69373e-72	2.11896e-72	2.18277e-72	1.92797e-72	1.50166e-72	1.0528e-72	6.74938e-73	4.00641e-73	2.22458e-73	1.16532e-73	5.80087e-74	2.7614e-74	1.264e-74	5.59094e-75	2.40032e-75	1.0044e-75	4.11416e-76	1.65948e-76	6.66976e-77	2.75137e-77	1.25049e-77	9.60029e-77	
Carex_grandiligulata	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_pachygyna	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_siderosticta	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
