NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	8.47728e-09	8.8353e-09	9.7458e-09	1.14316e-08	1.42082e-08	1.81132e-08	2.40015e-08	3.33813e-08	4.87314e-08	7.47122e-08	1.20067e-07	1.9776e-07	3.3183e-07	7.98607e-07	1.56202e-06	2.6364e-06	3.96219e-06	4.43922e-06	4.95186e-06	5.61755e-06	6.49688e-06	7.5827e-06	8.79963e-06	8.45839e-06	8.38505e-06	8.70263e-06	9.43289e-06	1.05102e-05	1.17888e-05	1.11061e-05	1.0796e-05	1.09731e-05	1.16273e-05	1.26482e-05	1.38469e-05	1.27825e-05	1.21883e-05	1.21801e-05	1.27366e-05	1.37453e-05	1.5037e-05	1.40404e-05	1.37339e-05	1.4344e-05	1.60585e-05	1.91483e-05	2.41375e-05	2.81536e-05	3.69297e-05	5.45957e-05	8.87509e-05	0.000153645	0.000276105	0.000481211	0.000872172	0.00162033	0.00307104	0.00596301	0.0118607	0.0235709	0.0459684	0.0839665	0.137757	0.196772	0.239775	0.247328	
N2	4.07966e-09	1.23589e-09	1.66712e-09	2.48602e-09	3.88633e-09	6.04742e-09	9.69292e-09	1.6437e-08	2.92732e-08	5.28589e-08	9.33001e-08	1.55135e-07	2.44073e-07	4.71927e-07	7.19975e-07	9.63963e-07	1.18571e-06	1.21688e-06	1.25394e-06	1.33181e-06	1.45868e-06	1.62204e-06	1.79727e-06	1.7479e-06	1.7335e-06	1.78531e-06	1.90275e-06	2.06341e-06	2.23374e-06	2.12918e-06	2.07142e-06	2.09659e-06	2.20348e-06	2.3691e-06	2.56243e-06	2.46656e-06	2.46067e-06	2.61225e-06	2.97537e-06	3.63032e-06	4.74259e-06	5.97869e-06	8.58835e-06	1.44179e-05	2.78318e-05	5.89716e-05	0.00012999	0.000256207	0.000511207	0.00103542	0.00209589	0.00414404	0.00788641	0.0134016	0.0235358	0.0423467	0.0737853	0.116827	0.159715	0.180805	0.164571	0.116292	0.0613998	0.0233305	0.00632416	0.00143501	
N3	9.19053e-09	4.98861e-09	8.22508e-09	1.37956e-08	2.28974e-08	3.71933e-08	5.85494e-08	8.85176e-08	1.27603e-07	1.74202e-07	2.24307e-07	2.72618e-07	3.14537e-07	3.46607e-07	3.73659e-07	3.98215e-07	4.22498e-07	4.48752e-07	4.71327e-07	4.90393e-07	5.07323e-07	5.24749e-07	5.44102e-07	5.67273e-07	5.86486e-07	6.01958e-07	6.15757e-07	6.32001e-07	6.53857e-07	6.85711e-07	7.21474e-07	7.66922e-07	8.34312e-07	9.47006e-07	1.14557e-06	1.51746e-06	2.22828e-06	3.6989e-06	6.96654e-06	1.46768e-05	3.36821e-05	8.23777e-05	0.000206844	0.000522087	0.0012981	0.00312016	0.00712286	0.015294	0.0301117	0.0536566	0.0853248	0.11956	0.146022	0.154873	0.140282	0.107965	0.0700982	0.0381124	0.0172219	0.00644899	0.00197271	0.000496363	0.000105408	2.03754e-05	4.10284e-06	9.52008e-07	
N4	1.02741e-07	3.38755e-08	3.93804e-08	4.57439e-08	5.18604e-08	5.75804e-08	6.28264e-08	6.72618e-08	7.1432e-08	7.52667e-08	7.88586e-08	8.23155e-08	8.5668e-08	8.8077e-08	9.09265e-08	9.38674e-08	9.70247e-08	1.01242e-07	1.05802e-07	1.11185e-07	1.18704e-07	1.29815e-07	1.47576e-07	1.79214e-07	2.36204e-07	3.47692e-07	5.85938e-07	1.14971e-06	2.6512e-06	7.16852e-06	2.16585e-05	6.93417e-05	0.000222973	0.000689412	0.00198481	0.00524227	0.0123721	0.0258782	0.0476676	0.0770222	0.108931	0.135499	0.146759	0.138697	0.114362	0.0822711	0.0516402	0.0284201	0.0135951	0.00567253	0.00206654	0.000658793	0.00018468	4.61692e-05	1.04013e-05	2.19603e-06	4.56329e-07	9.75175e-08	2.16226e-08	4.84588e-09	1.04764e-09	2.13304e-10	4.03857e-11	7.08962e-12	1.15522e-12	1.76261e-13	
N5	8.01405e-08	1.68244e-08	2.63688e-08	4.76711e-08	8.98777e-08	1.71266e-07	3.24556e-07	6.08589e-07	1.12924e-06	2.06708e-06	3.72819e-06	6.68151e-06	1.21501e-05	2.29093e-05	4.60995e-05	9.87258e-05	0.000221607	0.000517404	0.00122426	0.00287631	0.0065133	0.0138554	0.0272536	0.0494157	0.0805077	0.116048	0.145361	0.156091	0.142583	0.111119	0.0732054	0.0410423	0.0196809	0.00812372	0.00290979	0.000917434	0.000255742	6.43557e-05	1.49098e-05	3.2435e-06	6.72817e-07	1.34465e-07	2.56813e-08	4.67783e-09	8.07556e-10	1.31583e-10	2.02091e-11	2.93582e-12	4.01908e-13	5.21846e-14	6.44804e-15	7.60439e-16	8.57797e-17	9.28468e-18	9.58148e-19	9.44168e-20	8.863e-21	7.91138e-22	6.72686e-23	5.53328e-24	4.59431e-25	4.36517e-26	5.53158e-27	9.22348e-28	1.72186e-28	3.22366e-29	
N6	1.08238e-07	7.75927e-08	1.43823e-07	2.67776e-07	4.94227e-07	9.06991e-07	1.66631e-06	3.08846e-06	5.80644e-06	1.11124e-05	2.18083e-05	4.44902e-05	9.51401e-05	0.000210103	0.000479285	0.00111387	0.00258421	0.00584995	0.0122825	0.0235557	0.0415219	0.0680498	0.102768	0.139822	0.162452	0.157306	0.125275	0.0818274	0.0440184	0.0198357	0.00748577	0.00242753	0.000698685	0.00018636	4.81742e-05	1.24895e-05	3.21542e-06	8.13969e-07	2.00679e-07	4.84412e-08	1.16986e-08	2.9345e-09	7.73264e-10	2.12058e-10	5.78774e-11	1.49099e-11	3.47817e-12	7.20684e-13	1.29653e-13	2.02585e-14	2.79548e-15	3.90717e-16	1.01893e-16	6.69046e-17	5.61146e-17	4.65049e-17	3.6973e-17	2.82464e-17	2.08945e-17	1.51932e-17	1.0973e-17	7.95757e-18	5.70179e-18	3.87516e-18	2.3826e-18	1.28872e-18	
N7	1.08186e-07	7.79279e-08	1.44455e-07	2.69206e-07	4.97274e-07	9.1225e-07	1.67394e-06	3.1e-06	5.83166e-06	1.11832e-05	2.20048e-05	4.50078e-05	9.65134e-05	0.000213828	0.000489437	0.00114034	0.00264841	0.00599027	0.0125482	0.023995	0.0421786	0.0689568	0.103876	0.140853	0.162903	0.156858	0.124109	0.0804846	0.0429647	0.0192069	0.00718842	0.00231225	0.000660526	0.000175006	4.49596e-05	1.15802e-05	2.9577e-06	7.4223e-07	1.81472e-07	4.35089e-08	1.04602e-08	2.61637e-09	6.86712e-10	1.86991e-10	5.04633e-11	1.2803e-11	2.93207e-12	5.94865e-13	1.04468e-13	1.58623e-14	2.08234e-15	2.36804e-16	2.3404e-17	2.02936e-18	1.54172e-19	1.04524e-20	6.55727e-22	4.16399e-23	3.14277e-24	3.14304e-25	3.79933e-26	4.87298e-27	6.07841e-28	6.92511e-29	6.88759e-30	7.7232e-31	
N8	3.53002e-07	2.95995e-07	5.42703e-07	9.97146e-07	1.82183e-06	3.3075e-06	5.98169e-06	1.0925e-05	2.08009e-05	4.28159e-05	9.56169e-05	0.000222565	0.000517797	0.00118434	0.0027527	0.00646707	0.0147358	0.0313429	0.0592119	0.0975531	0.137965	0.164989	0.164558	0.1367	0.0928939	0.0518087	0.0238272	0.00910729	0.00292444	0.000807341	0.000193976	4.25332e-05	9.07021e-06	2.03357e-06	5.1085e-07	1.4634e-07	4.53091e-08	1.45583e-08	4.71562e-09	1.49522e-09	4.45589e-10	1.20119e-10	2.79517e-11	5.535e-12	9.32756e-13	1.35127e-13	1.70026e-14	1.89251e-15	2.02186e-16	3.33389e-17	1.37938e-17	8.31068e-18	5.14634e-18	3.09361e-18	1.7734e-18	9.70562e-19	5.1021e-19	2.60214e-19	1.29673e-19	6.34499e-20	3.06279e-20	1.50211e-20	7.68941e-21	4.03892e-21	2.01806e-21	8.80628e-22	
N9	2.63678e-07	5.59737e-11	8.68726e-15	2.06473e-17	2.57121e-10	0.00094756	1.24479e-06	3.43284e-10	3.31165e-14	3.67012e-17	3.21842e-10	0.000895639	8.85493e-07	1.83681e-10	1.35026e-14	1.16468e-17	8.28034e-11	0.000199928	1.88048e-07	4.09148e-11	3.50606e-15	3.81053e-18	3.55535e-11	0.000112676	1.3415e-07	3.45821e-11	3.45033e-15	2.7973e-14	3.09999e-07	0.996652	0.00118909	3.27377e-07	3.45056e-11	8.60405e-15	1.35647e-13	8.42515e-13	6.32273e-17	1.09592e-21	1.37848e-21	3.30519e-19	1.1886e-15	2.14873e-12	7.47167e-14	1.28112e-15	1.3902e-17	1.02958e-19	5.2982e-22	1.86351e-24	4.10616e-27	4.46243e-30	5.55289e-28	5.60268e-28	5.60714e-28	5.54542e-28	5.38084e-28	5.12202e-28	4.77309e-28	4.34663e-28	3.86645e-28	3.36241e-28	2.85339e-28	2.37948e-28	1.96044e-28	1.60306e-28	1.30614e-28	1.062e-28	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_juncoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
