NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	2.75913e-06	1.09556e-05	3.28921e-05	8.05112e-05	0.000169292	0.000316711	0.000540781	0.000858927	0.00128644	0.00183439	0.00250778	0.00330533	0.0042209	0.00524523	0.00636725	0.00757483	0.00885545	0.0101962	0.0115813	0.0129919	0.0144063	0.0158005	0.0171506	0.0184341	0.0196318	0.0207287	0.0217141	0.0225811	0.0233268	0.0239509	0.0244553	0.0248445	0.0251271	0.0253362	0.0254758	0.0255497	0.0255611	0.0255124	0.0254057	0.0252425	0.025024	0.024751	0.0244244	0.0240454	0.0236154	0.0231369	0.0226127	0.0220465	0.0214429	0.020807	0.0201441	0.0194599	0.0187601	0.0180503	0.0173358	0.0166214	0.0159115	0.0152101	0.0145205	0.0138458	0.0131882	0.0125498	0.0119322	0.0113365	0.0107654	0.0102474	
N2	5.114e-07	4.62716e-06	2.15826e-05	7.33751e-05	0.000192639	0.000432254	0.000838425	0.00148535	0.00239052	0.00362386	0.00512978	0.00698765	0.0090547	0.011448	0.0139229	0.0166536	0.0192675	0.0220041	0.024387	0.0267973	0.0286899	0.0305897	0.0318841	0.0332155	0.033903	0.0346873	0.034826	0.0351226	0.0347832	0.0346594	0.0339237	0.0334472	0.0323779	0.0315506	0.0301439	0.0290375	0.0274251	0.0261504	0.0244365	0.0230678	0.0213087	0.019888	0.018127	0.0166969	0.0149882	0.0136253	0.0120676	0.0108779	0.0095674	0.00862888	0.00760964	0.0069249	0.00615775	0.00566602	0.00507829	0.00470797	0.00423356	0.00393658	0.00354082	0.00329414	0.00295806	0.00275123	0.00246677	0.00229378	0.00205292	0.00191464	
N3	2.7753e-06	2.51459e-05	0.000116525	0.000377499	0.000951671	0.00201494	0.0037094	0.00615307	0.00933791	0.0132415	0.0176576	0.0224541	0.0272779	0.0320033	0.0362485	0.0400251	0.0430087	0.0453903	0.0468921	0.0478298	0.0479256	0.0475667	0.0464556	0.0450198	0.0429502	0.0407007	0.0379656	0.0352065	0.0321277	0.0291773	0.0260718	0.023226	0.0203708	0.0178851	0.0154965	0.0135007	0.0116313	0.0101239	0.00872389	0.00761813	0.00657691	0.00575628	0.00496181	0.00432976	0.00370318	0.00320337	0.00270602	0.00231595	0.00193317	0.00164385	0.00136474	0.00116272	0.000967714	0.000831247	0.000696095	0.000602827	0.000506724	0.000440645	0.000370464	0.000322402	0.000270484	0.000235287	0.00019698	0.000171311	0.000143223	0.000125444	
N4	6.74386e-05	0.000536411	0.00214608	0.00594701	0.0126983	0.0226422	0.0348331	0.0481015	0.0603674	0.0706501	0.0773038	0.0806598	0.0799421	0.0766235	0.0704021	0.0632037	0.0547179	0.0467361	0.0386809	0.0319072	0.0255939	0.0206734	0.0162614	0.0129972	0.0100983	0.00803117	0.00618547	0.00490742	0.00375368	0.00297711	0.00226848	0.00180306	0.00137244	0.00109557	0.000835803	0.00066977	0.000511259	0.000409816	0.00031224	0.000249375	0.000188952	0.000149977	0.000112965	8.91143e-05	6.67247e-05	5.2396e-05	3.91138e-05	3.06398e-05	2.28202e-05	1.78564e-05	1.33005e-05	1.04044e-05	7.74405e-06	6.05642e-06	4.51225e-06	3.5287e-06	2.6276e-06	2.05444e-06	1.53188e-06	1.19778e-06	8.92833e-07	6.98202e-07	5.2148e-07	4.08134e-07	3.05149e-07	2.41844e-07	
N5	6.71069e-05	0.000927743	0.00496334	0.0157331	0.0339376	0.0561125	0.0738996	0.0876836	0.0923284	0.0945029	0.0868265	0.080401	0.0666932	0.0581917	0.0457591	0.0393133	0.0304845	0.0264678	0.0206704	0.0181423	0.0140854	0.0122679	0.00938264	0.00798221	0.00589551	0.00483768	0.0034617	0.00273106	0.00187089	0.0014169	0.000942078	0.000688632	0.000441398	0.000312853	0.000197191	0.00013674	8.43221e-05	5.75534e-05	3.54379e-05	2.40089e-05	1.46741e-05	9.91245e-06	6.12217e-06	4.14479e-06	2.56249e-06	1.73952e-06	1.08932e-06	7.41717e-07	4.64466e-07	3.16193e-07	1.99557e-07	1.35523e-07	8.50274e-08	5.7381e-08	3.60102e-08	2.41022e-08	1.49577e-08	9.90453e-09	6.12245e-09	4.00915e-09	2.44631e-09	1.58321e-09	9.6115e-10	6.15788e-10	3.70223e-10	2.40026e-10	
N6	6.54029e-06	0.0001527	0.00121596	0.00532913	0.0144552	0.0292919	0.0467095	0.0668047	0.0793486	0.0895762	0.0841958	0.0825586	0.0686032	0.0658423	0.0536474	0.0536394	0.0435778	0.0444497	0.0351241	0.0346245	0.0249288	0.0227562	0.0151367	0.0128325	0.00772693	0.00615683	0.00360256	0.00278763	0.00154738	0.00118137	0.000674684	0.00052129	0.000291442	0.000229211	0.000136627	0.00011028	6.44148e-05	5.24308e-05	3.21617e-05	2.62585e-05	1.53577e-05	1.23544e-05	7.47488e-06	5.90997e-06	3.35017e-06	2.57023e-06	1.48404e-06	1.10741e-06	5.95812e-07	4.3067e-07	2.3922e-07	1.68672e-07	8.92172e-08	6.11092e-08	3.34266e-08	2.21868e-08	1.16475e-08	7.43767e-09	3.99637e-09	2.45756e-09	1.27215e-09	7.5497e-10	3.94604e-10	2.27832e-10	1.16231e-10	6.71362e-11	
N7	6.44425e-06	0.00015095	0.00120601	0.00529586	0.014395	0.0292222	0.0467254	0.0668512	0.079513	0.0895787	0.0843416	0.08246	0.0687801	0.0658029	0.0539228	0.0536629	0.0438935	0.0444334	0.0353535	0.0344541	0.0249967	0.0225097	0.0150942	0.0125978	0.00766216	0.00601353	0.00355608	0.00270938	0.00152338	0.0011473	0.000663363	0.000505525	0.000286647	0.000222746	0.000134415	0.000107013	6.33524e-05	5.08797e-05	3.15655e-05	2.5355e-05	1.5028e-05	1.1899e-05	7.27918e-06	5.64697e-06	3.24461e-06	2.44414e-06	1.42709e-06	1.04246e-06	5.6894e-07	4.03303e-07	2.26525e-07	1.56297e-07	8.37712e-08	5.62702e-08	3.10458e-08	2.01833e-08	1.06931e-08	6.70926e-09	3.62091e-09	2.1882e-09	1.13831e-09	6.65834e-10	3.4871e-10	1.98511e-10	1.01343e-10	5.66309e-11	
N8	4.03263e-06	0.000107396	0.000979936	0.00468945	0.0138134	0.0306343	0.0541056	0.0790574	0.0935797	0.097279	0.0898945	0.0833622	0.0742378	0.0700249	0.062394	0.0582219	0.0489603	0.0420259	0.0313132	0.0236576	0.0153537	0.0103761	0.00611179	0.0039131	0.00221792	0.00142604	0.000818769	0.000542753	0.000316871	0.000215157	0.000128033	8.81698e-05	5.26607e-05	3.65149e-05	2.20059e-05	1.51314e-05	8.88278e-06	5.90771e-06	3.3434e-06	2.11943e-06	1.12852e-06	6.77774e-07	3.4386e-07	1.96712e-07	9.42309e-08	5.16547e-08	2.3934e-08	1.26964e-08	5.64424e-09	2.92315e-09	1.29086e-09	6.65865e-10	2.94348e-10	1.54748e-10	7.20244e-11	3.89282e-11	1.86884e-11	1.01248e-11	4.94153e-12	2.61362e-12	1.24885e-12	6.43041e-13	3.05253e-13	1.55277e-13	7.32998e-14	3.83129e-14	
N9	6.01049e-22	1.16518e-15	3.4505e-13	3.26629e-08	9.5215e-08	1.03059e-06	1.32353e-06	0.000384267	0.000968223	0.00174404	0.00143918	0.00500391	0.0109308	0.0179083	0.015841	0.00109397	0.00793207	0.0435782	0.139461	0.337855	0.414998	7.25669e-05	6.64893e-08	6.51988e-07	4.28147e-06	2.34969e-05	7.84634e-05	0.000203277	0.00027261	0.000193283	7.75814e-08	1.70146e-11	2.05069e-12	4.27195e-11	5.58816e-10	6.10704e-09	4.29266e-08	2.53123e-07	9.42583e-07	2.68014e-06	4.05712e-06	3.16723e-06	2.04685e-09	6.88546e-13	1.27947e-16	1.83966e-20	1.74757e-24	1.37167e-28	7.33908e-33	3.25857e-37	9.716e-42	2.20866e-46	2.89074e-51	1.99065e-56	1.25773e-22	9.9998e-25	6.60388e-27	4.2435e-29	2.26228e-31	1.14156e-33	4.64848e-36	1.72842e-38	4.94685e-41	1.17166e-43	1.81149e-46	1.58694e-49	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
