NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.000974584	0.0757415	0.362644	0.348175	0.193887	0.0181062	0.00046717	4.50223e-06	2.01924e-08	4.99695e-11	7.85873e-14	1.96225e-18	5.73007e-20	1.50366e-21	3.60828e-23	8.00399e-25	1.65133e-26	3.17867e-28	5.71782e-30	9.62218e-32	1.51688e-33	2.24411e-35	3.12284e-37	4.09858e-39	5.08814e-41	5.99284e-43	6.71675e-45	7.18465e-47	7.35498e-49	7.22485e-51	6.82673e-53	6.21906e-55	5.4737e-57	4.66365e-59	3.85336e-61	3.0927e-63	2.4148e-65	1.83686e-67	1.36296e-69	9.87691e-72	6.99785e-74	4.8524e-76	3.29616e-78	2.19534e-80	1.43479e-82	9.20883e-85	5.8084e-87	3.60276e-89	2.19895e-91	1.32145e-93	7.82318e-96	4.56501e-98	2.62689e-100	1.49138e-102	8.35745e-105	4.62469e-107	2.52807e-109	1.36571e-111	7.29376e-114	3.85228e-116	2.01281e-118	1.04075e-120	5.32705e-123	2.70068e-125	1.36356e-127	8.63591e-130	
N2	0.000191747	0.0396997	0.301636	0.363768	0.240457	0.0520718	0.00194803	0.000224006	3.79018e-06	1.58458e-07	1.03514e-09	3.60507e-11	1.23921e-13	1.52262e-15	1.13009e-17	1.99944e-19	5.35837e-22	6.92778e-24	2.18156e-26	4.25193e-28	1.0184e-30	5.98714e-33	2.14838e-35	3.96276e-37	6.64844e-40	2.86973e-42	7.75276e-45	5.48487e-47	1.09633e-49	9.58814e-52	2.03831e-54	1.83763e-56	2.62276e-59	8.15768e-62	1.57143e-64	1.36126e-66	1.62367e-69	5.52802e-72	1.36154e-74	1.0219e-76	1.1864e-79	3.38006e-82	3.90219e-85	1.57388e-87	2.20268e-90	6.89639e-93	1.56434e-95	1.08831e-97	1.06529e-100	2.16744e-103	2.41442e-106	6.84172e-109	7.10277e-112	2.38131e-114	2.95006e-117	1.21133e-119	1.56213e-122	5.58328e-125	2.07622e-127	2.80189e-129	8.40756e-132	5.82412e-134	2.97022e-136	3.62048e-138	2.35334e-140	4.73041e-142	
N3	0.000273729	0.0349527	0.266723	0.337672	0.294924	0.0627874	0.00245386	0.000208686	4.89265e-06	2.43796e-07	3.00828e-09	2.23349e-10	1.72411e-12	5.19554e-14	6.95086e-16	2.77845e-17	1.93812e-19	6.62626e-21	4.71806e-23	1.95183e-24	1.30902e-26	2.12066e-28	2.30722e-30	1.27798e-31	6.38054e-34	8.58876e-36	7.59079e-38	1.88696e-39	1.11306e-41	2.68291e-43	2.02164e-45	6.86199e-47	3.73048e-49	4.64352e-51	3.72014e-53	1.32886e-54	6.45076e-57	8.21056e-59	7.56882e-61	2.24318e-62	1.14731e-64	1.64187e-66	8.64648e-69	1.64352e-70	1.08938e-72	1.75757e-74	2.04028e-76	7.15474e-78	3.44963e-80	3.49968e-82	1.94706e-84	2.90515e-86	1.56359e-88	2.81834e-90	1.89826e-92	4.09586e-94	2.20085e-96	2.37067e-98	1.69854e-100	3.92261e-102	2.00398e-104	2.63707e-106	2.63853e-108	6.58006e-110	8.76244e-112	4.17231e-113	
N4	0.00025241	0.0244808	0.191549	0.28893	0.400862	0.0890459	0.00450131	0.00036679	1.11773e-05	5.03723e-07	8.1782e-09	3.79194e-10	3.88396e-12	8.99396e-14	1.27325e-15	3.27427e-17	2.9405e-19	7.37769e-21	6.3933e-23	1.61499e-24	1.32571e-26	1.94758e-28	1.91718e-30	5.35023e-32	3.44459e-34	4.39942e-36	3.78932e-38	5.98671e-40	4.28992e-42	7.52444e-44	5.73219e-46	1.06769e-47	7.35402e-50	8.52723e-52	6.95225e-54	1.41948e-55	8.70291e-58	1.03717e-59	8.98058e-62	1.50779e-63	9.6348e-66	1.18533e-67	7.55716e-70	1.0399e-71	7.46481e-74	9.13078e-76	8.231e-78	1.58469e-79	9.63903e-82	9.89062e-84	6.66427e-86	7.77827e-88	4.92218e-90	6.23988e-92	4.25533e-94	5.80678e-96	3.87754e-98	4.00658e-100	3.03741e-102	4.57676e-104	2.91415e-106	3.33605e-108	3.30835e-110	6.02623e-112	1.07805e-113	3.94042e-115	
N5	1.04576e-05	0.002741	0.0497353	0.14806	0.50259	0.236991	0.0497598	0.0093967	0.000670956	4.35617e-05	1.27444e-06	5.98875e-08	1.04803e-09	2.99203e-11	6.23063e-13	1.76606e-14	2.64445e-16	6.6696e-18	7.65785e-20	1.47402e-21	1.41389e-23	1.76439e-25	1.50028e-27	2.4524e-29	3.41652e-31	2.37687e-32	2.13609e-33	3.78653e-34	5.31755e-35	1.31517e-35	1.81115e-36	3.82073e-37	4.46767e-38	6.42209e-39	6.50977e-40	1.02909e-40	7.66152e-42	8.08068e-43	6.14731e-44	6.20877e-45	3.60483e-46	2.97446e-47	1.51047e-48	1.12731e-49	5.48287e-51	3.40364e-52	1.59358e-53	1.13119e-54	4.22713e-56	2.16356e-57	8.20619e-59	4.05067e-60	1.36694e-61	6.69223e-63	2.16037e-64	1.01159e-65	3.21929e-67	1.29425e-68	4.10941e-70	1.91203e-71	5.63909e-73	2.43629e-74	1.04374e-75	6.49693e-77	4.58489e-78	6.29073e-79	
N6	1.14571e-08	5.46846e-05	0.00450054	0.0594395	0.475385	0.280199	0.110974	0.0577075	0.00855717	0.00300425	0.000130137	4.64799e-05	1.23797e-06	2.52462e-07	1.74869e-08	2.40665e-09	3.249e-11	2.08578e-12	1.34562e-14	7.61701e-16	7.127e-18	2.88505e-18	1.55264e-18	5.66312e-18	9.89058e-19	5.39515e-19	2.23021e-19	5.56337e-19	2.68929e-19	7.79673e-19	4.54979e-19	1.60854e-18	6.11281e-19	5.70093e-19	3.30672e-19	1.07671e-18	2.47997e-19	1.76928e-19	8.93345e-20	1.80699e-19	3.15119e-20	1.83643e-20	2.9959e-21	2.3249e-21	4.5092e-22	2.40895e-22	9.10923e-23	1.27002e-22	1.43431e-23	3.85026e-24	4.78929e-25	2.29521e-25	2.73063e-26	1.54658e-26	2.64078e-27	1.91802e-27	2.00069e-28	4.87445e-29	7.40554e-30	4.93559e-30	4.43954e-31	1.15928e-31	2.32457e-32	1.4153e-32	3.47894e-33	4.06939e-33	
N7	1.01806e-08	5.12845e-05	0.00435142	0.0588745	0.475666	0.27986	0.11179	0.057639	0.00859447	0.00299522	0.000130331	4.60083e-05	1.25724e-06	2.49789e-07	1.71762e-08	2.28353e-09	3.03641e-11	1.84344e-12	1.16237e-14	6.0214e-16	3.24457e-18	1.00025e-19	1.13162e-20	1.47694e-20	9.11998e-22	1.46008e-22	1.55932e-23	7.66864e-24	6.4612e-25	2.79777e-25	2.13405e-26	8.4305e-27	3.25926e-28	2.73209e-29	1.3045e-30	3.08122e-31	4.99621e-33	2.227e-34	6.55084e-36	7.5175e-37	6.80477e-39	2.27709e-40	1.54794e-42	1.2877e-43	1.04949e-45	9.14078e-47	5.07925e-49	4.78179e-49	7.09736e-52	1.09581e-52	1.20609e-54	7.24628e-56	4.61732e-58	1.28153e-58	4.95248e-61	1.35136e-61	1.23151e-63	2.67524e-64	7.04659e-66	4.5258e-65	3.6018e-67	1.98841e-66	3.90415e-68	5.44581e-67	4.95125e-69	1.2993e-67	
N8	2.98591e-10	4.39823e-06	0.000993356	0.0367726	0.510417	0.254324	0.135432	0.0491914	0.0103904	0.00236592	9.60056e-05	1.25021e-05	5.21769e-07	4.443e-08	1.42161e-09	4.5312e-11	4.76222e-13	1.02958e-14	1.00437e-16	5.29365e-17	1.65036e-17	1.47073e-17	1.05949e-17	4.66255e-17	2.24604e-17	3.55225e-17	2.35339e-17	4.51961e-17	1.59584e-17	2.49307e-17	7.81227e-18	1.07378e-17	2.05244e-18	9.95488e-19	1.78622e-19	1.51008e-19	1.75667e-20	5.64329e-21	1.09678e-21	7.19836e-22	7.65607e-23	3.21138e-23	3.44287e-24	1.71334e-24	2.56686e-25	6.78897e-26	1.32226e-26	1.00374e-26	8.04672e-28	1.63558e-28	2.26526e-29	9.53959e-30	1.10459e-30	5.43738e-31	9.53317e-32	7.19203e-32	8.7509e-33	2.68698e-33	5.19283e-34	4.08441e-34	4.44154e-35	1.45417e-35	3.14584e-36	2.18579e-36	4.49321e-37	4.79017e-37	
N9	4.06053e-31	7.1597e-30	1.0793e-22	1.02744e-20	8.75885e-14	5.67187e-17	1.21356e-10	4.27047e-14	2.95227e-11	3.18216e-07	1.67426e-10	7.66113e-14	2.2754e-08	0.00019427	9.89159e-05	1.43941e-10	4.19999e-13	7.66374e-10	2.03912e-05	0.111651	0.0961166	4.18152e-07	6.19709e-13	8.22811e-19	1.55594e-16	6.65461e-11	8.63429e-06	0.371484	0.326731	0.0936937	7.7681e-07	3.65524e-12	4.61951e-18	1.31893e-19	1.21017e-22	1.31867e-24	1.75256e-21	1.01893e-18	2.94143e-16	7.91144e-14	8.32496e-12	6.51698e-10	4.85997e-12	2.88695e-14	7.98638e-17	1.97712e-19	2.57426e-22	3.20308e-25	7.06314e-26	7.20982e-26	5.67e-26	6.07932e-26	4.58529e-26	5.2507e-26	4.0755e-26	4.77695e-26	3.84036e-26	4.03155e-26	3.38465e-26	4.25837e-26	3.41184e-26	4.05356e-26	4.81771e-26	8.50712e-26	1.67212e-25	3.97367e-25	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
