NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.0772782	0.0779991	0.079023	0.0798377	0.0799291	0.0788632	0.0763525	0.0722993	0.0668049	0.060144	0.0527116	0.0449548	0.0373061	0.0301308	0.0236938	0.01815	0.0135517	0.00986882	0.00701431	0.00486911	0.00330336	0.00219178	0.00142319	0.000904965	0.000563865	0.000344474	0.000206456	0.00012146	7.01783e-05	3.98443e-05	2.22401e-05	1.22102e-05	6.59657e-06	3.50848e-06	1.83784e-06	9.48543e-07	4.82548e-07	2.42058e-07	1.19771e-07	5.84779e-08	2.81829e-08	1.34115e-08	6.30389e-09	2.92765e-09	1.34384e-09	6.09861e-10	2.73726e-10	1.2155e-10	5.34204e-11	2.32465e-11	1.00211e-11	4.28182e-12	1.81473e-12	7.63589e-13	3.19372e-13	1.63065e-16	1.05115e-16	6.77938e-17	4.38473e-17	2.85368e-17	1.87863e-17	1.26118e-17	8.74437e-18	6.38389e-18	5.0398e-18	4.43182e-18	
N2	0.0509561	0.0572806	0.0638849	0.0700593	0.0750361	0.0781636	0.0790208	0.0774678	0.0736409	0.0679041	0.0607724	0.0528268	0.044634	0.0366839	0.0293508	0.0228788	0.017388	0.0128942	0.0093366	0.00660606	0.00457046	0.00309412	0.00205096	0.00133199	0.00084807	0.000529673	0.000324696	0.000195468	0.000115621	6.72325e-05	3.84516e-05	2.16396e-05	1.19888e-05	6.54167e-06	3.51696e-06	1.86375e-06	9.73916e-07	5.02031e-07	2.55372e-07	1.28234e-07	6.35872e-08	3.1147e-08	1.50758e-08	7.21277e-09	3.41201e-09	1.59638e-09	7.38938e-10	3.38492e-10	1.53491e-10	6.89182e-11	3.065e-11	1.35054e-11	5.89804e-12	2.55392e-12	1.09705e-12	4.67811e-13	1.98248e-13	8.36363e-14	3.52304e-14	1.48941e-14	6.3768e-15	2.80875e-15	1.30699e-15	6.70173e-16	4.01826e-16	3.01165e-16	
N3	0.0722046	0.0785302	0.0829722	0.0852984	0.0853765	0.0832258	0.079035	0.0731441	0.0660001	0.0580985	0.0499253	0.0419096	0.0343916	0.027609	0.021698	0.0167056	0.0126088	0.00933554	0.00678478	0.00484312	0.00339752	0.00234363	0.00159051	0.00106249	0.000698993	0.000453084	0.000289493	0.000182405	0.000113384	6.95594e-05	4.21319e-05	2.52042e-05	1.48968e-05	8.70195e-06	5.02549e-06	2.8702e-06	1.62161e-06	9.0657e-07	5.01644e-07	2.74816e-07	1.49091e-07	8.01173e-08	4.26551e-08	2.25053e-08	1.17697e-08	6.10246e-09	3.13764e-09	1.60013e-09	8.09591e-10	4.06481e-10	2.02583e-10	1.00253e-10	4.92837e-11	2.40798e-11	1.17022e-11	5.66232e-12	2.73211e-12	1.31756e-12	6.37281e-13	3.10848e-13	1.54221e-13	7.88875e-14	4.24967e-14	2.48937e-14	1.65698e-14	1.31647e-14	
N4	0.0834146	0.0897821	0.0931468	0.0935099	0.0910664	0.0861884	0.0793847	0.0712419	0.0623603	0.0532951	0.0445129	0.0363663	0.0290877	0.0227972	0.0175214	0.0132161	0.00979057	0.00712829	0.00510416	0.00359667	0.00249559	0.00170604	0.00114969	0.000764139	0.000501154	0.000324472	0.000207481	0.000131085	8.186e-05	5.05471e-05	3.0873e-05	1.8658e-05	1.11608e-05	6.61002e-06	3.87713e-06	2.25288e-06	1.29719e-06	7.40314e-07	4.1887e-07	2.35014e-07	1.30785e-07	7.2204e-08	3.95546e-08	2.15056e-08	1.16067e-08	6.2195e-09	3.30959e-09	1.74924e-09	9.18493e-10	4.79237e-10	2.48536e-10	1.28153e-10	6.57271e-11	3.35486e-11	1.70548e-11	8.64455e-12	4.37594e-12	2.21776e-12	1.12963e-12	5.8172e-13	3.0565e-13	1.6617e-13	9.54326e-14	5.95911e-14	4.19289e-14	3.44518e-14	
N5	0.00812539	0.0111106	0.0162543	0.0234502	0.0323598	0.0423789	0.0526708	0.0622674	0.0702177	0.0757419	0.0783529	0.0779168	0.0746448	0.0690264	0.0617242	0.0534608	0.0449172	0.0366599	0.0291027	0.0224986	0.0169568	0.0124724	0.00896165	0.00629589	0.00432838	0.00291432	0.00192319	0.00124475	0.000790703	0.000493271	0.000302384	0.000182255	0.000108063	6.30636e-05	3.62402e-05	2.0517e-05	1.14482e-05	6.29861e-06	3.41829e-06	1.83061e-06	9.6775e-07	5.052e-07	2.60521e-07	1.32752e-07	6.6864e-08	3.32989e-08	1.64014e-08	7.99235e-09	3.85422e-09	1.83993e-09	8.69778e-10	4.07307e-10	1.8903e-10	8.69914e-11	3.97268e-11	1.80219e-11	8.13367e-12	3.66025e-12	1.64796e-12	7.46189e-13	3.42551e-13	1.61476e-13	7.97855e-14	4.27349e-14	2.61759e-14	1.97026e-14	
N6	0.000469341	0.000749223	0.00140801	0.00272803	0.00511719	0.00906246	0.0150227	0.023268	0.0337087	0.0457783	0.058434	0.0703013	0.0799353	0.0861254	0.0881494	0.0859051	0.079888	0.0710389	0.0605196	0.0494833	0.0388966	0.0294401	0.0214871	0.0151436	0.0103195	0.00680757	0.00435247	0.00269998	0.00162671	0.000952815	0.000543069	0.00030146	0.000163114	8.60958e-05	4.43638e-05	2.23328e-05	1.09906e-05	5.29115e-06	2.49344e-06	1.15089e-06	5.20598e-07	2.30916e-07	1.00491e-07	4.29292e-08	1.8012e-08	7.42647e-09	3.01054e-09	1.20056e-09	4.71235e-10	1.82165e-10	6.93969e-11	2.60715e-11	9.66692e-12	3.54084e-12	1.28264e-12	4.60131e-13	1.63763e-13	5.79623e-14	2.04711e-14	7.25048e-15	2.59545e-15	9.51226e-16	3.65106e-16	1.52999e-16	7.55498e-17	4.96235e-17	
N7	0.000464196	0.000740935	0.00139278	0.00270055	0.00507143	0.0089937	0.0149302	0.0231577	0.0335936	0.0456768	0.058366	0.0702822	0.0799719	0.0862135	0.0882753	0.0860489	0.080029	0.0711603	0.0606108	0.049541	0.0389235	0.0294426	0.0214733	0.015121	0.0102941	0.00678347	0.00433189	0.00268372	0.00161465	0.000944331	0.000537374	0.000297793	0.000160842	8.47378e-05	4.35786e-05	2.18927e-05	1.07511e-05	5.16442e-06	2.42816e-06	1.11811e-06	5.04538e-07	2.23231e-07	9.68951e-08	4.1283e-08	1.7274e-08	7.1022e-09	2.87079e-09	1.14144e-09	4.46668e-10	1.72129e-10	6.53633e-11	2.44752e-11	9.04424e-12	3.30123e-12	1.19158e-12	4.25921e-13	1.51038e-13	5.32692e-14	1.87515e-14	6.62279e-15	2.36625e-15	8.66922e-16	3.33455e-16	1.40527e-16	7.00279e-17	4.63862e-17	
N8	0.000165676	0.000274888	0.00055587	0.00118427	0.00246272	0.004834	0.00884272	0.0150217	0.0237082	0.0348371	0.0477905	0.0613859	0.0740441	0.0841058	0.0902054	0.0915803	0.0882188	0.0808112	0.0705403	0.0587903	0.0468676	0.0358003	0.0262453	0.0184939	0.0125442	0.00820137	0.00517505	0.0031554	0.00186125	0.00106326	0.00058885	0.000316468	0.000165203	8.38407e-05	4.14008e-05	1.99081e-05	9.32939e-06	4.26381e-06	1.90183e-06	8.28452e-07	3.5267e-07	1.46808e-07	5.97957e-08	2.38446e-08	9.31448e-09	3.56634e-09	1.33914e-09	4.93416e-10	1.78499e-10	6.34377e-11	2.21627e-11	7.61644e-12	2.57667e-12	8.58834e-13	2.82314e-13	9.16327e-14	2.94124e-14	9.35564e-15	2.95797e-15	9.34045e-16	2.96996e-16	9.65254e-17	3.29867e-17	1.25008e-17	5.76057e-18	3.67125e-18	
N9	7.80643e-132	2.89887e-126	8.96422e-121	2.30984e-115	4.97313e-110	8.96635e-105	1.35617e-99	1.72323e-94	1.84144e-89	1.65601e-84	1.25366e-79	7.98818e-75	4.28154e-70	1.92813e-65	7.28288e-61	2.30173e-56	6.06757e-52	1.32867e-47	2.40457e-43	3.57349e-39	4.32624e-35	4.22413e-31	3.28445e-27	2.00073e-23	9.34456e-20	3.24919e-16	8.06094e-13	1.33512e-09	1.31011e-06	0.000572959	0.00593939	0.0283379	0.0817778	0.158809	0.218587	0.218665	0.1602	0.0853241	0.0322291	0.00820086	0.00126483	9.03707e-05	2.50394e-07	3.36642e-10	2.91095e-13	1.8243e-16	8.86062e-20	3.48278e-23	1.14203e-26	3.19537e-30	7.76337e-34	1.66083e-37	3.16456e-41	5.42206e-45	8.42232e-49	1.1946e-52	1.55716e-56	1.87664e-60	2.1034e-64	2.20605e-68	2.17956e-72	2.04415e-76	1.83609e-80	1.59526e-84	1.35453e-88	1.15526e-92	
Bulbostylis_ciliatifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
